Organisation,,Partnerships for Schools,,,,,
Submitted By,,Management Accountant,,,,,
Spend Tolerance,,"£25,000",,,,,
Month,,01.06.2011 to 30.06.2011,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT
DfE,PfS,01/06/2011,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,358543,26688.88
DfE,PfS,01/06/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,358549,27508.66
DfE,PfS,01/06/2011,Capital Grant,Schools Capital and Revenue Grants,ST ANNES ROMAN CATHOLIC SCHOOL,358553,33151.63
DfE,PfS,01/06/2011,Capital Grant,Schools Capital and Revenue Grants,ADDEY AND STANHOPE GENERAL FUND,358555,51814.06
DfE,PfS,01/06/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,358557,34221.96
DfE,PfS,01/06/2011,Capital Grant,Schools Capital and Revenue Grants,MADANI HIGH SCHOOL,358565,277987.64
DfE,PfS,01/06/2011,Capital Grant,Schools Capital and Revenue Grants,CHELMSFORD DIOCESAN BOARD OF FINANCE,358567,70878.83
DfE,PfS,01/06/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH DIOCESAN CHURCH SCHOOL GOVERNORS FUND,358573,31552.47
DfE,PfS,01/06/2011,Capital Grant,Schools Capital and Revenue Grants,WILLIAM ELLIS SCHOOL,358575,29917.08
DfE,PfS,01/06/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,358577,29638.62
DfE,PfS,01/06/2011,VA Schools PFI Payments,Schools Capital and Revenue Grants,REDCAR PRIVATE FINANCE INITIATIVE,358581,181164.24
DfE,PfS,07/06/2011,Capital Grant,Schools Capital and Revenue Grants,CANTERBURY DIOCESAN BOARD OF EDUCATION,358609,287103.55
DfE,PfS,07/06/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE OF ARUNDEL AND BRIGHTON DIOCESAN SCHOOLS,358611,97470
DfE,PfS,07/06/2011,Capital Grant,Schools Capital and Revenue Grants,LICHFIELD DIOCESAN EDUCATION COUNCIL BARCHESTER,358615,31410
DfE,PfS,07/06/2011,Capital Grant,Schools Capital and Revenue Grants,NORWICH DIOCESAN BOARD OF FINANCE LIMITED,358617,33353.37
DfE,PfS,07/06/2011,Capital Grant,Schools Capital and Revenue Grants,YORK DIOCESAN BOARD OF FINANCE,358619,83919.31
DfE,PfS,07/06/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,358627,38269.8
DfE,PfS,07/06/2011,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 5,358631,47072.88
DfE,PfS,07/06/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH DIOCESAN CHURCH SCHOOL GOVERNORS FUND,358637,53968.52
DfE,PfS,07/06/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,358639,68311.36
DfE,PfS,07/06/2011,Revenue Grant,Schools Capital and Revenue Grants,ST THOMAS NORE CATHOLIC BIRMINGHAM DIOCESE ACCOUNT,359029,81751.28
DfE,PfS,08/06/2011,Capital Grant,Schools Capital and Revenue Grants,SHEFFIELD DIOCESAN BOARD OF FINANCE SCHOOLS FUND ACCOUNT,359119,37780.38
