Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Narrative
HM Treasury,HM Treasury,07/09/2010,Maintenance,Corporate Services,MITIE MANAGED SERVICES LTD,87148,32442.55,Estates Norwich Office
HM Treasury,APA,07/09/2010,Consultants - Mgt - Non Advisory,Risk,GOVERNMENT ACTUARY'S DEPT,87153,8678.55,Asset Protection Scheme Advice
HM Treasury,HM Treasury,09/09/2010,Service Charges,Corporate Services,EXCHEQUER PARTNERSHIP PLC,87052,31357.10,Estates 1 Horse Guards Road
HM Treasury,DMO,09/09/2010,Departmental Tax Liability,DMO Finance,HM REVENUE & CUSTOMS,87237,17032.39,
HM Treasury,HM Treasury,09/09/2010,Departmental Tax Liability,Corporate Services,HM REVENUE & CUSTOMS,87237,322915.35,
HM Treasury,HM Treasury,13/09/2010,Consultants - Financial - Advisory only,Financial Stability,PRICEWATERHOUSECOOPERS,84695,466868.06,
HM Treasury,HM Treasury,13/09/2010,Consultants - Financial - Advisory only,Financial Stability,PRICEWATERHOUSECOOPERS,84696,59980.19,
HM Treasury,HM Treasury,13/09/2010,Equitable Life Enquiry,"Budget, Tax & Welfare",TOWERS WATSON,86862,499317.89,Actuarial advice
HM Treasury,HM Treasury,13/09/2010,Capital payment on PFI,Corporate Services,EXCHEQUER PARTNERSHIP PLC,87058,129346.41,Estates 1 Horse Guards Road
HM Treasury,HM Treasury,13/09/2010,Rent on PFI,Corporate Services,EXCHEQUER PARTNERSHIP PLC,87058,309008.70,Estates 1 Horse Guards Road
HM Treasury,HM Treasury,13/09/2010,Interest Payable on PFI,Corporate Services,EXCHEQUER PARTNERSHIP PLC,87058,810246.31,Estates 1 Horse Guards Road
HM Treasury,HM Treasury,13/09/2010,Service Charges,Corporate Services,EXCHEQUER PARTNERSHIP PLC,87058,2234.36,Estates 1 Horse Guards Road
HM Treasury,HM Treasury,13/09/2010,Service Element of PFI,Corporate Services,EXCHEQUER PARTNERSHIP PLC,87058,309278.52,Estates 1 Horse Guards Road
