Spend over £25000 - Publication template,,,,,,,,
,,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,
Department for Education,National College for Leadership of Schools and Children's Services,09/02/2011,Programme Costs,School Leadership Development,Granada Learning Limited,107103,31200.00
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Grants Made,School Leadership Development,Harwood Meadows Primary School,Collab Fund grant,29680.00
Department for Education,National College for Leadership of Schools and Children's Services,28/02/2011,Grants Made,School Leadership Development,Hawkley Hall High School,Collab Fund Grant,23145.00
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Grants Made,School Leadership Development,Hawkley Hall High School,Collab Fund grant,30400.00
Department for Education,National College for Leadership of Schools and Children's Services,07/02/2011,Programme Costs,Childrens Services,HTI Leadership Centre Ltd,107458,43190.75
Department for Education,National College for Leadership of Schools and Children's Services,09/02/2011,Programme Costs,Continuous Leadership Learning,HTI Leadership Centre Ltd,107529,75843.65
Department for Education,National College for Leadership of Schools and Children's Services,17/02/2011,Programme Costs,Continuous Leadership Learning,HTI Leadership Centre Ltd,107734,204750.00
Department for Education,National College for Leadership of Schools and Children's Services,17/02/2011,Programme Costs,Continuous Leadership Learning,HTI Leadership Centre Ltd,107735,39950.00
Department for Education,National College for Leadership of Schools and Children's Services,18/02/2011,Programme Costs,Continuous Leadership Learning,Institute Of Education,107758,72187.20
Department for Education,National College for Leadership of Schools and Children's Services,28/02/2011,Programme Costs,Continuous Leadership Learning,Institute Of Education,108035,95646.16
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Grants Made,School Leadership Development,The Kingfisher Community Special School,Collab Fund Grant,27626.20
Department for Education,National College for Leadership of Schools and Children's Services,17/02/2011,Irrecoverable Input VAT,School Leadership Development,LINE Communications,107727,8440.60
Department for Education,National College for Leadership of Schools and Children's Services,17/02/2011,Programme Costs,School Leadership Development,LINE Communications,107727,42203.00
Department for Education,National College for Leadership of Schools and Children's Services,24/02/2011,Programme Costs,Childrens Services,London Metropolitan University,107887,83094.30
