Department family,Entity,Date settled,Expense Type,Expense area,Supplier,Transaction number,Amount,Narrative
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Current Grants Private Sector,GIA Architecture+Heritage,Greenwich Foundation for the RN College,50000646,"106,167.00",ORNC GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport Ground Safety Authority,50000647,"104,416.00",SGSA GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Portrait Gallery,50000652,"586,106.00",NPG GIA JUNE 13
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Libraries bodies,Public Lending Right,50000653,"78,244.00",PLR GIA JUNE 13
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Horniman Museum,50000654,"280,767.00",HM RAB GIA 03 JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Tourism bodies,VisitBritain,50000655,"4,097,000.00",VISIT BRITAIN GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Wallace Collection,50000656,"238,200.00",TWC GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Geffrye Museum,50000659,"132,560.00",GM GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Imperial War Museum,50000660,"1,820,317.00",IWM GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Science Museum Group (ex-NMSI),50000661,"2,750,000.00",SMG GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Natural History Museum,50000662,"3,689,000.00",NHM GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant to OGD (Resource),Architecture + heritage progs,The Treasurer to the Queen,50000664,"28,000.00",MH GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Victoria & Albert Museum,50000672,"3,277,134.00",VA GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA S4C Welsh Fourth Channel,S4C-Sianel Pedwar Cymru-all inv inc. GIA,50000673,"1,000,000.00",S4C GIA JUNE 2013
