Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,11/06/2015,Estate management,Navy Command,JACOBS U.K. LIMITED,G2 7HX,21021,Works - estate management,"Ł38,570.00"
Ministry of Defence,Ministry of Defence,08/06/2015,Spend on Inventory - General,Navy Command,FUCHS LUBRICANTS (UK) PLC.,ST1 5HU,19615,Spend on Inventory - General,"Ł38,500.00"
Ministry of Defence,Council of Reserve Forces and Cadets Association,05/06/2015,Rates/NDR,Infrastructure,Land & Property services,BT2 7SL,740,Rates/NDR,"Ł38,435.66"
Ministry of Defence,Ministry of Defence,17/06/2015,Payment of utilities,Land Forces,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,24026,Utilities consumed - electricity,"Ł38,424.80"
Ministry of Defence,Ministry of Defence,22/06/2015,Spend on Inventory - General,Defence Equipment + Support,JOSEPH GLEAVE & SON LTD,M32 0NB,25650,Spend on Inventory - General,"Ł38,333.24"
Ministry of Defence,Ministry of Defence,08/06/2015,Design services and minor equipment purchases,Defence Equipment + Support,JOHNSON CONTROLS BUILDING EFFICENCY UK LIMITED,P07 7YH,19664,Equipment support non-project costs,"Ł38,207.81"
Ministry of Defence,Ministry of Defence,22/06/2015,Administration,JFC,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,DH1 5TW,300000225,General administration,"Ł38,152.00"
Ministry of Defence,Ministry of Defence,22/06/2015,Fuel for military use,DES Bespoke Trading Entity,WFL (UK) LIMITED,SN15 5DN,25933,Cost of ground diesel fuel consumed,"Ł38,095.36"
Ministry of Defence,Ministry of Defence,02/06/2015,Fuel for military use,JFC,BOC LIMITED,M28 2UT,17190,Cost of industrial gas fuel consumed,"Ł38,080.07"
Ministry of Defence,Ministry of Defence,23/06/2015,Design services and minor equipment purchases,Defence Equipment + Support,FLUID TRANSFER INTERNATIONAL  LIMITED,GL6 0BS,26108,Equipment support non-project costs,"Ł38,079.14"
Ministry of Defence,Ministry of Defence,19/06/2015,Design services and minor equipment purchases,Defence Equipment + Support,QUARTZELEC LIMITED,CV23 0WB,25310,Equipment support non-project costs,"Ł38,032.00"
Ministry of Defence,Ministry of Defence,19/06/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,25070,Cost of food services,"Ł37,978.29"
Ministry of Defence,Ministry of Defence,18/06/2015,"Transportation of personnel, freight and travel expenses",Defence Equipment + Support,PALLETWAYS (U K) LTD,WS13 8NE,24805,Freight movement costs,"Ł37,960.58"
Ministry of Defence,Ministry of Defence,05/06/2015,Medical treatment & stores and welfare services,Land Forces,THE PURBECK SCHOOL,BH20 4PF,19362,Schools + community relations initiatives,"Ł37,900.00"
Ministry of Defence,Ministry of Defence,26/06/2015,Spend on Inventory - General,Defence Equipment + Support,ICON POLYMER LIMITED,DN22 6HH,28273,Spend on Inventory - General,"Ł37,884.00"
Ministry of Defence,Ministry of Defence,02/06/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,HERTSMERE BOROUGH COUNCIL,WD6 1WA,17395,Rent buildings - non civil estate property and married quarter property,"Ł37,878.59"
