UniqueRef,TRANSACTION DATE,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC64875,02-Jul-13,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,902.65,64875
MODGPC64876,02-Jul-13,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"2,996.40",64876
MODGPC64877,02-Jul-13,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"3,630.00",64877
MODGPC64878,01-Jul-13,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,807.07,64878
MODGPC64879,04-Jul-13,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,633.6,64879
MODGPC64880,09-Jul-13,"Office Stationery, Equipment and Su", OFFICE/PHOTO EQUIPMENT,"2,268.00",64880
MODGPC64881,03-Jul-13,"Office Stationery, Equipment and Su", OFFICE/PHOTO EQUIPMENT,"1,042.80",64881
MODGPC64882,08-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,672.84,64882
MODGPC64883,02-Jul-13,"Office Stationery, Equipment and Su", STATIONERY STORES,522.72,64883
MODGPC64884,03-Jul-13,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,750,64884
MODGPC64885,11-Jul-13,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,"5,000.00",64885
MODGPC64886,08-Jul-13,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,"3,000.00",64886
MODGPC64887,02-Jul-13,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,"2,000.00",64887
MODGPC64888,08-Jul-13,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,"1,030.00",64888
MODGPC64889,09-Jul-13,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,"5,000.00",64889
MODGPC64890,05-Jul-13,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,500,64890
MODGPC64891,08-Jul-13,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,700,64891
MODGPC64892,05-Jul-13,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,800,64892
MODGPC64893,05-Jul-13,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,720,64893
MODGPC64894,03-Jul-13,"Office Stationery, Equipment and Su", STATIONERY STORES,"2,007.29",64894
MODGPC64895,03-Jul-13,"Office Stationery, Equipment and Su", STATIONERY STORES,909.74,64895
MODGPC64896,05-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,569.28,64896
MODGPC64897,01-Jul-13,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,"1,201.16",64897
MODGPC64898,01-Jul-13,"Office Stationery, Equipment and Su", STATIONERY STORES,714,64898
MODGPC64899,11-Jul-13,"Office Stationery, Equipment and Su", OFFICE/PHOTO EQUIPMENT,"1,133.48",64899
MODGPC64900,01-Jul-13,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,507.54,64900
MODGPC64901,05-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"67,050.90",64901
MODGPC64902,05-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"54,859.71",64902
MODGPC64903,02-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"2,138.69",64903
MODGPC64904,10-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"16,017.86",64904
MODGPC64905,10-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"5,146.43",64905
MODGPC64906,08-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"1,444.14",64906
MODGPC64907,08-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"4,881.60",64907
MODGPC64908,08-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"4,271.40",64908
MODGPC64909,08-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"1,069.20",64909
MODGPC64910,02-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"1,675.80",64910
MODGPC64911,02-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"1,660.50",64911
MODGPC64912,02-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"7,464.49",64912
MODGPC64913,02-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"1,289.52",64913
MODGPC64914,03-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,784.63,64914
MODGPC64915,04-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"2,285.51",64915
MODGPC64916,02-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"1,577.88",64916
MODGPC64917,08-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"3,402.00",64917
MODGPC64918,08-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"2,377.20",64918
MODGPC64919,08-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"4,819.92",64919
MODGPC64920,08-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"1,628.93",64920
MODGPC64921,01-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"1,215.48",64921
MODGPC64922,09-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,695.65,64922
MODGPC64923,09-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"4,082.40",64923
MODGPC64924,09-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"1,700.64",64924
MODGPC64925,09-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,779.64,64925
MODGPC64926,09-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"13,159.37",64926
MODGPC64927,09-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"34,121.42",64927
MODGPC64928,09-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"10,336.80",64928
MODGPC64929,09-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,645.36,64929
MODGPC64930,05-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"3,957.12",64930
MODGPC64931,10-Jul-13,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,662.4,64931
MODGPC64932,09-Jul-13,"Office Stationery, Equipment and Su", STATIONERY STORES,715.06,64932
MODGPC64933,11-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,588.52,64933
MODGPC64934,03-Jul-13,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,702,64934
MODGPC64935,10-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,891,64935
MODGPC64936,02-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"7,488.00",64936
MODGPC64937,12-Jul-13,"Office Stationery, Equipment and Su", STATIONERY STORES,515.7,64937
MODGPC64938,09-Jul-13,"Office Stationery, Equipment and Su", STATIONERY STORES,"1,438.65",64938
MODGPC64939,11-Jul-13,"Office Stationery, Equipment and Su", STATIONERY STORES,"4,673.04",64939
MODGPC64940,09-Jul-13,"Office Stationery, Equipment and Su", STATIONERY STORES,"2,825.76",64940
MODGPC64941,01-Jul-13,"Office Stationery, Equipment and Su", STATIONERY STORES,556.85,64941
MODGPC64942,02-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,950.4,64942
MODGPC64943,04-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,653.64,64943
MODGPC64944,04-Jul-13,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,666.62,64944
MODGPC64945,02-Jul-13,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,992.51,64945
MODGPC64946,10-Jul-13,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,520.64,64946
MODGPC64947,03-Jul-13,"Office Stationery, Equipment and Su", STATIONERY STORES,603.55,64947
MODGPC64948,11-Jul-13,"Office Stationery, Equipment and Su", STATIONERY STORES,"1,899.40",64948
MODGPC64949,04-Jul-13,"Office Stationery, Equipment and Su", STATIONERY STORES,"3,542.75",64949
MODGPC64950,03-Jul-13,"Office Stationery, Equipment and Su", STATIONERY STORES,"2,212.57",64950
MODGPC64951,08-Jul-13,"Office Stationery, Equipment and Su", STATIONERY STORES,"2,229.00",64951
MODGPC64952,08-Jul-13,Personal Services                  , DETECTIVE/PROTECTIVE AGEN,"1,775.52",64952
MODGPC64953,01-Jul-13,Personal Services                  , DETECTIVE/PROTECTIVE AGEN,"1,110.00",64953
MODGPC64954,11-Jul-13,Print and Advertising              , COMMERCIAL PHOTO/ART/GRAPH,517.34,64954
MODGPC64955,11-Jul-13,Print and Advertising              , MISC PUBLISHING & PRINTING,"1,132.12",64955
MODGPC64956,03-Jul-13,Print and Advertising              , MISC PUBLISHING & PRINTING,"2,216.51",64956
MODGPC64957,11-Jul-13,Print and Advertising              , MISC PUBLISHING & PRINTING,"1,264.81",64957
MODGPC64958,02-Jul-13,Print and Advertising              , MISC PUBLISHING & PRINTING,"1,159.20",64958
MODGPC64959,03-Jul-13,Print and Advertising              , MISC PUBLISHING & PRINTING,"3,600.01",64959
MODGPC64960,09-Jul-13,Print and Advertising              , MISC PUBLISHING & PRINTING,"1,013.29",64960
MODGPC64961,08-Jul-13,Print and Advertising              , MISC PUBLISHING & PRINTING,"1,154.40",64961
MODGPC64962,04-Jul-13,Print and Advertising              , ADVERTISING SERVICES,"1,074.00",64962
MODGPC64963,08-Jul-13,Print and Advertising              , ADVERTISING SERVICES,"3,000.00",64963
MODGPC64964,09-Jul-13,Print and Advertising              , ADVERTISING SERVICES,"3,000.00",64964
MODGPC64965,02-Jul-13,Print and Advertising              , ADVERTISING SERVICES,"2,000.00",64965
MODGPC64966,02-Jul-13,Print and Advertising              , ADVERTISING SERVICES,"2,000.00",64966
MODGPC64967,05-Jul-13,Print and Advertising              , ADVERTISING SERVICES,"2,357.50",64967
MODGPC64968,04-Jul-13,Print and Advertising              , MISC PUBLISHING & PRINTING,630,64968
MODGPC64969,05-Jul-13,Print and Advertising              , ADVERTISING SERVICES,500,64969
MODGPC64970,05-Jul-13,Print and Advertising              , ADVERTISING SERVICES,500,64970
MODGPC64971,05-Jul-13,Print and Advertising              , ADVERTISING SERVICES,500,64971
MODGPC64972,05-Jul-13,Print and Advertising              , ADVERTISING SERVICES,500,64972
MODGPC64973,08-Jul-13,Print and Advertising              , PHOTOFINISH LABS/DEV,"3,300.00",64973
MODGPC64974,09-Jul-13,Print and Advertising              , PHOTOFINISH LABS/DEV,"3,300.00",64974
MODGPC64975,08-Jul-13,Print and Advertising              , MISC PUBLISHING & PRINTING,670.83,64975
MODGPC64976,02-Jul-13,Print and Advertising              , PHOTOFINISH LABS/DEV,"14,024.04",64976
MODGPC64977,09-Jul-13,Print and Advertising              , MISC PUBLISHING & PRINTING,734.4,64977
MODGPC64978,09-Jul-13,Print and Advertising              , MISC PUBLISHING & PRINTING,671.89,64978
MODGPC64979,01-Jul-13,Print and Advertising              , MISC PUBLISHING & PRINTING,"2,043.87",64979
MODGPC64980,11-Jul-13,Print and Advertising              , STENOGRAPHIC SERVICES,"2,345.70",64980
MODGPC64981,04-Jul-13,Print and Advertising              , STENOGRAPHIC SERVICES,648.84,64981
MODGPC64982,05-Jul-13,Print and Advertising              , STENOGRAPHIC SERVICES,847.81,64982
MODGPC64983,05-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,"1,716.00",64983
MODGPC64984,03-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,"1,399.96",64984
MODGPC64985,01-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,"1,544.00",64985
MODGPC64986,08-Jul-13,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,"1,476.00",64986
MODGPC64987,03-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,579,64987
MODGPC64988,04-Jul-13,Professional Services              , ACCOUNTANTS/AUDITORS/BOOKPR,879.84,64988
MODGPC64989,11-Jul-13,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,"11,640.00",64989
MODGPC64990,10-Jul-13,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,747,64990
MODGPC64991,10-Jul-13,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,977.4,64991
MODGPC64992,03-Jul-13,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,"3,387.60",64992
MODGPC64993,10-Jul-13,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,"2,894.40",64993
MODGPC64994,10-Jul-13,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,"1,343.52",64994
MODGPC64995,05-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,"1,489.10",64995
MODGPC64996,11-Jul-13,Professional Services              , LEGAL SERVICES ATTORNEYS,"1,530.00",64996
MODGPC64997,10-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"3,793.18",64997
MODGPC64998,01-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,"1,440.60",64998
MODGPC64999,05-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,"3,389.87",64999
MODGPC65000,08-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,"1,500.00",65000
MODGPC65001,09-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,"4,935.00",65001
MODGPC65002,08-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"1,020.83",65002
MODGPC65003,02-Jul-13,Professional Services              , LEGAL SERVICES ATTORNEYS,"2,290.80",65003
MODGPC65004,03-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"7,942.06",65004
MODGPC65005,03-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"4,064.16",65005
MODGPC65006,09-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"2,289.53",65006
MODGPC65007,09-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"1,697.40",65007
MODGPC65008,10-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"3,384.00",65008
MODGPC65009,10-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"3,384.00",65009
MODGPC65010,10-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"3,338.40",65010
MODGPC65011,02-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,"3,750.00",65011
MODGPC65012,09-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,584.34,65012
MODGPC65013,10-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,682,65013
MODGPC65014,10-Jul-13,Professional Services              , ESTATE AGENTS AND PROPERTY SERVICES,714,65014
MODGPC65015,11-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,799.2,65015
MODGPC65016,01-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,799.2,65016
MODGPC65017,05-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,"1,086.00",65017
MODGPC65018,01-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,"1,749.60",65018
MODGPC65019,02-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,842.4,65019
MODGPC65020,09-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,842.4,65020
MODGPC65021,09-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,842.4,65021
MODGPC65022,10-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,842.4,65022
MODGPC65023,03-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"2,935.76",65023
MODGPC65024,03-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"4,847.04",65024
MODGPC65025,01-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"3,522.00",65025
MODGPC65026,02-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,801,65026
MODGPC65027,05-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,966,65027
MODGPC65028,05-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,966,65028
MODGPC65029,04-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,690,65029
MODGPC65030,02-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,"1,223.85",65030
MODGPC65031,02-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,"1,223.85",65031
MODGPC65032,02-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,"1,223.85",65032
MODGPC65033,02-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,"1,223.85",65033
MODGPC65034,02-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,"1,223.85",65034
MODGPC65035,04-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,574,65035
MODGPC65036,04-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,"1,223.85",65036
MODGPC65037,02-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,810,65037
MODGPC65038,03-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,678,65038
MODGPC65039,03-Jul-13,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,"1,064.75",65039
MODGPC65040,01-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,641.72,65040
MODGPC65041,11-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"1,164.60",65041
MODGPC65042,01-Jul-13,Professional Services              , ESTATE AGENTS AND PROPERTY SERVICES,505.4,65042
MODGPC65043,01-Jul-13,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,"1,613.39",65043
MODGPC65044,01-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,675.02,65044
MODGPC65045,11-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"1,524.00",65045
MODGPC65046,01-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,737.7,65046
MODGPC65047,05-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,552.85,65047
MODGPC65048,03-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,612.78,65048
MODGPC65049,05-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,"1,272.00",65049
MODGPC65050,02-Jul-13,Professional Services              , PROFESSIONAL SERVICES - DEF,"5,400.00",65050
MODGPC65051,09-Jul-13,Professional Services              , MISC PERSONAL SERV - DEF,900,65051
MODGPC65052,01-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"1,317.24",65052
MODGPC65053,10-Jul-13,Professional Services              , ARCHITECTURAL/ENG/SURVEY,928.8,65053
MODGPC65054,03-Jul-13,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,"2,220.00",65054
MODGPC65055,05-Jul-13,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,"3,672.00",65055
MODGPC65056,01-Jul-13,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,"2,376.00",65056
MODGPC65057,10-Jul-13,"Hotel,Restaurants and Bars               ", RESTAURANTS,"1,146.00",65057
MODGPC65058,01-Jul-13,"Hotel,Restaurants and Bars               ", BARS/TAVERNS/LOUNGES/DISCOS,"2,625.00",65058
MODGPC65059,02-Jul-13,"Hotel,Restaurants and Bars               ", BARS/TAVERNS/LOUNGES/DISCOS,525,65059
MODGPC65060,03-Jul-13,"Hotel,Restaurants and Bars               ", BARS/TAVERNS/LOUNGES/DISCOS,"2,625.00",65060
MODGPC65061,04-Jul-13,"Hotel,Restaurants and Bars               ", BARS/TAVERNS/LOUNGES/DISCOS,"2,100.00",65061
MODGPC65062,05-Jul-13,"Hotel,Restaurants and Bars               ", BARS/TAVERNS/LOUNGES/DISCOS,"1,050.00",65062
MODGPC65063,07-Jul-13,"Hotel,Restaurants and Bars               ", BARS/TAVERNS/LOUNGES/DISCOS,"2,625.00",65063
MODGPC65064,08-Jul-13,"Hotel,Restaurants and Bars               ", BARS/TAVERNS/LOUNGES/DISCOS,"2,625.00",65064
MODGPC65065,09-Jul-13,"Hotel,Restaurants and Bars               ", BARS/TAVERNS/LOUNGES/DISCOS,525,65065
MODGPC65066,10-Jul-13,"Hotel,Restaurants and Bars               ", BARS/TAVERNS/LOUNGES/DISCOS,"2,625.00",65066
MODGPC65067,11-Jul-13,"Hotel,Restaurants and Bars               ", BARS/TAVERNS/LOUNGES/DISCOS,"2,100.00",65067
MODGPC65068,05-Jul-13,"Hotel,Restaurants and Bars               ", RESTAURANTS,"11,220.00",65068
MODGPC65069,11-Jul-13,"Hotel,Restaurants and Bars               ", RESTAURANTS,651,65069
MODGPC65070,06-Jul-13,"Hotel,Restaurants and Bars               ", RESTAURANTS,540,65070
MODGPC65071,10-Jul-13,"Hotel,Restaurants and Bars               ", BARS/TAVERNS/LOUNGES/DISCOS,556,65071
MODGPC65072,08-Jul-13,"Hotel,Restaurants and Bars               ", BARS/TAVERNS/LOUNGES/DISCOS,675,65072
MODGPC65073,08-Jul-13,"Hotel,Restaurants and Bars               ", RESTAURANTS,"7,000.00",65073
MODGPC65074,08-Jul-13,"Hotel,Restaurants and Bars               ", RESTAURANTS,"6,500.00",65074
MODGPC65075,09-Jul-13,Statutory Bodies                   , GOV'T SERV - DEFAULT,"1,598.00",65075
MODGPC65076,02-Jul-13,Statutory Bodies                   , GOV'T SERV - DEFAULT,"3,500.00",65076
MODGPC65077,04-Jul-13,Statutory Bodies                   , GOV'T SERV - DEFAULT,900,65077
MODGPC65078,02-Jul-13,Statutory Bodies                   , GOV'T SERV - DEFAULT,"1,558.13",65078
MODGPC65079,08-Jul-13,Statutory Bodies                   , GOV'T SERV - DEFAULT,739.2,65079
MODGPC65080,05-Jul-13,Statutory Bodies                   , GOV'T SERV - DEFAULT,"1,801.22",65080
MODGPC65081,05-Jul-13,Statutory Bodies                   , GOV'T SERV - DEFAULT,658,65081
MODGPC65082,10-Jul-13,Statutory Bodies                   , GOV'T SERV - DEFAULT,"1,552.80",65082
MODGPC65083,11-Jul-13,Statutory Bodies                   , GOV'T SERV - DEFAULT,"1,552.80",65083
MODGPC65084,10-Jul-13,Statutory Bodies                   , GOV'T SERV - DEFAULT,"1,552.80",65084
MODGPC65085,10-Jul-13,Statutory Bodies                   , GOV'T SERV - DEFAULT,"3,858.00",65085
MODGPC65086,11-Jul-13,Statutory Bodies                   , GOV'T SERV - DEFAULT,658.8,65086
MODGPC65087,10-Jul-13,Statutory Bodies                   , FINES,662.5,65087
MODGPC65088,04-Jul-13,Statutory Bodies                   , GOV'T SERV - DEFAULT,"1,000.00",65088
MODGPC65089,09-Jul-13,Statutory Bodies                   , GOV'T SERV - DEFAULT,"6,314.90",65089
MODGPC65090,03-Jul-13,Statutory Bodies                   , GOV'T SERV - DEFAULT,846,65090
MODGPC65091,09-Jul-13,Statutory Bodies                   , GOV'T SERV - DEFAULT,"3,552.00",65091
MODGPC65092,03-Jul-13,Statutory Bodies                   , GOV'T SERV - DEFAULT,"2,928.00",65092
MODGPC65093,01-Jul-13,Statutory Bodies                   , GOV'T SERV - DEFAULT,528,65093
MODGPC65094,10-Jul-13,Telecommunication Services         , TELECOMMUNICATION EQUIPMENT,719.88,65094
MODGPC65095,10-Jul-13,Telecommunication Services         , CABLE/PAY TV SERVICES,"3,360.00",65095
MODGPC65096,09-Jul-13,Telecommunication Services         , TELECOMMUNICATION EQUIPMENT,677.7,65096
MODGPC65097,09-Jul-13,Telecommunication Services         , TELECOMMUNICATION EQUIPMENT,812.82,65097
MODGPC65098,09-Jul-13,Telecommunication Services         , TELECOMMUNICATION EQUIPMENT,585.6,65098
MODGPC65099,01-Jul-13,Telecommunication Services         , TELECOMMUNICATION EQUIPMENT,"1,401.16",65099
MODGPC65100,08-Jul-13,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"2,370.00",65100
MODGPC65101,08-Jul-13,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"1,554.00",65101
MODGPC65102,01-Jul-13,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"72,731.29",65102
MODGPC65103,01-Jul-13,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"51,859.20",65103
MODGPC65104,04-Jul-13,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"1,194.00",65104
MODGPC65105,03-Jul-13,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,600,65105
MODGPC65106,09-Jul-13,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,995,65106
MODGPC65107,03-Jul-13,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"2,496.10",65107
MODGPC65108,09-Jul-13,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,925,65108
MODGPC65109,01-Jul-13,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"2,040.00",65109
MODGPC65110,01-Jul-13,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"2,015.00",65110
MODGPC65111,09-Jul-13,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,572,65111
MODGPC65112,02-Jul-13,Training and Educational           , TRADE/VOCATIONAL SCHOOLS,990,65112
MODGPC65113,03-Jul-13,Training and Educational           , BUSINESS/SECRETARIAL SCHOOL,536,65113
MODGPC65114,01-Jul-13,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"1,050.00",65114
MODGPC65115,05-Jul-13,Training and Educational           , BUSINESS/SECRETARIAL SCHOOL,"1,027.80",65115
MODGPC65116,10-Jul-13,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"4,000.00",65116
MODGPC65117,02-Jul-13,Training and Educational           , SCHOOLS - DEFAULT,960,65117
MODGPC65118,11-Jul-13,Training and Educational           , SCHOOLS - DEFAULT,840,65118
MODGPC65119,09-Jul-13,Training and Educational           , BUSINESS/SECRETARIAL SCHOOL,957,65119
MODGPC65120,11-Jul-13,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,780,65120
MODGPC65121,11-Jul-13,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"4,975.00",65121
MODGPC65122,08-Jul-13,Training and Educational           , SCHOOLS - DEFAULT,"2,243.59",65122
MODGPC65123,01-Jul-13,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"2,787.84",65123
MODGPC65124,02-Jul-13,Training and Educational           , BUSINESS/SECRETARIAL SCHOOL,"12,892.19",65124
MODGPC65125,02-Jul-13,Training and Educational           , BUSINESS/SECRETARIAL SCHOOL,"12,028.13",65125
MODGPC65126,11-Jul-13,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"4,361.74",65126
MODGPC65127,10-Jul-13,Training and Educational           , SCHOOLS - DEFAULT,804,65127
MODGPC65128,04-Jul-13,Training and Educational           , SCHOOLS - DEFAULT,705.6,65128
MODGPC65129,03-Jul-13,Training and Educational           , SCHOOLS - DEFAULT,627.6,65129
MODGPC65130,03-Jul-13,Training and Educational           , TRADE/VOCATIONAL SCHOOLS,"1,074.00",65130
MODGPC65131,03-Jul-13,Training and Educational           , SCHOOLS - DEFAULT,"1,504.00",65131
MODGPC65132,03-Jul-13,Training and Educational           , SCHOOLS - DEFAULT,658,65132
MODGPC65133,09-Jul-13,Training and Educational           , SCHOOLS - DEFAULT,"1,162.00",65133
MODGPC65134,08-Jul-13,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,839.7,65134
