UniqueRef,TRANSACTION DATE,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC64331,05-Jul-13,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"6,500.00",64331
MODGPC64332,05-Jul-13,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"2,810.00",64332
MODGPC64333,05-Jul-13,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"2,501.00",64333
MODGPC64334,05-Jul-13,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"6,500.00",64334
MODGPC64335,01-Jul-13,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"4,289.40",64335
MODGPC64336,03-Jul-13,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,455.37",64336
MODGPC64337,09-Jul-13,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"25,000.00",64337
MODGPC64338,01-Jul-13,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,920.4,64338
MODGPC64339,01-Jul-13,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,555.17,64339
MODGPC64340,02-Jul-13,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,644.21,64340
MODGPC64341,11-Jul-13,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"4,990.10",64341
MODGPC64342,08-Jul-13,Building Materials                 , CONSTRUCTION MATERIALS - DEF,"1,301.09",64342
MODGPC64343,11-Jul-13,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,515.22,64343
MODGPC64344,09-Jul-13,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,945.6,64344
MODGPC64345,10-Jul-13,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"1,170.84",64345
MODGPC64346,01-Jul-13,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,578.98,64346
MODGPC64347,04-Jul-13,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,533.63,64347
MODGPC64348,03-Jul-13,Building Services                  , ELECTRICAL CONTRACTORS,"1,494.00",64348
MODGPC64349,04-Jul-13,Building Services                  ," HEATING, PLUMBING, AIR COND",520.2,64349
MODGPC64350,09-Jul-13,Building Services                  , SPEC CONTRACTORS - DEFAULT,"1,036.80",64350
MODGPC64351,08-Jul-13,Building Services                  , SPEC CONTRACTORS - DEFAULT,838.52,64351
MODGPC64352,08-Jul-13,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,"3,512.12",64352
MODGPC64353,10-Jul-13,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,"4,615.82",64353
MODGPC64354,11-Jul-13,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,"1,818.46",64354
MODGPC64355,02-Jul-13,Building Services                  , ELECTRICAL CONTRACTORS,"4,148.58",64355
MODGPC64356,01-Jul-13,Building Services                  , SPEC CONTRACTORS - DEFAULT,"1,483.81",64356
MODGPC64357,01-Jul-13,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,"4,527.60",64357
MODGPC64358,02-Jul-13,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,"1,260.00",64358
MODGPC64359,04-Jul-13,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,572.03,64359
MODGPC64360,10-Jul-13,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,687.48,64360
MODGPC64361,03-Jul-13,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,539.64,64361
MODGPC64362,03-Jul-13,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,917.4,64362
MODGPC64363,05-Jul-13,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,719.52,64363
MODGPC64364,05-Jul-13,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,539.64,64364
MODGPC64365,05-Jul-13,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,"1,977.58",64365
MODGPC64366,09-Jul-13,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,"2,326.56",64366
MODGPC64367,10-Jul-13,Catering and Catering Supplies     , CATERERS,653.4,64367
MODGPC64368,10-Jul-13,Catering and Catering Supplies     , MISC FOOD STORES - DEFAULT,675.79,64368
MODGPC64369,02-Jul-13,Catering and Catering Supplies     , CATERERS,"2,880.84",64369
MODGPC64370,10-Jul-13,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"2,121.31",64370
MODGPC64371,11-Jul-13,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"4,341.07",64371
MODGPC64372,09-Jul-13,Cleaning Services and Supplies     , SPECIALTY CLEANING/POLISHING,"2,043.74",64372
MODGPC64373,05-Jul-13,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,673.7,64373
MODGPC64374,05-Jul-13,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"1,849.24",64374
MODGPC64375,08-Jul-13,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"1,841.62",64375
MODGPC64376,08-Jul-13,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"1,540.94",64376
MODGPC64377,10-Jul-13,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,621.76,64377
MODGPC64378,10-Jul-13,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,648.36,64378
MODGPC64379,05-Jul-13,Cleaning Services and Supplies     , LAUNDRY/CLEANING/GARMENT SV,656.4,64379
MODGPC64380,05-Jul-13,Cleaning Services and Supplies     , LAUNDRY/CLEANING/GARMENT SV,"1,828.80",64380
