Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,,
DEFRA,AHDB,06/07/2012,INVOICE,Audit Fees,National Audit Office,87562," £75,000.00 ",Final fee for external audit of financial statements,SW1W 9SP,National Audit Office,,,,,,
DEFRA,AHDB,02/07/2012,INVOICE,Rent,Arlington Business Parks Partnership,101106," £42,212.50 ",Rent for 4300 Nash Court Oxford,RG7 4SA,Arlington Business Parks Partnership,,,,,,
DEFRA,AHDB,02/07/2012,INVOICE,Rent,Jones Lang LaSalle,87433," £44,018.75 ",Rent Stoneleigh Park,E14 1HA,Jones Lang LaSalle,,,,,,
DEFRA,AHDB,02/07/2012,INVOICE,Agency advice re: relocation options for AHDb,Knight Frank,87405," £25,000.00 ",Agency advice for relocation options for AHDB,W1U 8AN,Knight Frank,,,,,,
DEFRA,AHDB,06/07/2012,INVOICE,Event management,Edinburgh International Conference Centre,104752," £51,954.70 ",Event Management for World Potato Congress,EH3 8EE,Edinburgh International Conference Centre,,,,,,
DEFRA,AHDB,13/07/2012,INVOICE,R&D,University of Nottingham,504187," £40,631.00 ",Dairy Research partnership - Cattle health,NG7 2RD,University of Nottingham,,,,,,
DEFRA,AHDB,23/07/2012,INVOICE,Advertising and Media,BMG,87726," £67,323.04 ",Simple Pleasures TV Production costs,WC2N 9AU,BMG,,,,,,
DEFRA,AHDB,06/07/2012,INVOICE,R&D,SAC,100816," £76,250.00 ",Genetic Evaluations,EH9 3JG,SAC,,,,,,
DEFRA,AHDB,06/07/2012,INVOICE,R&D,SAC,20430004," £108,125.00 ",Dairy Research,EH9 3JG,SAC,,,,,,
DEFRA,AHDB,06/07/2012,INVOICE,R&D,SAC,20430005," £32,190.00 ",Dairy Research,EH9 3JG,SAC,,,,,,
DEFRA,AHDB,06/07/2012,INVOICE,R&D,SAC,20430007," £34,720.00 ",Dairy Research,EH9 3JG,SAC,,,,,,
DEFRA,AHDB,10/07/2012,INVOICE,R&D,International Bull Evaluation Services,43137," £31,992.00 ",Dairy Cattle Genetics,SE-750 07 Uppsala,International Bull Evaluation Services,,,,,,
DEFRA,AHDB,30/07/2012,INVOICE,R&D,NIAB,23224," £40,344.13 ",Recommended List Research and Development,CB3 0LE,NIAB,,,,,,
