Department family(T),Entity,Pay date,Expense type,Expense area,Supplier,TransNo,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
DEFRA,Cefas,03/02/2012,VAT Settlement,Corporate,DEFRA RECEIPTS,20027623,969176.68,Quarterly VAT 2009/10 Quarter 2 & 3 2011/12 Quarter 1 & 2,Y01 7PX,Large,N/A,50000,Administration
DEFRA,Cefas,03/02/2012,Subscriptions,Corporate,EBSCO Information Services,20027615,35304.5,Scientific research publications,EN5 1NZ,Large,N/A,77002,Administration
DEFRA,Cefas,03/02/2012,Assets Under Construction,Monitoring and Programme Management,Planet Ocean Ltd,20026934,41934,Phosphate System,GU15 3DP,Small,N/A,RV001,Programme
DEFRA,Cefas,10/02/2012,Lab Services,Environment & Ecosystems,MARINE ECOLOGICAL SURVEYS LTD,20027795,58400,Sample processing,BA1 2NH,Large,N/A,C5426,Programme
DEFRA,Cefas,10/02/2012,Lab Services,Monitoring and Programme Management,NORTHERN LIGHTHOUSE BOARD,20027945,21398.08,Buoy maintenance 1/12/11-30/11/12,EH2 3DA,Large,N/A,C3212,Programme
DEFRA,Cefas,10/02/2012,Lab Services,Monitoring and Programme Management,TRINITY HOUSE,20027965,27526.51,Guard buoy hire 1/3/12-28/2/13,CO12 3JW,Large,N/A,C3212,Programme
DEFRA,Cefas,24/02/2012,Assets Under Construction,Aquatic Health & Hygiene,DEFRA RECEIPTS,20028261,24999.61,Recharge of Dec & Jan BCP's,Y01 7PX,Large,N/A,66113,Administration
DEFRA,Cefas,24/02/2012,Data Collection Services,Monitoring and Programme Management,S A WHELAN,20028626,40612.5,15 day charter of Marine Fisheries Vessel (MFV) Isadale,FY5 1QD,Small,N/A,C3300,Programme
DEFRA,Cefas,24/02/2012,Hardware (non capital),Corporate,Kelway UK Ltd,20028696,60772.75,Dell optiplex,EC4M 7QS,Large,N/A,74205,Administration
