Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier tab final,Contract Number,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,Contractor/Staff Substitution,DG: SCLGCP,CAPITA BUSINESS SERVICES LTD (CL1 ONLY),LO10006101,"£15,895.54",2 days per week work on Positive & Safe programme and Positive Behaviour Support aspects of Winterbourne View programme 01-04-14 to 31-03-2015,,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,Contractor/Staff Substitution,DG: SCLGCP,CAPITA BUSINESS SERVICES LTD (CL1 ONLY),LO10006101,£0.21,,,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,01/08/2014,Telephone costs,DG: GOAD,CABLE AND WIRELESS COMMUNICATION (VODAFONE),UK10/072014/1762,"£42,850.98",Telephony - voice & data line rental & usage costs,RG12 1RW,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,02/08/2014,Expense clearing GPC (ST),DG: Holding CT Core,BARCLAYCARD BUSINESS,4542001-06-AUG-14,£25.72,,TS17 6YG,,Other,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Expense clearing GPC (ST),DG: Holding CT Core,BARCLAYCARD BUSINESS,4542001-06-AUG-14,"£1,939.08",,TS17 6YG,,Other,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Outsourcing Contract,DG: SCLGCP,INSTITUTE FOR PUBLIC POLICY RESEARCH,60,"£96,000.00",Think Ahead Programme Director Costs,WC2N 6DF,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Outsourcing Contract,DG: SCLGCP,INSTITUTE FOR PUBLIC POLICY RESEARCH,60,"£66,900.00",Think Ahead Programme Resource costs,WC2N 6DF,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Travel & subsistence non staff,DG: SCLGCP,INSTITUTE FOR PUBLIC POLICY RESEARCH,60,"£2,400.00",Think Ahead Programme Director expenses,WC2N 6DF,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Service charge,DG: IGT,Appsbroker Consulting Limited,7122404,"£83,160.00",Revenue:  Choices Appsbroker - Google Maps 1 year license,SN1 3EB,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Storage costs,DG: IGT,KENT PHARMACEUTICALS LTD,9000070546,-£0.01,,TN23 6LL,,Programme,Private,,,,,,,,,,,,,,,,
