Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier tab final,Contract Number,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,HARROW LONDON BOROUGH COUNCIL,ERS-524679-92365,"£300,159.00",Local Reform & Community Voices and Care Bill Implementation grants,HA1 2UL,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,HARTLEPOOL BOROUGH COUNCIL,ERS-524680-92366,"£215,507.00",Local Reform & Community Voices and Care Bill Implementation grants,TS24 8AY,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,HAVERING LONDON BOROUGH COUNCIL,ERS-524681-92367,"£306,635.00",Local Reform & Community Voices and Care Bill Implementation grants,RM1 3BB,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,HEREFORDSHIRE COUNCIL,ERS-524682-92368,"£284,046.00",Local Reform & Community Voices and Care Bill Implementation grants,HR1 2XW,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41856,Revenue Grants to local authorities,DG: SCLGCP,HERTFORDSHIRE COUNTY COUNCIL,ERS-524683-92369,871708,Local Reform & Community Voices and Care Bill Implementation grants,SG13 8DF,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,HILLINGDON LONDON BOROUGH COUNCIL,ERS-524685-92370,"£313,032.00",Local Reform & Community Voices and Care Bill Implementation grants,UB8 1UW,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,HOUNSLOW LONDON BOROUGH COUNCIL,ERS-524686-92371,"£305,489.00",Local Reform & Community Voices and Care Bill Implementation grants,TW3 4DN,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,ISLE OF WIGHT COUNCIL,ERS-524687-92401,"£263,420.00",Local Reform & Community Voices and Care Bill Implementation grants,ISLE OF WIGHT,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,ISLES OF SCILLY COUNCIL OF THE,ERS-524689-92400,"£136,586.00",Local Reform & Community Voices and Care Bill Implementation grants,TR21 0LW,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,ISLINGTON LONDON BOROUGH COUNCIL,ERS-524690-92373,"£357,242.00",Local Reform & Community Voices and Care Bill Implementation grants,EC1V 7LQ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,KENSINGTON AND CHELSEA COUNCIL ROYAL BOROUGH OF,ERS-524691-92374,"£281,553.00",Local Reform & Community Voices and Care Bill Implementation grants,W8 7NX,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,KENT COUNTY COUNCIL,ERS-524693-92375,"£1,238,346.00",Local Reform & Community Voices and Care Bill Implementation grants,ME14 1XQ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,KINGSTON UPON HULL CITY COUNCIL,ERS-524694-92372,"£387,414.00",Local Reform & Community Voices and Care Bill Implementation grants,HU1 2AB,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,KINGSTON UPON THAMES COUNCIL ROYAL BOROUGH OF,ERS-524695-92399,"£228,520.00",Local Reform & Community Voices and Care Bill Implementation grants,KT1 1EU,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,KIRKLEES METROPOLITAN COUNCIL,ERS-524696-92376,"£460,909.00",Local Reform & Community Voices and Care Bill Implementation grants,HD2 1JP,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,KNOWSLEY METROPOLITAN BOROUGH COUNCIL,ERS-524697-92377,"£301,464.00",Local Reform & Community Voices and Care Bill Implementation grants,L36 9YZ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41856,Revenue Grants to local authorities,DG: SCLGCP,LAMBETH LONDON BOROUGH COUNCIL,ERS-524698-92378,397522,Local Reform & Community Voices and Care Bill Implementation grants,SW2 1RW,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,LANCASHIRE COUNTY COUNCIL,ERS-524699-92379,"£1,121,623.00",Local Reform & Community Voices and Care Bill Implementation grants,PR1 0LD,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,LEEDS CITY COUNCIL,ERS-524700-92380,"£722,944.00",Local Reform & Community Voices and Care Bill Implementation grants,LS2 8JR,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,LEICESTER CITY COUNCIL,ERS-524701-92381,"£409,230.00",Local Reform & Community Voices and Care Bill Implementation grants,LE1 6ZG,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,LEICESTERSHIRE COUNTY COUNCIL,ERS-524702-92382,"£561,033.00",Local Reform & Community Voices and Care Bill Implementation grants,LE3 8RA,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,LEWISHAM LONDON BOROUGH COUNCIL,ERS-524703-92383,"£372,051.00",Local Reform & Community Voices and Care Bill Implementation grants,SE6 4RU,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,LINCOLNSHIRE COUNTY COUNCIL,ERS-524704-92384,"£733,279.00",Local Reform & Community Voices and Care Bill Implementation grants,LN1 1YL,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,LIVERPOOL CITY COUNCIL,ERS-524705-92385,"£659,077.00",Local Reform & Community Voices and Care Bill Implementation grants,L69 2DQ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,LUTON BOROUGH COUNCIL,ERS-524706-92386,"£267,343.00",Local Reform & Community Voices and Care Bill Implementation grants,LU1 2BQ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,MANCHESTER CITY COUNCIL,ERS-524707-92387,"£606,510.00",Local Reform & Community Voices and Care Bill Implementation grants,M60 2JR,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,MEDWAY COUNCIL,ERS-524708-92388,"£305,223.00",Local Reform & Community Voices and Care Bill Implementation grants,ME2 4AU,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,MERTON BOROUGH COUNCIL,ERS-524709-92389,"£260,078.00",Local Reform & Community Voices and Care Bill Implementation grants,SM4 5DX,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41856,Revenue Grants to local authorities,DG: SCLGCP,MIDDLESBROUGH COUNCIL,ERS-524710-92390,261890,Local Reform & Community Voices and Care Bill Implementation grants,TS1 2YL,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,MILTON KEYNES COUNCIL,ERS-524711-92391,"£289,006.00",Local Reform & Community Voices and Care Bill Implementation grants,MK9 3HS,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,NEWCASTLE UPON TYNE CITY COUNCIL,ERS-524712-92393,"£396,062.00",Local Reform & Community Voices and Care Bill Implementation grants,NE1 8PP,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,NEWHAM LONDON BOROUGH COUNCIL,ERS-524713-92394,"£390,207.00",Local Reform & Community Voices and Care Bill Implementation grants,E6 2RP,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,NORFOLK COUNTY COUNCIL,ERS-524714-92395,"£879,702.00",Local Reform & Community Voices and Care Bill Implementation grants,NR1 2DL,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,NORTH EAST LINCOLNSHIRE COUNCIL,ERS-524717-92392,"£265,822.00",Local Reform & Community Voices and Care Bill Implementation grants,DN35 8LN,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,NORTH LINCOLNSHIRE COUNCIL,ERS-524718-92396,"£262,428.00",Local Reform & Community Voices and Care Bill Implementation grants,DN16 1AB,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Revenue Grants to local authorities,DG: SCLGCP,NORTH SOMERSET COUNCIL,ERS-524719-92397,"£291,871.00",Local Reform & Community Voices and Care Bill Implementation grants,BS23 1LL,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Outsourcing Contract,DG: SCLGCP,FAMILY LIVES,FL0516,"£83,828.00",CANParent Marketing Development Funding - Family Lives 2014 to 2015,N1 6AH,,Admin,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Service charge,DG: IGT,INTECHNOLOGY LTD,ISIN10032,"£48,553.12",SU Spine - revenue. In Tech: replatforming oracle,HG3 1UG,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Service charge,DG: IGT,INTECHNOLOGY LTD,ISIN10033,"£50,066.18",SU Spine - revenue. In Tech: replatforming oracle,HG3 1UG,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,05/08/2014,Service charge,DG: IGT,INTECHNOLOGY LTD,ISIN10034,"£30,167.83",SU Spine - revenue. In Tech: replatforming oracle,HG3 1UG,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41856,Addition Clearing - F&F,DG: GOAD,FLEXIFORM BUSINESS FURNITURE LTD,M54266,51518.4,Wellington House - Ground Floor Furniture,BD3 7AE,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Rates,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5027068,"£102,958.45","Quarry House Leeds - Accomm. Business Rates April 2014 - March 2015 @£120,730.53 mthly.",FY5 3TA,,Admin,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Rent of Land & Buildings (non-PFI operating lease),DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5027068,"£576,620.14","Quarry House Leeds - Accomm. FUP Rent Charge April 2014 - March 2015 @£589,937.40 mthly.",FY5 3TA,,Admin,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Utilities,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),5027068,"£3,371.51","Quarry House Leeds - Utilities (Gas/Electricity) April 2014 - March 2015 @£46,667 mthly.",FY5 3TA,,Admin,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584164088,"£92,234.89",IMS3 - Telephony - Managed Agency Service (MAS) - payment to 3rd party telephony suppliers,NW1 3HG,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Outsourcing Contract,DG: SFNHS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6285435,"£203,917.00",2014-15 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Printing,DG: GOAD,XEROX BUSINESS SERVICES,900122625,"£23,029.98","Reprographics - Management Fees @ £24,491.38 mthly FY2014-15",UB8 1HS,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Contractor/Staff Substitution,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90169357,"£42,680.40",business support,GU21 6QX,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9045000011,"£637,783.81",NHS Supply Chain - SFVS Distributor funding 2014/15 - To cover 1st quarter invoices,DE55 4QJ,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9045000012,"£2,096,631.39",NHS Supply Chain - SFVS Distributor funding 2014/15 - To cover 1st quarter invoices,DE55 4QJ,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9045000013,"£449,570.73",NHS Supply Chain - SFVS Distributor funding 2014/15 - To cover 1st quarter invoices,DE55 4QJ,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Policy Payments,DG: PHD,NHS BLOOD AND TRANSPLANT (NHSBT),950461,"£208,575.00",CEA AWARDS 2013,LS15 7TW,,Admin,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41857,Revenue Grants to non-profit institutions,DG: SCLGCP,LIFELINE COMMUNITY PROJECTS,ERS-524726-92301,38333.33,SPP004 - Lifeline (Faith Action) - SPP 2014-15 July Payment,RM8 3QS,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE FIT FOR WORK TEAM,ERS-524745-92441,"£45,333.33",SPP001 - The Fit for Work Team - SPP 2014-15 July Payment,LE1 5SN,,Other,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,BARKING AND DAGENHAM LONDON BOROUGH COUNCIL,ERS-524767-92461,"£500,913.00",Capital Investment In Community Capacity Grant 2014/2015,RM10 7BY,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,BARNET LONDON BOROUGH COUNCIL,ERS-524768-92462,"£794,104.00",Capital Investment In Community Capacity Grant 2014/2015,NW4 4BG,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,BARNSLEY METROPOLITAN BOROUGH COUNCIL,ERS-524769-92463,"£679,397.00",Capital Investment In Community Capacity Grant 2014/2015,S70 2TJ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,BATH AND NORTH EAST SOMERSET COUNCIL,ERS-524770-92464,"£400,348.00",Capital Investment In Community Capacity Grant 2014/2015,BA1 5AW,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,BEDFORD BOROUGH COUNCIL,ERS-524771-92465,"£340,583.00",Capital Investment In Community Capacity Grant 2014/2015,MK40 1SH,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,BEXLEY LONDON BOROUGH COUNCIL,ERS-524772-92466,"£509,314.00",Capital Investment In Community Capacity Grant 2014/2015,DA8 1TL,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,BIRMINGHAM CITY COUNCIL,ERS-524773-92467,"£3,072,369.00",Capital Investment In Community Capacity Grant 2014/2015,B3 3AB,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,BLACKBURN WITH DARWEN BOROUGH COUNCIL,ERS-524774-92469,"£419,365.00",Capital Investment In Community Capacity Grant 2014/2015,BB1 7DY,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,BLACKPOOL BOROUGH COUNCIL,ERS-524775-92468,"£495,769.00",Capital Investment In Community Capacity Grant 2014/2015,FY1 1NF,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,BOLTON METROPOLITAN BOROUGH COUNCIL,ERS-524776-92470,"£762,622.00",Capital Investment In Community Capacity Grant 2014/2015,BL1 1RX,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41857,Capital Grants to local authorities,DG: SCLGCP,BOURNEMOUTH COUNCIL,ERS-524777-92471,484923,Capital Investment In Community Capacity Grant 2014/2015,BH2 6DY,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,BRACKNELL FOREST BOROUGH COUNCIL,ERS-524778-92472,"£198,506.00",Capital Investment In Community Capacity Grant 2014/2015,RG12 1AQ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,BRADFORD CITY COUNCIL,ERS-524779-92473,"£1,260,268.00",Capital Investment In Community Capacity Grant 2014/2015,BD1 1HX,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,BRENT LONDON BOROUGH COUNCIL,ERS-524781-92611,"£736,801.00",Capital Investment In Community Capacity Grant 2014/2015,HA9 8AD,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,BRIGHTON AND HOVE CITY COUNCIL,ERS-524782-92474,"£674,053.00",Capital Investment In Community Capacity Grant 2014/2015,BN3 2SR,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,BRISTOL CITY COUNCIL,ERS-524783-92475,"£1,112,778.00",Capital Investment In Community Capacity Grant 2014/2015,BS1 5SP,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,BROMLEY LONDON BOROUGH COUNCIL,ERS-524784-92476,"£653,094.00",Capital Investment In Community Capacity Grant 2014/2015,BR1 3UH,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,BUCKINGHAMSHIRE COUNTY COUNCIL,ERS-524785-92477,"£916,899.00",Capital Investment In Community Capacity Grant 2014/2015,HP20 1UA,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,BURY METROPOLITAN BOROUGH COUNCIL,ERS-524786-92478,"£448,054.00",Capital Investment In Community Capacity Grant 2014/2015,BL9 0SP,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,CALDERDALE METROPOLITAN BOROUGH COUNCIL,ERS-524787-92479,"£505,058.00",Capital Investment In Community Capacity Grant 2014/2015,HX1 1TP,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,CAMBRIDGESHIRE COUNTY COUNCIL,ERS-524788-92480,"£1,274,997.00",Capital Investment In Community Capacity Grant 2014/2015,CB3 0AP,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,CAMDEN LONDON BOROUGH COUNCIL,ERS-524789-92481,"£705,380.00",Capital Investment In Community Capacity Grant 2014/2015,WC1H 8NG,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41857,Capital Grants to local authorities,DG: SCLGCP,CENTRAL BEDFORDSHIRE UNITARY AUTHORITY,ERS-524790-92609,475080,Capital Investment In Community Capacity Grant 2014/2015,SG17 5TQ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,CHESHIRE EAST UNITARY AUTHORITY,ERS-524791-92607,"£795,832.00",Capital Investment In Community Capacity Grant 2014/2015,CW10 OHU,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,CHESHIRE WEST AND CHESTER COUNCIL,ERS-524792-92608,"£804,929.00",Capital Investment In Community Capacity Grant 2014/2015,CH34 9DB,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,CITY OF LONDON CORPORATION,ERS-524793-92483,"£26,767.00",Capital Investment In Community Capacity Grant 2014/2015,EC2P 2EJ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,CORNWALL COUNTY COUNCIL,ERS-524794-92482,"£1,532,474.00",Capital Investment In Community Capacity Grant 2014/2015,TR1 3AY,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,COVENTRY CITY COUNCIL,ERS-524795-92484,"£850,925.00",Capital Investment In Community Capacity Grant 2014/2015,CV1 5RR,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,CROYDON LONDON BOROUGH COUNCIL,ERS-524796-92485,"£768,786.00",Capital Investment In Community Capacity Grant 2014/2015,CR9 1BQ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,CUMBRIA COUNTY COUNCIL,ERS-524798-92486,"£1,375,483.00",Capital Investment In Community Capacity Grant 2014/2015,CA3 8NA,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,DARLINGTON BOROUGH COUNCIL,ERS-524800-92487,"£274,947.00",Capital Investment In Community Capacity Grant 2014/2015,DL1 5QT,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,DERBY CITY COUNCIL,ERS-524801-92488,"£630,115.00",Capital Investment In Community Capacity Grant 2014/2015,DE1 2FS,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,DERBYSHIRE COUNTY COUNCIL,ERS-524802-92489,"£1,989,970.00",Capital Investment In Community Capacity Grant 2014/2015,DE4 3AG,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,DEVON COUNTY COUNCIL,ERS-524803-92490,"£1,961,567.00",Capital Investment In Community Capacity Grant 2014/2015,EX2 4QJ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41857,Capital Grants to local authorities,DG: SCLGCP,DONCASTER METROPOLITAN BOROUGH COUNCIL,ERS-524804-92491,828333,Capital Investment In Community Capacity Grant 2014/2015,DN1 1GG,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,DORSET COUNTY COUNCIL,ERS-524805-92492,"£1,061,660.00",Capital Investment In Community Capacity Grant 2014/2015,DT1 1XJ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,DUDLEY METROPOLITAN BOROUGH COUNCIL,ERS-524806-92493,"£856,718.00",Capital Investment In Community Capacity Grant 2014/2015,DY1 1HG,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,DURHAM COUNTY COUNCIL,ERS-524807-92494,"£1,548,379.00",Capital Investment In Community Capacity Grant 2014/2015,DH1 5UL,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,EAST RIDING OF YORKSHIRE COUNCIL,ERS-524808-92555,"£793,270.00",Capital Investment In Community Capacity Grant 2014/2015,HU17 9BA,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,EAST SUSSEX COUNTY COUNCIL,ERS-524809-92495,"£1,418,510.00",Capital Investment In Community Capacity Grant 2014/2015,BN21 3UU,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,ENFIELD LONDON BOROUGH COUNCIL,ERS-524810-92496,"£712,442.00",Capital Investment In Community Capacity Grant 2014/2015,EN1 3XL,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,ESSEX COUNTY COUNCIL,ERS-524811-92497,"£3,247,484.00",Capital Investment In Community Capacity Grant 2014/2015,CM1 1JZ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,GATESHEAD COUNCIL,ERS-524812-92610,"£621,729.00",Capital Investment In Community Capacity Grant 2014/2015,NE8 1HH,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,GLOUCESTERSHIRE COUNTY COUNCIL,ERS-524813-92498,"£1,387,970.00",Capital Investment In Community Capacity Grant 2014/2015,GL1 2TG,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,GREENWICH LONDON BOROUGH COUNCIL,ERS-524814-92499,"£729,801.00",Capital Investment In Community Capacity Grant 2014/2015,SE18 6PW,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,HACKNEY LONDON BOROUGH COUNCIL,ERS-524815-92500,"£770,796.00",Capital Investment In Community Capacity Grant 2014/2015,E8 4RU,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41857,Capital Grants to local authorities,DG: SCLGCP,HALTON BOROUGH COUNCIL,ERS-524816-92501,350633,Capital Investment In Community Capacity Grant 2014/2015,WA8 6NB,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,06/08/2014,Capital Grants to local authorities,DG: SCLGCP,HAMMERSMITH AND FULHAM LONDON BOROUGH COUNCIL,ERS-524817-92502,"£503,832.00",Capital Investment In Community Capacity Grant 2014/2015,W6 9JT,,Programme,Public,,,,,,,,,,,,,,,,
