2011 CMIR 7e - TRANSPARENCY REPORT,,,,,,,
Month: December 2010,,,,,,,

Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number (Invoice Ref),Amount
Dept. for Education,QCDA(E),07/12/2010,Logistics,Corporate Support,The Stationery Office,QBACS/00000496,41976.88
