Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description
FCO,FCO,14/08/2015,"5,159,936","81,583.89",ISS FACILITY SERVICES LTD FCO OP,"Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Repair and maintenance of furniture and fittings, Residential Property Services, Unscheduled repairs to building infrastructure"
FCO,FCO,26/08/2015,"5,169,648","81,424.07",ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Fuel Oil Non-Residential, Gas Non-Residential, Gas Residential, Rental Payments - residential, Telephone Call Charges, Waste Disposal, Water Non-Residential, Water Residential"
FCO,FCO,19/08/2015,"5,163,960","80,093.95",FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,27/08/2015,"5,170,895","79,529.14",AKON SERVICE I STOCKHOLM AB,Construction Project more than £10k
FCO,FCO,26/08/2015,"5,169,650","79,390.10",ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Residential, Property Maintenance Overseas Non Residential, Property Maintenance Overseas Residential, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Water Residential"
FCO,FCO,11/08/2015,"5,153,103","75,250.71",KELLOGG BROWN AND ROOT,UK Guarding Contracts Overseas
FCO,FCO,14/08/2015,"5,159,606","74,925.48",ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Fuel Oil Non-Residential, Gas Non-Residential, Gas Residential, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,12/08/2015,"5,154,566","73,902",FCO SERVICES,IT/IS Consultancy
FCO,FCO,25/08/2015,"5,168,221","70,405.36",HOTELLINE ,"Meals, Rental Payments - residential"
FCO,FCO,14/08/2015,"5,159,632","70,066.68",ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,07/08/2015,"5,148,849","67,926.28",PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
FCO,FCO,21/08/2015,"5,165,571","67,619",GUANGZHOU MEILUN AUTOMOBILE CO LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,06/08/2015,"5,147,444","67,209.89",LANGUAGE SERVICES DIRECT,Language Tuition: Essential
FCO,FCO,26/08/2015,"5,169,457","67,194.22",HOTELLINE ,"Meals, Rental Payments - residential"
FCO,FCO,05/08/2015,"5,145,649","65,108.93",PICKFORDS MOVE MANAGEMENT LTD,"Heavy Baggage, Personal Car Freight, Unaccompanied Air Freight"
FCO,FCO,26/08/2015,"5,169,639","64,566.92",ISS FACILITY SERVICES LTD FCO OP - POE,"Electricity Non-Residential, Electricity Residential, Gas Residential, Property Maintenance Overseas Non Residential, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Water Non-Residential, Water Residential"
FCO,FCO,17/08/2015,"5,161,125","64,300",GILBERT ASH LIMITED,Unscheduled repairs to building infrastructure
FCO,FCO,12/08/2015,"5,155,805","64,142.48",G4S SECURE SOLUTIONS SA,Consular Crisis Expenditure
FCO,FCO,26/08/2015,"5,169,631","62,248.29",INTERSERVE FM LTD,Energy Saving Measures
FCO,FCO,05/08/2015,"5,145,818","62,217.80",INTER MEDIATE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,14/08/2015,"5,159,920","61,816.15",ISS FACILITY SERVICES LTD FCO OP,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Mail & Porterage Services, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Repair and maintenance of furniture and fittings, Residential Property Services, Unscheduled repairs to building infrastructure"
