Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NHS INSTITUTE FOR INNOVATION AND IMPROVEMENT,PUBLIC,CV4 7AL,HAFS-13852,"3,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORFOLK PCT,PUBLIC,NR1 3FR,HAFS-13853,"89,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH EAST ESSEX PCT,PUBLIC,CO15 4AB,HAFS-13854,"39,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS,PUBLIC,DN33 2BA,HAFS-13855,"17,700,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH EAST SHA,PUBLIC,NE15 8NY,HAFS-13856,"22,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH LANCASHIRE PCT,PUBLIC,PR4 3AL,HAFS-13857,"38,769,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH LINCOLNSHIRE PCT,PUBLIC,DN20 8GS,HAFS-13858,"21,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH SOMERSET PCT,PUBLIC,BS2 8EE,HAFS-13859,"23,900,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH STAFFORDSHIRE PCT,PUBLIC,ST4 4LX,HAFS-13860,"23,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH TYNESIDE PCT,PUBLIC,NE27 0QJ,HAFS-13861,"26,900,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH WEST SHA,PUBLIC,M1 3BN,HAFS-13862,"76,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH YORKSHIRE & YORK PCT,PUBLIC,YO17 6QR,HAFS-13863,"92,100,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTHAMPTONSHIRE PCT,PUBLIC,NN5 6UH,HAFS-13864,"71,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTHUMBERLAND CARE TRUST,PUBLIC,NE27 0QJ,HAFS-13865,"42,700,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NOTTINGHAM CITY PCT,PUBLIC,WF3 1WE,HAFS-13866,"41,500,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NOTTINGHAMSHIRE COUNTY TEACHING PCT,PUBLIC,NG5 7EU,HAFS-13867,"74,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,OLDHAM PCT,PUBLIC,OL9 6EE,HAFS-13868,"36,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,OXFORDSHIRE PCT,PUBLIC,OX4 4XN,HAFS-13869,"80,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,PETERBOROUGH PCT,PUBLIC,PE1 1FA,HAFS-13870,"19,500,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,PLYMOUTH TEACHING PCT,PUBLIC,PL6 5XZ,HAFS-13871,"36,500,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,PORTSMOUTH CITY TEACHING PCT,PUBLIC,PO4 8LD,HAFS-13872,"21,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,REDBRIDGE PCT,PUBLIC,WF3 1WE,HAFS-13873,"30,500,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,REDCAR AND CLEVELAND PCT,PUBLIC,TS14 7AA,HAFS-13874,"21,400,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,RICHMOND AND TWICKENHAM PCT,PUBLIC,KT5 9AL,HAFS-13875,"20,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,ROTHERHAM PCT,PUBLIC,S66 1YY,HAFS-13876,"32,500,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SALFORD PCT,PUBLIC,M6 5FW,HAFS-13877,"37,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SANDWELL PCT,PUBLIC,B70 9LD,HAFS-13878,"43,200,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SEFTON PCT,PUBLIC,L13 1HN,HAFS-13879,"39,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SHEFFIELD PCT,PUBLIC,S10 3TG,HAFS-13880,"76,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SHROPSHIRE COUNTY PCT,PUBLIC,SY3 8XL,HAFS-13881,"30,006,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOLIHULL PCT,PUBLIC,B91 3EF,HAFS-13882,"25,500,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOMERSET PCT,PUBLIC,WF3 1WE,HAFS-13883,"64,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH BIRMINGHAM PCT,PUBLIC,B7 4WS,HAFS-13884,"44,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH CENTRAL SHA,PUBLIC,WF3 1WE,HAFS-13885,"25,500,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH EAST COAST SHA,PUBLIC,RH6 7DE,HAFS-13886,"27,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH EAST ESSEX PCT,PUBLIC,SS2 6HE,HAFS-13887,"28,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH GLOUCESTERSHIRE PCT,PUBLIC,BS1 2NP,HAFS-13888,"29,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH STAFFORDSHIRE PCT,PUBLIC,WS15 1UL,HAFS-13889,"75,200,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH TYNESIDE PCT,PUBLIC,NE33 3DP,HAFS-13890,"22,400,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH WEST ESSEX PCT,PUBLIC,SS14 3HG,HAFS-13891,"43,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH WEST SHA,PUBLIC,WF3 1WE,HAFS-13892,"29,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTHAMPTON CITY PCT,PUBLIC,SO30 3JB,HAFS-13893,"30,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTHWARK PCT,PUBLIC,SE1 7NT,HAFS-13894,"38,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,STOCKPORT PCT,PUBLIC,SK7 5BY,HAFS-13895,"32,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,STOCKTON-ON-TEES TEACHING PCT,PUBLIC,TS17 6SF,HAFS-13896,"28,700,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,STOKE ON TRENT PCT,PUBLIC,ST4 4LX,HAFS-13897,"36,312,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SUFFOLK PCT,PUBLIC,IP3 8LS,HAFS-13898,"84,500,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SUNDERLAND TEACHING PCT,PUBLIC,NE37 1PR,HAFS-13899,"40,300,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SURREY PCT,PUBLIC,KT16 0QA,HAFS-13900,"122,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SUTTON AND MERTON PCT,PUBLIC,WF3 1WE,HAFS-13901,"45,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SWINDON PCT,PUBLIC,SN10 5EQ,HAFS-13902,"20,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TAMESIDE AND GLOSSOP PCT,PUBLIC,M34 2GP,HAFS-13903,"31,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TELFORD & WREKIN PCT,PUBLIC,SY3 8XL,HAFS-13904,"18,263,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TORBAY PCT,PUBLIC,TQ9 6JE,HAFS-13905,"20,750,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TOWER HAMLETS PCT,PUBLIC,E1 1RD,HAFS-13906,"47,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TRAFFORD PCT,PUBLIC,M16 0PQ,HAFS-13907,"27,500,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WAKEFIELD DISTRICT PCT,PUBLIC,WF3 1WE,HAFS-13908,"49,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WALSALL TEACHING PCT,PUBLIC,WS4 2BX,HAFS-13909,"34,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WALTHAM FOREST PCT,PUBLIC,WF3 1WE,HAFS-13910,"33,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WANDSWORTH TEACHING PCT,PUBLIC,WF3 1WE,HAFS-13911,"43,500,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WARRINGTON PCT,PUBLIC,WF3 1WE,HAFS-13912,"23,200,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WARWICKSHIRE PCT,PUBLIC,CV34 4DE,HAFS-13913,"62,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WEST ESSEX PCT,PUBLIC,CM16 6TN,HAFS-13914,"32,200,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WEST KENT PCT,PUBLIC,ME20 7NJ,HAFS-13915,"81,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WEST MIDLANDS SHA,PUBLIC,B16 9RG,HAFS-13916,"16,500,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WEST SUSSEX PCT,PUBLIC,WF3 1WE,HAFS-13917,"97,500,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WESTERN CHESHIRE PCT,PUBLIC,CH2 1HU,HAFS-13918,"31,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WESTMINSTER PCT,PUBLIC,BS1 2NP,HAFS-13919,"44,500,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WILTSHIRE PCT,PUBLIC,SN10 5EQ,HAFS-13920,"52,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WIRRAL PCT,PUBLIC,CH42 0LQ,HAFS-13921,"52,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WOLVERHAMPTON CITY PCT,PUBLIC,WV3 0UD,HAFS-13922,"34,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WORCESTERSHIRE PCT,PUBLIC,WR4 9RW,HAFS-13923,"59,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,YORKSHIRE & THE HUMBER SHA,PUBLIC,LS1 4PL,HAFS-13924,"40,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,"ASHTON, LEIGH & WIGAN PCT",PUBLIC,WN1 1AH,HAFS-13925,"39,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BARKING AND DAGENHAM PCT,PUBLIC,IG11 8EY,HAFS-13926,"30,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BARNET PCT,PUBLIC,NW9 6QQ,HAFS-13927,"42,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BARNSLEY PCT,PUBLIC,S70 3RD,HAFS-13928,"35,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BASSETLAW PCT,PUBLIC,NG21 0ER,HAFS-13929,"14,500,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BATH & NORTH EAST SOMERSET PCT,PUBLIC,BA2 5RP,HAFS-13930,"20,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BEDFORDSHIRE PCT,PUBLIC,MK40 2AW,HAFS-13931,"51,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BERKSHIRE EAST PCT,PUBLIC,RG30 2BA,HAFS-13932,"46,200,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BERKSHIRE WEST PCT,PUBLIC,RG30 2BA,HAFS-13933,"49,300,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BEXLEY CARE TRUST,PUBLIC,DA5 2BW,HAFS-13934,"30,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BIRMINGHAM EAST AND NORTH PCT,PUBLIC,B7 4WE,HAFS-13935,"55,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BLACKBURN AND DARWEN TEACHING CARE TRUST PLUS,PUBLIC,BB1 2EE,HAFS-13936,"19,934,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BLACKPOOL PCT,PUBLIC,PR4 3AL,HAFS-13937,"17,671,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BOLTON PCT,PUBLIC,B11 1PP,HAFS-13938,"37,500,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BOURNEMOUTH & POOLE PCT,PUBLIC,BH12 5AG,HAFS-13939,"42,500,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BRADFORD AND AIREDALE PCT,PUBLIC,WF3 1WE,HAFS-13940,"56,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BRENT TEACHING PCT,PUBLIC,HA0 4UZ,HAFS-13941,"44,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BRIGHTON & HOVE CITY TEACHING PCT,PUBLIC,WF3 1WE,HAFS-13942,"44,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BRISTOL PCT,PUBLIC,BS2 8EE,HAFS-13943,"65,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BROMLEY PCT,PUBLIC,WF3 1WE,HAFS-13944,"38,500,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BUCKINGHAMSHIRE PCT,PUBLIC,HP19 8ET,HAFS-13945,"65,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BURY PCT,PUBLIC,BL9 0EN,HAFS-13946,"24,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CALDERDALE PCT,PUBLIC,WF3 1WE,HAFS-13947,"25,500,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CAMBRIDGESHIRE PCT,PUBLIC,PE27 5BB,HAFS-13948,"66,000,000.00",,,Other,
Department of Health,Department of Health,03/09/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CAMDEN PCT,PUBLIC,NW1 0PE,HAFS-13949,"34,500,000.00",,,Other,
