Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,12/03/2013,Publicity & advertising,External Relations,GFK NOP LTD,LARGE,SE1 9UL,8272005275,"40,650.00",Lifecourse tracker research,Programme,
Department of Health,Department of Health,12/03/2013,Outsourcing Contract,External Relations,GFK NOP LTD,LARGE,SE1 9UL,8272005276,"32,610.00",Quantitative research survey with NHS staff - December 2012 wave,Programme,
Department of Health,Department of Health,12/03/2013,Conferences & seminars,Goverance Operations & Assurance,EXPOTEL HOTEL RESERVATIONS LTD,LARGE,SK4 2RZ,859710,"78,307.00",Expotel Bulk Invoice for Conference bookings for period 01/04/10 to 31/03/11,Admin,
Department of Health,Department of Health,12/03/2013,Printing,Goverance Operations & Assurance,XEROX BUSINESS SERVICES,LARGE,UB8 1HS,900102418,"29,172.00",Xerox Reprographics charges to account for charges to the end of financial year 2013 (PO493875),Admin,
Department of Health,Department of Health,12/03/2013,Outsourcing Contract,External Relations,MOUCHEL MANAGEMENT CONSULTING LTD,LARGE,SW1H 9NP,90127449,"28,842.00",WO/2012/18 - Psychological Therapies Review,Programme,
Department of Health,Department of Health,12/03/2013,Outsourcing Contract,External Relations,SERCO LISTENING LTD,LARGE,TW9 1DL,90811759,"175,331.00",".Be Food Smart campaign handling of registration, CRM/eCRM, data base management and reponse handling (PSBC23540)",Programme,
Department of Health,Department of Health,12/03/2013,Outsourcing Contract,External Relations,SERCO LISTENING LTD,LARGE,TW9 1DL,90816022,"88,498.00",".Be Food Smart campaign handling of registration, CRM/eCRM, data base management and reponse handling (PSBC23540)",Programme,
Department of Health,Department of Health,12/03/2013,Outsourcing Contract,Public Health,SERCO PUBLIC SERVICES LTD,LARGE,L34 1PJ,90823404,"290,279.00",Serco Ltd - For services provided on  Healthy Start Issuing Unit - Cycle 127  - 14th January to 10th February 2013,Admin,
Department of Health,Department of Health,12/03/2013,Revenue Grants to non-profit institutions,External Relations,TCOSW,SME,SW1Y 5BH,ERS-487945-70721,"250,000.00",2012/097 The College of Social Work - Additional funding- policy grant ,Programme,
Department of Health,Department of Health,12/03/2013,Outsourcing Contract,External Relations,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV009065,"66,826.00","CPA for DH ESR Contract - CCN 126 NHS Payslip Production, Printing and Courier Charges FY12-13",Programme,
Department of Health,Department of Health,12/03/2013,Addition Clearing - IT,External Relations,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV009084,"78,534.00",CPA for ESR Contract - FY12/13 Hardware Drawdown Requests  See DH/McKesson HR and Payroll Contract 2222 Deed of mendment 2005 Schedule G1.4A,Programme,
Department of Health,Department of Health,12/03/2013,Outsourcing Contract,External Relations,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV009084,"3,422.00",CPA for ESR Contract - FY12/13 Hardware Drawdown Requests  See DH/McKesson HR and Payroll Contract 2222 Deed of mendment 2005 Schedule G1.4A,Programme,
Department of Health,Department of Health,12/03/2013,Outsourcing Contract,External Relations,MCKESSON INFORMATION SOLUTIONS UK LTD,LARGE,CV34 6NZ,INV009086,"50,176.00",CPA for DH ESR Contract - ESR Monthly Service Charge,Programme,
Department of Health,Department of Health,12/03/2013,Publicity & advertising,External Relations,FREUD COMMUNICATIONS LTD,SME,W1T 3EB,SI12287,"38,000.00",Freud - Act Fast BME consultancy,Programme,
Department of Health,Department of Health,12/03/2013,Contr Other External,Informatics,CABLE & WIRELESS UK,,,16309791,"28,130.00",,,
Department of Health,Department of Health,12/03/2013,Contr Other External,Informatics,CABLE & WIRELESS UK,,,16309793,"39,558.00",,,
Department of Health,Department of Health,12/03/2013,Contr Other External,Informatics,CABLE & WIRELESS UK,,,16309794,"93,991.00",,,
Department of Health,Department of Health,12/03/2013,Professional fees,Goverance Operations & Assurance,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,1193108,"37,114.00",Block buy agreement with DWP for legal services 2012/13,Admin,
Department of Health,Department of Health,12/03/2013,Professional fees,Goverance Operations & Assurance,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,1193109,"60,000.00",Block buy agreement with DWP for legal services 2012/13,Admin,
Department of Health,Department of Health,12/03/2013,Professional fees,Goverance Operations & Assurance,DEPARTMENT FOR WORK AND PENSIONS (DWP),PUBLIC,FY5 3TA,1193130,"26,994.00",Block buy agreement with DWP for legal services 2012/13,Admin,
Department of Health,Department of Health,12/03/2013,Outsourcing Contract,Goverance Operations & Assurance,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,,12594521,"48,150.00",2012 - 2013 ERIC EFM Work,Programme,
Department of Health,Department of Health,12/03/2013,Conferences & seminars,Improvement & Efficency,IMPERIAL COLLEGE LONDON,PUBLIC,SW7 2AZ,20110322,250.00,Central Commissioning Function,Programme,
Department of Health,Department of Health,12/03/2013,Conferences & seminars,Improvement & Efficency,IMPERIAL COLLEGE LONDON,PUBLIC,SW7 2AZ,20110322,"16,000.00",Costs / Expenses for foreign VIPs.,Programme,
Department of Health,Department of Health,12/03/2013,Conferences & seminars,Improvement & Efficency,IMPERIAL COLLEGE LONDON,PUBLIC,SW7 2AZ,20110322,"16,250.00",Day Delegate Rate £65 per delegate x 250.,Programme,
Department of Health,Department of Health,12/03/2013,Conferences & seminars,Improvement & Efficency,IMPERIAL COLLEGE LONDON,PUBLIC,SW7 2AZ,20110322,"8,750.00",Evening reception £35 per delegate x 250.,Programme,
Department of Health,Department of Health,12/03/2013,Conferences & seminars,Improvement & Efficency,IMPERIAL COLLEGE LONDON,PUBLIC,SW7 2AZ,20110322,"10,000.00",Project management and expenses.,Programme,
Department of Health,Department of Health,12/03/2013,Conferences & seminars,Improvement & Efficency,IMPERIAL COLLEGE LONDON,PUBLIC,SW7 2AZ,20110322,"3,000.00",Room Hire and IT.,Programme,
Department of Health,Department of Health,12/03/2013,Conferences & seminars,Improvement & Efficency,IMPERIAL COLLEGE LONDON,PUBLIC,SW7 2AZ,20110322,"3,250.00",Signage / registration badges.,Programme,
Department of Health,Department of Health,12/03/2013,Conferences & seminars,Improvement & Efficency,IMPERIAL COLLEGE LONDON,PUBLIC,SW7 2AZ,20110322,"1,800.00",Staff for reception and event 4 x £450.,Programme,
Department of Health,Department of Health,12/03/2013,Outsourcing Contract,Social Care,ASSOCIATION OF DIRECTORS OF ADULT SOCIAL SERVICES,PUBLIC,SW1P 3HZ,2840,"48,000.00",ADASS - Towards Joined-up Commissioning for Older People: A Proposal,Admin,
Department of Health,Department of Health,12/03/2013,Outsourcing Contract,Public Health,LIVERPOOL JOHN MOORES UNIVERSITY,PUBLIC,L3 2AJ,503559,"14,012.00",NWPHO additional funding for CMO Alcohol Guidelines work,Admin,
Department of Health,Department of Health,12/03/2013,Outsourcing Contract,Public Health,LIVERPOOL JOHN MOORES UNIVERSITY,PUBLIC,L3 2AJ,503559,"150,000.00",NWPHO core funding 1 October 2012 to 31 March 2013,Admin,
Department of Health,Department of Health,12/03/2013,Outsourcing Contract,Public Health,LIVERPOOL JOHN MOORES UNIVERSITY,PUBLIC,L3 2AJ,503559,"17,500.00",NWPHO non-core funding - Alcohol Intelligence - 1 October 2012 to 31 March 2013,Admin,
Department of Health,Department of Health,12/03/2013,Research & development,Research & Development,KINGS COLLEGE LONDON,PUBLIC,SE1 8WA,ERS-487900-70701,"103,350.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,12/03/2013,Revenue Grants to non-profit institutions,Social Care,THE FREE CHURCH FEDERAL COUNCIL INC,VCS, WC1H 9HH,ERS-488025-70841,"48,000.00",2012/095a The Free Church Federal Council - project: NHS Chaplaincy Services Grant- policy grant for the organisation,Programme,
Department of Health,Department of Health,12/03/2013,Revenue Grants to non-profit institutions,Social Care,THE FREE CHURCH FEDERAL COUNCIL INC,VCS, WC1H 9HH,ERS-488029-70843,"30,000.00",2012/095c The Free Church Federal Council - project: NHS Chaplaincy Services Grant- on behalf of Multi Faith Group for Health Care Chaplaincy,Programme,
Department of Health,Department of Health,13/03/2013,Secondees in invoiced costs,NHS Finance Operations & Performance,LONDON SHA,PUBLIC,WF3 1WE,19523559,"5,814.00",Secondment fees for IMAS Placement,Admin,
Department of Health,Department of Health,13/03/2013,Secondees in invoiced costs,NHS Finance Operations & Performance,LONDON SHA,PUBLIC,WF3 1WE,19523559,"5,000.00",Increase to PO to cover costs of IMAS placement up to 31st March 2013,Admin,
Department of Health,Department of Health,13/03/2013,Travel & subsistence secondees,NHS Finance Operations & Performance,LONDON SHA,PUBLIC,WF3 1WE,19523559,"14,533.00",T&S fees for IMAS Placement,Admin,
Department of Health,Department of Health,13/03/2013,Research & development,Research & Development,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,PUBLIC,NR4 7UY,ERS-488116-70861,"96,415.00",Programme Grants for NHS Trusts,Programme,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002231,"63,305.00",,,
Department of Health,Department of Health,13/03/2013,Service charge,Informatics,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201313950,"28,268.00",Revenue: PACS NWWM central store service charges to cover the period between November 2012 and March 2013,Programme,
Department of Health,Department of Health,13/03/2013,Outsourcing Contract,Goverance Operations & Assurance,FRONTIER ECONOMICS LTD,SME,WC1V 6DA,6133,"23,125.00",Funding for the update of the Premises Assurance Model,Programme,13615
Department of Health,Department of Health,13/03/2013,Research & development,Public Health,ITSA LTD,SME,SS15 6TH,74718,"39,415.00","Agreement to procure national support for tobacco regulation for the remainder of 2012/13, the transition year to the new public health system",Programme,13630
Department of Health,Department of Health,13/03/2013,Publicity & advertising,External Relations,OGILVY ADVERTISING,LARGE,E14 4QB,781202577,"50,000.00","Provision of specialist digital and direct marketing services to support C4L, Tobacco and Older People campaign areas",Programme,
Department of Health,Department of Health,13/03/2013,Publicity & advertising,External Relations,OGILVY ADVERTISING,LARGE,E14 4QB,781202578,"50,000.00","Provision of specialist digital and direct marketing services to support C4L, Tobacco and Older People campaign areas",Programme,
Department of Health,Department of Health,13/03/2013,Publicity & advertising,External Relations,OGILVY ADVERTISING,LARGE,E14 4QB,781202579,"50,000.00","Provision of specialist digital and direct marketing services to support C4L, Tobacco and Older People campaign areas",Programme,
Department of Health,Department of Health,13/03/2013,Contractor/Staff Substitution,Strategy Finance & NHS,NORTHGATE UK LTD,LARGE,HP2 4NW,91252753,"84,643.00",( Proms) Proms Lot1 - Data collection for Proms - CCN / Add to PO for 2012/13 ,Programme,
Department of Health,Department of Health,13/03/2013,Outsourcing Contract,Social Care,ECORYS UK LTD,SME,B1 2RA,INV11014,"92,790.00",Fund Management of the Health & Social Care Volunteering Fund,Programme,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002217,"29,709.00",,,
Department of Health,Department of Health,13/03/2013,Legal / Prof Fees,Informatics,DLA PIPER UK LLP,,,16316634,"355,499.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002215,"26,256.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002214,"95,248.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002250,"48,860.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002251,"71,379.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002253,"95,935.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002255,"29,761.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002249,"44,511.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002224,"34,930.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002209,"25,220.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002208,"28,055.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002206,"25,380.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002247,"52,208.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002239,"39,270.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002245,"85,976.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002246,"42,707.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002226,"50,759.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002241,"56,003.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002248,"54,002.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002228,"40,425.00",,,
Department of Health,Department of Health,13/03/2013,School Fruit and Vegetable Scheme,Public Health,"Minor, Weir & Willis Ltd",,,SFVS002229,"25,502.00",,,
Department of Health,Department of Health,14/03/2013,Policy Payments,Research & Development,HEALTH PROTECTION AGENCY (HPA),PUBLIC,SP4 0JG,5439360,"2,625,000.00",NIHR Centre for Health Protection Research at the Health Protection Agency - NIHR CHPR ( HPA Funding ),Admin,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PUBLIC,LE5 4QF,ERS-488387-70907,"48,935.00",NIHR Fellowships,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,PUBLIC,B15 2PR,ERS-488494-70903,"35,868.00",NIHR Fellowships,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,BARTS HEALTH NHS TRUST,PUBLIC,E1 8PR,ERS-488509-71124,"28,962.00",Health Technology Co-operatives,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,PUBLIC,B15 2PR,ERS-488510-70904,"53,099.00",Health Technology Co-operatives,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,WF3 1WE,ERS-488511-70882,"50,000.00",Health Technology Co-operatives,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-488512-70886,"50,000.00",Health Technology Co-operatives,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-488513-70892,"39,555.00",Health Technology Co-operatives,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,PUBLIC,NG3 6AA,ERS-488514-70888,"27,163.00",Health Technology Co-operatives,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,PUBLIC,S5 7AU,ERS-488515-70890,"60,000.00",Health Technology Co-operatives,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,NW1 2BX,ERS-488540-71141,"400,000.00",Bio-Medical Centres,Programme,
Department of Health,Department of Health,14/03/2013,Outsourcing Contract,Public Health,BIRMINGHAM WOMENS NHS FOUNDATION TRUST,PUBLIC,B29 6JS,OP/I124613,"135,000.00",WMPHO Core Funding - 1 April 2012 to 31 March 2013,Admin,
Department of Health,Department of Health,14/03/2013,Outsourcing Contract,NHS Medical,BIRMINGHAM WOMENS NHS FOUNDATION TRUST,PUBLIC,B29 6JS,OP/I124694,"577,500.00",For the provision of the  West Midlands Cancer Registry Services for 2012-13 hosted by the West Midlands Cancer Intelligence Centre,Programme,
Department of Health,Department of Health,14/03/2013,Outsourcing Contract,NHS Medical,BIRMINGHAM WOMENS NHS FOUNDATION TRUST,PUBLIC,B29 6JS,OP/I124694,"562,500.00",For the provision of the  West Midlands  Cancer Screening Programmes Quality Assurance Reference Centre for  2012-13 hosted by the West Midlands Cancer Intelligence Centre,Programme,
Department of Health,Department of Health,14/03/2013,Policy Payments,NHS Medical,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,PUBLIC,BS1 3NU,T0007478,"481,094.00","Financial Support for the agreed project, in accordance with the contract dated 04/02/13",Programme,
Department of Health,Department of Health,14/03/2013,Policy Payments,Public Health,WEST MIDLANDS AMBULANCE SERVICE NHS TRUST,PUBLIC,WR5 2NL,Y0002011,"6,000,000.00",Delivery of the HART  Programme for 2012/13 FY.,Programme,
Department of Health,Department of Health,14/03/2013,School Fruit and Vegetable Scheme,Public Health,GW Price Ltd,,,903325,"30,734.00",,,
Department of Health,Department of Health,14/03/2013,School Fruit and Vegetable Scheme,Public Health,GW Price Ltd,,,903317,"30,898.00",,,
Department of Health,Department of Health,14/03/2013,School Fruit and Vegetable Scheme,Public Health,GW Price Ltd,,,903318,"47,692.00",,,
Department of Health,Department of Health,14/03/2013,School Fruit and Vegetable Scheme,Public Health,GW Price Ltd,,,903321,"26,465.00",,,
Department of Health,Department of Health,14/03/2013,School Fruit and Vegetable Scheme,Public Health,GW Price Ltd,,,903313,"40,430.00",,,
Department of Health,Department of Health,14/03/2013,Rent of Land & Buildings (non-PFI operating lease),Strategy Finance & NHS,SAVILLS COMMERCIAL LTD,LARGE,M2 4AW,1-203-SO7400,"21,419.00","SO7400 - 11th Floor, West Point, Manchester. Savills Commercial - rent",Programme,
Department of Health,Department of Health,14/03/2013,Service charge,Strategy Finance & NHS,SAVILLS COMMERCIAL LTD,LARGE,M2 4AW,1-203-SO7400,"2,248.00","SO7400 - Eleventh Floor, West Point, 501 Chester Road, Old Trafford, Manchester M16 9HX - Savills Commercial - service charge",Programme,
Department of Health,Department of Health,14/03/2013,Service charge,Strategy Finance & NHS,SAVILLS COMMERCIAL LTD,LARGE,M2 4AW,1-203-SO7400,"8,969.00","SO7400 - Eleventh Floor, West Point, 501 Chester Road, Old Trafford, Manchester M16 9HX - Savills Commercial - service charge",Programme,
Department of Health,Department of Health,14/03/2013,Utilities,Strategy Finance & NHS,SAVILLS COMMERCIAL LTD,LARGE,M2 4AW,1-203-SO7400,2.00,,Programme,
Department of Health,Department of Health,14/03/2013,Utilities,Strategy Finance & NHS,SAVILLS COMMERCIAL LTD,LARGE,M2 4AW,1-203-SO7400,932.00,"SO7400 - Eleventh Floor, West Point, 501 Chester Road, Old Trafford, Manchester M16 9HX - Savills (UK) Limited for Marcol - Utilities recovery",Programme,
Department of Health,Department of Health,14/03/2013,Professional fees,NHS Finance Operations & Performance,DELOITTE LLP,LARGE,MK9 1FD,1110888550,"43,113.00",Buckinghamshire Healthcare NHS Trust.  NHSFT Financial Assessments.,Programme,
Department of Health,Department of Health,14/03/2013,Consultancy/Professional Advice,External Relations,IPSOS MORI UK LTD,LARGE,HA1 1PT,13000423,"4,400.00",Public pre and post tracking to evaluate the Dementia phase 2 campaign,Programme,
Department of Health,Department of Health,14/03/2013,Publicity & advertising,External Relations,IPSOS MORI UK LTD,LARGE,HA1 1PT,13000423,"39,800.00",Public pre and post tracking to evaluate the Dementia phase 2 campaign,Programme,
Department of Health,Department of Health,14/03/2013,Rent of Land & Buildings (non-PFI operating lease),Strategy Finance & NHS,PERDISWELL MILLENIUM PARK LTD,SME,WR5 3HS,237,"26,750.00","SO2000 - The Coach House, John Comyn Drive, Perdiswell Park, Droitwich Road, Worcester  WR3 7SN - Perdiswell Millenium Park Ltd - rent",Programme,
Department of Health,Department of Health,14/03/2013,IT minor costs non capital,External Relations,DELOITTE LLP,LARGE,MK9 1FD,2410065148,"41,922.00",Reprocurement of FPAS (Foundation Programme Application System),Programme,13660
Department of Health,Department of Health,14/03/2013,Service charge,Informatics,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201321180,"48,618.00",Revenue: CSC FY 2012/13 Revenue Budget Requirements,Programme,
Department of Health,Department of Health,14/03/2013,Service charge,Informatics,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201321181,"50,089.00",Revenue: CSC FY 2012/13 Revenue Budget Requirements,Programme,
Department of Health,Department of Health,14/03/2013,Publicity & advertising,External Relations,OGILVY ADVERTISING,LARGE,E14 4QB,781202587,"40,000.00",Creative ideas on 'checking' brief,Programme,
Department of Health,Department of Health,14/03/2013,Publicity & advertising,External Relations,GFK NOP LTD,LARGE,SE1 9UL,8272005370,"94,850.00",Lifecourse tracker research,Programme,
Department of Health,Department of Health,14/03/2013,Outsourcing Contract,External Relations,SERCO LISTENING LTD,LARGE,TW9 1DL,90823031,"70,000.00",Be Food Smart campaign - Increase in the amount of data capture required due to the success of the campaign,Programme,
Department of Health,Department of Health,14/03/2013,Outsourcing Contract,External Relations,SERCO LISTENING LTD,LARGE,TW9 1DL,90823608,"34,000.00",Q4 activity for four newsletters including creative and deployment.   Q4 ad hoc reporting for partners and internal mapping and project planning using single customer view database of campaign supporters. Contact Ian Conduit ,Programme,
Department of Health,Department of Health,14/03/2013,Printing,External Relations,PROMOTIONAL LOGISTICS LTD,SME,CO10 1RE,OP/I131395,"99,097.00",Estimated monthly call off charges for storage and distribution for remainder of 2012/2103 financial year to be recovered through journal transfers to owning policy teams,Admin,
Department of Health,Department of Health,14/03/2013,Rent of Land & Buildings (non-PFI operating lease),Strategy Finance & NHS,ABPGP S1 LTD & ABPGP S2 LTD,LARGE,RG7  4SA,SIAS1Q1829,"49,747.00","SO5400 - 4630 Kingsgate, Oxford Business Park  - ABPGP Ltd - rent",Programme,
Department of Health,Department of Health,14/03/2013,External Consultancy Fees,Informatics,BJSS LTD,,,16344448,"195,928.00",,,
Department of Health,Department of Health,14/03/2013,Legal / Prof Fees,Informatics,DLA PIPER UK LLP,,,16318148,"45,885.00",,,
Department of Health,Department of Health,14/03/2013,Storage costs,Strategy Finance & NHS,ACTAVIS UK LTD,LARGE,,1879X110530,"1,680,371.00",,,
Department of Health,Department of Health,14/03/2013,Storage costs,Strategy Finance & NHS,ACTAVIS UK LTD,LARGE,,1879X110530,0.00,,,
Department of Health,Department of Health,14/03/2013,Outsourcing Contract,Public Health,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,12594691,"49,615.00",Data collection and Validation for Sexual & Reproductive Health Activity Dataset (SRHAD) for 2012/13 and Analysis of SRHAD data for 2011/12 contraception stats bulletin and publication.  ,Programme,
Department of Health,Department of Health,14/03/2013,Outsourcing Contract,Public Health,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,12594694,"51,297.00",Health and wellbeing Survey of Young People for the Public Health Outcomes Forum,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,SOUTHAMPTON UNIVERSITY OF,PUBLIC,SO17 1BJ,44123372,"23,364.00",RDD Programme Support - Miscellaneous,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,ACADEMY OF MEDICAL SCIENCES,PUBLIC,W1B 1QH,ERS-488279-70912,"30,796.00",Integrated Academic Training,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,BIRMINGHAM UNIVERSITY OF,PUBLIC,B15 2TT,ERS-488280-70913,"34,003.00",Clinician Scientist Awards,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,CAMBRIDGE UNIVERSITY OF,PUBLIC,CB2 1TN,ERS-488282-70941,"80,000.00",Academic Units,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-488283-71073,"217,915.00",Units Doing Research,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,BIRMINGHAM UNIVERSITY OF,PUBLIC,B15 2TT,ERS-488284-70914,"99,700.00",Rus - Ad-Hoc Units,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,KINGS COLLEGE LONDON,PUBLIC,SE1 8WA,ERS-488293-70983,"47,997.00",Clinician Scientist Awards,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-488295-71044,"31,667.00",Clinician Scientist Awards,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,BRISTOL UNIVERSITY OF,PUBLIC,BS8 1TH,ERS-488296-70924,"41,412.00",Clinician Scientist Awards,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-488297-71007,"45,097.00",Clinician Scientist Awards,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,IMPERIAL COLLEGE LONDON,PUBLIC,SW7 2AZ,ERS-488301-70959,"36,710.00",NIHR Fellowships,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,KINGS COLLEGE LONDON,PUBLIC,SE1 8WA,ERS-488303-70984,"31,598.00",NIHR Fellowships,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,QUEEN MARY AND WESTFIELD COLLEGE,PUBLIC,E1 2AX,ERS-488308-71089,"45,473.00",Clinician Scientist Awards,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-488309-71020,"40,178.00",Clinician Scientist Awards,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,KINGS COLLEGE LONDON,PUBLIC,SE1 8WA,ERS-488310-70985,"49,629.00",Clinician Scientist Awards,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-488312-71009,"54,229.00",Clinician Scientist Awards,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,IMPERIAL COLLEGE LONDON,PUBLIC,SW7 2AZ,ERS-488313-70961,"61,224.00",Clinician Scientist Awards,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-488315-71010,"38,630.00",Clinician Scientist Awards,Programme,
Department of Health,Department of Health,14/03/2013,Research & development,Research & Development,CAMBRIDGE UNIVERSITY OF,PUBLIC,CB2 1TN,ERS-488316-70942,"49,004.00",Clinician Scientist Awards,Programme,
