Spend over £25000 - Publication template,,,,,,,
,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for School Leadership,13/02/2012,Grants Made,School to School support,Farlingaye High School,Teaching Schools Grant,42000.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,Fordham Primary School,NLE Deployment Grant,25000.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,Forest Way School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,Forest Way School,Teaching Schools Grant,27000.00
Department for Education,National College for School Leadership,13/02/2012,Grants Made,School to School support,Freehold Community School,Teaching Schools Grant,2000.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,Freehold Community School,Teaching Schools Grant,35000.00
Department for Education,National College for School Leadership,22/02/2012,Programme Costs,Leadership Development,Future Leaders Ltd,114743,34300.00
Department for Education,National College for School Leadership,22/02/2012,Programme Costs,Leadership Development,Future Leaders Ltd,114744,235100.00
Department for Education,National College for School Leadership,13/02/2012,Grants Made,School to School support,Garforth Green Lane Primary School,Teaching Schools Grant,2000.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,Garforth Green Lane Primary School,Teaching Schools Grant,39900.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,Gawthorpe Community Primary,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,Gentleshaw Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,07/02/2012,Grants Made,School to School support,George Abbot School,Teaching Schools Grant,39750.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,George Spencer Academy Trust,NLE Deployment Fund Grant,30000.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,George Spencer Academy Trust,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,15/02/2012,Grants Made,School to School support,Gilmorton Chandler CofE Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,20/02/2012,Irrecoverable Input VAT,School to School support,Granada Learning Limited,114713,14828.00
Department for Education,National College for School Leadership,20/02/2012,"Conference, Events, Exhibitions and Seminars",School to School support,Granada Learning Limited,114713,74140.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,Great Bedwyn CE Controlled School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,Greentrees Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,27/02/2012,Grants Made,School to School support,Greet Primary Sch,Teaching Schools Grant,2000.00
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,Greet Primary Sch,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,27/02/2012,Grants Made,School to School support,Harrogate Grammar School,Teaching Schools Grant,2000.00
Department for Education,National College for School Leadership,07/02/2012,Grants Made,School to School support,Harrogate Grammar School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,Harton Technology College,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,Hatfield Heath Community Primary School,NLE Deployment Grant,25000.00
Department for Education,National College for School Leadership,15/02/2012,Grants Made,School to School support,Hawkley Hall High School,NLE Deployment Fund Grant,30000.00
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,Hawkley Hall High School,Teaching Schools Grant,8550.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,Hayes School,NLE Deployment Fund Grant,30000.00
Department for Education,National College for School Leadership,27/02/2012,Grants Made,School to School support,Hayes School,Teaching Schools Grant,30000.00
Department for Education,National College for School Leadership,15/02/2012,Grants Made,School to School support,Hill Top Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,Holmes Chapel Comprehensive School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,James Brindley School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,07/02/2012,Grants Made,School to School support,John Cabot City Technology Cge,Teaching Schools Grant,39425.00
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,John Masefield,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,13/02/2012,Grants Made,School to School support,Kemnal Technology College,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,27/02/2012,Grants Made,School to School support,Kesteven & Sleaford High School,Teaching Schools Grant,39000.00
Department for Education,National College for School Leadership,15/02/2012,Grants Made,School to School support,Kibworth Church of England Primary School,NLE Deployment Fund Grant,25000.00
