DEPARTMENTAL FAMILY,ENTITY,DATE,EXPENSE AREA,EXPENSE TYPE,SUPPLIER,TRANSACTION NUMBER,AMOUNT
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,311100-Legal Aid,LEGAL SERVICES COMMISSION,6220,"$79,800,000.00 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031034,"$172,613.38 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,245000-Grants in Aid to NDPBs,YOUTH JUSTICE BOARD FOR ENGLAND & WALES,6222,"$28,800,000.00 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031034,"$230,781.75 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031034,"$29,962.50 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1030993,"$32,274.46 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031034,"$63,177.05 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031034,"$36,490.22 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1030993,"$411,834.31 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1030993,"$173,137.87 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,246000-Current Grants,UK SUPREME COURT,1031101,"$2,626,560.00 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,264000-Consultancy,PRICEWATERHOUSE COOPERS LLP,1031070,"$40,226.13 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031034,"$26,685.90 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031034,"$41,881.99 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,223000-Other Expenditure,UNIVERSITY OF KENT,1031103,"$37,104.15 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,212001-Agency staff,HUDSON GLOBAL RESOURCES LTD,1031008,"$34,186.33 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1030993,"$130,889.53 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,212001-Agency staff,METHODS CONSULTING,1031046,"$26,108.50 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,266000-Judicial Costs,CALDER CONFERENCES LTD,1030961,"$40,082.54 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,CABLE & WIRELESS,1030960,"$199,345.02 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1030940,"$1,752,272.80 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1030940,"$740,715.30 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1030940,"$68,556.55 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1030993,"$579,946.73 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1030993,"$82,150.97 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031034,"$528,750.00 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031034,"$149,663.28 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031034,"$59,944.98 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031034,"$40,897.05 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1030940,"$27,771.42 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1030940,"$88,830.00 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1030940,"$1,095,423.13 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1030940,"$26,135.83 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1030940,"$450,948.55 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1030940,"$102,430.63 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1030940,"$104,509.20 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1030940,"$390,383.18 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031034,"$189,404.75 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031034,"$52,461.92 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031034,"$66,680.08 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1030993,"$40,206.85 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1030993,"$49,473.68 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031034,"$27,982.63 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031034,"$34,731.83 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1030940,"$453,177.53 "
Ministry of Justice,MoJ HQ,7-Oct-10,ZZ900-MoJ HQ,246000-Current Grants,THE PAROLE BOARD,6221,"$700,000.00 "
Ministry of Justice,HMCS,8-Oct-10,EZ999-Wales Region,532000-Tangible GBV - Additions,TURNER & TOWNSEND PROJECT MANAGEMENT,1362559,"$60,417.87 "
Ministry of Justice,HMCS,8-Oct-10,FZ999-Midlands Region,222001-Maintenance,WILLMOTT DIXON CONSTRUCTION LTD,1362601,"$70,174.85 "
Ministry of Justice,HMCS,8-Oct-10,BZ999-London Region,222001-Maintenance,THURSTON BUILDING SYSTEMS,1362545,"$86,852.52 "
Ministry of Justice,HMCS,8-Oct-10,HZ999-North East and Yorkshire,222001-Maintenance,BAILEY MAINTENANCE LTD,1361967,"$46,358.98 "
Ministry of Justice,HMCS,8-Oct-10,HZ999-North East and Yorkshire,222001-Maintenance,BAILEY MAINTENANCE LTD,1361967,"$53,487.45 "
Ministry of Justice,HMCS,8-Oct-10,BZ999-London Region,532000-Tangible GBV - Additions,TURNER & TOWNSEND PROJECT MANAGEMENT,1362559,"$128,475.15 "
Ministry of Justice,HMCS,8-Oct-10,FZ999-Midlands Region,532000-Tangible GBV - Additions,MOUCHEL MANAGEMENT CONSULTING LTD,1362353,"$39,695.03 "
Ministry of Justice,HMCS,8-Oct-10,BZ999-London Region,532000-Tangible GBV - Additions,HURD ROLLAND PARTNERSHIP,1362230,"$54,588.84 "
Ministry of Justice,HMCS,8-Oct-10,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,DEPARTMENT FOR WORK & PENSIONS (DWP),1362102,"$85,532.84 "
Ministry of Justice,HMCS,8-Oct-10,IZ999-RCJ Group,222001-Maintenance,SYKES & SON LTD,1362529,"$36,660.59 "
Ministry of Justice,HMCS,8-Oct-10,DZ999-South West Region,532000-Tangible GBV - Additions,STRUCTURA UK LIMITED,1362520,"$302,353.12 "
Ministry of Justice,HMCS,8-Oct-10,HZ999-North East and Yorkshire,262000-SCA Costs,PALECASTLE LTD,1362405,"$104,520.26 "
Ministry of Justice,HMCS,8-Oct-10,AG999-Estates Directorate HMCS HQ,222001-Maintenance,VALUATION OFFICE AGENCY,1362565,"$58,750.00 "
Ministry of Justice,HMCS,8-Oct-10,DZ999-South West Region,222002-Other Property Costs,MITIE SECURITY LTD,1362343,"$303,251.60 "
Ministry of Justice,HMCS,8-Oct-10,FZ999-Midlands Region,223001-Printing Postage and Office expenditure,XEROX (UK) LTD,1362609,"$28,251.88 "
Ministry of Justice,HMCS,8-Oct-10,GZ999-North West Region,610300-Debtors < 1 Year - Deposits & Advances,NEOPOST LTD,1362361,"$128,325.00 "
Ministry of Justice,HMCS,8-Oct-10,CZ999-South East Region,532000-Tangible GBV - Additions,CABLE & WIRELESS,1362026,"$36,442.26 "
Ministry of Justice,HMCS,8-Oct-10,EZ999-Wales Region,610400-Debtors <1 year - Prepayments & Accrued Income,LAMBERT SMITH HAMPTON,1362270,"$27,899.62 "
Ministry of Justice,HMCS,8-Oct-10,GZ999-North West Region,222001-Maintenance,BAILEY MAINTENANCE LTD,1361967,"$58,644.04 "
Ministry of Justice,HMCS,8-Oct-10,CZ999-South East Region,532000-Tangible GBV - Additions,CABLE & WIRELESS,1362026,"$78,187.25 "
Ministry of Justice,Tribunals,8-Oct-10,TR190-Regional North,221000-Property Rent and Rates,STANDARD LIFE INVESTMENTS,1048726,"$41,712.50 "
Ministry of Justice,Tribunals,8-Oct-10,TR190-Regional North,221000-Property Rent and Rates,STANDARD LIFE INVESTMENTS,1048726,"$37,746.88 "
Ministry of Justice,Tribunals,8-Oct-10,TR120-Corporate,222002-Other Property Costs,REGENT OFFICE CARE LTD,1048701,"$27,683.16 "
Ministry of Justice,MoJ HQ,8-Oct-10,ZZ900-MoJ HQ,246000-Current Grants,WINSTON'S WISH#RB31110064,1031128,"$32,653.50 "
Ministry of Justice,MoJ HQ,8-Oct-10,ZZ900-MoJ HQ,246000-Current Grants,BRAKE#RB31110066,1031130,"$26,690.00 "
Ministry of Justice,MoJ HQ,8-Oct-10,ZZ900-MoJ HQ,246000-Current Grants,ESCAPING VICTIMHOOD#RB31110060,1031124,"$34,205.00 "
Ministry of Justice,MoJ HQ,8-Oct-10,ZZ900-MoJ HQ,246000-Current Grants,MOTHERS AGAINST MURDER & AGGRESSION UK#RB31110062,1031126,"$31,758.00 "
Ministry of Justice,MoJ HQ,8-Oct-10,ZZ900-MoJ HQ,246000-Current Grants,SAMM#RB31110065,1031129,"$35,000.00 "
Ministry of Justice,MoJ HQ,8-Oct-10,ZZ900-MoJ HQ,246000-Current Grants,THE LUCIE BLACKMAN TRUST#RB31110061,1031125,"$26,700.00 "
Ministry of Justice,HMCS,8-Oct-10,CZ999-South East Region,710200-Creditors < 1 year - Trade & Other Creditors,VALUATION OFFICE AGENCY#AJ10100502,1362387,"$30,842.18 "
Ministry of Justice,MoJ HQ,11-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,EASYNET LTD,1031176,"$64,625.00 "
Ministry of Justice,MoJ HQ,11-Oct-10,ZZ900-MoJ HQ,222002-Other Property Costs,CALIBRE CONSULTANCY LTD,1031160,"$50,233.88 "
Ministry of Justice,MoJ HQ,11-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,CABLE & WIRELESS,1031159,"$103,756.02 "
Ministry of Justice,MoJ HQ,11-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1031188,"$205,211.40 "
Ministry of Justice,MoJ HQ,11-Oct-10,ZZ900-MoJ HQ,212001-Agency staff,PARITY RESOURCES LTD,1031245,"$38,314.82 "
Ministry of Justice,MoJ HQ,11-Oct-10,ZZ900-MoJ HQ,222002-Other Property Costs,CARLISLE SECURITY SERVICES LTD,1031163,"$30,350.30 "
Ministry of Justice,MoJ HQ,11-Oct-10,ZZ900-MoJ HQ,222002-Other Property Costs,CARLISLE SECURITY SERVICES LTD,1031163,"$36,139.10 "
Ministry of Justice,MoJ HQ,11-Oct-10,ZZ900-MoJ HQ,311100-Legal Aid,LEGAL SERVICES COMMISSION,6223,"$19,000,000.00 "
Ministry of Justice,MoJ HQ,11-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,CABLE & WIRELESS,1031159,"$241,539.05 "
Ministry of Justice,MoJ HQ,11-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031228,"$25,927.55 "
Ministry of Justice,MoJ HQ,11-Oct-10,ZZ900-MoJ HQ,223001-Printing Postage and Office expenditure,LIBERATA UK LTD,1031225,"$51,767.57 "
