Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type,
Cabinet Office,Cabinet Office,09/08/12,Supplies and Services,OFFICE FOR CIVIL SOCIETY,M4C,3000028510,"366,464.74",National Citizen Service project grant,WC1X 8RX,Large,Programme,
Cabinet Office,Cabinet Office,09/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE FOOTBALL LEAGUE COMMUNITY LTD,3000028517,"201,772.00",National Citizen Service project grant,PR2 2YF,SME,Grants,
Cabinet Office,Cabinet Office,09/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SPORTTRAIN WALES LTD,3000028516,"199,853.00",National Citizen Service project grant,SA1 6DY,SME,Grants,
Cabinet Office,Cabinet Office,09/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,VINSPIRED,3000028519,"170,268.00",National Citizen Service project grant,SW1P 2ASF,Large,Grants,
Cabinet Office,Cabinet Office,09/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SOCIAL INVESTMENT BUSINESS,3000028515,"1,000,000.00","A grant instalment to the 'Investment and Contract Readiness Fund'  This is a three year, £10 million fund that aims to ensure social ventures are better equipped to secure new forms of investment and compete for public service contracts. ",WC1H 8AG,SME,Grants,
Cabinet Office,Government Procurement Service,09/08/12,Annual Statutory Audit Fees,Planning & Finance,National Audit Office,PINDOH 34525,"72,800.00",Statutory audit fee for the annual accounts,SW1W 9SP,Large,Administration,
Cabinet Office,Cabinet Office,10/08/12,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000028533,"37,082.80",Facilities Mangaement Services,BN1  1HG,Large,Administration,
Cabinet Office,Cabinet Office,13/08/12,Accomodation and Utilities,PRIME MINISTERS OFFICE,ETDE FM,3000028576,"25,216.71",Facilities Mangaement Services,BN1  1HG,Large,Administration,
Cabinet Office,Cabinet Office,13/08/12,Accomodation and Utilities,PRIME MINISTERS OFFICE,BT,3000028567,"59,548.48",Telecomms Line Rental,DH98 1BT,Large,Administration,
Cabinet Office,Cabinet Office,13/08/12,Accomodation and Utilities,ESTATE MANAGEMENT,MITIE BUSINESS SERVICES LTD,3000028592,"48,911.10",Facilities Mangaement Services,BS16 7FN,Large,Administration,
Cabinet Office,Cabinet Office,13/08/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000028571,"127,283.03","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,13/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,GROUNDWORK UK,3000028579,"114,444.00",National Citizen Service project grant,B1 2RR,Large,Grants,
Cabinet Office,Cabinet Office,13/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SAFE IN TEES VALLEY,3000028601,"110,195.00",National Citizen Service project grant,TS18 3TS,SME,Grants,
Cabinet Office,Cabinet Office,14/08/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000028658,"55,341.00",Legal Costs,WC2B 4TS,Government Department,Administration,
Cabinet Office,Cabinet Office,14/08/12,IT Costs,GOVERNMENT DIGITAL SERVICE,CIMEX MEDIA LTD,3000028624,"37,343.86",Support & Maintenance of the Directgov mobile site,EC2A 4PJ,SME,Programme,
Cabinet Office,Cabinet Office,14/08/12,IT Costs,OFFICE FOR CIVIL SOCIETY,NCVO,3000028646,"92,671.25",Payment for the support and maintenance of Funding Central website,N1 9RL,SME,Programme,
Cabinet Office,Cabinet Office,14/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,VINSPIRED,3000028660,"621,772.00",National Citizen Service project grant,SW1P 2ASF,Large,Grants,
Cabinet Office,Cabinet Office,15/08/12,Consultancy,SCHEME MANAGEMENT EXECUTIVE,THE FINANCIAL REPORTING COUNCIL,3000028682,"51,052.05",FRC Pension Levy 2012/13,LN5 5ET,Large,Administration,
Cabinet Office,Cabinet Office,15/08/12,Consultancy,FINANCIAL MANAGEMENT,AON HEWITT,3000028669,"53,139.53",Professional services,KT18 5BS,Large,Administration,
Cabinet Office,Cabinet Office,15/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,LUTON CULTURE,3000028677,"85,058.00",National Citizen Service project grant,LU1 2EY,SME,Grants,
Cabinet Office,Cabinet Office,16/08/12,IT Hardware,PRIME MINISTERS OFFICE,EVOLVE BUSINESS CONSULTANCY,3000028713,"37,785.63",ICT Services,GU10 1DW,SME,Administration,
Cabinet Office,Cabinet Office,16/08/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000028741,"102,205.00",Treasury Solicitor Capitation costs,WC2B 4TS,Government Department,Administration,
Cabinet Office,Cabinet Office,16/08/12,IT Costs,GOVERNMENT DIGITAL SERVICE,CESG,3000028703,"94,688.68",Provision of Identity Assurance support,GL51 0EX,Government Department,Programme,
Cabinet Office,Cabinet Office,16/08/12,IT Costs,GOVERNMENT PROPERTY UNIT,CORPORATE DOCUMENT SERVICES LTD,3000028706,"31,271.79","Monthly payment for the support, maintenance and minor development of e-PIMS, the government property database.",LS2 LY,Large,Programme,
Cabinet Office,Cabinet Office,16/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BOLTON LADS & GIRLS CLUB,3000028699,"128,274.00",National Citizen Service project grant,BL1 4AG,SME,Grants,
Cabinet Office,Government Procurement Service,16/08/12,MOTO Charges RC,Estates Management,Cabinet Office Votes,PINDOH 34578,"115,912.64",Rent for accommodation,CF14 3UW,Gov Dept,Administration,
Cabinet Office,Cabinet Office,17/08/12,Consultancy,SCHEME MANAGEMENT EXECUTIVE,AON HEWITT,3000028757,"46,358.92",Professional services,KT18 5BS,Large,Administration,
Cabinet Office,Cabinet Office,17/08/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000028761,"51,692.93",Interim IT specialist,SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,17/08/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000028761,"74,457.90",Interim IT specialist,SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,17/08/12,Consultancy,GOVERNMENT CIO SUMMARY,FODEN GREALY LIMITED,3000028767,"58,260.00",Payment for provision of Foden Grealy’s G-Cloud Change Enabling Service to the G-Cloud programme,RG20 0AL,SME,Programme,
Cabinet Office,Cabinet Office,17/08/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,TEMPLAR EXECUTIVES LTD,3000028779,"48,000.00","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",GL50 3DA,SME,Programme,
Cabinet Office,Cabinet Office,17/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,YOUR CONSORTIUM LTD,3000028781,"77,861.00",National Citizen Service project grant,HG5 9AY,SME,Grants,
Cabinet Office,Cabinet Office,20/08/12,IT Costs, WORKSPACE AND BETTER TOOLS PLAN,TURNER & TOWNSEND PROJECT MANAGEMENT,3000028814,"31,007.50",Move Management support,LS18 4GH,SME,Admin.,
Cabinet Office,Cabinet Office,20/08/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000028795,"105,260.03",Interim IT specialist,SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,20/08/12,IT Costs,GOVERNMENT DIGITAL SERVICE,STERIA LTD,3000028812,"735,111.18",Monthly managed services,HP2 7AH,Large,Programme,
Cabinet Office,Cabinet Office,20/08/12,IT Costs,GOVERNMENT DIGITAL SERVICE,STERIA LTD,3000028811,"34,300.82",Monthly managed services,HP2 7AH,Large,Programme,
Cabinet Office,Cabinet Office,20/08/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000028795,"60,696.54",Interim IT specialist,SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,20/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CITIZENSHIP FOUNDATION,3000028826,"125,000.00",Promoting giving project grant - supporting giving in schools,EC1V 3RS ,SME,Grants,
Cabinet Office,Cabinet Office,20/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,INSPIRA CUMBRIA LTD,3000028804,"183,520.00",National Citizen Service project grant,CA10 2HX,Large,Grants,
Cabinet Office,Cabinet Office,20/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CATCH22 CHARITY LTD,3000028796,"37,500.00",National Citizen Service project grant,EC1V 9BW,Large,Grants,
Cabinet Office,Cabinet Office,21/08/12,Supplies and Services,IT AND TELECOMS BRANCH,DWP,3000028834,"154,166.00",Shared Services Charge for 2012/13,FY5 3TA,Government Department,Administration,
Cabinet Office,Cabinet Office,21/08/12,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,BBC MONITORING,3000028828,"1,456,333.00",Monitoring services provided by the BBC,M14 0EP,Large,Programme,
Cabinet Office,Cabinet Office,21/08/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000028831,"59,986.26","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,21/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE JOIN IN TRUST,3000028844,"606,306.00","Running costs for the Join In Trust Limited, an Olympics inspired project to encourage participation in sport by young people.",EC4A 3AE,SME,Grants,
Cabinet Office,Cabinet Office,21/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,PARTNERSHIP NETWORK LTD,3000028853,"161,763.00",National Citizen Service project grant,PO17 5PQ,SME,Grants,
Cabinet Office,Cabinet Office,21/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CHANGEMAKERS,3000028832,"34,440.00",National Citizen Service project grant,N7 7QT,SME,Grants,
Cabinet Office,Cabinet Office,21/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,ROCKCORPS LTD,3000028842,"34,051.00",National Citizen Service project grant,W1W 5DW,SME,Grants,
Cabinet Office,Cabinet Office,22/08/12,IT Costs,FINANCIAL MANAGEMENT,DWP,3000028856,"41,825.00",Fixed assest accounting service migration,FY5 3TA,Government Department,Administration,
