Department Family,Entity,Date,Account code description,Expense area,Supplier,Transaction number,Amount,VAT registration number
Defra,Royal Botanic Gardens Kew,04-May-10,Electricity                   ,Estates Kew Section Core -----,EDF Energy Customers plc,MS0183627      ,58947.5,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC Limited,MS0181382      ,13300,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC Limited,MS0181382      ,570,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC Limited,MS0181382      ,10675,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC ITL Limited,MS0181383      ,8723,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC ITL Limited,MS0181383      ,480,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC ITL Limited,MS0181383      ,4380,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC ITL Limited,MS0181383      ,11500,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC ITL Limited,MS0181383      ,10000,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC ITL Limited,MS0181383      ,12375,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC ITL Limited,MS0181383      ,13200,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core IT Strategy Project,NDC ITL Limited,MS0181383      ,2600,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core CORE NETWORK UPGRADE,NDC ITL Limited,MS0181383      ,13420,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core Information Management Systems,NDC ITL Limited,MS0181383      ,11825,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core Information Management Systems,NDC ITL Limited,MS0181383      ,12650,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core Information Management Systems,NDC ITL Limited,MS0181383      ,424.5,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core Back Office Systems,NDC ITL Limited,MS0181383      ,11550,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core Back Office Systems,NDC ITL Limited,MS0181383      ,12501.5,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,Agency Fees – Specialist Contractors,IT Computing IT Corporate Core CORE NETWORK UPGRADE,NDC ITL Limited,MS0181398      ,39060,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,Cleaning services             ,Estates Kew Support Services Core -----,Design Clean Limited,MS0180938      ,31663,Not known
Defra,Royal Botanic Gardens Kew,06-May-10,New works-Pt I-other costs    ,Estates Kew Section Core PLANT INFORMATION CENTRE,Edward Cullinan Architects Ltd,MS0181397      ,47774.5,Not known
Defra,Royal Botanic Gardens Kew,11-May-10,New works-Pt I-other costs    ,Estates Kew Section Core -----,FUEL STORAGE SOLUTIONS LTD,MS0181670      ,28003.65,Not known
Defra,Royal Botanic Gardens Kew,11-May-10,Statutory compliance ,Estates Kew Section Core -----,FUEL STORAGE SOLUTIONS LTD,MS0181674      ,31746.42,Not known
Defra,Royal Botanic Gardens Kew,25-May-10,Reactive Maintenance - Mechanical ,Estates Kew Section Core -----,"R J S Heating, Plumbing & Mech. Sers Ltd",MS0182205      ,24947.01,Not known
,,,,,,,412316.08,
