Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,05/03/2015,Fees for professional services,HO+CS,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,442031,Fees for professional services excluding legal fees,"Ł178,625.10"
Ministry of Defence,Ministry of Defence,02/03/2015,Design services and minor equipment purchases,Defence Equipment + Support,SELEX ES LTD,SS14 3EL,440915,Equipment support non-project costs,"Ł178,331.50"
Ministry of Defence,Ministry of Defence,19/03/2015,Purchase of inventory and services ,JFC,GIB OIL LIMITED,,3000012124,Consumption of oils and lubricants inventory,"Ł178,180.25"
Ministry of Defence,Ministry of Defence,02/03/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,B70 1DA,440712,Works services - excluding United States forces/NATO + married quarters,"Ł177,969.06"
Ministry of Defence,Ministry of Defence,05/03/2015,Spend on Inventory - General,Defence Equipment + Support,HONEYWELL AEROSPACE UK,BA20 2YD,442189,Spend on Inventory - General,"Ł177,283.91"
Ministry of Defence,Ministry of Defence,25/03/2015,Design services and minor equipment purchases,Defence Equipment + Support,QUARTZELEC LIMITED,CV23 0WB,449702,Equipment support project costs,"Ł177,153.52"
Ministry of Defence,Ministry of Defence,18/03/2015,Spend on Inventory - General,Defence Equipment + Support,CARWOOD MOTOR UNITS LTD,CV3 2RQ,446721,Spend on Inventory - General,"Ł176,706.83"
Ministry of Defence,Ministry of Defence,05/03/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,442471,Works - estate management,"Ł176,519.10"
Ministry of Defence,Ministry of Defence,18/03/2015,Grants to NDPBs,Land Forces,DUKE OF YORKS ROYAL MILITARY  SCHOOL,CT15 5EQ,446773,Grant in aid to Duke of York's royal military school academy trust,"Ł176,042.89"
Ministry of Defence,Ministry of Defence,05/03/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS SERVICES (U.K.) LIMITED,B45 9PZ,442024,Cost of food services,"Ł175,836.63"
Ministry of Defence,Ministry of Defence,17/03/2015,Design services and minor equipment purchases,Defence Equipment + Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,446215,Equipment support project costs,"Ł175,731.38"
Ministry of Defence,United Kingdon Hydrographic Office,27/03/2015,Computer maintenance & hire,ICT Delivery Business Group,SAP UK Ltd,,2000073248,Computer maintenance & hire,"Ł175,698.00"
Ministry of Defence,Ministry of Defence,27/03/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,FAST TRAINING SERVICES LIMITED,PO9 1SA,450708,Rent buildings - non civil estate property and married quarter property,"Ł175,482.89"
Ministry of Defence,Ministry of Defence,13/03/2015,"Transportation of personnel, freight and travel expenses",Air Command,AGILITY LOGISTICS LIMITED,RG1 2LG,444973,Movement of service personnel,"Ł175,374.75"
Ministry of Defence,Ministry of Defence,05/03/2015,Design services and minor equipment purchases,Defence Equipment + Support,ULTRA ELECTRONICS LIMITED,UB6 8UA,442476,Equipment support non-project costs,"Ł175,330.00"
Ministry of Defence,Ministry of Defence,10/03/2015,Design services and minor equipment purchases,Defence Equipment + Support,ULTRA ELECTRONICS LIMITED,UB6 8UA,443959,Equipment support non-project costs,"Ł175,330.00"
