Department ,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Defra,Fera,05/04/2011,Direct Subcontractors,International Devmt & Training,NI-CO,1074,51785.91
Defra,Fera,05/04/2011,Other Direct,Woodchester Park,'Veterinary Laboratories Agency,46524,43262
Defra,Fera,05/04/2011,Direct Subcontractors,National Bee Unit,BBKA Enterprises,45374,51500
Defra,Fera,05/04/2011,Direct Subcontractors,Varieties And Seeds Delivery,Agri-Food and Bioscience Institute,46599,53189.2
Defra,Fera,12/04/2011,Prepayment Postal Visa Card,Financial Accounts,National Westminster Bank plc,47200,146057.42
Defra,Fera,14/04/2011,Direct Subcontractors,Intellectual Property,IP Pragmatics Limited,47117,45334.65
Defra,Fera,14/04/2011,Other Direct,Wildlife Management,*The University Of York,47335,30000
Defra,Fera,27/04/2011,IBM (CIOD) Recharge,Knowledge Info Mgt,'D E F R A,45931,1327098.58
