Department,Entity,Date,Transaction Number,GBP Amount,Supplier ,Account Description
FCO,FCO,02-May-13,4276267,230.81,INTERSERVE FM LTD,Cleaning & Waste
FCO,FCO,02-May-13,4276267,481.7,INTERSERVE FM LTD,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,02-May-13,4276267,161.34,INTERSERVE FM LTD,Waste Disposal
FCO,FCO,02-May-13,4276267,"4,401.60",INTERSERVE FM LTD,Reception Services
FCO,FCO,02-May-13,4276267,"2,402.07",INTERSERVE FM LTD,Mail & Porterage Services
FCO,FCO,02-May-13,4276267,"1,100.40",INTERSERVE FM LTD,Office Support Services
FCO,FCO,02-May-13,4276267,137.34,INTERSERVE FM LTD,Estates Management Services
FCO,FCO,02-May-13,4276267,"3,263.30",INTERSERVE FM LTD,Rematching / Reinstatement
FCO,FCO,02-May-13,4276267,"4,270.45",INTERSERVE FM LTD,Contract Fees
FCO,FCO,02-May-13,4288367,"1,328,220.00",MILTON KEYNES COUNCIL,Rates Taxes Non-Residential
FCO,FCO,02-May-13,4292277,"31,526.91",N A MOVING SERVICES LTD,Personal Car Freight
FCO,FCO,02-May-13,4292809,"115,285.86",HEALIX INTERNATIONAL LTD,FCO Healthcare Scheme
FCO,FCO,02-May-13,4292809,"2,243.45",HEALIX INTERNATIONAL LTD,FCO Healthcare Scheme
FCO,FCO,02-May-13,4292809,"23,057.17",HEALIX INTERNATIONAL LTD,FCO Healthcare Scheme
FCO,FCO,02-May-13,4292809,448.69,HEALIX INTERNATIONAL LTD,FCO Healthcare Scheme
FCO,FCO,02-May-13,4292444,"21,195.00",TURNER & TOWNSEND PROPERTY SERVICES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02-May-13,4292444,"4,239.00",TURNER & TOWNSEND PROPERTY SERVICES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02-May-13,4293084,"32,902.52",FICCI - FEDERATION OF INDIAN CHAMBERS OF COMMERCE & INDUSTRY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02-May-13,4290039,466.06,OSLO KEMNERKONTOR,Business Hospitality (former DEE)
FCO,FCO,02-May-13,4292667,"942,097.74",EUROPEAN BANK FOR CONSTRUCTION + DEVELOPMENT,Protocol - General VAT Refunds to Other Organisations
FCO,FCO,02-May-13,4201804,"42,794.72",BRUEGEL AISBL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03-May-13,4292426,"25,048.41",G4S RISK MANAGEMENT LTD ,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03-May-13,4293501,"64,755.00",CROWN AGENTS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03-May-13,4293503,"74,241.00",CROWN AGENTS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03-May-13,4293505,"35,478.00",CROWN AGENTS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03-May-13,4293353,"26,500.00",ECA INTERNATIONAL,Local Allowances
FCO,FCO,03-May-13,4291714,"73,500.00",SEARCH FOR COMMON GROUND,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03-May-13,4292774,"23,470.00",HERMAN MILLER LTD,Construction Project more than £10k
FCO,FCO,03-May-13,4292774,"4,694.00",HERMAN MILLER LTD,Construction Project more than £10k
FCO,FCO,03-May-13,4292028,"33,456.00",CONFEDERATION OF INDIAN INDUSTRY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03-May-13,4282074,"1,800,000.00",ISLAMIC REPUBLIC OF AFGHANISTAN MINISTRY OF FINANCE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03-May-13,4284133,"27,442.20",INSTITUTE FOR SUSTAINABLE COMMUNITIES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03-May-13,4291505,"56,354.11",VENTURE LAO PTE CO LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,03-May-13,4292575,"38,401.96",N2 GROUP LLC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,03-May-13,4292584,"32,270.56",CYBERLEASE LLC,Legal Consultancy
FCO,FCO,03-May-13,4293657,"24,165.00",2 HARE COURT,Legal Consultancy
FCO,FCO,05-May-13,4292162,"67,961.79",CRIMINAL JUSTICE TASK FORCE - CJTF,Programme Spend (Oracle Projects Control Account)
FCO,FCO,06-May-13,4294549,134.23,INTERSERVE FM LTD,FM Interserve Building Fabric Maintenance
FCO,FCO,06-May-13,4294549,"257,771.07",INTERSERVE FM LTD,Construction Project more than £10k
FCO,FCO,06-May-13,4294549,705.25,INTERSERVE FM LTD,Construction Project more than £10k
FCO,FCO,06-May-13,4294549,149.94,INTERSERVE FM LTD,GH/VIP Grant in Aid
FCO,FCO,06-May-13,4294549,29.99,INTERSERVE FM LTD,GH/VIP Grant in Aid
FCO,FCO,06-May-13,4294549,-134.23,INTERSERVE FM LTD,FM Interserve Building Fabric Maintenance
FCO,FCO,06-May-13,4294549,134.23,INTERSERVE FM LTD,FM Interserve Building Fabric Maintenance
FCO,FCO,06-May-13,4294438,"69,000.00",ROYAL UNITED SERVICES INSTITUTE FOR DEFENCE & SECURITY STUDIES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,06-May-13,4292335,"178,845.73",845 THIRD LP,Rental Payments - non residential
FCO,FCO,06-May-13,4292335,"2,167.63",845 THIRD LP,Electricity Non-Residential
FCO,FCO,06-May-13,4292437,"34,559.44",DE95LLC  LANDMARK II,Rental Payments - non residential
FCO,FCO,06-May-13,4292437,"2,311.22",DE95LLC  LANDMARK II,Rental Payments - non residential
FCO,FCO,06-May-13,4254726,"62,064.00",CBRE LTD,Residential Property Services
FCO,FCO,06-May-13,4254726,"-62,064.00",CBRE LTD,Residential Property Services
FCO,FCO,06-May-13,4254726,"75,097.44",CBRE LTD,Residential Property Services
FCO,FCO,06-May-13,4294445,"100,320.00",TSAMOTA LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,06-May-13,4266133,"89,635.00",BINOCULARS UK LTD,Programme Spend (Oracle Projects Control Account)
