Department,Entity,Date,Transaction Number,GBP Amount,Supplier ,Account Description
FCO,FCO,10-May-13,4299814,369.24,ALPHA BANK,Vehicles: Petrol Oil Etc.
FCO,FCO,10-May-13,4299814,405.01,ALPHA BANK,Purchase Of Uniforms
FCO,FCO,10-May-13,4299814,306.77,ALPHA BANK,Post - Air Travel
FCO,FCO,10-May-13,4299814,151.35,ALPHA BANK,Training Courses
FCO,FCO,10-May-13,4299814,34.32,ALPHA BANK,Rail Travel
FCO,FCO,10-May-13,4299814,194.17,ALPHA BANK,Training Courses
FCO,FCO,10-May-13,4299814,78.46,ALPHA BANK,Property Maintenance Overseas Non Residential
FCO,FCO,10-May-13,4299814,116.17,ALPHA BANK,Property Maintenance Overseas Residential
FCO,FCO,10-May-13,4299814,312.84,ALPHA BANK,Property Maintenance Overseas Non Residential
FCO,FCO,10-May-13,4299814,175.87,ALPHA BANK,Fuel Oil Residential
FCO,FCO,10-May-13,4299814,275.56,ALPHA BANK,Purchase Of Uniforms
FCO,FCO,10-May-13,4299814,503.97,ALPHA BANK,Library And Information Services
FCO,FCO,10-May-13,4299814,77.47,ALPHA BANK,Business Hospitality (former DEE)
FCO,FCO,10-May-13,4299814,152.19,ALPHA BANK,Library And Information Services
FCO,FCO,10-May-13,4299814,133.59,ALPHA BANK,Library And Information Services
FCO,FCO,10-May-13,4299814,139.26,ALPHA BANK,Purchase Of Uniforms
FCO,FCO,10-May-13,4299814,92.69,ALPHA BANK,Vehicle Maintenance
FCO,FCO,10-May-13,4299814,139.51,ALPHA BANK,Post - Air Travel
FCO,FCO,10-May-13,4299814,312,ALPHA BANK,Purchase Of Uniforms
FCO,FCO,10-May-13,4299814,365.5,ALPHA BANK,Vehicle Maintenance
FCO,FCO,10-May-13,4299814,750.82,ALPHA BANK,Purchase Of Uniforms
FCO,FCO,10-May-13,4299814,858.03,ALPHA BANK,Business Hospitality (former DEE)
FCO,FCO,10-May-13,4299814,378.79,ALPHA BANK,"Purchase of Furniture, Fittings and Domestic Appliances"
FCO,FCO,10-May-13,4299814,46.42,ALPHA BANK,Purchase Of Uniforms
FCO,FCO,10-May-13,4299814,61.64,ALPHA BANK,Purchase Of Uniforms
FCO,FCO,10-May-13,4299814,33.82,ALPHA BANK,Purchase Of Uniforms
FCO,FCO,10-May-13,4299814,104.42,ALPHA BANK,Purchase Of Uniforms
FCO,FCO,10-May-13,4299814,312,ALPHA BANK,"Purchase of Furniture, Fittings and Domestic Appliances"
FCO,FCO,10-May-13,4299814,275.15,ALPHA BANK,Grounds Maintenance
FCO,FCO,10-May-13,4299814,25.37,ALPHA BANK,Purchase Of Uniforms
FCO,FCO,10-May-13,4299814,33.82,ALPHA BANK,Post - Air Travel
FCO,FCO,10-May-13,4299814,33.82,ALPHA BANK,Post - Air Travel
FCO,FCO,10-May-13,4299814,150.41,ALPHA BANK,Cleaning & Waste
FCO,FCO,10-May-13,4299814,"1,198.95",ALPHA BANK,"Purchase of Furniture, Fittings and Domestic Appliances"
FCO,FCO,10-May-13,4299814,125.98,ALPHA BANK,"Purchase of Furniture, Fittings and Domestic Appliances"
FCO,FCO,10-May-13,4299814,34.67,ALPHA BANK,"Purchase of Furniture, Fittings and Domestic Appliances"
FCO,FCO,10-May-13,4299814,57.5,ALPHA BANK,Repair and maintenance of furniture and fittings
FCO,FCO,10-May-13,4299814,152.19,ALPHA BANK,Unscheduled repairs to building infrastructure
FCO,FCO,10-May-13,4299814,588.32,ALPHA BANK,Business Hospitality (former DEE)
FCO,FCO,10-May-13,4299814,864.12,ALPHA BANK,Purchase Of Uniforms
FCO,FCO,10-May-13,4299814,101.46,ALPHA BANK,Purchase Of Uniforms
FCO,FCO,10-May-13,4299814,126.57,ALPHA BANK,Purchase Of Uniforms
FCO,FCO,10-May-13,4299814,146.06,ALPHA BANK,Training Course: Journeys
FCO,FCO,10-May-13,4299814,32.98,ALPHA BANK,Post - Air Travel
FCO,FCO,10-May-13,4299814,18.35,ALPHA BANK,Post - Air Travel
FCO,FCO,10-May-13,4299814,189.4,ALPHA BANK,Post - Air Travel
FCO,FCO,10-May-13,4299814,325.53,ALPHA BANK,Post - Air Travel
FCO,FCO,10-May-13,4299814,21.14,ALPHA BANK,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,10-May-13,4299814,39.13,ALPHA BANK,Business Hospitality (former DEE)
FCO,FCO,10-May-13,4299814,-19.72,ALPHA BANK,Rail Travel
FCO,FCO,10-May-13,4299814,-439.67,ALPHA BANK,Post - Air Travel
FCO,FCO,10-May-13,4299814,19.72,ALPHA BANK,Sea Ferry Journeys
FCO,FCO,10-May-13,4299814,439.67,ALPHA BANK,Post - Air Travel
FCO,FCO,10-May-13,4300560,"90,792.00",KNOCK TRAVEL,Accommodation
FCO,FCO,10-May-13,4301886,378.62,SISTEMA INTEGRADO MULTIPLE DE PAGOS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10-May-13,4301886,381.37,SISTEMA INTEGRADO MULTIPLE DE PAGOS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10-May-13,4301886,260.46,SISTEMA INTEGRADO MULTIPLE DE PAGOS,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10-May-13,4291977,"87,264.20",GARDA WORLD LTD,Specialist Contractors
FCO,FCO,10-May-13,4300138,"154,555.91",MSECURE LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,10-May-13,4292726,"41,030.57",BK SHRESTHA AND BUILDERS PVT LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,10-May-13,4299948,"29,316.70",NERA UK LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10-May-13,4300229,"46,103.00",EIC LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,10-May-13,4300229,"3,746.87",EIC LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,10-May-13,4297606,"25,555.21",SHIFT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10-May-13,4300605,"884,126.26",CORPORATE TELEVISION NETWORK LTD,Inward visits to the UK and UK Conferences
FCO,FCO,13-May-13,4299982,"400,000.00",BBC  BRITISH BROADCASTING CORPORATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13-May-13,4299997,"18,400,000.00",BBC  BRITISH BROADCASTING CORPORATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13-May-13,4295484,"2,525.53",LIBERTY LIFE PROPERTIES,Electricity Non-Residential
FCO,FCO,13-May-13,4295484,515.41,LIBERTY LIFE PROPERTIES,Rates Taxes Non-Residential
FCO,FCO,13-May-13,4295484,50.35,LIBERTY LIFE PROPERTIES,Waste Disposal
FCO,FCO,13-May-13,4295484,"27,097.69",LIBERTY LIFE PROPERTIES,Rental Payments - non residential
FCO,FCO,13-May-13,4295484,90.11,LIBERTY LIFE PROPERTIES,Water Non-Residential
FCO,FCO,13-May-13,4295478,549.89,GARANTI BANKASI,Business Hospitality (former DEE)
FCO,FCO,13-May-13,4295478,90.01,GARANTI BANKASI,Vehicle Hire
FCO,FCO,13-May-13,4295478,27.54,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,49.5,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,118.09,GARANTI BANKASI,Fuel
FCO,FCO,13-May-13,4295478,36,GARANTI BANKASI,Fuel
FCO,FCO,13-May-13,4295478,132.41,GARANTI BANKASI,Fuel
FCO,FCO,13-May-13,4295478,110.55,GARANTI BANKASI,Fuel
FCO,FCO,13-May-13,4295478,3.78,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,77.41,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,151.22,GARANTI BANKASI,Accommodation
FCO,FCO,13-May-13,4295478,25.92,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,3.4,GARANTI BANKASI,Local Courier Fares
FCO,FCO,13-May-13,4295478,154.64,GARANTI BANKASI,Security: Works Non-Residential
FCO,FCO,13-May-13,4295478,76.69,GARANTI BANKASI,Training Courses
FCO,FCO,13-May-13,4295478,12.6,GARANTI BANKASI,Training Courses
FCO,FCO,13-May-13,4295478,172.82,GARANTI BANKASI,Business Hospitality (former DEE)
FCO,FCO,13-May-13,4295478,35.32,GARANTI BANKASI,Local Courier Fares
FCO,FCO,13-May-13,4295478,84.61,GARANTI BANKASI,Office Support Services
FCO,FCO,13-May-13,4295478,5.76,GARANTI BANKASI,Training Courses
FCO,FCO,13-May-13,4295478,30.79,GARANTI BANKASI,Training Courses
FCO,FCO,13-May-13,4295478,131.95,GARANTI BANKASI,Training Courses
FCO,FCO,13-May-13,4295478,12.48,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,11.88,GARANTI BANKASI,Business Hospitality (former DEE)
FCO,FCO,13-May-13,4295478,518.11,GARANTI BANKASI,Accommodation
FCO,FCO,13-May-13,4295478,515.46,GARANTI BANKASI,Learning and Development for overseas staff
FCO,FCO,13-May-13,4295478,98.29,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,20.88,GARANTI BANKASI,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,13-May-13,4295478,171.38,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,77.05,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,44.64,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,87.13,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,7.2,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,95.05,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,158.06,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,44.23,GARANTI BANKASI,Accommodation
FCO,FCO,13-May-13,4295478,136.81,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,3.15,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,36,GARANTI BANKASI,Vehicles Miscellaneous
FCO,FCO,13-May-13,4295478,341.22,GARANTI BANKASI,Vehicle Hire
FCO,FCO,13-May-13,4295478,84.97,GARANTI BANKASI,Estates - Other Machinery and Equipment
FCO,FCO,13-May-13,4295478,80.38,GARANTI BANKASI,Accommodation
FCO,FCO,13-May-13,4295478,18.26,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,16.82,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,7.02,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,6.73,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,50.77,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,207.06,GARANTI BANKASI,Accommodation
FCO,FCO,13-May-13,4295478,84.97,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,44.64,GARANTI BANKASI,Business Hospitality (former DEE)
FCO,FCO,13-May-13,4295478,23.49,GARANTI BANKASI,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
FCO,FCO,13-May-13,4295478,18,GARANTI BANKASI,Vehicles Miscellaneous
FCO,FCO,13-May-13,4295478,93.61,GARANTI BANKASI,Technical Supplies (Maint)
FCO,FCO,13-May-13,4295478,355.58,GARANTI BANKASI,Accommodation
FCO,FCO,13-May-13,4295478,30.6,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,28.24,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,31.73,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,6.68,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,5.1,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,14.43,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,15.37,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,4.54,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,13.68,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,262.38,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,207.02,GARANTI BANKASI,Accommodation
FCO,FCO,13-May-13,4295478,17.28,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,8.26,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,250.66,GARANTI BANKASI,Property Maintenance Overseas Non Residential
FCO,FCO,13-May-13,4295478,326.96,GARANTI BANKASI,Training Courses
FCO,FCO,13-May-13,4295478,412.1,GARANTI BANKASI,Information Systems Maintenance
FCO,FCO,13-May-13,4295478,161.66,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,69.12,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,-112.33,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,17.58,GARANTI BANKASI,Office Support Services
FCO,FCO,13-May-13,4295478,10.8,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,81.45,GARANTI BANKASI,Office Support Services
FCO,FCO,13-May-13,4295478,14.1,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,91.61,GARANTI BANKASI,Accommodation
FCO,FCO,13-May-13,4295478,105.85,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,25.2,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,11.7,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,563.65,GARANTI BANKASI,Accommodation
FCO,FCO,13-May-13,4295478,2.52,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,20.55,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,20.55,GARANTI BANKASI,Taxi
FCO,FCO,13-May-13,4295478,4.62,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,10.27,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,10.27,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,3.5,GARANTI BANKASI,Accommodation
FCO,FCO,13-May-13,4295478,5.07,GARANTI BANKASI,Accommodation
FCO,FCO,13-May-13,4295478,5.47,GARANTI BANKASI,Accommodation
FCO,FCO,13-May-13,4295478,20.7,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,492.89,GARANTI BANKASI,Accommodation
FCO,FCO,13-May-13,4295478,5.58,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,40.39,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,14.04,GARANTI BANKASI,Mileage
FCO,FCO,13-May-13,4295478,"1,011.93",GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,324.51,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,14.22,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,4.68,GARANTI BANKASI,Mileage
FCO,FCO,13-May-13,4295478,33.05,GARANTI BANKASI,Vehicle Maintenance
FCO,FCO,13-May-13,4295478,126.55,GARANTI BANKASI,Postal Services
FCO,FCO,13-May-13,4295478,277.23,GARANTI BANKASI,Vehicles Miscellaneous
FCO,FCO,13-May-13,4295478,77.4,GARANTI BANKASI,Electricity Residential
FCO,FCO,13-May-13,4295478,477.7,GARANTI BANKASI,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13-May-13,4295478,380.27,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,207.28,GARANTI BANKASI,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13-May-13,4295478,188.3,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,111.48,GARANTI BANKASI,The Stationery Office
FCO,FCO,13-May-13,4295478,111.48,GARANTI BANKASI,The Stationery Office
FCO,FCO,13-May-13,4295478,102.74,GARANTI BANKASI,Training Courses
FCO,FCO,13-May-13,4295478,"1,148.87",GARANTI BANKASI,Business Hospitality (former DEE)
FCO,FCO,13-May-13,4295478,43.2,GARANTI BANKASI,Training Courses
FCO,FCO,13-May-13,4295478,415.82,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,601.97,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,917.66,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,"1,063.10",GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,172.35,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,278.92,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,3.05,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,365.04,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,309.89,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,21.6,GARANTI BANKASI,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13-May-13,4295478,233.66,GARANTI BANKASI,Representation of the FCO
FCO,FCO,13-May-13,4295478,483.59,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,85.44,GARANTI BANKASI,Accommodation
FCO,FCO,13-May-13,4295478,244.49,GARANTI BANKASI,Accommodation
FCO,FCO,13-May-13,4295478,2.61,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,5.76,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,75.61,GARANTI BANKASI,Fuel
FCO,FCO,13-May-13,4295478,10.8,GARANTI BANKASI,Vehicles: Materials and Parts
FCO,FCO,13-May-13,4295478,69.85,GARANTI BANKASI,Vehicle Maintenance
FCO,FCO,13-May-13,4295478,28.8,GARANTI BANKASI,Property Maintenance Overseas Non Residential
FCO,FCO,13-May-13,4295478,113.7,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,423.69,GARANTI BANKASI,Property Maintenance Overseas Non Residential
FCO,FCO,13-May-13,4295478,79.96,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,503.69,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,118.96,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,28.8,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,187.22,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,35.47,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,196.49,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,4.32,GARANTI BANKASI,Property Maintenance Overseas Non Residential
FCO,FCO,13-May-13,4295478,181.83,GARANTI BANKASI,Security: Works Non-Residential
FCO,FCO,13-May-13,4295478,488.57,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,367.06,GARANTI BANKASI,Property Maintenance Overseas Non Residential
FCO,FCO,13-May-13,4295478,181.62,GARANTI BANKASI,Property Maintenance Overseas Non Residential
FCO,FCO,13-May-13,4295478,47.16,GARANTI BANKASI,Property Maintenance Overseas Non Residential
FCO,FCO,13-May-13,4295478,426.97,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,115.56,GARANTI BANKASI,Security: Works Residential
FCO,FCO,13-May-13,4295478,12.6,GARANTI BANKASI,Property Maintenance Overseas Non Residential
FCO,FCO,13-May-13,4295478,14.4,GARANTI BANKASI,Property Maintenance Overseas Non Residential
FCO,FCO,13-May-13,4295478,97.21,GARANTI BANKASI,Property Maintenance Overseas Non Residential
FCO,FCO,13-May-13,4295478,154.64,GARANTI BANKASI,Security: Works Non-Residential
FCO,FCO,13-May-13,4295478,430.6,GARANTI BANKASI,Estates - Other Machinery and Equipment
FCO,FCO,13-May-13,4295478,55.45,GARANTI BANKASI,Telephone Call Charges
FCO,FCO,13-May-13,4295478,127.45,GARANTI BANKASI,Estates - Other Machinery and Equipment
FCO,FCO,13-May-13,4295478,741.5,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,635.11,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,409.19,GARANTI BANKASI,Accommodation
FCO,FCO,13-May-13,4295478,85.39,GARANTI BANKASI,Rail Travel
FCO,FCO,13-May-13,4295478,"1,127.29",GARANTI BANKASI,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13-May-13,4295478,774.5,GARANTI BANKASI,Accommodation
FCO,FCO,13-May-13,4295478,199.79,GARANTI BANKASI,Business Hospitality (former DEE)
FCO,FCO,13-May-13,4295478,"1,104.26",GARANTI BANKASI,Accommodation
FCO,FCO,13-May-13,4295478,224.32,GARANTI BANKASI,Cleaning & Waste
FCO,FCO,13-May-13,4295478,38.7,GARANTI BANKASI,Business Hospitality (former DEE)
FCO,FCO,13-May-13,4295478,248.42,GARANTI BANKASI,Learning and Development for overseas staff
FCO,FCO,13-May-13,4295478,"1,332.31",GARANTI BANKASI,"Purchase of Furniture, Fittings and Domestic Appliances"
FCO,FCO,13-May-13,4295478,217.09,GARANTI BANKASI,"Purchase of Furniture, Fittings and Domestic Appliances"
FCO,FCO,13-May-13,4295478,"1,543.45",GARANTI BANKASI,"Purchase of Furniture, Fittings and Domestic Appliances"
FCO,FCO,13-May-13,4295478,"1,052.93",GARANTI BANKASI,Water Non-Residential
FCO,FCO,13-May-13,4295478,36,GARANTI BANKASI,Vehicles: Petrol Oil Etc.
FCO,FCO,13-May-13,4295478,73.08,GARANTI BANKASI,Grounds Maintenance
FCO,FCO,13-May-13,4295478,93.25,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,9.36,GARANTI BANKASI,Grounds Maintenance
FCO,FCO,13-May-13,4295478,169.58,GARANTI BANKASI,Property Maintenance Overseas Non Residential
FCO,FCO,13-May-13,4295478,8.28,GARANTI BANKASI,Property Maintenance Overseas Non Residential
FCO,FCO,13-May-13,4295478,14.4,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,77.53,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,194.47,GARANTI BANKASI,Property Maintenance Overseas Non Residential
FCO,FCO,13-May-13,4295478,108.33,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,108.33,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,36,GARANTI BANKASI,Property Maintenance Overseas Non Residential
FCO,FCO,13-May-13,4295478,7.2,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,6.3,GARANTI BANKASI,Repairs And Refurbishment: Works Residential
FCO,FCO,13-May-13,4295478,5.4,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,4.5,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,19.44,GARANTI BANKASI,Grounds Maintenance
FCO,FCO,13-May-13,4295478,17.1,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,29.52,GARANTI BANKASI,Repairs And Refurbishment: Works Residential
FCO,FCO,13-May-13,4295478,127.45,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,62.93,GARANTI BANKASI,Property Maintenance Overseas Residential
FCO,FCO,13-May-13,4295478,356.91,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,152.3,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,152.3,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,137.89,GARANTI BANKASI,UK - Air Travel
FCO,FCO,13-May-13,4295478,98.29,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,337.34,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,188.3,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,284.24,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,130.69,GARANTI BANKASI,Training Courses
FCO,FCO,13-May-13,4295478,171.57,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,188.3,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,188.3,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,141.49,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,130.69,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,28.08,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,173.18,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,139.31,GARANTI BANKASI,Training Courses
FCO,FCO,13-May-13,4295478,609.07,GARANTI BANKASI,Training Courses
FCO,FCO,13-May-13,4295478,27,GARANTI BANKASI,Taxi
FCO,FCO,13-May-13,4295478,43.2,GARANTI BANKASI,Taxi
FCO,FCO,13-May-13,4295478,144.01,GARANTI BANKASI,Purchase Of Uniforms
FCO,FCO,13-May-13,4295478,0.86,GARANTI BANKASI,Mobile Telephone Equipment
FCO,FCO,13-May-13,4295478,504.05,GARANTI BANKASI,Mobile Telephone Equipment
FCO,FCO,13-May-13,4295478,0.43,GARANTI BANKASI,Mobile Telephone Equipment
FCO,FCO,13-May-13,4295478,"1,437.62",GARANTI BANKASI,General Information Services
FCO,FCO,13-May-13,4295478,21.24,GARANTI BANKASI,Printing
FCO,FCO,13-May-13,4295478,21.24,GARANTI BANKASI,Printing
FCO,FCO,13-May-13,4295478,84.97,GARANTI BANKASI,Printing
FCO,FCO,13-May-13,4295478,637.26,GARANTI BANKASI,Business Hospitality (former DEE)
FCO,FCO,13-May-13,4295478,180.02,GARANTI BANKASI,Office Support Services
FCO,FCO,13-May-13,4295478,"2,863.79",GARANTI BANKASI,Business Hospitality (former DEE)
FCO,FCO,13-May-13,4295478,774.67,GARANTI BANKASI,Accommodation
FCO,FCO,13-May-13,4295478,5.04,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,3.61,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,23.54,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,26.6,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,15.04,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,4.45,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,15.57,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,30.83,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,25.7,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,7.69,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,20.6,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,20.46,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,20.46,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,9.27,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,6.32,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,506.54,GARANTI BANKASI,Meals
FCO,FCO,13-May-13,4295478,796.63,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,65.53,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,152.12,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,203.78,GARANTI BANKASI,Post - Air Travel
FCO,FCO,13-May-13,4295478,"1,956.14",GARANTI BANKASI,Property Maintenance Overseas Non Residential
FCO,FCO,13-May-13,4295478,"1,430.00",GARANTI BANKASI,Meals
