1 Department Family,2 Entity,3 Date,4 Expense Type,5 Expense Area,6 Supplier,7 Transaction No,8 Amount
DEFRA,Marine Management Organisation,08-Apr-10,Grant Payments,Grants Team,Wells Harbour Commissioners,FEF0058,"154,619.10"
DEFRA,Marine Management Organisation,08-Apr-10,Agency IT Services (IBM),Finance,DEFRA,191823,"150,913.70"
DEFRA,Marine Management Organisation,08-Apr-10,Agency IT Services (IBM),Finance,DEFRA,191779,"131,054.53"
DEFRA,Marine Management Organisation,08-Apr-10,Recruitment Charges,MFA HQ Relocation,Northern Recruitment Group,P123079,"109,980.00"
DEFRA,Marine Management Organisation,08-Apr-10,Grant Payments,Grants Team,Sam Cole Food Group Limited,FEF0192250310,"44,539.14"
DEFRA,Marine Management Organisation,09-Apr-10,Aerial Surveillance Costs,North HQ,Directflight Ltd,211,"173,832.57"
DEFRA,Marine Management Organisation,09-Apr-10,Overhead Incidental Expenses,MMO Establishment,Capita Resourcing Ltd,91699157,"27,230.39"
DEFRA,Marine Management Organisation,14-Apr-10,GPC Card,Various cost centres,Barclaycard Business Issuing,4.7153206491e+021,"56,269.04"
DEFRA,Marine Management Organisation,14-Apr-10,Internal audit contract,Finance,DEFRA,191936,"41,984.00"
DEFRA,Marine Management Organisation,16-Apr-10,Grant Payments,Grants Team,Seafood Training Centre,FEF60010410,"44,831.28"
DEFRA,Marine Management Organisation,16-Apr-10,Grant Payments,Grants Team,Paramount 21 Ltd,FEF0306,"43,078.92"
DEFRA,Marine Management Organisation,21-Apr-10,Overhead Incidental Expenses,Finance,Seazone Solutions Ltd,SZ01248,"238,799.39"
