Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,
DEFRA,Core Defra,05/06/2013,International Subscriptions (Foreign Payments),Policy Delivery DG,United Nations Environment Prog,FUND850UK230513,"£260,955.24",Trust fund for the convention on the Conservation of Migratory species of Wild Animals,00100,,,00000000,Expense,,
DEFRA,Core Defra,21/06/2013,Current Grants E,Policy Delivery DG,R S P B,220513,"£27,097.50",Conserving the critically endangered Bengal Florican - a Terai flagship species - Darwin Initiative grant - October 2012-March 2013,SG19 2DL,,Exempt,DARWDFID,Expense,,
DEFRA,Core Defra,07/06/2013,Current Grants E,Policy Delivery DG,University Of Kent,230513,"£29,113.49",A cutting-edge approach to saving Seychelles' evolutionary distinct biodiversity  - Darwin Initiative grant - April 2013-March 2014,CT2 7NZ,,Exempt,DARWINXX,Expense,,
DEFRA,Core Defra,05/06/2013,International Subscriptions (Foreign Payments),Policy Delivery DG,International Union for Conservation of Nature,2013ST290,"£337,665.22",Foreign payment - Membership to International Union for Conservation of Nature,1196,,,00000000,Expense,,
DEFRA,Core Defra,07/06/2013,Current Grants E,Policy Delivery DG,University of Oxford,240413,"£34,428.75",An autonomous seabird monitoring network for the southern ocean (1 April-30 June 2013) - Darwin Initiative Grant Scheme - Darwin Plus Award,OX1 2JD,,,DARWPLUS,Expense,,
DEFRA,Core Defra,21/06/2013,Current Grants E,Policy Delivery DG,The Natural History Museum,190413,"£25,074.46",2012-13 Tools for the sustainable harvesting of Mayanut (Mesoamerica) - Darwin Initiative grant,SW7 5BD,,exempt,DARWINXX,Expense,,
DEFRA,Core Defra,17/06/2013,Computer & IT Services,Chief Operating Officer DG,Department For Work & Pensions,2912579,"£549,700.00",2012-13 Government Gateway annual charges ,FY5 3TA,SME,IGS,ISONB111,Expense,,
DEFRA,Core Defra,27/06/2013,Contractor - Management Cover,Chief Operating Officer DG,Detica Ltd,1055251,"£51,000.00",Costs of consultant providing specialist Information Assurance and IT security advice 26 January-30 April 2013,GU2 7YP,SME,10990,00000000,Expense,,
DEFRA,Core Defra,21/06/2013,Current Grants E,Policy Delivery DG,Bangor University,300513,"£27,209.75",2012-13 Strengthening the world's largest Marine Protected Area: Chagos Archipelago.  Darwin Initiative grant.,LL57 2DG,,Exempt,DARWINXX,Expense,,
DEFRA,Core Defra,19/06/2013,Current Grants E,Policy Delivery DG,Global Diversity Foundation,190313,"£26,675.00","Medicinal plant trade, conservation and local livelihoods in southern Morocco (2013-16). Darwin Initiative Grant Scheme advance payment of Main Award",CT1 2TU,,20110,DARWDFID,Expense,,
DEFRA,Core Defra,25/06/2013,Current Grants E,Policy Delivery DG,Waste & Resources Action Programme,JUNE1170613,"£2,094,838.00",Funding for Waste and Resources Action Programme (WRAP) - June 2013 payment,OX16 0AH,,Programme,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Other Current Payments E,Policy Delivery DG,South West Water Services Ltd,150513,"£9,785,274.00",2013-14 Funding to reduce the water sewerage charges levied on certain South West Water customers.  First payment.,EX2 7HR,,,00000000,Expense,,
DEFRA,Core Defra,11/06/2013,Evidence Non R&D,Policy Delivery DG,Food & Environment Research Agency,F0029968,"£30,129.66",2012-13 Memorandum of Understanding - Badger Vaccine Deployment Project - June 2013 payment,YO41 1LZ,,exempt,FERA0001,Expense,,
DEFRA,Core Defra,25/06/2013,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5806130182,"£76,671.04",Technology Refresh - June 2013,GU1 2LD,SME,FRW10040-00,P12TR180,Expense,,
DEFRA,Core Defra,17/06/2013,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5805130937,"£69,158.35",2012/2013 annual penetration test - May 2013,GU1 2LD,SME,FRW10040-00,P12TR150,Expense,,
DEFRA,Core Defra,11/06/2013,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5805130315,"£54,405.55",Software Technology Refresh - Microsoft.NET software upgrade  April-May 2013,GU1 2LD,SME,FRW10040-00,P12TR080,Expense,,
DEFRA,Core Defra,11/06/2013,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,"""5805130314""","£194,925.40",Software technology refresh pre-engagement framework - February-March 2013,GU1 2LD,SME,FRW10040-00,P12TR150,Expense,,
DEFRA,Core Defra,25/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Leeds,90181582,"£63,482.00",Developing an effective method for the systematic surveillance of bats in woodland habitats in the UK.  December 2011 - November 2013.,LS2 9JT,,exempt,00000000,Expense,,
DEFRA,Core Defra,13/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Falklands Conservation,060613,"£30,100.00","Understanding and addressing the impact of invasive non-native species in the UK Overseas Territories in the South Atlantic: Early intervention and control of invasive plants in the Falkland Islands - June 2013 payment    
",SG19 3JA,SME,Exempt,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,BTO Services Limited,ACCS0209220213,"£130,000.00",2012-13 Effects of woodland structure on woodland bird abundance - March 2013 payment,IP24 2PU,SME,WC0793/CR0485 exempt,00000000,Expense,,
DEFRA,Core Defra,11/06/2013,Current Grants - Local Authorities,Policy Delivery DG,Dept For Communities & Local Gov,050613,"£1,250,000.00",2013-14 Local Services Support Grant - June 2013 payment,HP2 4XN,,IGS,00000000,Expense,,
DEFRA,Core Defra,27/06/2013,Current Grants E,Policy Delivery DG,Met Office,I0087424,"£575,000.00","2013-14 Providing an Intergrated Flood Forecasting and Alerts Service covering England, to support and enhance exisiting national area delivery.  April-June 2013 payment.",EX1 3PB,,tba,00000000,Expense,,
DEFRA,Core Defra,03/06/2013,Grant-in Aid Payments,Policy Delivery DG,Environment Agency,EAGIAJUNE13,"£10,000,000.00",Grant-in-Aid - June 2013 payment,BS1 5AH,,18342,00000000,Expense,,
DEFRA,Core Defra,25/06/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026425,"£26,816.23","London Rationalisation Programme, Nobel House - Additional Data and Power Works - May 2013",BS32 4NH,,10226,B196P010,Asset,,
DEFRA,Core Defra,25/06/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-519648-44661,"£26,673.83",Research and development towards novel field-based approaches to the diagnosis of bovine tuberculosis in badgers - June 2013,KT15 3NB,SME,,00000000,Expense,,
DEFRA,Core Defra,25/06/2013,Other Current Payments (GB),Policy Delivery DG,Food & Environment Research Agency,F0030264,"£35,894.00",2012-13 Memorandum of Understanding - Badger control advice and support - June 2013 payment,YO41 1LZ,,funding/ids,BCP00001,Expense,,
DEFRA,Core Defra,05/06/2013,Other Current Payments E,Policy Delivery DG,The Farming Community Network,124,"£37,500.00",Bovine Tuberculosis business advice project - April-September 2013,NN6 7AQ,,17046,FAP00001,Expense,,
DEFRA,Core Defra,27/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Zoological Society Of London.,ERS-519632-44628,"£40,198.83",A study to examine the interactions between cattle and badgers - June 2013 payment,NW1 4RY,,Exempt,00000000,Expense,,
DEFRA,Core Defra,24/06/2013,Payments to Agencies GB,Policy Delivery DG,D L O Holding/Prionics AG,220613,"£188,707.36",Purchase of Tuberculin,8952,,,TUBP0468,Expense,,
DEFRA,Core Defra,27/06/2013,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026497,"£281,297.58",Costs Incurred for the undertaking of estates maintenance projects over multiple sites which have been invoiced for in May 2013,BS32 4NH,,17808,B0820000,Asset,,
DEFRA,Core Defra,25/06/2013,Estates IFM Pass- Through Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026332,"£109,221.01",Monthly charge for consumables provided by Interserve as part of the facilities management contract - charge covers properties across the Defra Network Estate - May 2013,BS32 4NH,,10226,00000000,Expense,,
DEFRA,Core Defra,10/06/2013,Payments to Agencies GB,Policy Delivery DG,D L O Holding/Prionics AG,060613,"£188,707.36",Purchase of Tuberculin,8952,,,TUBP0468,Expense,,
DEFRA,Core Defra,27/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Imperial College London,ERS-519636-44580,"£45,821.00",Transmission modelling and cost-effectiveness analysis of cattle vaccination at a herd level - June 2013 payment.,SW7 2AZ,,exempt,00000000,Expense,,
DEFRA,Core Defra,27/06/2013,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,5805131110,"£6,155,795.76",IT Services - June 2013,GU1 2LD,SME,10040,00000000,Expense,,
DEFRA,Core Defra,07/06/2013,Membership of Organisations,Chief Operating Officer DG,Forrester Research Ltd,FRUK000360,"£36,330.00",Annual subscription for access to Forrester Market Intelligence services,W1T 2JG,SME,20033,P1000000,Expense,,
DEFRA,Core Defra,27/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Kings College London,ERS-520252-44514,"£41,187.53",Demonstration Test Catchment project investigates innovative solutions to the problem of diffuse pollution in water quality including a data archive available to the public and for future research.  March 2013 payment.,WC2R 2LS,,Exempt,SFFS0004,Expense,,
DEFRA,Core Defra,03/06/2013,Training - Other External,Chief Operating Officer DG,H M R C,18000026952012,"£41,000.00",Civil Service resourcing project to increase the UK contingent of the permanent staff of the EU institution including re-launched European Fast Stream,BN12 4XH,,exempt,00000000,Expense,,
DEFRA,Core Defra,21/06/2013,Other Current Payments UK,Policy Delivery DG,Gangmasters Licensing Authority,13061322557700,"£272,862.00",Gangmasters Licensing Authority licensing/enforcement expenses funding - June 2013,NG8 9AF,,GIA,GLA00002,Expense,,
DEFRA,Core Defra,25/06/2013,Other Current Payments E,Policy Delivery DG,Food & Environment Research Agency,F0028628,"£419,227.00",2012-13 Emergency Response and Recovery Programme - April 2013 payment,YO41 1LZ,,exempt,00000000,Expense,,
DEFRA,Core Defra,21/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Energy Saving Trust Ltd,SINGENL219,"£25,000.00",2012-13 At Home With Water - boiling point project,SW1H 9BP,,,00000000,Expense,,
DEFRA,Core Defra,13/06/2013,Prog - Admin Costs - FLS Office Services Consultancy,Policy Delivery DG,Freshfields Bruckhaus Deringer,EUKFF136461,"£227,265.86",2012-13 Commercial legal advice for the Thames Tideway Tunnel Project. April 2013 payment.,EC4Y 1HS,,17831,00000000,Expense,,
DEFRA,Core Defra,11/06/2013,Other Current Payments (GB),Policy Delivery DG,Food Standards Agency,1702112,"£29,519.14",2012-14 Memorandum of Understanding - May 2013 payment,YO1 2YX,,IGS,ABPO0001,Expense,,
DEFRA,Core Defra,25/06/2013,Other Current Payments (Evidence R&D) (Agency),Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,ERS-519588-44641,"£91,764.10",2013-14 Optimising targeted proteomics for quantitative species-specific analyses of animal feed - June 2013.,KT15 3NB,SME,exempt,00000000,Expense,,
DEFRA,Core Defra,25/06/2013,Other Current Payments (GB),Policy Delivery DG,Food Standards Agency,1702145,"£29,795.27",2012-14 Memorandum of Understanding - June 2013 payment,YO1 2YX,,IGS,ABPO0001,Expense,,
DEFRA,Core Defra,05/06/2013,Publications - Storage & Distribution (C),Chief Operating Officer DG,Iron Mountain (UK) Ltd,0340097,"£50,400.00",2013-14 Defra records storage contract - May 2013 payment,EH54 7DF,,17664,00000000,Expense,,
DEFRA,Core Defra,03/06/2013,Computer & IT Services,Chief Operating Officer DG,British Geological Survey,NERC10327,"£182,316.00",2013-14 Renewal of licence for British Geological Survey information,NG12 5GG,,20008,00000000,Expense,,
DEFRA,Core Defra,25/06/2013,Evidence Non R&D,Policy Delivery DG,National Physical Laboratory,115847,"£122,865.71",2012-13 Polycyclic Aromatic Hydrocarbons (PAHs) Monitoring and Analysis Network - March 2013 payment,TW11 0LW,SME,13181/3,AQNONRDX,Expense,,
DEFRA,Core Defra,17/06/2013,Overhead Incidental Expenses,Chief Operating Officer DG,Royal Botanic Gardens Kew,S9274MT,"£72,572.33",Human Resouce and Information Communication Technology costs associated with the move of Kew processes to Defra - April 2013,TW9 3AB,,Exempt,00000000,Expense,,
DEFRA,Core Defra,03/06/2013,Evidence Non R&D,Policy Delivery DG,Rural Payments Agency,333753,"£35,813.00",2012-13 Horticultural Marketing Inspectorate fruit and vegetable price collection,RG1 1AF,SME,IGS,FCAG0003,Expense,,
DEFRA,Core Defra,27/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,North Wyke Research.,ERS-520071-44595,"£38,566.24",Greenhouse Gas Platform - Nitrous Oxide Emissions Factors - June 2013 payment,AL5 2JQ,SME,Exempt,SFFS0005,Expense,,
DEFRA,Core Defra,27/06/2013,Other Current Payments E,Chief Operating Officer DG,Steria Limited,100047412,"£28,542.00","Advisory services within IT relating to systems and concepts, including strategic studies and development of specific projects for the period 22 April-17 May 2013",HP2 7DH,,16825,P1300000,Expense,,
DEFRA,Core Defra,27/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Reading,ERS-520072-44556,"£42,075.08",Optimising the efficiency of dietary nitrogen use to reduce emissions and waste in dairy systems - June 13,RG6 6AH,,,SFFS0005,Expense,,
DEFRA,Core Defra,17/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Institute Of Food Research,INV0004322,"£26,416.76",Production of bioalcohols from lignocellosic waste materials produced in the agri-food chain - October-December 2012,NR4 7UA,SME,exempt,SFFS0005,Expense,,
DEFRA,Core Defra,25/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,The Arable Group,TA1285,"£38,640.77",Reducing herbicide use in row crops with new targeted application methods treating detected weeds in bands.  May 2013 payment.,NR18 9DF,SME,9 MILLBANK,00000000,Expense,,
DEFRA,Core Defra,11/06/2013,Current Grants - Local Authorities,Policy Delivery DG,Dept For Communities & Local Gov,01201314,"£19,624,878.00",2013-14 Waste Infrastructure Grant -first quarter payment,HP2 4XN,,Grant,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Natural Environ Research Council,NERC10418,"£50,000.00",2013-14 Shelf Sea biogeochemistry programme,SN2 1EU,,Exempt,00000000,Expense,,
DEFRA,Core Defra,13/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Marine Biological Association,348,"£51,000.00",Marine Environmental Change Network - January 2013 payment,PL1 2PB,SME,exempt,00000000,Expense,,
DEFRA,Core Defra,27/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,The Sir Alister Hardy Foundation For Ocean Science,ERS-519704-44529,"£26,666.66",The Continous Plankton Recorder Survey: Monitoring Marine Biodiversity and Environmental Change in the World's Oceans.  June 2013 payment.,PL1 2PB,SME,,00000000,Expense,,
DEFRA,Core Defra,27/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,The Pirbright Institute,ERS-519618-44690,"£55,239.75",Genetic Resources for Food and Agriculture - development of novel foot and mouth disease vaccines - June 2013,GU24 0NF,,exempt,00000000,Expense,,
DEFRA,Core Defra,13/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Risk & Policy Analysts Ltd,1768092,"£28,070.00",Value of the impact marine protected areas on recreation and tourism - second report,NR14 6LT,SME,Exempt,00000000,Expense,,
DEFRA,Core Defra,25/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Thomson Reuters (Professional UK) Ltd,801693035,"£64,000.00",Solcara (software) support - 2012/13,SP10 9AH,,exempt,00000000,Expense,,
DEFRA,Core Defra,03/06/2013,Business & Technical/Consultancy Assignments,Chief Operating Officer DG,IBM United Kingdom Ltd,5804131408,"£29,909.96",Application development costs for Kew transfer of support services - April 2013,GU1 2LD,SME,FRW10040-00,KEWONB11,Expense,,
DEFRA,Core Defra,19/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Aberdeen,14061331188000,"£259,900.00","2012-13 Work to increase understanding of emissions of nitrous oxide from soils under typical UK agricultural management practices, improving the UK inventory of greenhouse gasses submitted annually under the Kyoto Protocol and United Nations Framework Convention on Climate Change - June 2013 payment",AB24 3FX,,AC0116,SFFS0005,Expense,,
DEFRA,Core Defra,27/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,UNEP-WCMC,0001418,"£651,441.00",2012-14 Follow-on work to the UK National Ecosystem Assessment,CB3 0DL,SME,Exempt,00000000,Expense,,
DEFRA,Core Defra,03/06/2013,Grant-in Aid Payments,Policy Delivery DG,Natural England,280513,"£14,000,000.00",Grant-in-aid payment - June 2013,YO1 7PX,,18523,00000000,Expense,,
DEFRA,Core Defra,11/06/2013,Other Current Payments E,Policy Delivery DG,JSS Pensions Administration,RCPS10057,"£112,632.24",Nature Conservancy Council pensions payments - May 2013,SN2 1FF,,Exempt,00000000,Expense,,
DEFRA,Core Defra,13/06/2013,Grant-in Aid Payments,Policy Delivery DG,Joint Nature Conservation Committee,060613,"£675,000.00",Grant-In-Aid - June 2013,PE1 1JY,SME,18522,00000000,Expense,,
DEFRA,Core Defra,27/06/2013,Other Current Payments E,Policy Delivery DG,University Of Warwick,ERS-520436-44565,"£230,470.84",2013-14 Support for the Horticultural Research Institute Genetic Resources Unit as a base collection and for use in vegetable research,CV4 7AL,,Exempt,PGR00001,Expense,,
DEFRA,Core Defra,27/06/2013,Other Current Payments E,Policy Delivery DG,University Of Reading,ERS-520435-44558,"£33,333.25",The Long Term Maintenance and Scientific Curation of the National Fruit Collection - June 2013,RG6 6AH,,GC0143,PGR00001,Expense,,
DEFRA,Core Defra,13/06/2013,Other Current Payments E,Policy Delivery DG,Ricardo-A E A Ltd,6152528,"£55,630.18",Farming Advice Service Contract - May 2013 payment,OX11 0QJ,,15760,00000000,Expense,,
DEFRA,Core Defra,07/06/2013,Other Current Payments E,Policy Delivery DG,Rural Payments Agency,334139A,"£60,389.87",School Milk top-up payment - January-March 2013.,RG1 3YD,SME,IGS,LIV00022,Expense,,
DEFRA,Core Defra,21/06/2013,Other Current Payments E,Policy Delivery DG,National Farmers Union,OP0028073,"£63,082.33",Campaign for the Farmed Environment local activity - January-March 2013,CV8 2TZ,SME,16578,00000000,Expense,,
DEFRA,Core Defra,19/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Cl:aire,34552013SP1010,"£33,274.25",Development of screening levels for assessment of land affected by contamination - June 2013,WC1B 3QJ,SME,SP1010/exempt,00000000,Expense,,
DEFRA,Core Defra,21/06/2013,Evidence Non R&D,Policy Delivery DG,G H K Consulting Ltd,30405746,"£32,020.00",Evidence Base Services for Energy-Using Products - May 2013,EC1R 5BL,SME,Omnicom 18616,00000000,Expense,,
DEFRA,Core Defra,03/06/2013,Grant-in Aid Payments,Policy Delivery DG,Marine Management Organisation,240513,"£2,000,000.00",Grant-in-Aid - June 2013 ,NE4 7YH,SME,18506,00000000,Expense,,
DEFRA,Core Defra,03/06/2013,Evidence Non R&D,Policy Delivery DG,University Of Nottingham,7681117,"£1,297,829.42",Farm Business Survey 2012/13 - Advance Payment,NG7 2RD,,,FCAG0001,Expense,,
DEFRA,Core Defra,11/06/2013,Current Grants E,"Strategy, Evidence and Customers DG",National Measurement Office,E015870,"£125,000.00",2012-13 Funding to enforce the European Union Timber Regulation and UK Timber and Timber Products (Placing on the Market) Regulations 2013.,TW11 0JZ,,18606,00000000,Expense,,
DEFRA,Core Defra,13/06/2013,Other Current Payments (Evidence R&D),"Strategy, Evidence and Customers DG",Cranfield University,1376106,"£50,000.00",The Collaborative Centre of Excellence in Understanding and Managing Natural and Environmental Risk and Futures - June 2013 payment,MK43 0AL,,exempt,HSFUTURE,Expense,,
DEFRA,MMO Marine Management Organisation,19/06/2013,Redfern Suspense,Central Finance Group,Redfern Travel Ltd,058352,"£43,844.15",Travel bill for May 2013,MMO MAY 2013 BILL,BD1 3AZ,SME,,00000000,Asset,
DEFRA,MMO Marine Management Organisation,25/06/2013,Other Current Payments E,,Ministry Of Defence,7313406,"£1,512,500.00",Marine Management surface surveillance hours incurred in relation to coastal enforcement - Quarter 4 2012/13,BALANCE OF OPERATING COSTS FOR SHIPS ENGAGED ON OFFSHORE PROTECTION DURING QTR 4 FY 12/13,L2 3YL,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,17/06/2013,Internal audit contract,,DEFRA,1000024659,"£70,656.00",Recharge for internal audit 2012/13,RECHARGE INTERNAL AUDIT 2012/13 FOR MMO 105 DAYS,YO1 7PX,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,25/06/2013,Other Current Payments E,,C E F A S,8002913,"£59,749.20",Payment for the feeder report to inform the Marine Management Organisation (MMO) climate change adaptation report,FUNDING FOR MMO APR PROJECT C5830,NR33 0HT,SME,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,10/06/2013,Lab & Technical Equipment,,Marelec N V,3199230IV,"£25,457.76",Purchase of fifteen Omega mesh gauges,PAYMENT INV 3199230IV,8620,SME,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,25/06/2013,Agency IT Services (IBM),,DEFRA,1000024679,"£212,933.50",Recharge for IBM services December 2012-January 2013,RECHARGE FOR IBM SERVICES DEC 12 - JAN 13,YO1 7PX,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,27/06/2013,Clearing Construction in Progress (I.T.),,Sopra Group Ltd,732F300578,"£63,991.58",Payment for work completed on the update to the UK Call Centre for Electronic Recording System,PO 611006 JAN 2012 TO MARCH 2013 UPDATE TO UK CALL CANTRE FOR ERS ANNEX,EH4 3ER,,,00000000,Asset,
DEFRA,MMO Marine Management Organisation,25/06/2013,Clearing Construction in Progress (I.T.),,Amor Business Technology Solutions Limited,90002686,"£30,790.36",Costs relating to the development of the new European Fisheries Grant database,PO 610181- MMO-EUROFISH COMPLETION OF RELEASE 3 PRE-UAT,PA4 9LH,,,00000000,Asset,
DEFRA,MMO Marine Management Organisation,19/06/2013,Clearing Construction in Progress (I.T.),,Amor Business Technology Solutions Limited,90002513,"£32,688.76",Costs relating to the development of the new European Fisheries Grant database,PO 610181- MMO-EUROFISH -SIGN OFF RELEASE 3 REQUIREMENTS & TRAVEL EXPENSES,PA4 9LH,,,00000000,Asset,
DEFRA,MMO Marine Management Organisation,05/06/2013,Other Current Payments E,,South Hams District Council,FEF0708,"£77,858.58",European Fisheries Fund grant payment,EFF GRANT,TQ9 5NE,,,00000000,Expense,
DEFRA,MMO Marine Management Organisation,05/06/2013,Other Current Payments E,,Warkworth Harbour Commissioners,FEF0701170513,"£45,000.00",European Fisheries Fund grant payment,EFF GRANT,NE65 0AP,SME,,00000000,Expense,
DEFRA,AHVLA,18/06/2013,Service Level Agreement Costs,Chief Operating Officer DG,Food Standards Agency,1702133,"£68,568.70",Payment for sampling and submission of suspected Tuberculosis reactor cattle in approved red meat slaughterhouses.,YO1 2YX,,,AHFSATBS,Expense,,
DEFRA,AHVLA,10/06/2013,Service Level Agreement Costs,Chief Operating Officer DG,Food Standards Agency,1702126,"£32,815.32",Payment for sampling and submission of suspected Tuberculosis reactor cattle in approved red meat slaughterhouses.,YO1 2YX,,,AHFSATBS,Expense,,
DEFRA,AHVLA,24/06/2013,Hard charges,Chief Operating Officer DG,DEFRA,1000024839,"£2,359,902.00",IBM recharge for February and March 2013,YO1 7PX,,,HARDCIOD,Expense,,
DEFRA,AHVLA,28/06/2013,Work package/WPO Implementation,Chief Operating Officer DG,S F W Ltd,11921,"£43,992.00",Agile Development Services for an initial period of three weeks from Tuesday 2nd April 2013 to Friday 19th April 2013,GU22 7UY,SME,,TAC00253,Expense,,
DEFRA,AHVLA,24/06/2013,Lab & Technical Equipment,Chief Operating Officer DG,Genus Breeding Ltd.,51002703180613,"£25,633.90",Provision of services for vaccinations in the event of an emergency,CW5 7JW,SME,,EMERVACC,Expense,,
DEFRA,AHVLA,24/06/2013,LVI Claims,Chief Operating Officer DG,George Veterinary Group~137680257,LVI156257,"£27,199.11",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,SN16 9AA,SME,,00000000,Expense,,
DEFRA,AHVLA,24/06/2013,LVI Claims,Chief Operating Officer DG,SYNERGY FARM HEALTH LTD~979392255,LVI156633,"£30,313.65",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,DT2 0LD,SME,,00000000,Expense,,
DEFRA,AHVLA,24/06/2013,LVI Claims,Chief Operating Officer DG,TORCH FARM AND EQUINE LTD~136138523,LVI156254,"£34,365.01",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,EX31 3FG,SME,,00000000,Expense,,
DEFRA,AHVLA,18/06/2013,Redfern Suspense,Central Finance Group,Redfern Travel Ltd,058342,"£96,149.61",Payment of May travel charges to Redfern Travel Ltd,BD1 3AZ,SME,,00000000,Asset,,
DEFRA,AHVLA,06/06/2013,GPC Card,Central Finance Group,Barclaycard Business Issuing,4715320649058286310513,"£54,093.38",Payment of the monthly invoice for purchases on Government Procurement Cards - May 2013,TS17 6YG,SME,,00000000,Asset,,
DEFRA,AHVLA,24/06/2013,LVI Claims,Chief Operating Officer DG,PROSTOCK VETS LTD~108174136,LVI156204,"£26,092.64",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,SA33 5DR,,,00000000,Expense,,
DEFRA,AHVLA,24/06/2013,LVI Claims,Chief Operating Officer DG,PRIORY VETERINARY LTD.~122926971,LVI156225,"£27,047.55",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,SA43 1QR,SME,,00000000,Expense,,
DEFRA,AHVLA,24/06/2013,LVI Claims,Chief Operating Officer DG,MARKET HALL VETS~869595055,LVI156594,"£27,124.20",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,SA33 4DY,SME,,00000000,Expense,,
DEFRA,AHVLA,04/06/2013,LVI ERNIC Suspense,Chief Operating Officer DG,H M Revenue & Customs,240513,"£61,930.04",Employer's National Insurance Contributions on outsourced vets used by AHVLA,BD98 8AA,,,00000000,Liability,,
DEFRA,AHVLA,24/06/2013,LVI Claims,Chief Operating Officer DG,Penbode Veterinary Group~143290584,LVI156277,"£26,692.01",Payment to veterinary practice for services provided in an official capacity on behalf of AHVLA,EX22 6HB,SME,,00000000,Expense,,
DEFRA,AHVLA,06/06/2013,IT & Other consumables,,Proact IT UK Limited,IB26769,"£33,159.60",Hardware and software maintenance for three NetApp filers (a type of storage device),S41 8NE,,,00000000,Expense,,
DEFRA,AHVLA,22/06/2013,Training Services/Training Course Development,,Thomson Reuters (Scientific) Inc,170613,"£28,937.08",Licence for AHVLA-wide access to a range of bibliographic databases indexing scientific journals,PA 19104,,,00000000,Expense,,
DEFRA,AHVLA,14/06/2013,Hard charges,,D T Z,43045,"£40,665.97",Establishment costs for Weybridge site during the month of June 2013,B4 6HT,,,HARDESTA,Expense,,
DEFRA,AHVLA,28/06/2013,Hard charges,,D T Z,43602,"£377,444.02",Facilities Management charges for core services at Weybridge site for month of June 2013,B4 6HT,,,HARDESTA,Expense,,
DEFRA,AHVLA,06/06/2013,Hard charges,,D T Z,42717,"£40,665.97",Establishment costs for Weybridge site during the month of May 2013,B4 6HT,,,HARDESTA,Expense,,
DEFRA,AHVLA,24/06/2013,Membership of Organisations,,Home Office Pay & Pensions Service,5500783,"£36,864.00",Home Office licence fees from 1 April 2012 to 31 March 2013,NP20 9BB,,,00000000,Expense,,
DEFRA,AHVLA,18/06/2013,Sub Contracted Services,,A D A S UK Ltd,RIRP070064,"£47,500.00",Research Studies: Maintenance of a Transmissable Spongiform Encephalopathy-free flock for June 2013,WV6 5AP,,,TSSE1931,Expense,,
DEFRA,AHVLA,10/06/2013,Sub Contracted Services,,A D A S UK Ltd,RIRP068855,"£47,500.00",Research Studies: Maintenance of a Transmissable Spongiform Encephalopathy-free flock for April 2013,WV6 5AP,,,TSSE1931,Expense,,
