Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,
DEFRA,Core Defra,21/06/2013,Property Lease Costs,Chief Operating Officer DG,D T Z,DEFRA194,"£141,477.43","Payment of rent, rates and service charges for various properties within the Defra Network for the month of June 2013",B3 2ED,,,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Estates Professional Fees & Services,Chief Operating Officer DG,D T Z,207788,"£48,012.18","Fees associated with sale and lease back of Pydar House, Truro to Cornwall Council",EH3 9QG,,10341,B1410000,Expense,,
DEFRA,Core Defra,05/06/2013,International Subscriptions (Foreign Payments),Policy Delivery DG,A C A P,ACP00275,"£71,354.94",Annual subscription to Agreement on the Conservation of Albatrosses and Petrels (ACAP) 2013 (payment returned by ACAP due to banking irregularities),7001,SME,,00000000,Expense,,
DEFRA,Core Defra,25/06/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026414,"£27,807.94",Costs associated with London Estates refurbishment project - May 2013,BS32 4NH,,18252,EXITLOND,Asset,,
DEFRA,Core Defra,25/06/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026408,"£106,769.98",Costs associated with London Estates refurbishment project - May 2013,BS32 4NH,,17759,B196P010,Asset,,
DEFRA,Core Defra,25/06/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026406,"£45,704.72",Costs associated with London Estates refurbishment project - May 2013,BS32 4NH,,17758,B196P010,Asset,,
DEFRA,Core Defra,25/06/2013,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026424,"£28,046.44","Costs associated with routine maintenance of Centre for Environment, Fisheries and Aquaculture Science (Cefas) property at Lowestoft - May 2013",BS32 4NH,,10226,LEVRADIO,Asset,,
DEFRA,Core Defra,25/06/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026415,"£57,878.41",Costs associated with London Estates refurbishment project - May 2013,BS32 4NH,,18254,EXITLOND,Asset,,
DEFRA,Core Defra,21/06/2013,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026409,"£67,262.52",Costs associated with the strip-out and refubishment of Starcross office accommodation in Exeter - May 2013,BS32 4NH,,,EXITCLYS,Asset,,
DEFRA,Core Defra,27/06/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026410,"£364,555.42",Costs associated with the strip-out and refubishment of Starcross office accommodation in Exeter - May 2013,BS32 4NH,,,EXITCLYS,Asset,,
DEFRA,Core Defra,27/06/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026426,"£71,482.79",Costs associated with the fit-out and move management works at Unex House - May 2013,BS32 4NH,,10195L,EXITTOUT,Asset,,
DEFRA,Core Defra,25/06/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026416,"£44,177.02",Costs associated with London Estates refurbishment project - May 2013,BS32 4NH,,18297,EXITLOND,Asset,,
DEFRA,Core Defra,25/06/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026403,"£30,784.44",Costs associated with London Estates refurbishment project - May 2013,BS32 4NH,,17567,B196P010,Asset,,
DEFRA,Core Defra,25/06/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026402,"£30,032.44",Costs associated with London Estates refurbishment project - May 2013,BS32 4NH,,17056,B196P010,Asset,,
DEFRA,Core Defra,25/06/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026407,"£32,759.99",Costs associated with London Estates refurbishment project - May 2013,BS32 4NH,,17799,B196P010,Asset,,
DEFRA,Core Defra,21/06/2013,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026411,"£96,404.42",Costs associated with the strip-out and refubishment of Isca House office accommodation in Exeter - May 2013,BS32 4NH,,,EXITCLYS,Asset,,
DEFRA,Core Defra,27/06/2013,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026417,"£65,827.52",Costs associated with London Estates refurbishment project - May 2013,BS32 4NH,,,EXITLOND,Asset,,
DEFRA,Core Defra,04/06/2013,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00024798,"£377,942.08","Capital expenditure for the construction of cold weather works at FERA (Food and Environment Research Agency), Sand Hutton  - March 2013",BS32 4NH,,18155,COLDWTHR,Asset,,
DEFRA,Core Defra,21/06/2013,Other Current Payments E,Policy Delivery DG,Acre.,5823,"£562,500.00",Grant funding provided to Rural Community Action Network through Acre - July-September 2013,GL7 1TW,,GIA,00000000,Expense,,
DEFRA,Core Defra,25/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Food & Environment Research Agency,ERS-520394-44625,"£47,524.49",Synergists of natural origin for combating neonicotinoid resistance in UK and European crop pests - June 2013 payment,YO41 1LZ,,Exempt,00000000,Expense,,
DEFRA,Core Defra,27/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Rothamsted Research.,ERS-520381-44578,"£25,011.75",Combating herbicide resistance by developing and promoting more sustainable grass weed control strategies - June 2013 ,AL5 2JQ,,Exempt,00000000,Expense,,
DEFRA,Core Defra,19/06/2013,International Subscriptions (Foreign Payments),Policy Delivery DG,United Nations Environment Prog,FUND3030,"£6,990,262.12",UK Trust Fund for the Montreal Protocol on Substances that Deplete the Ozone Layer - 2013 payment,00100,,,00000000,Expense,,
DEFRA,Core Defra,25/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,National Physical Laboratory,115849,"£117,527.90",Measurement of Methane Emissions and Surface Methane Oxidation at Landfills - March 2013,TW11 0LW,SME,exempt,00000000,Expense,,
DEFRA,Core Defra,22/06/2013,International Subscriptions (Foreign Payments),Policy Delivery DG,A C A P,ACP00275170613,"£67,530.78",Annual subscription to Agreement on the Conservation of Albatrosses and Petrels (ACAP) 2013,7001,SME,,00000000,Expense,,
