Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Voucher Number,Transaction Description,Amount
HM Treasury,HM Treasury,24-Jan-14,Professional Services - IT,Project OSCAR (inc DPI),IBM UK,108737,PROJECT OSCAR STAFFING COSTS ,25632
HM Treasury,HM Treasury,24-Jan-14,IT Hardware Services & Maintenance Non VAT Recoverable,Project OSCAR (inc DPI),IBM UK,108811,PROJECT OSCAR - HOSTING COSTS,36630
HM Treasury,HM Treasury,10-Jan-14,IT Hardware Services & Maintenance Non VAT Recoverable,Project OSCAR (inc DPI),IBM UK,108387,PROJECT OSCAR - HOSTING COSTS,37149.6
HM Treasury,DMO,10-Jan-14,Stock Exchange Listing,Rmu,LONDON STOCK EXCHANGE,108646,QUARTERLY LISTING FEES FOR UK GOVT BONDS,150000
HM Treasury,HM Treasury,15-Jan-14,Equitable Life Enquiry VAT non - recoverable,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,108574,OPERATIONAL COSTS FOR THE EQUITABLE LIFE PAYMENT SCHEME - OCT 2013,1118563.75
HM Treasury,DMO,17-Jan-14,DMO Market Data Services - 587067,Business Delivery,REUTERS LIMITED,108717,QUARTERLY CHARGES FOR MARKET DATA SYSTEMS AND SERVICES ,97126.49
HM Treasury,HM Treasury,20-Jan-14,UK Coinage Manufacturing Cost,Fiscal,ROYAL MINT,108700,TRANSPORTATION COSTS FOR UK COINAGE,29208.88
HM Treasury,HM Treasury,15-Jan-14,AME Mint Stock Metal Costs,Hmt Suspense,ROYAL MINT,108587,UK CIRCULATING COINS METAL COSTS,4462977.25
HM Treasury,HM Treasury,15-Jan-14,DEL Mint Stock Manufacturing Costs,Hmt Suspense,ROYAL MINT,108587,UK CIRCULATING COINS MANUFACTURE COSTS,5352670.08
HM Treasury,DMO,10-Jan-14,Interim Contractor / Staff substitution,Business Delivery,SHIFTPOINT LTD,108635,CONTRACTOR SERVICES - DMO,48508.8
HM Treasury,DMO,29-Jan-14,Operating leases (rent),Business Delivery,SUNGARD AVAILABILITY SERVICES (UK) LTD,108893,IT SERVICES,148528.87
HM Treasury,HM Treasury,31-Jan-14,Equitable Life Enquiry VAT recoverable,Equitable Life,TOWERS WATSON,108787,ACTURIAL SUPPORT TO HM TREASURY IN RESPECT OF THE EQUITABLE LIFE PAYMENT SCHEME DECEMBER 2013,39661.21
HM Treasury,HM Treasury,08-Jan-14,Equitable Life Enquiry VAT recoverable,Equitable Life,TOWERS WATSON,108345,ACTURIAL SUPPORT TO HM TREASURY IN RESPECT OF THE EQUITABLE LIFE PAYMENT SCHEME NOVEMBER 2013,55553.09
HM Treasury,HM Treasury,02-Jan-14,UKFI Management Fee,UKFI MANAGEMENT FEE,UK FINANCIAL INVESTMENTS LTD,108715,MONTHLY UKFI MANAGEMENT FEE ,200000
