Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,  Spend  
Home Office,DBS - Disclosure & Barring Service,07/09/2016,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001908606," 251,800.63 "
Home Office,DBS - Disclosure & Barring Service,07/09/2016,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001908606," 130,665.74 "
Home Office,DBS - Disclosure & Barring Service,07/09/2016,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001908606," 611,435.39 "
Home Office,DBS - Disclosure & Barring Service,07/09/2016,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001908606," 670,518.66 "
Home Office,DBS - Disclosure & Barring Service,07/09/2016,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001908606," 670,518.66 "
Home Office,DBS - Disclosure & Barring Service,07/09/2016,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001908606," 301,276.88 "
Home Office,DBS - Disclosure & Barring Service,07/09/2016,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001908606," 364,824.86 "
Home Office,DBS - Disclosure & Barring Service,07/09/2016,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001908606," 467,981.58 "
Home Office,DBS - Disclosure & Barring Service,12/09/2016,Facilities Management Services,DBS - Disclosure & Barring Service,DTZ DEBENHAM TIE LEUNG LTD,1001910116," 100,065.00 "
Home Office,DBS - Disclosure & Barring Service,12/09/2016,Facilities Management Services,DBS - Disclosure & Barring Service,DTZ DEBENHAM TIE LEUNG LTD,1001910116," 12,010.83 "
Home Office,DBS - Disclosure & Barring Service,15/09/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,HEWLETT PACKARD ENTERPRISE SERVICES UK LTD,1001911504," 644,156.40 "
Home Office,DBS - Disclosure & Barring Service,16/09/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001912157, 798.62 
Home Office,DBS - Disclosure & Barring Service,16/09/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001912157," 9,720.00 "
Home Office,DBS - Disclosure & Barring Service,16/09/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001912157," 25,174.80 "
Home Office,DBS - Disclosure & Barring Service,16/09/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001912157," 10,920.00 "
Home Office,DBS - Disclosure & Barring Service,16/09/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001912157," 4,560.00 "
Home Office,DBS - Disclosure & Barring Service,16/09/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001912157," 38,880.00 "
Home Office,DBS - Disclosure & Barring Service,16/09/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001912157," 46,800.00 "
Home Office,DBS - Disclosure & Barring Service,16/09/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001912157," 7,456.43 "
Home Office,DBS - Disclosure & Barring Service,16/09/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001912157," 35,964.00 "
Home Office,DBS - Disclosure & Barring Service,16/09/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001912157," 7,020.00 "
Home Office,DBS - Disclosure & Barring Service,16/09/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001912157," 36,936.00 "
Home Office,DBS - Disclosure & Barring Service,16/09/2016,"IT, Broadcasting & Telecomms",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001912157," 18,240.00 "
Home Office,DBS - Disclosure & Barring Service,16/09/2016,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001912209," 176,996.70 "
Home Office,DBS - Disclosure & Barring Service,16/09/2016,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001912209," 171,130.58 "
Home Office,DBS - Disclosure & Barring Service,16/09/2016,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001912209," 168,806.47 "
Home Office,DBS - Disclosure & Barring Service,20/09/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,BRITISH TRANSPORT POLICE,1001913230," 63,406.81 "
Home Office,DBS - Disclosure & Barring Service,20/09/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORFOLK,1001913274," 68,716.69 "
Home Office,DBS - Disclosure & Barring Service,20/09/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE,1001913275," 35,533.43 "
Home Office,DBS - Disclosure & Barring Service,20/09/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,SCOTTISH POLICE AUTHORITY,1001913288," 29,725.33 "
Home Office,DBS - Disclosure & Barring Service,20/09/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,THE OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORTHUMBRIA,1001913295," 42,121.76 "
Home Office,DBS - Disclosure & Barring Service,20/09/2016,Criminal Record Checks,DBS - Disclosure & Barring Service,THE POLICE & CRIME COMMISSIONER FOR NORTH YORKSHIRE,1001913296," 69,927.94 "
Home Office,DBS - Disclosure & Barring Service,22/09/2016,Facilities Management Services,DBS - Disclosure & Barring Service,GRESHAM OFFICE FURNITURE LTD,1001914027, 179.28 
Home Office,DBS - Disclosure & Barring Service,22/09/2016,Facilities Management Services,DBS - Disclosure & Barring Service,GRESHAM OFFICE FURNITURE LTD,1001914027," 4,433.83 "
Home Office,DBS - Disclosure & Barring Service,22/09/2016,Facilities Management Services,DBS - Disclosure & Barring Service,GRESHAM OFFICE FURNITURE LTD,1001914027, 840.00 
Home Office,DBS - Disclosure & Barring Service,22/09/2016,Facilities Management Services,DBS - Disclosure & Barring Service,GRESHAM OFFICE FURNITURE LTD,1001914027," 1,680.00 "
Home Office,DBS - Disclosure & Barring Service,22/09/2016,Facilities Management Services,DBS - Disclosure & Barring Service,GRESHAM OFFICE FURNITURE LTD,1001914027," 1,954.80 "
