Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/07/13,PENSIONER PAYROLL CONTRACTOR,SCHEME MANAGEMENT EXECUTIVE,MY CSP LTD,3000037879,64208.13,Production of HMRC annual pension benefit statements ,LS2 7UA,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/07/13,PENSIONER PAYROLL CONTRACTOR,SCHEME MANAGEMENT EXECUTIVE,MYCSP LTD,1000797,104838.00,New Civil Service Pension Scheme 2015 implementation programme,LS2 7UA,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/07/13,PENSIONER PAYROLL CONTRACTOR,SCHEME MANAGEMENT EXECUTIVE,MYCSP LTD,1000798,105573.30,New Civil Service Pension Scheme 2015 implementation programme,LS2 7UA,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/07/13,NATIONAL CITIZEN SERVICE. CIVIL SOCIETY TRAINING & DEVELOP,OFFICE FOR CIVIL SOCIETY,REED IN PARTNERSHIP LTD,3000037882,513139.20,National Citizen Service contract,L27 NX,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/07/13,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,ESTATE MANAGEMENT,RICOH UK LTD,3000037969,40172.58,Reprographic Services,CR5 2HR,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/07/13,OTHER IS IT COSTS VAT RECOV,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRE PLC,3000037963,43456.25,GOV.UK development cost ,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,11/07/13,MOTO Charges RC,Estates Management,Cabinet Office Votes,PINDOH 36637,72578.91,Rent for accommodation ,CF14 3UW,Gov Dept,Admin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/07/13,OTHER IS IT COSTS VAT RECOV,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000037928,73698.21,GOV.UK development cost ,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/07/13,OTHER TRAVEL COSTS,PRIME MINISTERS OFFICE,HOGG ROBINSON TRAVEL LTD,3000037951,77801.90,Official Travel,GU14 7NJ,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/07/13,PENSIONER PAYROLL CONTRACTOR,SCHEME MANAGEMENT EXECUTIVE,MYCSP LTD,1000799,2729547.00,MyCSP administration costs,LS2 7UA,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/07/13,PUBLICITY ADVERTISING MEDIA,POLICY COMMUNICATIONS,EBIQUITY ASSOCIATES LTD,3000037984,29845.00,Media audit costs,EC3N 4QN,SME,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/07/13,PENSIONER PAYROLL CONTRACTOR,SCHEME MANAGEMENT EXECUTIVE,MYCSP LTD,3000037973,44713.68,MyCSP administration costs ,LS2 7UA,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/07/13,OTHER IS IT COSTS VAT RECOV,GOVERNMENT DIGITAL SERVICE,CREATIVE CHOICE CIC,3000038003,54024.53,GOV.UK development cost ,SW1H 0DJ,SME,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/07/13,OTHER IS IT COSTS VAT RECOV,INTELLIGENCE SECURITY AND RESILIENCE,AVM IMPACT LTD,3000038014,82213.13,Software development ,TW16 7HB,SME,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/07/13,GENERAL OFFICE EXPENSES,ERG STRATEGY AND MANAGEMENT INFORMATION,OPEN GOVERNMENT PARTNERSHIP,2000377,100905.00,Cabinet Office contribution in respect of UK membership of the Open Government Partnership,No Postcode,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/07/13,SOFTWARE LEASE/LICENSE,POLITICAL AND CONSTITUTIONAL REFORM,HALAROSE LTD,3000037971,184176.00,Design and development work required for the delivery of changes to local authority Electoral Management Systems required to interface with the new Individual Electoral Digital Service to handle additional data requirements,RG8 0RR,SME,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/07/13,SERVICE CHARGES,CENTRAL BUDGETS,DE VERE VENUES LTD,3000037992,483501.06,Public Finance Initiative service charge,KT24 6DU,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/07/13,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,NESTA,3000038009,1000000.00,Innovation Fund/Centre for Social Action Grant,EC4A 1DE,Large,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/07/13,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000038031,26020.02,Interim IT Specialists,SL6 1DP ,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,15/07/13,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000038031,103567.94,Interim IT Specialists,SL6 1DP,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/07/13,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,SKILLS THIRD SECTOR,3000038105,31250.00,Voluntary & Community Sector Workforce Grant ,S1 4FW,SME,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/07/13,STAFF TRAINING VAT RECOVERABLE,HUMAN RESOURCES,OXFORD SAID BUSINESS SCHOOL LTD,3000038120,33333.34,Major Project Authority's leadership development training for 2 members of staff,OX1 5NY,SME,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/07/13,STAFF TRAVEL,PRIVATE OFFICE GROUP,DEPARTMENT FOR TRANSPORT,3000038123,33425.56,Official Travel,SW1P 4DR,Government Department,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/07/13,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,UK COMMUNITY FOUNDATIONS,3000038083,55000.00,Strategic Partners Transition Grant ,CF3 0LW,Large,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/07/13,NON PRIME UTILITIES,ESTATE MANAGEMENT,BOUYGUES E&S FM UK LTD,3000038097,114849.88,Facilities Management Services ,BN1 1HG,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/07/13,NATIONAL CITIZEN SERVICE. CIVIL SOCIETY TRAINING & DEVELOP,OFFICE FOR CIVIL SOCIETY,NEW COLLEGE NOTTINGHAM,3000038095,1115437.07,National Citizen Service contract,NG1 1PR,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/07/13,PUBLICITY ADVERTISING MEDIA,POLICY COMMUNICATIONS,MOTHER LONDON LTD,3000038166,25000.00,Great Campaign,E2 7DD,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/07/13,WEBSITES ADDITIONS COST,OFFICE FOR CIVIL SOCIETY,CAPITA RESOURCING LTD,3000038145,29535.46,GOV.UK development cost ,SL6 1DP ,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/07/13,FM CONTRACT FIXED COSTS,ESTATE MANAGEMENT,MITIE BUSINESS SERVICES LTD,3000038155,49267.62,Facilties Management Services ,BS16 7FN,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/07/13,CONSULTANTS VAT RECOVERABLE,PRIME MINISTERS OFFICE,MCKINSEY & CO INC,3000038156,50000.00,Life Sciences Genome Project policy consultancy,SW1Y 4UH,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/07/13,PUBLICITY ADVERTISING MEDIA,OFFICE FOR CIVIL SOCIETY,M4C,3000038163,74277.49,"Media partnership, brand awareness, advertising, creative and design services for the National Citizen Service programme ",WC1X 8RX,SME,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,17/07/13,MOTO Charges RC,Estates Management,Cabinet Office Votes,PINDOH 36658,77578.91,Rent for accommodation ,CF14 3UW,Gov Dept,Admin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/07/13,Research and Development (VAT recoverable),OFFICE FOR CIVIL SOCIETY,TNS UK LTD,3000038144,229414.00,The Community Life Survey cost ,W5 1UA,SME,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,18/07/13,Agency Staff,Enablement Projects,Michael Page International Recruitment,PINDOH 36340,31609.05,eSourcing agency staffing,SL1 1DB,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,18/07/13,Information Services,Executive & Private Office,TechMarketView LLP,PINDOH 36678,36000.00,Market research subscription service,GU14 6EW,SME,Admin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,18/07/13,Maintenance & Repairs - IT,Enablement Projects,IBM,PINVP2P 1986,42564.00,eSourcing system licences,PO6 3AU,Large,Admin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/07/13,CONSULTANTS VAT RECOVERABLE,ERG CENTRAL TEAMS,PUBLIC SERVICE MUTUALS WITH THE CO OPERATIVE,3000038213,65799.00,Technical support to Mutuals Support Programme ,M60 4ES,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/07/13,OTHER IS IT COSTS VAT RECOV,OFFICE FOR CIVIL SOCIETY,NCVO,3000038179,84513.00,Delivery of Funding Central website ,N1 9RL,SME,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/07/13,CONSULTANCY SERVICES  'NOT' RECOVERABLE,ERG STRATEGY AND MANAGEMENT INFORMATION,ERNST & YOUNG LLP,3000038191,294687.55,"Support for the Independent Shared Service Centre 2 project including development of financial models, business transfer agreements, transitional arrangements for services and assets, and stakeholder engagement.",SE1 2AF,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/07/13,NON PRIME UTILITIES,PRIME MINISTERS OFFICE,BOUYGUES E&S FM UK LTD,3000038231,32302.62,Facilities Management Services ,BN1 1HG,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/07/13,"FURNITURE, FIXTURES & FITTINGS (NON-PRIME)",PRIME MINISTERS OFFICE,BOUYGUES ENERGIES & SERVICES,3000038226,32863.73,Facilities Management Services ,BN1 1HG,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/07/13,STAFF RELATED COSTS,POLICY COMMUNICATIONS,ISBA,3000038215,36900.00,ISBA nembership cost ,W1B 1PN,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/07/13,STAFF RELATED COSTS,CENTRAL BUDGETS,FCO SERVICES,3000038238,39063.60,Vetting fees ,MK19 7BH,Government Department,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/07/13,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,INSTITUTE OF FUNDRAISING,3000038250,46000.00,Payroll Giving Awards Grant ,SW8 1UD,SME,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,19/07/13,FM CONTRACT VARIABLE,ESTATE MANAGEMENT,BOUYGUES E&S FM UK LTD,3000038231,84587.78,Estate services ,BN1 1HG,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/07/13,CONSULTANCY SERVICES  'NOT' RECOVERABLE,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000038274,28077.99,GOV.UK development cost ,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/07/13,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000038275,31018.98,Interim IT Specialists,SL6 1DP ,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/07/13,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000038275,31318.62,Public Service Network development and support ,SL6 1DP,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,Government Procurement Service,22/07/13,Bravo Licence Costs,Enablement Projects,BravoSolution UK Ltd,PINVP2P 1995,41650.00,Licences for spend analytics,EC2M 7AD,Large,Admin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/07/13,OTHER IS IT COSTS VAT RECOV,GOVERNMENT PROPERTY UNIT,CORPORATE DOCUMENT SERVICES LTD,3000038301,42420.81,"Support, maintenance and minor developments of e-PIMS.",LS2 LY,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/07/13,OTHER IS IT COSTS VAT RECOV,GOVERNMENT DIGITAL SERVICE,EQUAL EXPERTS UK LTD,3000038262,49500.00,Software development ,WC1H 9BB,SME,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/07/13,ADDITIONS IT SOFTWARE,ERG STRATEGY AND MANAGEMENT INFORMATION,KAINOS SOFTWARE LTD,3000038292,56541.60,IT development cost ,BT7 1NT,SME,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/07/13,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,LOCALITY,3000038287,82761.00,Strategic Partners Transition Programme Grant ,N1 6DR,Large,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,22/07/13,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT DIGITAL SERVICE,SKYSCAPE CLOUD LTD,3000038291,89805.19,Cost of hosting GOV.UK,GU1 0LX,SME,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
