Department family,Entity,Date,Expense type,Expense area,Client Code,Transaction number,Amount,VAT registration number
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Management Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,13.5,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Management Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,53.6,
Defra,JNCC,13/10/2010,AIR TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,71.89,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,140,
Defra,JNCC,13/10/2010,COMPUTER EQUIPMENT (H&S/WARE)                               ,Surveillance & Monitoring,BARCLAYCARD BUSINESS,Barclaycard September 2010,56.8,
Defra,JNCC,13/10/2010,COACH/BUS TRAVEL,Surveillance & Monitoring,BARCLAYCARD BUSINESS,Barclaycard September 2010,62.92,
Defra,JNCC,13/10/2010,EXTERNAL CONFERENCES                                        ,Surveillance & Monitoring,BARCLAYCARD BUSINESS,Barclaycard September 2010,47.68,
Defra,JNCC,13/10/2010,OFFICE STATIONERY& CONSUMABLES                              ,Surveillance & Monitoring,BARCLAYCARD BUSINESS,Barclaycard September 2010,10.66,
Defra,JNCC,13/10/2010,COACH/BUS TRAVEL,Surveillance & Monitoring,BARCLAYCARD BUSINESS,Barclaycard September 2010,31.6,
Defra,JNCC,13/10/2010,SUBSISTENCE - OVERSEAS,Surveillance & Monitoring,BARCLAYCARD BUSINESS,Barclaycard September 2010,101.3,
Defra,JNCC,13/10/2010,ACCOMMODATION - UK,Surveillance & Monitoring,BARCLAYCARD BUSINESS,Barclaycard September 2010,74,
Defra,JNCC,13/10/2010,COMPUTER EQUIPMENT (H&S/WARE)                               ,Access to Information,BARCLAYCARD BUSINESS,Barclaycard September 2010,125.92,
Defra,JNCC,13/10/2010,COMPUTER EQUIPMENT (H&S/WARE)                               ,Access to Information,BARCLAYCARD BUSINESS,Barclaycard September 2010,17.99,
Defra,JNCC,13/10/2010,RAIL TRAVEL - OVERSEAS,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,252,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,37.6,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Policy Relevant Info & Reporting,BARCLAYCARD BUSINESS,Barclaycard September 2010,56.8,
Defra,JNCC,13/10/2010,WEBSITE RUNNING COSTS                                       ,Access to Information,BARCLAYCARD BUSINESS,Barclaycard September 2010,154.79,
Defra,JNCC,13/10/2010,WEBSITE RUNNING COSTS                                       ,Access to Information,BARCLAYCARD BUSINESS,Barclaycard September 2010,230.57,
Defra,JNCC,13/10/2010,AIR TRAVEL - INTER-CONTINENTAL,Access to Information,BARCLAYCARD BUSINESS,Barclaycard September 2010,842.96,
Defra,JNCC,13/10/2010,ACCOMMODATION - OVERSEAS,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,42.84,
Defra,JNCC,13/10/2010,ACCOMMODATION - OVERSEAS,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,203.68,
Defra,JNCC,13/10/2010,ACCOMMODATION - OVERSEAS,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,17.23,
Defra,JNCC,13/10/2010,ACCOMMODATION - OVERSEAS,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,17.23,
Defra,JNCC,13/10/2010,RAIL TRAVEL - OVERSEAS,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,13.26,
Defra,JNCC,13/10/2010,ACCOMMODATION - OVERSEAS,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,129.76,
Defra,JNCC,13/10/2010,ACCOMMODATION - OVERSEAS,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,129.76,
Defra,JNCC,13/10/2010,ACCOMMODATION - OVERSEAS,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,130.51,
Defra,JNCC,13/10/2010,RAIL TRAVEL - OVERSEAS,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,11.49,
Defra,JNCC,13/10/2010,COACH/BUS TRAVEL,Marine Management Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,17.3,
Defra,JNCC,13/10/2010,AIR TRAVEL - UK,Marine Management Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,119.4,
Defra,JNCC,13/10/2010,COMPUTER EQUIPMENT (H&S/WARE)                               ,Marine Management Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,10,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,80.8,
Defra,JNCC,13/10/2010,ACCOMMODATION - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,150,
Defra,JNCC,13/10/2010,ACCOMMODATION - UK,Governance & Corporate Services,BARCLAYCARD BUSINESS,Barclaycard September 2010,66.17,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Governance & Corporate Services,BARCLAYCARD BUSINESS,Barclaycard September 2010,14.9,
Defra,JNCC,13/10/2010,AIR TRAVEL - UK,Governance & Corporate Services,BARCLAYCARD BUSINESS,Barclaycard September 2010,21.6,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,21.6,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,28.7,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Management Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,28.8,
Defra,JNCC,13/10/2010,ACCOMMODATION - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,100,
Defra,JNCC,13/10/2010,ACCOMMODATION - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,72.68,
Defra,JNCC,13/10/2010,ACCOMMODATION - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,100,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,22.35,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,12,
Defra,JNCC,13/10/2010,ACCOMMODATION - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,72.65,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Overseas Territories & Crown Dependancies,BARCLAYCARD BUSINESS,Barclaycard September 2010,75,
Defra,JNCC,13/10/2010,AIR TRAVEL - EUROPE,Marine Management Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,255.5,
Defra,JNCC,13/10/2010,AIR TRAVEL - UK,Marine Management Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,245.3,
Defra,JNCC,13/10/2010,AIR TRAVEL - UK,Marine Management Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,65.49,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Global Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,44,
Defra,JNCC,13/10/2010,CAR PARKING,Global Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,6.2,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Global Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,35.5,
Defra,JNCC,13/10/2010,CAR PARKING,Global Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,6.2,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Sustainability Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,67.8,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Sustainability Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,25,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Sustainability Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,20,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Governance & Corporate Services,BARCLAYCARD BUSINESS,Barclaycard September 2010,132.3,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Governance & Corporate Services,BARCLAYCARD BUSINESS,Barclaycard September 2010,57,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Governance & Corporate Services,BARCLAYCARD BUSINESS,Barclaycard September 2010,93.5,
