ENTITY,DATE,EXPENSE AREA ,EXPENSE TYPE,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
HMCS,30-Mar-11,HZ999-North East and Yorkshire,222143-Utility - Gas,CORONA ENERGY,1546901,"Ł70,955.04"
HMCS,30-Mar-11,GZ999-North West Region,222143-Utility - Gas,CORONA ENERGY,1546901,"Ł138,725.09"
HMCS,30-Mar-11,FZ999-Midlands Region,222143-Utility - Gas,CORONA ENERGY,1546901,"Ł143,241.97"
HMCS,30-Mar-11,EZ999-Wales Region,222143-Utility - Gas,CORONA ENERGY,1546901,"Ł45,618.02"
HMCS,31-Mar-11,CZ999-South East Region,222143-Utility - Gas,CORONA ENERGY,1548315,"Ł87,815.10"
HMCS,31-Mar-11,CZ999-South East Region,222143-Utility - Gas,CORONA ENERGY,1548315,"Ł180,391.48"
HMCS,04-Mar-11,FZ999-Midlands Region,222151-Security,MITIE SECURITY LTD,1514935,"Ł30,082.00"
HMCS,11-Mar-11,DZ999-South West Region,222151-Security,MITIE SECURITY LTD,1523562,"Ł307,334.88"
HMCS,16-Mar-11,CZ999-South East Region,222151-Security,MITIE SECURITY LTD,1529230,"Ł576,205.82"
HMCS,16-Mar-11,EZ999-Wales Region,222151-Security,MITIE SECURITY LTD,1529230,"Ł189,050.90"
HMCS,16-Mar-11,FZ999-Midlands Region,222151-Security,MITIE SECURITY LTD,1529230,"Ł436,527.14"
HMCS,16-Mar-11,HZ999-North East and Yorkshire,222151-Security,MITIE SECURITY LTD,1529230,"Ł423,005.66"
HMCS,16-Mar-11,GZ999-North West Region,222151-Security,MITIE SECURITY LTD,1529230,"Ł433,429.12"
HMCS,18-Mar-11,BZ999-London Region,222151-Security,MITIE SECURITY LTD,1531852,"Ł35,710.84"
HMCS,23-Mar-11,BZ999-London Region,222151-Security,MITIE SECURITY LTD,1537794,"Ł766,709.10"
HMCS,25-Mar-11,GZ999-North West Region,222151-Security,MITIE SECURITY LTD,1540333,"Ł31,216.15"
HMCS,30-Mar-11,HZ999-North East and Yorkshire,222151-Security,MITIE SECURITY LTD,1547561,"Ł26,212.84"
HMCS,31-Mar-11,BZ999-London Region,222151-Security,HM PRISON SERVICE,1548435,"Ł40,366.07"
HMCS,02-Mar-11,BZ999-London Region,222152-Cleaning (excl Waste Collctn),MACLELLAN INTERNATIONAL LTD,1512039,"Ł328,211.32"
HMCS,02-Mar-11,IZ999-RCJ Group,222152-Cleaning (excl Waste Collctn),VICTORIA GENERAL CLEANING SERVICES LTD,1512952,"Ł68,203.60"
HMCS,09-Mar-11,HZ999-North East and Yorkshire,222152-Cleaning (excl Waste Collctn),ELITE CLEANING & ENV SERVICES LTD,1520037,"Ł137,894.30"
HMCS,09-Mar-11,GZ999-North West Region,222152-Cleaning (excl Waste Collctn),ELITE CLEANING & ENV SERVICES LTD,1520037,"Ł178,103.07"
HMCS,09-Mar-11,CZ999-South East Region,222152-Cleaning (excl Waste Collctn),HI-SPEC FACILITIES SUPPORT CO PLC,1520174,"Ł260,412.31"
HMCS,09-Mar-11,HZ999-North East and Yorkshire,222152-Cleaning (excl Waste Collctn),RENTOKIL INITIAL UK LIMITED,1521461,"Ł56,049.50"
HMCS,09-Mar-11,GZ999-North West Region,222152-Cleaning (excl Waste Collctn),RENTOKIL INITIAL UK LIMITED,1521462,"Ł58,605.74"
HMCS,11-Mar-11,DZ999-South West Region,222152-Cleaning (excl Waste Collctn),REGENT OFFICE CARE LTD,1523671,"Ł136,182.06"
HMCS,16-Mar-11,GZ999-North West Region,222152-Cleaning (excl Waste Collctn),"OCS GROUP UK LTD, OCS ENGINEERING",1529312,"Ł28,078.37"
HMCS,16-Mar-11,FZ999-Midlands Region,222152-Cleaning (excl Waste Collctn),REGENT OFFICE CARE LTD,1529423,"Ł258,244.12"
HMCS,16-Mar-11,EZ999-Wales Region,222152-Cleaning (excl Waste Collctn),OCS SUPPORT SERVICES LTD,1529313,"Ł89,847.32"
HMCS,30-Mar-11,BZ999-London Region,222152-Cleaning (excl Waste Collctn),MACLELLAN INTERNATIONAL LTD,1547462,"Ł328,211.32"
HMCS,30-Mar-11,IZ999-RCJ Group,222152-Cleaning (excl Waste Collctn),VICTORIA GENERAL CLEANING SERVICES LTD,1548076,"Ł68,203.60"
HMCS,11-Mar-11,FZ999-Midlands Region,222154-Equipment Maintenance,1ST CLASS HYGIENE LTD,1523095,"Ł28,511.59"
HMCS,16-Mar-11,AG999-Estates Directorate HMCS HQ,222163-Judicial - Hirings non VAT,LEICESTERSHIRE COUNTY COUNCIL,1529117,"Ł42,000.00"
