ENTITY,DATE,EXPENSE AREA ,EXPENSE TYPE,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
HMCS,09-Mar-11,AW999-Operations & Performance Dir.,226406-Interpreters Fees (VAT recoverable),SIGN SOLUTIONS,1521536,"Ł44,359.63"
HMCS,07-Mar-11,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS FREEDMAN SHARMAN & COMPANY#DX 45603,1515438,"Ł33,199.01"
HMCS,07-Mar-11,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS CHARTWELL & SADLERS#SE15 2LB,328769,"Ł140,343.99"
HMCS,07-Mar-11,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS STRATFORD SOLICITORS#B14 7QA,329179,"Ł31,582.98"
HMCS,07-Mar-11,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS PETERS & PETERS# DX 407,1515521,"Ł63,179.95"
HMCS,07-Mar-11,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,FORBES & PARTNERS#DX 710059,1515347,"Ł80,355.08"
HMCS,07-Mar-11,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS VLS SOLICITORS#N17 0DH,1515577,"Ł36,493.80"
HMCS,07-Mar-11,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,RILEY HAYES & CO#DX 10432,1515739,"Ł29,887.69"
HMCS,07-Mar-11,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS SHEARMAN BOWEN LTD#DX 218,1515539,"Ł116,274.43"
HMCS,07-Mar-11,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS SAKHI SOLICITORS#DX 10814,329139,"Ł147,726.61"
HMCS,07-Mar-11,AU999-National Taxing Teams,311201-Solicitors CFT - Non Specified,MESSRS RIAZ SOLICITORS#BD3 8JB,329119,"Ł127,075.37"
HMCS,16-Mar-11,IZ999-RCJ Group,532301-TA GBV - Add- IT- Computers,ATOS ORIGIN IT SERVICES UK LTD,1528511,"Ł69,744.55"
HMCS,04-Mar-11,GZ999-North West Region,532401-TA GBV - Add- P&M- Equipment,CARILLION PLANNED MAINTENANCE,1514565,"Ł31,689.72"
HMCS,09-Mar-11,HZ999-North East and Yorkshire,532401-TA GBV - Add- P&M- Equipment,BROADCAST SOUND SYSTEMS LTD,1519838,"Ł31,885.44"
HMCS,09-Mar-11,GZ999-North West Region,532401-TA GBV - Add- P&M- Equipment,POWERPERFECTOR PLC,1521422,"Ł133,516.80"
HMCS,11-Mar-11,GZ999-North West Region,532401-TA GBV - Add- P&M- Equipment,POWERPERFECTOR PLC,1523646,"Ł75,543.60"
HMCS,16-Mar-11,HZ999-North East and Yorkshire,532401-TA GBV - Add- P&M- Equipment,BROADCAST SOUND SYSTEMS LTD,1528593,"Ł26,826.67"
HMCS,25-Mar-11,HZ999-North East and Yorkshire,532401-TA GBV - Add- P&M- Equipment,POWERPERFECTOR PLC,1540433,"Ł62,027.54"
HMCS,25-Mar-11,BZ999-London Region,532401-TA GBV - Add- P&M- Equipment,DH FATHERS LTD,1540005,"Ł97,352.75"
HMCS,30-Mar-11,FZ999-Midlands Region,532401-TA GBV - Add- P&M- Equipment,ZICAM INTEGRATED SECURITY LIMITED,1548205,"Ł65,572.20"
HMCS,31-Mar-11,BZ999-London Region,532401-TA GBV - Add- P&M- Equipment,POWERPERFECTOR PLC,1549316,"Ł61,951.20"
HMCS,31-Mar-11,BZ999-London Region,532401-TA GBV - Add- P&M- Equipment,POWERPERFECTOR PLC,1549316,"Ł43,943.04"
HMCS,25-Mar-11,FZ999-Midlands Region,532501-TA GBV - Add- F&F- Storage Systems,KARDEX SYSTEMS (UK) LTD,1540224,"Ł40,973.62"
HMCS,30-Mar-11,FZ999-Midlands Region,532501-TA GBV - Add- F&F- Storage Systems,TEMPLESTOCK,1547994,"Ł26,873.71"
HMCS,16-Mar-11,GZ999-North West Region,532503-TA GBV Adds CIS Labour Storage Sys,METALRAX STORAGE,1529215,"Ł29,475.60"
HMCS,30-Mar-11,EZ999-Wales Region,532503-TA GBV Adds CIS Labour Storage Sys,RACKLINE LIMITED,1547739,"Ł32,593.20"
HMCS,30-Mar-11,EZ999-Wales Region,532503-TA GBV Adds CIS Labour Storage Sys,RACKLINE LIMITED,1547739,"Ł54,255.60"
HMCS,02-Mar-11,AG999-Estates Directorate HMCS HQ,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,ALL SECURITY SYSTEMS LTD,1511387,"Ł88,921.73"
HMCS,04-Mar-11,BZ999-London Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,R&M CLARKSON LTD,1515064,"Ł134,887.44"
HMCS,04-Mar-11,FZ999-Midlands Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,REIRSE RYAN LTD,1515080,"Ł56,355.60"
HMCS,04-Mar-11,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,APC BUILDING SERVICES (LONDON) LTD,1514438,"Ł51,595.14"
HMCS,09-Mar-11,DZ999-South West Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,DH FATHERS LTD,1519997,"Ł46,745.96"
HMCS,09-Mar-11,DZ999-South West Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,DH FATHERS LTD,1519997,"Ł49,227.34"
HMCS,09-Mar-11,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,ALBERT INNES LTD,1519734,"Ł36,467.56"
HMCS,09-Mar-11,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,DH FATHERS LTD,1519997,"Ł53,208.96"
HMCS,09-Mar-11,BZ999-London Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,TPS,1521637,"Ł27,313.20"
HMCS,09-Mar-11,EZ999-Wales Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,SC MOORE LTD,1521511,"Ł168,834.30"
HMCS,09-Mar-11,BZ999-London Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,EC HARRIS LLP,1520028,"Ł27,945.92"
HMCS,09-Mar-11,DZ999-South West Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,REF ELECTRICS (TAUNTON) LTD,1521455,"Ł30,140.46"
HMCS,09-Mar-11,BZ999-London Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,HURD ROLLAND PARTNERSHIP,1520216,"Ł56,944.31"
HMCS,09-Mar-11,DZ999-South West Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,DH FATHERS LTD,1519997,"Ł102,676.51"
HMCS,11-Mar-11,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,APC BUILDING SERVICES (LONDON) LTD,1523108,"Ł79,265.27"
HMCS,11-Mar-11,FZ999-Midlands Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,REIRSE RYAN LTD,1523673,"Ł187,620.00"
HMCS,11-Mar-11,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,VEST CONSTRUCTION (LIVECO LTD),1523802,"Ł65,303.93"
HMCS,16-Mar-11,GZ999-North West Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,HURD ROLLAND PARTNERSHIP,1529019,"Ł41,421.00"
HMCS,16-Mar-11,IZ999-RCJ Group,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,WESTMINSTER CITY COUNCIL,1529689,"Ł25,000.00"
HMCS,16-Mar-11,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,DH FATHERS LTD,1528771,"Ł70,118.06"
HMCS,18-Mar-11,EZ999-Wales Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,DERYN PROPERTIES (INVESTMENTS) LLP,1531589,"Ł43,834.20"
HMCS,18-Mar-11,BZ999-London Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,R&M CLARKSON LTD,1531958,"Ł102,044.39"
HMCS,18-Mar-11,CZ999-South East Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,GALLIFORD TRY CONSTRUCTION LTD CENTRAL,1531657,"Ł448,834.97"
HMCS,18-Mar-11,FZ999-Midlands Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,POINTER LTD,1531939,"Ł126,436.91"
HMCS,18-Mar-11,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,WATSONS BUILDING SERVICES LTD,1532102,"Ł46,169.76"
HMCS,18-Mar-11,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,WATSONS BUILDING SERVICES LTD,1532102,"Ł62,225.52"
HMCS,18-Mar-11,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,WATSONS BUILDING SERVICES LTD,1532102,"Ł76,423.08"
HMCS,18-Mar-11,CZ999-South East Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,GALLIFORD TRY CONSTRUCTION LTD CENTRAL,1531657,"Ł579,850.60"
HMCS,23-Mar-11,DZ999-South West Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,HURD ROLLAND PARTNERSHIP,1537593,"Ł32,493.35"
HMCS,23-Mar-11,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,STRATEGIC TEAM MAINTENANCE CO LTD,1538115,"Ł278,937.02"
HMCS,23-Mar-11,CZ999-South East Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,T & P ELECTRICAL FIRE DIVISION LTD,343280,"Ł95,431.68"
HMCS,23-Mar-11,EZ999-Wales Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,WYG MANAGEMENT SERVICES LTD,1538309,"Ł27,674.48"
HMCS,23-Mar-11,EZ999-Wales Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,WYG MANAGEMENT SERVICES LTD,1538309,"Ł32,727.17"
HMCS,23-Mar-11,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,STRATEGIC TEAM MAINTENANCE CO LTD,1538115,"Ł90,466.69"
HMCS,25-Mar-11,FZ999-Midlands Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,PAUL MCGARRY T/A INSIGHT,1540405,"Ł33,600.00"
HMCS,25-Mar-11,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,MACHENAIR BUILDING SERVICES LTD,1540285,"Ł55,272.70"
HMCS,25-Mar-11,GZ999-North West Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,DH FATHERS LTD,1540005,"Ł40,043.16"
HMCS,30-Mar-11,FZ999-Midlands Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,DEANE CONTROL SERVICES,1546965,"Ł59,267.40"
HMCS,30-Mar-11,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,ALBERT INNES LTD,1546599,"Ł88,991.96"
HMCS,30-Mar-11,FZ999-Midlands Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,DH FATHERS LTD,1546978,"Ł167,563.46"
HMCS,30-Mar-11,CZ999-South East Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,R&M CLARKSON LTD,1547738,"Ł29,695.32"
HMCS,30-Mar-11,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,REGINALD MAUDE LTD,1547769,"Ł65,392.19"
HMCS,30-Mar-11,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,WATSONS BUILDING SERVICES LTD,1548116,"Ł49,050.34"
HMCS,30-Mar-11,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,WATSONS BUILDING SERVICES LTD,1548116,"Ł122,255.44"
HMCS,30-Mar-11,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1547563,"Ł79,779.82"
HMCS,30-Mar-11,GZ999-North West Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,ARNAGE ELECTRONIC SECURITY LTD,1546627,"Ł27,066.00"
HMCS,30-Mar-11,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,REGINALD MAUDE LTD,1547769,"Ł50,055.91"
HMCS,30-Mar-11,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,WATSONS BUILDING SERVICES LTD,1548116,"Ł85,249.44"
HMCS,31-Mar-11,BZ999-London Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,TPS,1549417,"Ł27,313.20"
HMCS,31-Mar-11,BZ999-London Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,GODFREY SYRETT LTD,1548394,"Ł1,918,996.80"
HMCS,02-Mar-11,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,REIRSE RYAN LTD,1512748,"Ł42,761.40"
HMCS,02-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,ACCLAIM CONTRACTS LTD,1511375,"Ł86,412.00"
HMCS,02-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,SYKES & SON LTD,1512882,"Ł33,505.39"
HMCS,02-Mar-11,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,SIMER ENVIRONMENTAL SERVICES LTD,1512828,"Ł33,389.46"
HMCS,04-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,BRITSPACE MODULAR BUILDINGS LIMITED,1514530,"Ł424,527.18"
HMCS,04-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,QUINN LONDON LTD,1515062,"Ł319,214.75"
HMCS,04-Mar-11,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,CARILLION PLANNED MAINTENANCE,1514564,"Ł45,708.01"
HMCS,04-Mar-11,IZ999-RCJ Group,532603-TA GBV Add CIS Labour Costs,WILSON JAMES LTD,1515302,"Ł145,613.83"
HMCS,04-Mar-11,HZ999-North East and Yorkshire,532603-TA GBV Add CIS Labour Costs,HUGH LS MCCONNELL LTD,1514808,"Ł47,711.42"
HMCS,04-Mar-11,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,PAVEHALL PLC,1515015,"Ł41,227.37"
HMCS,04-Mar-11,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,AMSPEC LTD,1514430,"Ł105,110.13"
HMCS,04-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,BLAKE CONTRACTORS LTD,1514508,"Ł92,681.76"
HMCS,04-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,R&M CLARKSON LTD,1515063,"Ł85,795.21"
HMCS,04-Mar-11,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,STRUCTURA UK LIMITED,1515192,"Ł69,661.87"
HMCS,04-Mar-11,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,REIRSE RYAN LTD,1515081,"Ł57,186.00"
HMCS,04-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,MCDOWALL AIR CONDITIONING (UK) LTD,1514908,"Ł132,558.80"
HMCS,04-Mar-11,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,KERSHAW MECHANICAL SERVICES LTD,1514849,"Ł127,332.00"
HMCS,04-Mar-11,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,BAILEY MAINTENANCE LTD,1514461,"Ł29,997.60"
HMCS,04-Mar-11,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,MITIE TILLEY ROOFING LTD,1514938,"Ł88,702.46"
HMCS,04-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,SKANSEN INTERIORS LTD,1515149,"Ł139,451.15"
HMCS,04-Mar-11,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,RCL BUILDING SERVICES LTD,1515070,"Ł105,976.07"
HMCS,04-Mar-11,IZ999-RCJ Group,532603-TA GBV Add CIS Labour Costs,WILSON JAMES LTD,1515302,"Ł396,610.90"
HMCS,04-Mar-11,HZ999-North East and Yorkshire,532603-TA GBV Add CIS Labour Costs,CRESTBROOK HEATING LTD,1514624,"Ł66,488.22"
HMCS,04-Mar-11,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,BAILEY MAINTENANCE LTD,1514461,"Ł70,886.80"
HMCS,04-Mar-11,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1514936,"Ł77,734.44"
HMCS,04-Mar-11,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,ERIC CHARLESWORTH  LTD,1514687,"Ł84,474.00"
HMCS,04-Mar-11,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1514936,"Ł469,200.70"
HMCS,04-Mar-11,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,MCDOWALL AIR CONDITIONING (UK) LTD,1514908,"Ł30,105.00"
HMCS,04-Mar-11,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,LORNE STEWART PLC,1514883,"Ł75,393.44"
HMCS,04-Mar-11,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,GARSIDE & LAYCOCK LTD,1514720,"Ł59,773.56"
HMCS,04-Mar-11,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,CARILLION PLANNED MAINTENANCE,1514565,"Ł50,248.32"
HMCS,04-Mar-11,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,CARILLION PLANNED MAINTENANCE,1514565,"Ł25,193.94"
HMCS,04-Mar-11,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,CARILLION PLANNED MAINTENANCE,1514565,"Ł25,853.14"
HMCS,09-Mar-11,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,R L DAVIES & SON LTD,1521439,"Ł333,339.34"
HMCS,09-Mar-11,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,AC MECHANICAL SERVICES LTD,331120,"Ł41,882.18"
HMCS,09-Mar-11,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,BASTION SECURITY INSTALLATIONS,1519782,"Ł25,380.28"
HMCS,09-Mar-11,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,R L DAVIES & SON LTD,1521439,"Ł71,810.48"
HMCS,09-Mar-11,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,R L DAVIES & SON LTD,1521439,"Ł89,285.71"
HMCS,09-Mar-11,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,KILLBY & GAYFORD LTD,1520271,"Ł38,088.22"
HMCS,09-Mar-11,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,J FLETCHER (ENGINEERS) LTD,1520234,"Ł38,375.06"
HMCS,09-Mar-11,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,ARK BUILD PLC,1519753,"Ł392,805.55"
HMCS,09-Mar-11,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,HENSTAFF CONSTRUCTION LTD,1520172,"Ł55,131.58"
HMCS,09-Mar-11,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,STRUCTURA UK LIMITED,1521591,"Ł50,108.93"
HMCS,09-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,BREYER GROUP PLC,331126,"Ł151,678.14"
HMCS,09-Mar-11,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,AC MECHANICAL SERVICES LTD,331120,"Ł40,407.07"
HMCS,09-Mar-11,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,MANCHESTER & CHESHIRE CONSTRUCTION CO LTD,1520362,"Ł215,722.20"
HMCS,09-Mar-11,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,R L DAVIES & SON LTD,1521439,"Ł28,500.00"
HMCS,09-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,ACCLAIM CONTRACTS LTD,1519727,"Ł54,036.00"
HMCS,09-Mar-11,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,LORNE STEWART PLC,1520331,"Ł46,574.92"
HMCS,09-Mar-11,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,NORLAND MANAGED SERVICES LTD,1520472,"Ł36,302.23"
HMCS,09-Mar-11,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,DH FATHERS LTD,1519996,"Ł75,682.33"
HMCS,09-Mar-11,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,R L DAVIES & SON LTD,1521439,"Ł188,765.47"
HMCS,09-Mar-11,IZ999-RCJ Group,532603-TA GBV Add CIS Labour Costs,VINSTRATA BUILDERS (LONDON) LTD,1521665,"Ł127,749.60"
HMCS,09-Mar-11,HZ999-North East and Yorkshire,532603-TA GBV Add CIS Labour Costs,BROADSTONE GROUP LTD,1519839,"Ł27,865.87"
HMCS,09-Mar-11,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,HENSTAFF CONSTRUCTION LTD,1520172,"Ł163,764.85"
HMCS,09-Mar-11,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,HENSTAFF CONSTRUCTION LTD,1520172,"Ł34,708.04"
HMCS,09-Mar-11,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,AC MECHANICAL SERVICES LTD,331120,"Ł37,995.94"
HMCS,09-Mar-11,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,SITEC INTERIORS LTD,1521547,"Ł118,992.00"
HMCS,09-Mar-11,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,HENSTAFF CONSTRUCTION LTD,1520172,"Ł161,601.42"
HMCS,09-Mar-11,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,AC MECHANICAL SERVICES LTD,331120,"Ł35,927.56"
HMCS,11-Mar-11,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,ANSA ELEVATORS LTD,1523107,"Ł32,132.16"
HMCS,11-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,ACCLAIM CONTRACTS LTD,1523097,"Ł51,362.12"
HMCS,11-Mar-11,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,PLANSCAPE GROUP LIMITED,1523644,"Ł34,855.34"
HMCS,11-Mar-11,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,MCDOWALL AIR CONDITIONING (UK) LTD,1523545,"Ł228,192.94"
HMCS,11-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,QUINN LONDON LTD,1523659,"Ł87,065.16"
HMCS,11-Mar-11,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,F P HURLEY & SONS LTD,1523330,"Ł103,812.96"
HMCS,11-Mar-11,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,KIER FACILITIES SERVICES LTD,335793,"Ł43,618.26"
HMCS,11-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,BREYER GROUP PLC,335770,"Ł83,625.54"
HMCS,11-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,SIS SECURITY LTD,335887,"Ł36,220.80"
HMCS,11-Mar-11,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,ALL SECURITY SYSTEMS LTD,1523102,"Ł44,395.08"
HMCS,11-Mar-11,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,NORLAND MANAGED SERVICES LTD,1523590,"Ł74,915.08"
HMCS,16-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,LAING O'ROURKE CONSTRUCTION SOUTH LTD,1529100,"Ł660,993.60"
HMCS,16-Mar-11,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,CMB ENGINEERING,1528669,"Ł27,113.76"
HMCS,16-Mar-11,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,PEXHURST SERVICES LTD,1529364,"Ł185,725.42"
HMCS,16-Mar-11,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,CONCRETE REPAIRS LIMITED,1528685,"Ł75,083.45"
HMCS,16-Mar-11,HZ999-North East and Yorkshire,532603-TA GBV Add CIS Labour Costs,DIMESTAGE (CONSTRUCTION COMPANY) LTD (DCC),1528779,"Ł60,133.01"
HMCS,16-Mar-11,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,ARK BUILD PLC,1528499,"Ł88,133.93"
HMCS,18-Mar-11,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,MCDOWALL AIR CONDITIONING (UK) LTD,1531829,"Ł36,188.08"
HMCS,18-Mar-11,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,REIRSE RYAN LTD,1531971,"Ł60,428.64"
HMCS,18-Mar-11,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,DH FATHERS LTD,1531592,"Ł58,272.76"
HMCS,18-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,SIS SECURITY LTD,340290,"Ł36,220.80"
HMCS,18-Mar-11,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,BASTION SECURITY INSTALLATIONS,1531454,"Ł45,050.70"
HMCS,18-Mar-11,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,DSM DEMOLITION LTD,1531602,"Ł26,195.50"
HMCS,18-Mar-11,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,DALY ENGINEERING SERVICES LTD,1531576,"Ł58,700.16"
HMCS,18-Mar-11,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,TG ROOFING LTD,1532057,"Ł57,190.12"
HMCS,18-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,QUINN LONDON LTD,1531955,"Ł41,596.24"
HMCS,18-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,SIS SECURITY LTD,340290,"Ł36,967.20"
HMCS,18-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,SIS SECURITY LTD,340290,"Ł29,754.00"
HMCS,18-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,METSHAPE LTD,1531844,"Ł41,657.88"
HMCS,18-Mar-11,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,MCDOWALL AIR CONDITIONING (UK) LTD,1531829,"Ł79,757.66"
HMCS,23-Mar-11,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1537795,"Ł78,602.48"
HMCS,23-Mar-11,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,ISLWYN PUGH CONSTRUCTION LTD,1537604,"Ł46,943.69"
HMCS,23-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,SIS SECURITY LTD,343276,"Ł39,170.40"
HMCS,23-Mar-11,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,WB GRIFFITHS & SON LTD,1538245,"Ł27,600.00"
HMCS,23-Mar-11,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,SITEC INTERIORS LTD,1538069,"Ł59,134.37"
HMCS,23-Mar-11,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,CHARTER INTERIORS LTD,1537263,"Ł34,200.00"
HMCS,23-Mar-11,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,SITEC INTERIORS LTD,1538069,"Ł33,538.52"
HMCS,23-Mar-11,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,GARSIDE & LAYCOCK LTD,1537463,"Ł103,060.28"
HMCS,23-Mar-11,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,NORLAND MANAGED SERVICES LTD,1537849,"Ł57,490.20"
