Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,CABINET OFFICE,25/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,STAFFORD BOROUGH COUNCIL,3000048007,72164,Payment to local authorities fund the implementation of Individual Electoral Registration ,ERS ST163AQ,Large,Grants
Cabinet Office,CABINET OFFICE,25/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,STOKE ON TRENT CITY COUNCIL,3000048035,74591,Payment to local authorities fund the implementation of Individual Electoral Registration ,ST41HH,Large,Grants
Cabinet Office,CABINET OFFICE,25/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,SANDWELL MBC,3000048025,74677,Payment to local authorities to fund the implementation of Individual Electoral Registration ,B693BS,Large,Grants
Cabinet Office,CABINET OFFICE,25/04/2014,ADDITIONS - F&FS,ESTATE CONSOLIDATION,RTS COMMUNICATIONS,3000047971,77884.08,Estate services ,SW81RY,SME,Admin
Cabinet Office,CABINET OFFICE,25/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,BATH & NORTH EAST SOMERSET COUNCIL,3000047951,80839,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS BA15AW,Large,Grants
Cabinet Office,CABINET OFFICE,25/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,WOLVERHAMPTON CITY COUNCIL,3000048018,101850,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS WV11RL,Large,Grants
Cabinet Office,CABINET OFFICE,25/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,BOURNEMOUTH BOROUGH COUNCIL,3000047993,114412,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS BH26EB,Large,Grants
Cabinet Office,CABINET OFFICE,25/04/2014,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,THOUGHTWORKS LTD,3000047983,119262.5,Identity Assurance Programme software development ,USA,Large,Programme
Cabinet Office,CABINET OFFICE,25/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,SHROPSHIRE COUNCIL,3000048031,120034,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS SY26ND,Large,Grants
Cabinet Office,CABINET OFFICE,25/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,PLYMOUTH CITY COUNCIL,3000047943,128030,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS PL12AA,Large,Grants
Cabinet Office,CABINET OFFICE,25/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,COVENTRY CITY COUNCIL,3000048016,129621,Payment to local authorities to fund the implementation of Individual Electoral Registration ,CV15RQ,Large,Grants
Cabinet Office,CABINET OFFICE,25/04/2014,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,VALTECH LTD,3000047973,148810,Managed services towards the GDS transformation project,EC1A4JQ,SME,Programme
