Department,ENTITY,DATE,EXPENSE AREA,EXPENSE TYPE,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
Ministry of Justice,HM Courts and Tribunals Service,13-Apr-11,AR999-HMCS Central Budgets,734000-Provisions - Utilised in year,MERSEYSIDE COUNTY COUNCIL#AE10410090,1568509,"£922,129.00"
Ministry of Justice,HM Courts and Tribunals Service,13-Apr-11,AR999-HMCS Central Budgets,734000-Provisions - Utilised in year,YORKSHIRE COUNTY COUNCIL#AE10410091,1568510,"£679,617.00"
Ministry of Justice,HM Courts and Tribunals Service,13-Apr-11,AR999-HMCS Central Budgets,734000-Provisions - Utilised in year,NORTHAMPTONSHIRE COUNTY COUNCIL#AE10410092,1568511,"£404,522.00"
Ministry of Justice,HM Courts and Tribunals Service,13-Apr-11,AR999-HMCS Central Budgets,734000-Provisions - Utilised in year,NOTTINGHAMSHIRE COUNTY COUNCIL#AE10410093,1568512,"£1,151,000.00"
Ministry of Justice,HM Courts and Tribunals Service,13-Apr-11,AR999-HMCS Central Budgets,734000-Provisions - Utilised in year,WARWICKSHIRE COUNTY COUNCIL#AE10410095,1568514,"£676,908.00"
Ministry of Justice,HM Courts and Tribunals Service,13-Apr-11,AR999-HMCS Central Budgets,734000-Provisions - Utilised in year,WOLVERHAMPTON CITY COUNCIL#AE10410096,1568515,"£3,261,152.00"
Ministry of Justice,HM Courts and Tribunals Service,13-Apr-11,AR999-HMCS Central Budgets,734000-Provisions - Utilised in year,WORCESTERSHIRE COUNTY COUNCIL#AE10410097,1568516,"£715,174.00"
Ministry of Justice,HM Courts and Tribunals Service,13-Apr-11,AR999-HMCS Central Budgets,734000-Provisions - Utilised in year,LINCOLNSHIRE PENSION FUND#AE10410083,1568502,"£26,300.00"
Ministry of Justice,HM Courts and Tribunals Service,20-Apr-11,AR999-HMCS Central Budgets,734000-Provisions - Utilised in year,CORPORATE RESOURCES DEPARTMENT#AE10410102,367213,"£365,000.00"
Ministry of Justice,HM Courts and Tribunals Service,21-Apr-11,AR999-HMCS Central Budgets,734000-Provisions - Utilised in year,LANCASHIRE COUNTY COUNCIL#AE10410089,1580226,"£326,531.00"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,PZ501-MoJ ICT Feeder,212001-Agency staff,METHODS CONSULTING,1046609,"£27,876.00"
Ministry of Justice,Ministry of Justice Headquarters,18-Apr-11,PZ501-MoJ ICT Feeder,212001-Agency staff,ACTICA CONSULTING LTD,1047478,"£28,350.00"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,PZ501-MoJ ICT Feeder,212001-Agency staff,ASE CONSULTING LTD,1046432,"£27,018.00"
Ministry of Justice,Ministry of Justice Headquarters,14-Apr-11,PZ501-MoJ ICT Feeder,212001-Agency staff,ALPINE RESOURCING LTD,1047110,"£25,430.09"
Ministry of Justice,Ministry of Justice Headquarters,14-Apr-11,PZ501-MoJ ICT Feeder,212001-Agency staff,ACTICA CONSULTING LTD,1047103,"£26,460.00"
Ministry of Justice,Ministry of Justice Headquarters,21-Apr-11,NZ401-Finance Group Feeder,212001-Agency staff,TAC TPS LTD T/A ADVANTAGE TECHNICAL RESOURCING,1048045,"£25,872.00"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,NZ406-Strategic Estates Feeder,222002-Other Property Costs,CBRE CB RICHARD ELLIS,1046790,"£48,500.00"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,NZ406-Strategic Estates Feeder,261000-Fuel and Utilities,EDF ENERGY LTD,1046814,"£58,196.82"
Ministry of Justice,Ministry of Justice Headquarters,18-Apr-11,NZ406-Strategic Estates Feeder,261000-Fuel and Utilities,EDF ENERGY LTD,1047556,"£108,525.67"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,NZ406-Strategic Estates Feeder,222002-Other Property Costs,CARLISLE SECURITY SERVICES LTD,1046787,"£125,434.68"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,NZ406-Strategic Estates Feeder,222002-Other Property Costs,LANCASTER OFFICE CLEANING CO LTD,1046585,"£110,448.07"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,LZ510-Combined CFO/OSPT Operations,222002-Other Property Costs,HMRC,1046553,"£25,152.80"
Ministry of Justice,Ministry of Justice Headquarters,28-Apr-11,NZ406-Strategic Estates Feeder,222002-Other Property Costs,JACOBS ENGINEERING UK LTD,1048324,"£40,610.98"
Ministry of Justice,Ministry of Justice Headquarters,04-Apr-11,NZ406-Strategic Estates Feeder,222001-Maintenance,DTZ DEBENHAM TIE LEUNG,1046165,"£44,127.34"
Ministry of Justice,Ministry of Justice Headquarters,28-Apr-11,NZ406-Strategic Estates Feeder,222001-Maintenance,DTZ DEBENHAM TIE LEUNG,1048301,"£41,125.00"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,NZ406-Strategic Estates Feeder,222001-Maintenance,M J FERGUSON LTD,1046886,"£201,065.70"
Ministry of Justice,Ministry of Justice Headquarters,18-Apr-11,NZ406-Strategic Estates Feeder,222001-Maintenance,ASSOCIATED SERVICES (ESSEX) LTD,1047487,"£105,976.79"
Ministry of Justice,Ministry of Justice Headquarters,18-Apr-11,NX900-MOJ Shared Services,262000-SCA Costs,LIBERATA UK LTD,1047628,"£323,598.70"
Ministry of Justice,Ministry of Justice Headquarters,21-Apr-11,NX900-MOJ Shared Services,262000-SCA Costs,LIBERATA UK LTD,1047958,"£29,564.41"
Ministry of Justice,Ministry of Justice Headquarters,21-Apr-11,KY220-Access to Justice Change,262000-SCA Costs,LIBERATA UK LTD,1047958,"£29,700.00"
Ministry of Justice,Ministry of Justice Headquarters,18-Apr-11,NX900-MOJ Shared Services,262000-SCA Costs,LIBERATA UK LTD,1047628,"£1,504,179.43"
Ministry of Justice,Ministry of Justice Headquarters,04-Apr-11,LZ600-Transforming Justice,223000-Other Expenditure,THE FUTURES COMPANY,1046321,"£28,020.00"
Ministry of Justice,Ministry of Justice Headquarters,04-Apr-11,OZ501-HRD Feeder,223000-Other Expenditure,CABINET OFFICE,1046136,"£66,253.20"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,RE999-CJG - Research & Analysis,223000-Other Expenditure,TNS BMRB,1046702,"£46,718.40"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,LZ600-Transforming Justice,223000-Other Expenditure,THE FUTURES COMPANY,1046973,"£65,153.75"
Ministry of Justice,Ministry of Justice Headquarters,21-Apr-11,PZ501-MoJ ICT Feeder,223001-Printing Postage and Office expenditure,LIBERATA UK LTD,1047958,"£51,625.58"
Ministry of Justice,Ministry of Justice Headquarters,21-Apr-11,PZ501-MoJ ICT Feeder,223001-Printing Postage and Office expenditure,LIBERATA UK LTD,1047958,"£56,762.39"
Ministry of Justice,Ministry of Justice Headquarters,26-Apr-11,MD600-Information Directorate,223000-Other Expenditure,LEXIS NEXIS BUTTERWORTHS,1048127,"£190,000.80"
Ministry of Justice,Ministry of Justice Headquarters,28-Apr-11,MD600-Information Directorate,223000-Other Expenditure,SWEET & MAXWELL LTD,1048379,"£41,579.73"
Ministry of Justice,Ministry of Justice Headquarters,18-Apr-11,QY200-OU10 Billback,223000-Other Expenditure,HM PRISON SERVICE,1047595,"£154,829.75"
Ministry of Justice,Ministry of Justice Headquarters,21-Apr-11,NX900-MOJ Shared Services,263000-Other Contracted Out Services,CAPITA HARTSHEAD LTD,1047859,"£51,972.53"
Ministry of Justice,Ministry of Justice Headquarters,04-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,POLAR LAKE UK LTD,1046279,"£77,580.00"
Ministry of Justice,Ministry of Justice Headquarters,04-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,STERIA LTD,1046311,"£31,803.17"
Ministry of Justice,Ministry of Justice Headquarters,04-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,COMPUTERS IN PERSONNEL LTD,1046152,"£56,368.92"
Ministry of Justice,Ministry of Justice Headquarters,04-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,CABLE & WIRELESS,1046137,"£95,062.08"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,CACI LTD,1046459,"£27,262.80"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,CACI LTD,1046459,"£69,870.00"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,CACI LTD,1046459,"£27,000.00"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,LZ600-Transforming Justice,265000-IT & Telecommunications,SPECIALIST COMPUTER CENTRES PLC (SCC),1046681,"£192,000.00"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,CACI LTD,1046459,"£28,200.00"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,CABLE & WIRELESS,1046458,"£3,929,001.79"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ORACLE CORPORATION UK LTD,1046929,"£31,421.19"
Ministry of Justice,Ministry of Justice Headquarters,14-Apr-11,RE999-CJG - Research & Analysis,265000-IT & Telecommunications,EXPERIAN LTD,1047205,"£36,000.00"
Ministry of Justice,Ministry of Justice Headquarters,18-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,INFORMATION INITIATIVES LTD,1047603,"£29,265.60"
Ministry of Justice,Ministry of Justice Headquarters,21-Apr-11,RE999-CJG - Research & Analysis,265000-IT & Telecommunications,SAS SOFTWARE LTD,1048028,"£115,560.00"
Ministry of Justice,Ministry of Justice Headquarters,26-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1048110,"£60,000.00"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1046518,"£121,605.96"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1046518,"£50,526.31"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1046518,"£70,099.45"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1046518,"£437,098.16"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1046518,"£134,184.10"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1046518,"£65,922.31"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1046824,"£182,161.20"
Ministry of Justice,Ministry of Justice Headquarters,14-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1047219,"£66,000.00"
Ministry of Justice,Ministry of Justice Headquarters,14-Apr-11,MD600-Information Directorate,265000-IT & Telecommunications,LOGICA UK LTD,1047301,"£71,344.80"
Ministry of Justice,Ministry of Justice Headquarters,14-Apr-11,MD600-Information Directorate,265000-IT & Telecommunications,LOGICA UK LTD,1047301,"£45,684.00"
Ministry of Justice,Ministry of Justice Headquarters,14-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,FUJITSU SERVICES LTD,1047219,"£202,505.23"
Ministry of Justice,Ministry of Justice Headquarters,14-Apr-11,QZ600-CPG Other,265000-IT & Telecommunications,HOME OFFICE,1047253,"£45,364.00"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,MD600-Information Directorate,223000-Other Expenditure,HOME OFFICE,1046555,"£55,182.36"
Ministry of Justice,Ministry of Justice Headquarters,14-Apr-11,MD600-Information Directorate,223000-Other Expenditure,TNT UK LTD,1047420,"£420,006.84"
Ministry of Justice,Ministry of Justice Headquarters,14-Apr-11,MD600-Information Directorate,223000-Other Expenditure,TNT UK LTD,1047420,"£99,555.50"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£53,578.13"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£95,692.80"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,KY220-Access to Justice Change,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£326,221.20"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,KY220-Access to Justice Change,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£188,534.40"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£75,006.00"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,KY220-Access to Justice Change,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£65,692.80"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,LZ430-I&B Operations,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£63,973.64"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,LZ430-I&B Operations,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£71,969.20"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£235,692.00"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£37,266.61"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£64,521.24"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£41,767.20"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£42,773.10"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£482,613.60"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£176,286.00"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£35,470.80"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£28,578.00"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046881,"£27,637.80"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£53,578.13"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£540,000.00"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£69,215.46"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£193,976.99"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£68,098.80"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£30,600.00"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£61,220.40"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,MD600-Information Directorate,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£27,928.80"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£95,692.80"
Ministry of Justice,Ministry of Justice Headquarters,18-Apr-11,KY220-Access to Justice Change,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1047489,"£50,004.00"
Ministry of Justice,Ministry of Justice Headquarters,21-Apr-11,KY220-Access to Justice Change,265000-IT & Telecommunications,LOGICA UK LTD,1047962,"£53,450.40"
Ministry of Justice,Ministry of Justice Headquarters,26-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1048129,"£29,389.80"
Ministry of Justice,Ministry of Justice Headquarters,04-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1046121,"£46,500.00"
Ministry of Justice,Ministry of Justice Headquarters,04-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1046121,"£131,062.80"
Ministry of Justice,Ministry of Justice Headquarters,04-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1046121,"£57,053.04"
Ministry of Justice,Ministry of Justice Headquarters,04-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1046121,"£44,352.00"
Ministry of Justice,Ministry of Justice Headquarters,04-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1046121,"£84,712.80"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£113,769.60"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£96,412.80"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1046750,"£59,907.60"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,LZ430-I&B Operations,265000-IT & Telecommunications,LOGICA UK LTD,1046882,"£77,227.48"
Ministry of Justice,Ministry of Justice Headquarters,18-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1047489,"£39,166.28"
Ministry of Justice,Ministry of Justice Headquarters,18-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1047489,"£96,103.68"
Ministry of Justice,Ministry of Justice Headquarters,18-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1047489,"£211,958.53"
Ministry of Justice,Ministry of Justice Headquarters,18-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1047489,"£39,166.28"
Ministry of Justice,Ministry of Justice Headquarters,18-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1047489,"£26,666.40"
Ministry of Justice,Ministry of Justice Headquarters,21-Apr-11,NX900-MOJ Shared Services,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1047837,"£58,024.80"
Ministry of Justice,Ministry of Justice Headquarters,28-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1048270,"£30,242.53"
Ministry of Justice,Ministry of Justice Headquarters,28-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1048270,"£36,138.00"
Ministry of Justice,Ministry of Justice Headquarters,28-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1048270,"£31,392.24"
Ministry of Justice,Ministry of Justice Headquarters,28-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1048270,"£358,023.91"
Ministry of Justice,Ministry of Justice Headquarters,28-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1048270,"£44,352.00"
Ministry of Justice,Ministry of Justice Headquarters,28-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1048270,"£57,053.04"
Ministry of Justice,Ministry of Justice Headquarters,28-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1048270,"£336,160.80"
Ministry of Justice,Ministry of Justice Headquarters,28-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1048270,"£35,072.40"
Ministry of Justice,Ministry of Justice Headquarters,28-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1048270,"£56,404.30"
Ministry of Justice,Ministry of Justice Headquarters,28-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1048270,"£25,981.20"
Ministry of Justice,Ministry of Justice Headquarters,28-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1048270,"£154,984.50"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1046750,"£48,330.00"
Ministry of Justice,Ministry of Justice Headquarters,26-Apr-11,KY500-Access to Justice Procurement,263000-Other Contracted Out Services,STAFFORDSHIRE COUNTY COUNCIL,1048161,"£149,560.80"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,RB999-JPG - CJRD,265000-IT & Telecommunications,LOGICA UK LTD,1046595,"£78,735.60"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,RB999-JPG - CJRD,265000-IT & Telecommunications,LOGICA UK LTD,1046595,"£26,488.80"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,LZ600-Transforming Justice,264000-Consultancy,PA CONSULTING SERVICES LTD,1046635,"£73,920.00"
Ministry of Justice,Ministry of Justice Headquarters,14-Apr-11,NZ401-Finance Group Feeder,264000-Consultancy,KPMG,1047279,"£75,378.00"
Ministry of Justice,Ministry of Justice Headquarters,21-Apr-11,PZ501-MoJ ICT Feeder,264000-Consultancy,ELAN COMPUTING LTD,1047899,"£240,510.00"
Ministry of Justice,Ministry of Justice Headquarters,28-Apr-11,KY340-Access to Justice Delivery,264000-Consultancy,BIRCHAM DYSON BELL LLP,1048279,"£37,298.34"
Ministry of Justice,Ministry of Justice Headquarters,04-Apr-11,PZ501-MoJ ICT Feeder,224000-Staff travel and other,HM PRISON SERVICE,1046200,"£35,013.75"
Ministry of Justice,Ministry of Justice Headquarters,18-Apr-11,KY340-Access to Justice Delivery,224000-Staff travel and other,APPOINTMENTS COMMISSION,1047483,"£33,063.60"
Ministry of Justice,Ministry of Justice Headquarters,04-Apr-11,MD600-Information Directorate,266000-Judicial Costs,HAMMICKS LEGAL BOOKSHOPS,1046191,"£155,602.08"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,MD600-Information Directorate,266000-Judicial Costs,HAMMICKS LEGAL BOOKSHOPS,1046833,"£30,150.00"
Ministry of Justice,Ministry of Justice Headquarters,21-Apr-11,MD600-Information Directorate,266000-Judicial Costs,HAMMICKS LEGAL BOOKSHOPS,1047916,"£36,099.50"
Ministry of Justice,Ministry of Justice Headquarters,21-Apr-11,MD600-Information Directorate,266000-Judicial Costs,HAMMICKS LEGAL BOOKSHOPS,1047916,"£32,747.44"
Ministry of Justice,Ministry of Justice Headquarters,21-Apr-11,MD600-Information Directorate,266000-Judicial Costs,HAMMICKS LEGAL BOOKSHOPS,1047916,"£36,532.32"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,KY500-Access to Justice Procurement,266000-Judicial Costs,CALDER CONFERENCES LTD,1046460,"£45,847.20"
Ministry of Justice,Ministry of Justice Headquarters,21-Apr-11,MF600-Directorate of Judicial Offices,266000-Judicial Costs,CALDER CONFERENCES LTD,1047858,"£35,450.59"
Ministry of Justice,Ministry of Justice Headquarters,21-Apr-11,MF600-Directorate of Judicial Offices,266000-Judicial Costs,CALDER CONFERENCES LTD,1047858,"£39,015.81"
Ministry of Justice,Ministry of Justice Headquarters,04-Apr-11,MB600-LR & I Group Support,246000-Current Grants,DEPARTMENT FOR COMMUNITIES & LOCAL GOVERNMENT,1046161,"£4,480,000.00"
Ministry of Justice,Ministry of Justice Headquarters,21-Apr-11,RG999-CFLAP Accumulator,246000-Current Grants,REUNITE INTERNATIONAL,1048018,"£28,125.00"
Ministry of Justice,Ministry of Justice Headquarters,26-Apr-11,MG600-International Directorate,246000-Current Grants,THE JOHN SMITH MEMORIAL TRUST,6313,"£225,000.00"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,KY340-Access to Justice Delivery,245000-Grants in Aid to NDPBs,THE PAROLE BOARD,6306,"£550,000.00"
Ministry of Justice,Ministry of Justice Headquarters,15-Apr-11,KY340-Access to Justice Delivery,245000-Grants in Aid to NDPBs,CRIMINAL CASES REVIEW COMMISSION,6309,"£500,000.00"
Ministry of Justice,Ministry of Justice Headquarters,18-Apr-11,RB999-JPG - CJRD,245000-Grants in Aid to NDPBs,VICTIM SUPPORT,1047727,"£9,500,000.00"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,RC999-Criminal Justice Group - OMS,245000-Grants in Aid to NDPBs,YOUTH JUSTICE BOARD FOR ENGLAND & WALES,6307,"£20,000,000.00"
Ministry of Justice,Ministry of Justice Headquarters,07-Apr-11,KY300-Legal Services Strategy,311100-Legal Aid,LEGAL SERVICES COMMISSION,6305,"£75,000,000.00"
Ministry of Justice,Ministry of Justice Headquarters,14-Apr-11,KY300-Legal Services Strategy,311100-Legal Aid,LEGAL SERVICES COMMISSION,6308,"£24,800,000.00"
Ministry of Justice,Ministry of Justice Headquarters,21-Apr-11,KY300-Legal Services Strategy,311100-Legal Aid,LEGAL SERVICES COMMISSION,6311,"£10,000,000.00"
Ministry of Justice,Ministry of Justice Headquarters,28-Apr-11,KY300-Legal Services Strategy,311100-Legal Aid,LEGAL SERVICES COMMISSION,6314,"£24,300,000.00"
Ministry of Justice,Ministry of Justice Headquarters,11-Apr-11,PZ501-MoJ ICT Feeder,532000-Tangible GBV - Additions,ATOS ORIGIN IT SERVICES UK LTD,1046750,"£42,757.20"
