Posted Date,Internal Voucher Number,Invoice Line Amount Net GBP,Supplier Name,Account Code
28/06/2016,6982236,33054.27,GO GROUP NLE,Programme Spend (Oracle Projects Control Account)
17/06/2016,6904574,32974,UNHAS SOMALIA,Post - Air Travel
21/06/2016,6928443,32941.97,ADAMJEE INSURANCE COMPANY LTD,Medical Supplies
29/06/2016,6997619,32938,BERGHOF FOUNDATION FOR PEACE SUPPORT GEMEINN GMBH,Programme Spend (Oracle Projects Control Account)
13/06/2016,6862615,32875,FCO SERVICES,Information Systems Maintenance
08/06/2016,6834979,32674.56,SECURITAS SAC,Local Guards
15/06/2016,6881745,32634.61,KIDMAH LLC,Rental Payments - residential
23/06/2016,6956470,32603.25,FCO SERVICES,Vehicle Hire
29/06/2016,6997657,32404.47,SUPPLY PLUS,Estates - Other Machinery and Equipment
22/06/2016,6947470,32327.02,SEBHATU AND SONS PROPERTY ADMINISTRATION AND SECURITY SERVICE PLC,Local Guards
15/06/2016,6881432,32309.9,STC SPRL,Multiple Accounts
22/06/2016,6949466,32160,CABINET OFFICE,Radio
06/06/2016,6800461,31811.45,SHREE NAMAN DEVELOPERS LIMITED,Multiple Accounts
10/06/2016,6845015,31740.75,NAJMI SONS AND BROTHERS LTD,Fuel Oil Residential
09/06/2016,6843580,31728.99,TAAM PETROLEUM LTD,Fuel Oil Residential
21/06/2016,6937530,31699.72,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
24/06/2016,6966535,31646,HARDWIRED INC,Programme Spend (Oracle Projects Control Account)
09/06/2016,6843639,31560,ENGIE LIMITED,Construction Project more than £10k
13/06/2016,6862561,31483.5,FCO SERVICES,Information Systems Maintenance
27/06/2016,6972558,31470,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,Specialist Training (Devolved)
24/06/2016,6962534,31382.71,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
13/06/2016,6868446,30910.97,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
27/06/2016,6972485,30854.76,PEKING UNIVERSITY,Programme Spend (Oracle Projects Control Account)
09/06/2016,6842518,30815.78,SKA INTERNATIONAL GROUP,Catering Services
03/06/2016,6794475,30806.71,STATE CATERING SERVICE LTD,Recharge Suspense Account (Oracle PA Control Account)
24/06/2016,6962539,30780.38,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
03/06/2016,6797600,30771.33,SKA INTERNATIONAL GROUP,Programme Spend (Oracle Projects Control Account)
16/06/2016,6896464,30762.78,KOIZA INTERNATIONAL LTD,"Purchase of Furniture, Fittings and Domestic Appliances"
21/06/2016,6939456,30623.55,INDIAN OCEAN APARTMENTS LIMITED,Rental Payments - residential
20/06/2016,6914486,30599.88,INTERSERVE FM LTD,Multiple Accounts
10/06/2016,6848472,30466.91,3M CONSULTA,UK Guarding Contracts Overseas
16/06/2016,6896457,30466.91,3M CONSULTA,UK Guarding Contracts Overseas
24/06/2016,6963565,30165.63,NNLE THE CENTRE FOR CULTURAL RELATIONS CAUCASIAN HOUSE,Programme Spend (Oracle Projects Control Account)
09/06/2016,6843636,30080,ENGIE LIMITED,Construction Project more than £10k
