Posted Date,Internal Voucher Number,Invoice Line Amount Net GBP,Supplier Name,Account Code
05/04/2016,6224430,80093.94,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
12/04/2016,6289785,80074.99,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
06/04/2016,6238518,80000,NCA NATIONAL CRIME AGENCY,Programme Spend (Oracle Projects Control Account)
11/04/2016,6276476,80000,IOM INTERNATIONAL ORG FOR MIGRATION,Programme Spend (Oracle Projects Control Account)
15/04/2016,6345447,80000,THE HUB HONG KONG LTD,Overseas Marketing
11/04/2016,6273658,79860,HP INC UK LIMITED,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
29/04/2016,6498457,79511.1,AVON POLYMER PRODUCTS,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
12/04/2016,6293512,79500,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
27/04/2016,6471485,79363.51,THE HALO TRUST,Programme Spend (Oracle Projects Control Account)
29/04/2016,6500426,78533.87,SSK,Multiple Accounts
27/04/2016,6470427,78000.53,BRITISH TELECOM PLC,Multiple Accounts
21/04/2016,6411479,77262.89,VOYA FINANCIAL,Multiple Accounts
04/04/2016,6220511,76707.25,HOME OFFICE,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
28/04/2016,6481497,76141.09,VOYA FINANCIAL,Multiple Accounts
01/04/2016,6211434,75000,UNIVERSITY OF LONDON,Multiple Accounts
04/04/2016,6213639,74979,COFFEY INTERNATIONAL DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
25/04/2016,6435440,74148.63,CONTRIBUTORY PROVIDENT FUND,Multiple Accounts
05/04/2016,6225468,72337,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
22/04/2016,6427456,72325.75,CABINET OFFICE,Multiple Accounts
19/04/2016,6390456,72262.8,FCO SERVICES,Multiple Accounts
26/04/2016,6456691,72111.59,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
28/04/2016,6482492,70576,IISS - INTERNATIONAL INSTITUTE FOR STRATEGIC STUDIES,Programme Spend (Oracle Projects Control Account)
27/04/2016,6472713,70373.5,SCOTTISH POLICE SERVICES AUTHORITY,Programme Spend (Oracle Projects Control Account)
28/04/2016,6481476,70112.1,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
29/04/2016,6500510,70000,CONCORDIS INTERNATIONAL TRUST,Programme Spend (Oracle Projects Control Account)
20/04/2016,6392519,69272.56,CRIMINAL JUSTICE TASK FORCE - CJTF,Recharge Suspense Account (Oracle PA Control Account)
08/04/2016,6263587,69250,SYNERGY GLOBAL CONSULTING LTD,Programme Spend (Oracle Projects Control Account)
14/04/2016,6319502,68968.66,HOTELLINE FOR TOURISTIC INVESTMENT LTD,Multiple Accounts
05/04/2016,6225474,68421.93,COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
26/04/2016,6456690,68216.31,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
11/04/2016,6281431,67162.41,NI CO OPERATION OVERSEAS NI CO LTD,Programme Spend (Oracle Projects Control Account)
14/04/2016,6325478,66599.92,OMM LE STAFF PAY,Multiple Accounts
04/04/2016,6213941,65949.5,TORCHLIGHT SOLUTIONS LTD,Programme Spend (Oracle Projects Control Account)
07/04/2016,6250454,65000,BIG LOTTERY FUND,Multiple Accounts
04/04/2016,6214471,64415.14,CONCEPT BUILDING SERVICES SOUTHERN LTD,Construction Project more than £10k
18/04/2016,6356508,64033.54,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
01/04/2016,6211452,63567.5,COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
05/04/2016,6197547,62669.55,RNY OTHER DEBTORS,Rent and Service Charges
26/04/2016,6465443,62376.25,THE QUEEN ELIZABETH II CONFERENCE CENTRE,Inward visits to the UK and UK Conferences
04/04/2016,6220518,62239,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
05/04/2016,6221546,61783.8,LUCONEX SRL,Rental Payments - non residential
04/04/2016,6214214,61254.15,PNP IMPREST,Interbank Transfers/Withdrawals
25/04/2016,6445618,61151.02,LAPIS MIDDLE EAST AND AFRICA FZ LLC,Programme Spend (Oracle Projects Control Account)
26/04/2016,6456686,61010.57,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
25/04/2016,6436444,61003.92,MINISTRY OF FINANCE,Rental Payments - residential
29/04/2016,6500651,60921.64,IISS - INTERNATIONAL INSTITUTE FOR STRATEGIC STUDIES,Programme Spend (Oracle Projects Control Account)
20/04/2016,6396554,60799.98,PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
11/04/2016,6275495,60630.8,IOM INTERNATIONAL ORG FOR MIGRATION,Programme Spend (Oracle Projects Control Account)
04/04/2016,6214532,60517.41,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
29/04/2016,6500437,60333.63,SSK,Multiple Accounts
22/04/2016,6430478,60127.08,OCDE  OECD,Rental Payments - non residential
19/04/2016,6378431,60076.4,CENTRE FOR POLICY ALTERNATIVE,Programme Spend (Oracle Projects Control Account)
26/04/2016,6456730,60004.04,INTERSERVE FM LTD,Multiple Accounts
13/04/2016,6303541,60000,INTERNATIONAL GOVERNANCE AND RISK LIMITED GOVRISK,Programme Spend (Oracle Projects Control Account)
20/04/2016,6397459,60000,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
18/04/2016,6356525,59799.13,ISS FACILITY SERVICES LTD FCO OP,FM Interserve BES Maintenance
11/04/2016,6275020,59710.43,ETANA,Programme Spend (Oracle Projects Control Account)
28/04/2016,6491479,58568.29,PRICEWATERHOUSE COOPERS LLP,Programme Spend (Oracle Projects Control Account)
12/04/2016,6289500,58513.16,ORACLE CORPORATION (UK) LTD,Multiple Accounts
18/04/2016,6356493,58221.62,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
12/04/2016,6290434,57505.62,DFID DEPT INTERNATIONAL DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
20/04/2016,6397432,57499.4,SECURITY SERVICES GROUP,Site Maintenance
01/04/2016,6210549,57218.87,PUBLIC ORGANISATION HROMADSKE RADIO,Programme Spend (Oracle Projects Control Account)
06/04/2016,6229739,57074.1,AVON POLYMER PRODUCTS,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
12/04/2016,6289766,56598,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
20/04/2016,6396578,56564.98,SECURITY SERVICES GROUP,Misc Security Payments
13/04/2016,6306530,56443.46,PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
13/04/2016,6311447,55844,CAPITA PROPERTY AND INFRASTRUCTURE LTD,Assets Under Construction (Oracle PA Control Account)
28/04/2016,6481504,55415,FCO SERVICES,Multiple Accounts
04/04/2016,6213793,55380,SERCO LIMITED,Programme Spend (Oracle Projects Control Account)
19/04/2016,6385466,55298.65,WHITES CONSULTANTS LIMITED,Programme Spend (Oracle Projects Control Account)
13/04/2016,6301540,55255.54,BRITISH COUNCIL,Programme Spend (Oracle Projects Control Account)
11/04/2016,6283555,55187.3,NI CO OPERATION OVERSEAS NI CO LTD,Programme Spend (Oracle Projects Control Account)
11/04/2016,6283461,54411.91,IOM INTERNATIONAL ORG FOR MIGRATION,Programme Spend (Oracle Projects Control Account)
04/04/2016,6213713,54380.74,ROYAL UNITED SERVICES INSTITUTE FOR DEFENCE AND SECURITY STUDIES,Programme Spend (Oracle Projects Control Account)
26/04/2016,6456725,54242.78,INTERSERVE FM LTD,Multiple Accounts
20/04/2016,6397466,53902,CSC COMPUTER SCIENCES LTD,Estates Management Services
27/04/2016,6472476,53862,SAFERWORLD,Programme Spend (Oracle Projects Control Account)
25/04/2016,6441429,53740.4,SOCIAL SECURITY CONTRIBTN AUTHORITY,Multiple Accounts
20/04/2016,6396444,53544.14,MEDICA,Programme Spend (Oracle Projects Control Account)
26/04/2016,6456658,52958.06,INTERSERVE FM LTD,Multiple Accounts
15/04/2016,6344513,52905.5,INFORMED SOLUTIONS LIMITED,Assets Under Construction (Oracle PA Control Account)
28/04/2016,6482568,52819.12,AETNA,Multiple Accounts
18/04/2016,6354428,52728.11,JERUSALEM NETWORK FOR COMMUNITY ADVOCACY LTD,Programme Spend (Oracle Projects Control Account)
05/04/2016,6223005,52424,PECHTER POLLS,Programme Spend (Oracle Projects Control Account)
25/04/2016,6440521,52089.77,STANDARD BANK OF MALAWI,Multiple Accounts
14/04/2016,6325512,51432.11,TAAM PETROLEUM LTD,Fuel
07/04/2016,6250428,51210,NATIONAL DEMOCRATIC INSTITUTE,Programme Spend (Oracle Projects Control Account)
19/04/2016,6390427,51057,FCO SERVICES,Information Systems Implementation
04/04/2016,6215428,50978.38,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
18/04/2016,6349501,50877.63,NAJMI SONS AND BROTHERS LTD,Fuel Oil Residential
04/04/2016,6215434,50542.73,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
25/04/2016,6438424,50422.54,SISTEMA INTEGRADO MULTIPLE DE PAGOS,Multiple Accounts
22/04/2016,6425477,50243.63,HUMANIS,Multiple Accounts
14/04/2016,6323439,50117.83,BRITISH CHAMBER OF COMMERCE KOREA,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
