Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,OXFORD HEALTH NHS FOUNDATION TRUST,ERS-522603-90110,"£139,082.00",Programme Grants for NHS Trusts,OX4 2GX,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,OXFORD HEALTH NHS FOUNDATION TRUST,ERS-522603-90110,"£44,518.51",NIHR Public Health Research ( NETSCC ),OX4 2GX,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-522604-90120,"£73,248.15",HTA Researcher Lead,OX3 7HE,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-522604-90120,"£21,195.00",Experimental Cancer Medicine Centres,OX3 7HE,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-522604-90120,"£31,624.00",Cochrane Projects - not including the UKCC,OX3 7HE,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-522604-90120,"£210,635.00",Reviews Infrastructure including the UKCC,OX3 7HE,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-522604-90121,"£25,032.00",Research for Patient Benefit,OX3 7LD,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ERS-522610-90094,"£7,800.88",HTA Researcher Lead,CB3 8RE,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ERS-522610-90094,"£8,059.00",Research for Patient Benefit,CB3 8RE,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ERS-522610-90094,"£13,073.93",HTA Researcher Lead,CB3 8RE,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ERS-522610-90094,"£66,138.07",HTA Commissioned Research,CB3 8RE,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,PENNINE CARE NHS FOUNDATION TRUST,ERS-522611-90116,"£87,868.00",Programme Grants for NHS Trusts,OL6 7SR,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,PLYMOUTH HOSPITALS NHS TRUST,ERS-522612-90103,"£73,077.00",Programme Grants for NHS Trusts,WF3 1WE,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,PORTSMOUTH HOSPITAL NHS TRUST,ERS-522614-90099,"£62,173.24",HTA Researcher Lead,PO6 3LY,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,PUBLIC HEALTH ENGLAND PHE033,ERS-522616-90161,"£32,023.00",PROJECTS,SP4 0JG,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,PUBLIC HEALTH ENGLAND PHE033,ERS-522616-90161,"£6,000.00",PROJECTS,SP4 0JG,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,PUBLIC HEALTH ENGLAND PHE033,ERS-522616-90161,"£14,667.00",PROJECTS,SP4 0JG,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,PUBLIC HEALTH ENGLAND PHE033,ERS-522616-90161,"£70,857.00",PROJECTS,SP4 0JG,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,PUBLIC HEALTH ENGLAND PHE033,ERS-522616-90161,"£36,750.00",PROJECTS,SP4 0JG,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,PUBLIC HEALTH ENGLAND PHE033,ERS-522616-90161,"£53,022.00",PROJECTS,SP4 0JG,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,PUBLIC HEALTH ENGLAND PHE033,ERS-522616-90161,"£280,325.00",CJD ,SP4 0JG,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,PUBLIC HEALTH ENGLAND PHE033,ERS-522616-90161,"£34,298.00",PROJECTS,SP4 0JG,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,PUBLIC HEALTH ENGLAND PHE033,ERS-522616-90162,"£314,413.00",PROJECTS,SP4 0JG,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,PUBLIC HEALTH ENGLAND PHE033,ERS-522616-90163,"£76,912.72",HTA Commissioned Research,NG5 1PB,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ERS-522622-90100,"£36,337.00",Research for Patient Benefit,RG1 5AN,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ERS-522624-90117,"£45,701.82",Commissioned EME,UB9 6JH,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ERS-522624-90117,"£16,729.32",HS & DR,UB9 6JH,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,ERS-522624-90117,"£121,930.00",Programme Grants for NHS Trusts,UB9 6JH,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,ROYAL CORNWALL HOSPITAL NHS TRUST,ERS-522628-90092,"£18,605.00",Research for Patient Benefit,TR1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,ROYAL CORNWALL HOSPITAL NHS TRUST,ERS-522628-90092,"£18,730.00",Research for Patient Benefit,TR1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,ROYAL CORNWALL HOSPITAL NHS TRUST,ERS-522628-90092,"£130,748.00",Programme Grants for NHS Trusts,TR1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-522629-90095,"£19,496.00",Research for Patient Benefit,EX2 5DW,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-522629-90095,"£25,304.00",Research for Patient Benefit,EX2 5DW,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-522629-90095,"£16,680.00",Research for Patient Benefit,EX2 5DW,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-522629-90095,"£28,314.00",Research for Patient Benefit,EX2 5DW,,Programme,PUBLIC,
