Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number
Department of Health,Department of Health,01/06/2014,Outsourcing Contract,DG: SFNHS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6284661,"£199,167.00",2014-15 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,,Programme,PUBLIC,
Department of Health,Department of Health,01/06/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325598RI,£0.00,"Care Quality Commission (CQC) --Building Maintenance from 01/04/14 - 31/03/15 - @£33,717.46",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325599RI,"£57,066.43","Building Maintenance Costs from 01/04/14 - 31/03/15 @£57,066.43",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325599RI,"-£57,066.43","FM Costs from 01/04/14 - 31/03/15 @£11,055.48",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325600RI,"£46,676.47"," Building Maintenance Costs from 01/04/14 -31/03/201515 @ £46,676.46 mthly",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Cleaning: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325600RI,"£22,528.31","Cleaning Costs from 01/04/14 -31/03/201515 @ £22,528.31 mthly",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325600RI,"-£98,545.02","FM Costs from 01/04/14 -31/03/201515 @ £13,007.45 mthly",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325600RI,"£29,340.24","Security Costs from 01/04/14 -31/03/201515 @ £29,340.24 mthly",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325601RI,"£49,138.93","Building Maintenance Costs from 01/04/14 - 31/03/15 @£49,138.93",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Cleaning: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325601RI,"£29,049.98","Cleaning Costs from 01/04/14 - 31/03/15 @£29,049.98",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325601RI,"-£125,672.17","FM Costs from 01/04/14 - 31/03/15 @£26,261.22",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325601RI,"£47,483.26","Security Costs from 01/04/14 - 31/03/15 @£47,483.26",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325602RI,"£38,449.46","Building Maintenance Costs from 01/04/14 -31/03/15 @38,449.46 mthly",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Cleaning: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325602RI,"£21,923.22","Cleaning Costs from 01/04/14 -31/03/15 @21,923.22 mthly",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Facilities management: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325602RI,"-£89,190.64","FM Costs from 01/04/14 -31/03/15 @13,060.08 mthly",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Security: contract,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00325602RI,"£28,817.96","Security Costs from 01/04/14 -31/03/15 @28,817.96 mthly",SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,01/06/2014,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10103607,£0.01,Information Systems,SW1W 9SR,,Programme,LARGE,
Department of Health,Department of Health,01/06/2014,Outsourcing Contract,DG: RDD,PA CONSULTING SERVICES LTD,10103607,-£0.01,,SW1W 9SR,,Programme,LARGE,
Department of Health,Department of Health,01/06/2014,Expense clearing GPC (ST),DG: Central Technical,BARCLAYCARD BUSINESS,4368001-06-JUN-14,"£30,560.53",,TS17 6YG,,Other,SME,
Department of Health,Department of Health,01/06/2014,Outsourcing Contract,DG: ERD,SERCO LISTENING LTD,90823039,"-£6,383.28",January Health Harms Contact Centre,RG27 9UY,,Programme,LARGE,
Department of Health,Department of Health,01/06/2014,Publicity & advertising,DG: ERD,SERCO LISTENING LTD,90823039,"£6,383.28","Health Visitor recruitment, Serco Listening (contact centre), eCRM development Q3 and Q4",RG27 9UY,,Programme,LARGE,
Department of Health,Department of Health,01/06/2014,Staff other pension costs (UK),DG: GOAD,CAMBRIDGESHIRE COUNTY COUNCIL,16006727,"£4,000,000.00",,CB3 0AP,,Admin,PUBLIC,
Department of Health,Department of Health,02/06/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,CARE QUALITY COMMISSION (CQC) CQC033,HAFS-17093,"£10,000,000.00",,,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE,HAFS-17094,"£10,000,000.00",,WF3 1WE,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,HEALTH EDUCATION ENGLAND T1510,HAFS-17095,"£305,000,000.00",,LS1 4PL,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,HUMAN TISSUE AUTHORITY (HTA033),HAFS-17097,"£185,000.00",,,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-17098,"£3,200,000.00",,,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-17099,"£3,000,000.00",,SE1 7NT,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-17100,"£11,900,000.00",,NE1 6SN,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS ENGLAND CBA033,HAFS-17101,"£2,278,165,000.00",,LS2 7UE,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-17102,"£3,500,000.00",,SW1E 6QT,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,PUBLIC HEALTH ENGLAND PHE033,HAFS-17103,"£61,000,000.00",,SP4 0JG,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,NHS ENGLAND CBA033,HAFS-17104,"£4,601,880,000.00",,LS2 7UE,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,Additions PDC Revenue Support NHS T Temporary,DG: Central Technical,BARTS HEALTH NHS TRUST,HAFS-17110,"£25,000,000.00",,E1 8PR,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,HAFS-17111,"£425,000.00",,RG24 9NA,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-17112,"£365,000.00",,PE3 6DA,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Central Technical,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-17113,"£3,635,000.00",,PE3 6DA,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,ROYAL FREE LONDON NHS FOUNDATION TRUST,HAFS-17114,"£365,000.00",,NW3 2QG,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,ROYAL FREE LONDON NHS FOUNDATION TRUST,HAFS-17115,"£450,000.00",,NW3 2QG,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,ROYAL FREE LONDON NHS FOUNDATION TRUST,HAFS-17116,"£213,000.00",,NW3 2QG,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-17117,"£475,000.00",,NG17 4JL,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Central Technical,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-17118,"£2,918,000.00",,NG17 4JL,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,Additions PDC Capital Support NHS FT Permenant,DG: Central Technical,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,HAFS-17119,"£76,000.00",,WF3 1WE,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,HAFS-17121,"£2,521,000.00",,LN2 5QY,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,Expense clearing GPC (ST),DG: Central Technical,BARCLAYCARD BUSINESS,4368001-06-JUN-14,"£3,985.13",,TS17 6YG,,Other,SME,
Department of Health,Department of Health,02/06/2014,Outsourcing Contract,DG: SCLGCP,FUTUREBUILDERS ENGLAND FUND MANAGEMENT LTD,TSIB307,"£92,781.60",Futurebuilders England - Contract Extension Year 2 - 1/6/13 - 31/5/14 - Management Fee Costs,WC1H 8AG,,Programme,SME,
Department of Health,Department of Health,02/06/2014,CASH FUNDING Rev Inside RAB,DG: Central Technical,HUMAN FERTILISATION AND EMBRYOLOGY AUTHORITY (HFEA),HAFS-17096,"£250,000.00",,EC1Y 8HF,,Other,PUBLIC,
Department of Health,Department of Health,02/06/2014,Outsourcing Contract,DG: SCLGCP,ROYAL COLLEGE OF OBSTETRICIANS AND GYNAECOLOGISTS,SIN037479,"£150,000.00",Every Baby Counts Project Funding - to support reduction in incidents during term labour that leads to still birth,NW1 4RG,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-521299-89086,"£33,262.00",Comprehensive Networks,SO52 9AB,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-521299-89086,"£216,738.00",Comprehensive Networks,SO52 9AB,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-521300-89087,"£219,437.00",Comprehensive Networks,SE1 9RT,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,NORFOLK & NORWICH UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ERS-521301-89090,"£250,000.00",Comprehensive Networks,NR4 7UY,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-521302-89085,"£250,000.00",Comprehensive Networks,EX2 5DW,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-521303-89081,"£210,715.00",Comprehensive Networks,BS99 1YF,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ERS-521304-89099,"£170,156.00",CANCER NETWORKS,W12 0HS,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-521305-89096,"£63,044.00",MEDS FOR CH'REN CTUs,M13 0JR,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-521305-89096,"£82,968.00",MEDS FOR CH'REN CTUs,M13 0JR,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,ERS-521306-89092,"£249,999.98",Comprehensive Networks,B15 2PR,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,ERS-521307-89091,"£249,831.08",Comprehensive Networks,L7 8XP,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-521308-89104,"£140,084.87",Comprehensive Networks,E1 8PR,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-521309-89097,"£250,000.00",Comprehensive Networks,LE5 4QF,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,NORTH WEST LONDON HOSPITALS NHS TRUST,ERS-521310-89095,"£250,000.00",Comprehensive Networks,HA1 3UJ,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,ERS-521311-89083,"£176,263.67",Comprehensive Networks,YO30 4RY,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-521312-89084,"£250,000.00",Comprehensive Networks,CB2 2QQ,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,THE ROYAL WOLVERHAMPTON NHS TRUST,ERS-521313-89089,"£173,445.29",CANCER NETWORKS,WV10 0QP,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ERS-521314-89094,"£94,289.00",CANCER NETWORKS,TS4 3BW,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ERS-521315-89093,"£116,701.96",DIABETES NETWORKS,OX3 7HE,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,ERS-521316-89088,"£75,974.00",PRIMARY CARE NETWORKS,SE1 9RT,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ERS-521317-89098,"£109,714.00",STROKE NETWORKS,LE5 4QF,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-521320-89105,"£83,335.00",CLAHRCs,E1 8PR,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE O'CONNOR GATEWAY TRUST,ERS-521336-89121,"£90,455.00","IESD 2013-14, AIMS 2574599, The O'Connor Gateway Trust: Recovery Partnership Festival",DE14 1BX,,Other,VCS,
Department of Health,Department of Health,03/06/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00327572RI,"£30,365.05",Removal of staff from Maple St to SKH for NHS England - Ref: JDE 398932,SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,03/06/2014,Building repairs & maintenance,DG: GOAD,EMCOR FACILITIES SERVICES LTD,00327578RI,"£28,133.46",PRH - Additional HVAC units,SO53 3YE,,Admin,LARGE,
Department of Health,Department of Health,03/06/2014,Consultancy/Professional Advice,DG: SFNHS,SAPIENT LTD,31305,£972.84,Senior Consultatnt Architect,E1 6DU,,Admin,LARGE,
Department of Health,Department of Health,03/06/2014,Consultancy/Professional Advice,DG: SFNHS,SAPIENT LTD,31305,"£2,489.69",Senior Consultant Architect,E1 6DU,,Admin,LARGE,
Department of Health,Department of Health,03/06/2014,Consultancy/Professional Advice,DG: SFNHS,SAPIENT LTD,31305,"£16,281.00",Senior Consultant Architect,E1 6DU,,Admin,LARGE,
Department of Health,Department of Health,03/06/2014,Consultancy/Professional Advice,DG: SFNHS,SAPIENT LTD,31305,"£7,380.00",Managing Consultatnt - Programme Management,E1 6DU,,Admin,LARGE,
Department of Health,Department of Health,03/06/2014,Service charge,DG: GOAD,BT GROUP PLC,353957,"£223,824.42",N3: 2013/14,NW9 6LB,,Programme,LARGE,
Department of Health,Department of Health,03/06/2014,Expense clearing GPC (ST),DG: Central Technical,BARCLAYCARD BUSINESS,4368001-06-JUN-14,"£3,099.28",,TS17 6YG,,Other,SME,
Department of Health,Department of Health,03/06/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584159394,"£1,432,335.82",April 2014 IMS3 Open Service charges,WS11 0JA,,Admin,LARGE,
Department of Health,Department of Health,03/06/2014,Printing,DG: GOAD,XEROX BUSINESS SERVICES,900120700,£0.00,"Reprographics - Copy Print Charges @ £10,000 mthly FY2014-15",UB8 1HS,,Admin,LARGE,
Department of Health,Department of Health,03/06/2014,Printing,DG: GOAD,XEROX BUSINESS SERVICES,900120700,"£24,491.38","Reprographics - Management Fees @ £24,491.38 mthly FY2014-15",UB8 1HS,,Admin,LARGE,
Department of Health,Department of Health,03/06/2014,Other programme expenditure,DG: ERD,ACADEMY OF MEDICAL ROYAL COLLEGES (AOMRC),11/271,"£165,000.00",Medical Training Initiative: funding for allocation to medical royal colleges 2013/14,EC1V 0DB,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,IMPERIAL COLLEGE LONDON,ERS-521298-89100,"£68,679.54",HTA Researcher Lead,SW7 2AZ,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521321-89102,"£35,000.00",HTA - Support for Clinical Trials,OX1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,03/06/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,DRUGSCOPE,ERS-521338-89122,"£50,000.00","2012-13 - IESD - Drugscope - Project: Delivering an inspirational, recovery-oriented substance misuse workforce - AIMS 1806493",SE1 3UD,,Other,VCS,
Department of Health,Department of Health,03/06/2014,Revenue Grants to non-profit institutions,DG: ERD,SKILLS FOR CARE LTD,ERS-521381-89161,"£3,505,000.00",2014/022a Social Care Work Programme for DH,LS1 2RP,,Programme,VCS,
Department of Health,Department of Health,04/06/2014,Service charge,DG: GOAD,ATTENDA LTD,1027885,"£71,700.00",Revenue Attenda Choices - Infrastucture management  monthly reccuring charges,TW18 4EX,,Programme,SME,
Department of Health,Department of Health,04/06/2014,Service charge,DG: GOAD,ATTENDA LTD,1028272,"£71,700.00",Revenue Attenda Choices - Infrastucture management  monthly reccuring charges,TW18 4EX,,Programme,SME,
Department of Health,Department of Health,04/06/2014,Expense clearing GPC (ST),DG: Central Technical,BARCLAYCARD BUSINESS,4368001-06-JUN-14,"£1,376.86",,TS17 6YG,,Other,SME,
Department of Health,Department of Health,04/06/2014,Addition Clearing - SW LIC,DG: GOAD,CSC COMPUTER SCIENCES LTD,5201368390,"£93,170.56",Capital: LSP NME CSC - Resource to continue to provide support to the Lorenzo Implementation - Derby STAFA 062,PR1 8UQ,,Programme,LARGE,
Department of Health,Department of Health,04/06/2014,Service charge,DG: GOAD,CSC COMPUTER SCIENCES LTD,5201368390,"£28,232.20",Revenue: F/Y 2013/14 STAF and LC Costs for Lorenzo Deployment,PR1 8UQ,,Programme,LARGE,
Department of Health,Department of Health,04/06/2014,Professional fees,DG: GOAD,PGO FOREIGN CURRENCY PAYMENTS,1042541550OTT8RY,"£55,916.45",,RH10 1UH,,Programme,PUBLIC,
Department of Health,Department of Health,04/06/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,THE LONDON PATHWAY,ERS-521395-89182,"£33,500.00",IESD 2013/14 - The London Pathway - Pathway hospital care co-ordination for homeless people - can primary care lead - AIMS 2519196,NW1 2PG,,Other,VCS,
Department of Health,Department of Health,04/06/2014,Revenue Grants to non-profit institutions,DG: PHD,YOUTH SPORT TRUST,ERS-521440-89201,"£250,000.00",2012/010 Youth Sports Trust - Extention to previous grant created in 2011 - C4L School Sports Clubs- (2014-15 award),LE11 3QF,,Programme,VCS,
Department of Health,Department of Health,04/06/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,WOMEN'S SPORT AND FITNESS FOUNDATION,ERS-521455-89221,"£47,185.00",2013-14 IESD - Women's Sport and Fitness Foundation - Project: The Girls' Physical Activity Excellence Hub  AIMS: 2568630,EC1Y 8RT,,Other,VCS,
Department of Health,Department of Health,04/06/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,DISABLED LIVING FOUNDATION,ERS-521456-89222,"£34,041.00","IESD 2012-13, AIMS 1771980, Disabled Living Foundation, Library of simple electronic aids",W6 9EJ,,Other,VCS,
Department of Health,Department of Health,05/06/2014,Policy Payments,DG: PHD,PUBLIC HEALTH ENGLAND PHE033,6074596,"£230,364.56",PHE INVOICE NO 6062255 PAYMENT FOR ACCEA,SP4 0JG,,Admin,PUBLIC,
Department of Health,Department of Health,05/06/2014,Research & development,DG: RDD,NHS FAREHAM AND GOSPORT CCG,ERS-521472-89247,"£20,000.00",Research Capability Funding,WF3 1WE,,Programme,PUBLIC,
Department of Health,Department of Health,05/06/2014,Research & development,DG: RDD,NHS FAREHAM AND GOSPORT CCG,ERS-521472-89247,"£20,000.00",Research Capability Funding,WF3 1WE,,Programme,PUBLIC,
Department of Health,Department of Health,05/06/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-521473-89241,"£104,314.00",Network Research Capability Funding,BS99 1YF,,Programme,PUBLIC,
Department of Health,Department of Health,05/06/2014,Research & development,DG: RDD,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-521473-89241,"£2,200,834.00",Network Research Capability Funding,BS99 1YF,,Programme,PUBLIC,
Department of Health,Department of Health,05/06/2014,Research & development,DG: RDD,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,ERS-521474-89244,"£121,162.00",Network Research Capability Funding,L7 8XP,,Programme,PUBLIC,
Department of Health,Department of Health,05/06/2014,Research & development,DG: RDD,ROYAL LIVERPOOL & BROADGREEN HOSPITALS UNIVERSITY NHS TRUST,ERS-521474-89244,"£2,784,274.00",Network Research Capability Funding,L7 8XP,,Programme,PUBLIC,
Department of Health,Department of Health,05/06/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-521475-89242,"£117,964.00",Network Research Capability Funding,SO52 9AB,,Programme,PUBLIC,
Department of Health,Department of Health,05/06/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-521475-89242,"£2,475,004.00",Network Research Capability Funding,SO52 9AB,,Programme,PUBLIC,
Department of Health,Department of Health,05/06/2014,IT minor costs non capital,DG: GOAD,WTG TECHNOLOGIES LTD,2582,"£56,004.00",DH Intranet - Phase 2 development,W14 8UD,,Admin,SME,
Department of Health,Department of Health,05/06/2014,Service charge,DG: GOAD,CABLE AND WIRELESS COMMUNICATION (VODAFONE),444821,"£30,687.07",Revenue: NHSMail  core contract to cover spend for AVAS services between April 1 2014 to June 30 2014,RG12 1RW,,Programme,LARGE,
Department of Health,Department of Health,05/06/2014,Provisions cash payment,DG: SFNHS,JONES LANG LASALLE,653014,"£58,476.13",REG210 - Harrington House - Jones Lang LaSalle - rent,E14 5EG,,Programme,SME,
Department of Health,Department of Health,05/06/2014,Outsourcing Contract,DG: SCLGCP,LSE ENTERPRISE LTD,SIN141718,"£33,000.00",LSE Personal Social Services Research Unit (PSSRU) - Economic Modelling re Dementia,WC2A 2AE,,Admin,SME,
Department of Health,Department of Health,05/06/2014,Utilities,DG: GOAD,DEPARTMENT FOR WORK AND PENSIONS (DWP),2922553,"£25,032.42","Quarry House Leeds - Utilities (Gas/Electricity) April 2014 - March 2015 @£46,667 mthly.",FY5 3TA,,Admin,PUBLIC,
Department of Health,Department of Health,05/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521478-89245,"£80,700.00",HTA - Support for Clinical Trials,OX1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,06/06/2014,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,3133172,"£279,000.00",Provision of RST services for 2013/14 - Business Support & Staffing,SE1 9RT,,Programme,PUBLIC,
Department of Health,Department of Health,06/06/2014,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,3136017,"£91,000.00",Provision of RST services for 2013/14 - Reseach & Quality Improvement (VAT reclaimable),SE1 9RT,,Programme,PUBLIC,
Department of Health,Department of Health,06/06/2014,Outsourcing Contract,DG: ERD,GUYS AND ST THOMAS NHS FOUNDATION TRUST,3136017,"£213,000.00",Provision of RST services for 2013/14 - Business Support & Staffing,SE1 9RT,,Programme,PUBLIC,
Department of Health,Department of Health,06/06/2014,Facilities management: contract,DG: SFNHS,PROFESSIONSAL STANDARDS AUTHORITY,61,"£28,889.18","Reimbursement to PSA of IRP portion of rent, rates and service charge for shared offices at 157-197 Buckingham Palace Road, London, SW1W 9SP",SW1W 9SP,,Programme,PUBLIC,
Department of Health,Department of Health,06/06/2014,Service charge,DG: GOAD,CABLE AND WIRELESS COMMUNICATION (VODAFONE),444825,"£882,200.00",Revenue: NHS Mail core contract 1 April 2014 - 30 June 2014,RG12 1RW,,Programme,LARGE,
Department of Health,Department of Health,06/06/2014,Contractor/Staff Substitution,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90164605,"£42,680.40",business support,GU21 6QX,,Programme,LARGE,
Department of Health,Department of Health,06/06/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,ECORYS UK LTD,ERS-521536-89261,"£2,018,389.00",H&SC Volunteering Fund- GRANTS,B1 2RA,,Other,SME,
Department of Health,Department of Health,06/06/2014,Addition Clearing - SW LIC,DG: GOAD,THE PHOENIX PARTNERSHIP (LEEDS) LTD,GPSOC001,"£346,713.97",GP Soc: TPP Capital costs May 2014 - March 2015,LS18 5TN,,Programme,SME,
