Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Additional Narrative
HM Treasury,HM Treasury,28-Feb-11,Consultants - Financial - Advisory only,"Budget, Tax & Welfare",GOVERNMENT ACTUARY'S DEPT,89670,27922.5,Actuarial policy advice and a report on the valuation of defined beneift contributions
HM Treasury,HM Treasury,28-Feb-11,IT support and maintenance recoverable,Corporate Services,CABLE & WIRELESS PLC,89906,55127.5,IT services 1 Horse Guards Road - Messagelabs 01/01/2011 - 31/03/2011
HM Treasury,HM Treasury,25-Feb-11,Other Utility expenses,Corporate Services,BUYING SOLUTIONS,89929,100183.92,Estates 1HGR - Whitehall Heating System charges Oct to Dec 2010 
HM Treasury,HM Treasury,25-Feb-11,IT professionl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,90950,173861.56,Confidential Flex Service Oct 2010
HM Treasury,HM Treasury,25-Feb-11,IT professionl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,90951,174662.17,Confidential Flex Service Nov 2010
HM Treasury,HM Treasury,23-Feb-11,Service Charges,Corporate Services,DTZ,90535,28084.49,Service charge Eastbury House -  Oct to Dec 2010
HM Treasury,APA,23-Feb-11,Press Summaries,Risk and Analysis,BLOOMBERG FINANCE L.P.,90875,11303.92,Access to financial information services
HM Treasury,APA,23-Feb-11,Press Summaries,CEO Office,BLOOMBERG FINANCE L.P.,90875,3767.97,Access to financial information services
HM Treasury,APA,23-Feb-11,Press Summaries,Investment Management,BLOOMBERG FINANCE L.P.,90875,15071.9,Access to financial information services
HM Treasury,HM Treasury,23-Feb-11,Original Research,International Finance,SOCIAL FINANCE LIMITED,90898,28000,Research to explore the commercial viability of a new model of bank account tailored to low income consumers 
HM Treasury,HM Treasury,23-Feb-11,Travel,Corporate Services,RBS LODGE,90915,62636.85,Various travel costs charged on the Lodge Card in Feb 2011
HM Treasury,HM Treasury,23-Feb-11,Procurement Card,Corporate Services,NATWEST BANK PLC (REF 4715 0590 0300 0001),90914,144351.71,various purchases on Government Procurement Card
HM Treasury,HM Treasury,23-Feb-11,Equitable Life Enq,"Budget, Tax & Welfare",TOWERS WATSON,90926,254906.91,Support to HM Treasury in respect of the Equitable Life Payment Scheme for January 2011
HM Treasury,HM Treasury,21-Feb-11,Equitable Life Enq,EL Comm,TOWERS WATSON,90864,122924.65,Actuarial support  the Equitable Life Payment Scheme 
HM Treasury,HM Treasury,21-Feb-11,Consultancy - Legal -  Contracted out services,Corporate Services,THE TREASURY SOLICITOR,90823,262754.48,Treasury Legal Advisors - salary costs recharged from TSOL  Jan 2011
HM Treasury,APA,18-Feb-11,Consultants - Mgt - Non Advisory,Data Management,PRICEWATERHOUSECOOPERS ,90663,27360.7,Asset Protection Scheme Advice
HM Treasury,UKFI,18-Feb-11,VAT Control Account,UKFI,HM REVENUE AND CUSTOMS,90851,33160.85,Payment to HMRC of VAT for the period Nov 2010 to Jan 2011
HM Treasury,DMO,18-Feb-11,IT profssnl svcs contractd out,Business Delivery,SS&C TECHNOLOGIES,90834,3488.14,Project Management Support for Dec 2010
HM Treasury,DMO,18-Feb-11,IT profssnl svcs contractd out,Consolidated Projects,SS&C TECHNOLOGIES,90834,30406.07,Project Management Support for Dec 2010
HM Treasury,APA,18-Feb-11,Consultants - Mgt - Non Advisory,Data Management,PRICEWATERHOUSECOOPERS ,90666,50583.02,Asset Protection Scheme Advice
HM Treasury,HM Treasury,18-Feb-11,Books,Corporate Services,FACTIVA LIMITED,90567,62204.54,Factiva IWORKS and reader fee Jul - Dec 2010
HM Treasury,HM Treasury,16-Feb-11,Service Charges,Corporate Services,EXCHEQUER PARTNERSHIP PLC,90712,149348.28,Workplace Optimisation project - work carried out on the 4th floor 1 Horse Guards Road in preparation for new tenants
HM Treasury,HM Treasury,16-Feb-11,Service Charges,Corporate Services,EXCHEQUER PARTNERSHIP PLC,90711,577698.42,Workplace Optimisation project - increase in service charge following increased occupancy of 4th floor 1 Horse Guards Road(Oct to Dec 2010) 
HM Treasury,HM Treasury,11-Feb-11,Equitable Life Enq.Vat Nonrecv,"Budget, Tax & Welfare",EQUITABLE LIFE ASSURANCE SOCIETY,90686,15869.38,Services provided to assist with data profiling work for the Equitable Life Payment Scheme for January 2011
HM Treasury,HM Treasury,11-Feb-11,Program costs other prof svcs,"Budget, Tax & Welfare",EQUITABLE LIFE ASSURANCE SOCIETY,90686,12315,Services provided to assist with data profiling work for the Equitable Life Payment Scheme for January 2011
HM Treasury,HM Treasury,11-Feb-11,AME Mint Stock Metal Costs,Macro & Fiscal Policy,ROYAL MINT,90523,639857.59,Coinage costs for period 10 -metal and manufacturing costs
HM Treasury,HM Treasury,11-Feb-11,DEL Mint Stock Manufacturing Costs,Macro & Fiscal Policy,ROYAL MINT,90523,451334.78,Coinage costs for period 10 -metal and manufacturing costs
HM Treasury,HM Treasury,11-Feb-11,Service Charges,Corporate Services,EXCHEQUER PARTNERSHIP PLC,90508,4642.2,Estates 1 Horse Guards Road - unitary payment Feb 2011
HM Treasury,HM Treasury,11-Feb-11,Capital element of PFI,Corporate Services,EXCHEQUER PARTNERSHIP PLC,90508,133378.37,Estates 1 Horse Guards Road - unitary payment Feb 2011
HM Treasury,HM Treasury,11-Feb-11,Interest on PFI,Corporate Services,EXCHEQUER PARTNERSHIP PLC,90508,806214.35,Estates 1 Horse Guards Road - unitary payment Feb 2011
HM Treasury,HM Treasury,11-Feb-11,Service element of PFI,Corporate Services,EXCHEQUER PARTNERSHIP PLC,90508,309278.52,Estates 1 Horse Guards Road - unitary payment Feb 2011
HM Treasury,HM Treasury,11-Feb-11,Service element of PFI,Corporate Services,EXCHEQUER PARTNERSHIP PLC,90508,205150.05,Estates 1 Horse Guards Road - unitary payment Feb 2011
HM Treasury,HM Treasury,09-Feb-11,Service Charges,Corporate Services,EXCHEQUER PARTNERSHIP PLC,90513,32024.27,"Estates 1 Horse Guards Road - Post,goods,porterage services & management fee"
HM Treasury,HM Treasury,09-Feb-11,Equitable Life Enq,"Budget, Tax & Welfare",TOWERS WATSON,90266,192340.1,Support to HM Treasury in respect of the Equitable Life Payment Scheme for December 2010
HM Treasury,HM Treasury,09-Feb-11,IT profssnl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,89420,210942.55,Flex transformation charges - Stage payment for project to transform HMT IT services to Public Sector Flex (second phase of rollout stage)
HM Treasury,HM Treasury,09-Feb-11,IT profssnl svcs contractd out,Corporate Services,FUJITSU SERVICES LIMITED,89539,357630.72,Flex transformation charges - Stage payment for project to transform HMT IT services to Public Sector Flex (user testing stage)
HM Treasury,HM Treasury,07-Feb-11,Electricity,Corporate Services,EDF ENERGY,90552,44131.39,Electricity charges
HM Treasury,DMO,04-Feb-11,Software Maintenance,Business Delivery,INTEGRITY TREASURY SOLUTIONS EUROPE LTD,90459,22887.51,Software - annual support 25/1/11 - 24/1/12
HM Treasury,HM Treasury,04-Feb-11,It Equipment  - Current,Corporate Services,BUYING SOLUTIONS,90418,50337.86,Phone charges 01/01-31/03/11 
HM Treasury,HM Treasury,04-Feb-11,It Equipment  - Current,Corporate Services,BUYING SOLUTIONS,90417,130465.2,Phone Charges 01/01-31/03/11
HM Treasury,HM Treasury,02-Feb-11,Car Hire,International Finance,FOREIGN & COMMONWEALTH OFFICE,88905,29368.95,Reimbursement to British Embassy (Washington) of transport costs incurred locally in respect of HMT secondees
HM Treasury,HM Treasury,02-Feb-11,Electricity,International Finance,FOREIGN & COMMONWEALTH OFFICE,88905,316.05,Contribution to utility cost for British Embassy Washington in respect of HMT secondees
