Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend
Home Office,UKVI - UK Visa & Immigration,10/03/2015,Healthcare Services,UKVI - UK Visa & Immigration,HEALTH MANAGEMENT LTD,1001703805,"35,096.92"
Home Office,UKVI - UK Visa & Immigration,03/03/2015,Legal Services,UKVI - UK Visa & Immigration,HER MAJESTY'S COURTS & TRIBUNAL SERVICE,3000049695,"111,060.00"
Home Office,UKVI - UK Visa & Immigration,18/03/2015,Grant,UKVI - UK Visa & Immigration,HERTFORDSHIRE COUNTY COUNCIL 1 (G),1001707281,"87,681.00"
Home Office,UKVI - UK Visa & Immigration,24/03/2015,Public Administration Services,UKVI - UK Visa & Immigration,HINDUJA GLOBAL SOLUTIONS UK LTD,1001710024,"209,579.10"
Home Office,UKVI - UK Visa & Immigration,26/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,HP ENTERPRISE SERVICES UK LTD,1001711344,"77,128.20"
Home Office,UKVI - UK Visa & Immigration,24/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,HP ENTERPRISE SERVICES UK LTD,1001710025,"160,963.20"
Home Office,UKVI - UK Visa & Immigration,26/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,HP ENTERPRISE SERVICES UK LTD,1001711344,"130,782.60"
Home Office,UKVI - UK Visa & Immigration,02/03/2015,"IT, Broadcasting & Telecomms",UKVI - UK Visa & Immigration,IBM DIRECT UNITED KINGDOM LTD,1001700225,"42,406.80"
Home Office,UKVI - UK Visa & Immigration,05/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,IBM DIRECT UNITED KINGDOM LTD,1001701872,"41,990.28"
Home Office,UKVI - UK Visa & Immigration,10/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,IBM DIRECT UNITED KINGDOM LTD,1001703807,"84,698.84"
Home Office,UKVI - UK Visa & Immigration,06/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,IBM DIRECT UNITED KINGDOM LTD,1001702531,"1,019,406.30"
Home Office,UKVI - UK Visa & Immigration,06/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,IBM DIRECT UNITED KINGDOM LTD,1001702531,"244,942.09"
Home Office,UKVI - UK Visa & Immigration,06/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,IBM DIRECT UNITED KINGDOM LTD,1001702531,"28,127.04"
Home Office,UKVI - UK Visa & Immigration,26/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,IBM DIRECT UNITED KINGDOM LTD,1001711346,"51,702.00"
Home Office,UKVI - UK Visa & Immigration,27/03/2015,"IT, Telecomms Managed Service",UKVI - UK Visa & Immigration,IBM DIRECT UNITED KINGDOM LTD,1001712267,"58,423.20"
Home Office,UKVI - UK Visa & Immigration,27/03/2015,"IT, Telecomms Managed Service",UKVI - UK Visa & Immigration,IBM DIRECT UNITED KINGDOM LTD,1001712267,"32,942.20"
Home Office,UKVI - UK Visa & Immigration,24/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,IBM DIRECT UNITED KINGDOM LTD,1001710027,"66,774.95"
Home Office,UKVI - UK Visa & Immigration,13/03/2015,Public Order & Security Service,UKVI - UK Visa & Immigration,ICTS UK LTD,1001705618,"25,097.94"
Home Office,UKVI - UK Visa & Immigration,13/03/2015,Public Order & Security Service,UKVI - UK Visa & Immigration,ICTS UK LTD,1001705618,"26,595.29"
Home Office,UKVI - UK Visa & Immigration,20/03/2015,Public Order & Security Service,UKVI - UK Visa & Immigration,ICTS UK LTD,1001708643,"28,219.41"
Home Office,UKVI - UK Visa & Immigration,27/03/2015,Public Order & Security Service,UKVI - UK Visa & Immigration,ICTS UK LTD,1001712268,"29,339.80"
Home Office,UKVI - UK Visa & Immigration,04/03/2015,IT - Other Costs,UKVI - UK Visa & Immigration,IDENTITY E2E LTD,1001701472,"55,470.00"
Home Office,UKVI - UK Visa & Immigration,03/03/2015,"Transport, Storage & Mail Services",UKVI - UK Visa & Immigration,IRON MOUNTAIN (UK) LTD,1001700859,"564,826.98"
Home Office,UKVI - UK Visa & Immigration,19/03/2015,"Transport, Storage & Mail Services",UKVI - UK Visa & Immigration,IRON MOUNTAIN (UK) LTD,1001708126,"403,323.19"
Home Office,UKVI - UK Visa & Immigration,27/03/2015,Grant,UKVI - UK Visa & Immigration,JET JOBS EDUCATION AND TRAINING (G),1001711850,"28,850.30"
Home Office,UKVI - UK Visa & Immigration,12/03/2015,Public Administration Services,UKVI - UK Visa & Immigration,KAINOS,1001705079,"224,454.60"
Home Office,UKVI - UK Visa & Immigration,18/03/2015,Public Administration Services,UKVI - UK Visa & Immigration,KAINOS,1001707496,"229,462.20"
Home Office,UKVI - UK Visa & Immigration,18/03/2015,Grant,UKVI - UK Visa & Immigration,KENT COUNTY COUNCIL 1 (G),1001707284,"1,395,326.00"
Home Office,UKVI - UK Visa & Immigration,19/03/2015,Grant,UKVI - UK Visa & Immigration,KENT COUNTY COUNCIL 1 (G),1001707829,"157,200.00"
Home Office,UKVI - UK Visa & Immigration,12/03/2015,Grant,UKVI - UK Visa & Immigration,LONDON BOROUGH HAVERING (G),1001704931,"35,392.00"
Home Office,UKVI - UK Visa & Immigration,12/03/2015,Grant,UKVI - UK Visa & Immigration,LONDON BOROUGH OF BARKING & DAGENHAM (G),1001704932,"27,156.00"
Home Office,UKVI - UK Visa & Immigration,12/03/2015,Grant,UKVI - UK Visa & Immigration,LONDON BOROUGH OF BARNET 1 (G),1001704933,"72,820.00"
Home Office,UKVI - UK Visa & Immigration,12/03/2015,Grant,UKVI - UK Visa & Immigration,LONDON BOROUGH OF HILLINGDON (G),1001704935,"277,324.00"
Home Office,UKVI - UK Visa & Immigration,12/03/2015,Grant,UKVI - UK Visa & Immigration,LONDON BOROUGH OF HILLINGDON (G),1001704935,"81,515.00"
Home Office,UKVI - UK Visa & Immigration,20/03/2015,Grant,UKVI - UK Visa & Immigration,LONDON BOROUGH OF HILLINGDON (G),1001708434,"99,600.00"
Home Office,UKVI - UK Visa & Immigration,12/03/2015,Grant,UKVI - UK Visa & Immigration,LONDON BOROUGH OF HOUNSLOW (G),1001704936,"83,012.00"
Home Office,UKVI - UK Visa & Immigration,12/03/2015,Grant,UKVI - UK Visa & Immigration,LONDON BOROUGH OF ISLINGTON (G),1001704937,"93,906.00"
Home Office,UKVI - UK Visa & Immigration,12/03/2015,Grant,UKVI - UK Visa & Immigration,LONDON BOROUGH OF NEWHAM (G),1001704939,"77,965.00"
Home Office,UKVI - UK Visa & Immigration,12/03/2015,Grant,UKVI - UK Visa & Immigration,LONDON BOROUGH OF SOUTHWARK 1 (G),1001704940,"29,181.00"
Home Office,UKVI - UK Visa & Immigration,25/03/2015,"IT, Broadcasting & Telecomms",UKVI - UK Visa & Immigration,MAGIC MILESTONES LTD,1001710687,"47,509.20"
Home Office,UKVI - UK Visa & Immigration,11/03/2015,Grant,UKVI - UK Visa & Immigration,MANCHESTER CITY COUNCIL (G),1001704223,"1,292,500.00"
Home Office,UKVI - UK Visa & Immigration,19/03/2015,Grant,UKVI - UK Visa & Immigration,MANCHESTER CITY COUNCIL (G),1001707832,"32,700.00"
Home Office,UKVI - UK Visa & Immigration,18/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,MASTEK (UK) LTD,1001707502,"48,825.00"
Home Office,UKVI - UK Visa & Immigration,02/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,MASTEK (UK) LTD,1001700244,"120,000.00"
Home Office,UKVI - UK Visa & Immigration,02/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,MASTEK (UK) LTD,1001700244,"64,861.20"
Home Office,UKVI - UK Visa & Immigration,02/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,MASTEK (UK) LTD,1001700244,"168,000.00"
Home Office,UKVI - UK Visa & Immigration,05/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,MASTEK (UK) LTD,1001701883,"102,330.00"
Home Office,UKVI - UK Visa & Immigration,05/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,MASTEK (UK) LTD,1001701883,"32,190.00"
Home Office,UKVI - UK Visa & Immigration,12/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,MIGRANT HELPLINE LTD T/A MIGRANT HELPLINE,1001705091,"141,124.98"
Home Office,UKVI - UK Visa & Immigration,04/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,MIGRANT HELPLINE LTD T/A MIGRANT HELPLINE,1001701483,"117,916.97"
Home Office,UKVI - UK Visa & Immigration,04/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,MIGRANT HELPLINE LTD T/A MIGRANT HELPLINE,1001701483,"115,206.40"
Home Office,UKVI - UK Visa & Immigration,20/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,MIGRANT HELPLINE LTD T/A MIGRANT HELPLINE,1001708662,"111,765.10"
Home Office,UKVI - UK Visa & Immigration,04/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,MIGRANT HELPLINE LTD T/A MIGRANT HELPLINE,1001701483,"164,202.00"
Home Office,UKVI - UK Visa & Immigration,20/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,MIGRANT HELPLINE LTD T/A MIGRANT HELPLINE,1001708662,"19,974.35"
Home Office,UKVI - UK Visa & Immigration,20/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,MIGRANT HELPLINE LTD T/A MIGRANT HELPLINE,1001708662,"65,537.81"
Home Office,UKVI - UK Visa & Immigration,05/03/2015,Public Administration Services,UKVI - UK Visa & Immigration,"MINISTRY OF BUSINESS, INNOVATION & EMPLOYMENT",7000009325,"83,783.14"
Home Office,UKVI - UK Visa & Immigration,04/03/2015,Uniforms & Protective Clothes,UKVI - UK Visa & Immigration,MINISTRY OF JUSTICE,6300000197,"27,372.22"
Home Office,UKVI - UK Visa & Immigration,30/03/2015,Public Administration Services,UKVI - UK Visa & Immigration,NATIONAL SAVINGS AND INVESTMENTS,3000049856,"252,141.70"
Home Office,UKVI - UK Visa & Immigration,30/03/2015,Public Administration Services,UKVI - UK Visa & Immigration,NATIONAL SAVINGS AND INVESTMENTS,3000049856,"-5,374,728.48"
Home Office,UKVI - UK Visa & Immigration,30/03/2015,Public Administration Services,UKVI - UK Visa & Immigration,NATIONAL SAVINGS AND INVESTMENTS,3000049856,"-179,827.20"
Home Office,UKVI - UK Visa & Immigration,30/03/2015,Public Administration Services,UKVI - UK Visa & Immigration,NATIONAL SAVINGS AND INVESTMENTS,3000049856,"6,449,674.18"
Home Office,UKVI - UK Visa & Immigration,18/03/2015,Grant,UKVI - UK Visa & Immigration,NORTHAMPTONSHIRE COUNTY COUNCIL (G),1001707287,"242,744.00"
Home Office,UKVI - UK Visa & Immigration,23/03/2015,Grant,UKVI - UK Visa & Immigration,NORTHAMPTONSHIRE COUNTY COUNCIL (G),1001709080,"58,500.00"
Home Office,UKVI - UK Visa & Immigration,23/03/2015,Grant,UKVI - UK Visa & Immigration,NORTHAMPTONSHIRE COUNTY COUNCIL (G),1001709080,"44,700.00"
Home Office,UKVI - UK Visa & Immigration,11/03/2015,Grant,UKVI - UK Visa & Immigration,NORTHERN IRELAND LOCAL GOVERNMENT ASSOCIATION (G),1001704230,"27,080.00"
Home Office,UKVI - UK Visa & Immigration,18/03/2015,Grant,UKVI - UK Visa & Immigration,NOTTINGHAMSHIRE COUNTY COUNCIL 2 (G),1001707289,"38,604.00"
Home Office,UKVI - UK Visa & Immigration,18/03/2015,Grant,UKVI - UK Visa & Immigration,NOTTINGHAMSHIRE COUNTY COUNCIL 2 (G),1001707289,"63,885.00"
Home Office,UKVI - UK Visa & Immigration,09/03/2015,Public Order & Security Service,UKVI - UK Visa & Immigration,OCS GROUP UK LTD,1001703191,"87,467.47"
Home Office,UKVI - UK Visa & Immigration,20/03/2015,Public Order & Security Service,UKVI - UK Visa & Immigration,OCS GROUP UK LTD,1001708667,"99,879.22"
Home Office,UKVI - UK Visa & Immigration,20/03/2015,Grant,UKVI - UK Visa & Immigration,OFFICE OF THE IMMIGRATION SERVICES COMMISSIONER (OISC ) (G),3000049798,"307,500.00"
Home Office,UKVI - UK Visa & Immigration,18/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,ORACLE CORPORATION UK LIMITED,1001707511,"5,798,941.22"
Home Office,UKVI - UK Visa & Immigration,18/03/2015,Grant,UKVI - UK Visa & Immigration,OXFORDSHIRE COUNTY COUNCIL 1 (G),1001707290,"82,083.00"
Home Office,UKVI - UK Visa & Immigration,12/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,PA CONSULTING SERVICES LTD,1001705102,"550,875.00"
Home Office,UKVI - UK Visa & Immigration,11/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,PA CONSULTING SERVICES LTD,1001704590,"95,220.00"
Home Office,UKVI - UK Visa & Immigration,25/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,PA CONSULTING SERVICES LTD,1001710699,"431,611.10"
Home Office,UKVI - UK Visa & Immigration,20/03/2015,IT & Telecoms Components,UKVI - UK Visa & Immigration,PA CONSULTING SERVICES LTD,1001708673,"77,640.00"
Home Office,UKVI - UK Visa & Immigration,20/03/2015,Grant,UKVI - UK Visa & Immigration,PLYMOUTH CITY COUNCIL 1 (G),1001708441,"40,530.00"
Home Office,UKVI - UK Visa & Immigration,12/03/2015,Public Administration Services,UKVI - UK Visa & Immigration,REDWEB LTD,1001705115,"501,222.00"
Home Office,UKVI - UK Visa & Immigration,11/03/2015,Asylum Provision,UKVI - UK Visa & Immigration,REFUGEE COUNCIL,1001704607,"25,155.00"
Home Office,UKVI - UK Visa & Immigration,23/03/2015,Professional & Administration Services,UKVI - UK Visa & Immigration,ROYAL MAIL,1001709339,"55,500.00"
Home Office,UKVI - UK Visa & Immigration,02/03/2015,Grant,UKVI - UK Visa & Immigration,SCOTLAND OFFICE,3000049689,"166,011.01"
Home Office,UKVI - UK Visa & Immigration,27/03/2015,Grant,UKVI - UK Visa & Immigration,SCOTLAND OFFICE,3000049844,"44,980.34"
Home Office,UKVI - UK Visa & Immigration,12/03/2015,Law Enforcement & Safety Equipment,UKVI - UK Visa & Immigration,SECURITY SERVICES GROUP,3000049757,"59,672.24"
Home Office,UKVI - UK Visa & Immigration,27/03/2015,Law Enforcement & Safety Equipment,UKVI - UK Visa & Immigration,SECURITY SERVICES GROUP,3000049845,"33,408.40"
Home Office,UKVI - UK Visa & Immigration,27/03/2015,Law Enforcement & Safety Equipment,UKVI - UK Visa & Immigration,SECURITY SERVICES GROUP,3000049845,"72,862.30"
