Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Amount,VAT Registration Number
DFID,DFID,03/09/2010,Donor Replenishment of funding,International Finance Division,Caribbean Development Bank,400116823,4374000
DFID,DFID,03/09/2010,Aid to civil society organisations / NGOs,East and Central Africa,Justice for All-Prison Fellowship Eth,400116773,39886.58
DFID,DFID,03/09/2010,Aid to international organisations,International Relations Division,FOOD AND AGRICULTURE ORGANIZATION (EURO),400116792,11057939.22
DFID,DFID,03/09/2010,Emergency / Humanitarian Assistance,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400117014,197337.63
DFID,DFID,03/09/2010,Emergency / Humanitarian Assistance,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400117020,50433.64
DFID,DFID,03/09/2010,Emergency / Humanitarian Assistance,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400117024,41480.34
DFID,DFID,03/09/2010,Emergency / Humanitarian Assistance,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400117024,18782.36
DFID,DFID,03/09/2010,Aid to partner government,Asia Division,THE CROWN AGENTS,400116874,1394987.53
DFID,DFID,03/09/2010,Emergency / Humanitarian Assistance,Western Asia and Stabilisation Division, UNICEF,400116843,4000000
DFID,DFID,03/09/2010,Energy Costs,Human Resources Division,EDF ENERGY,400117141,29452.74
DFID,DFID,03/09/2010,Technical & Advisory services,East and Central Africa,HAREWELLE INTERNATIONAL LIMITED,400116993,66178.17
DFID,DFID,03/09/2010,Aid to international organisations,East and Central Africa,Swiss Agency for Development and Cooperation SDC,400117761,176148
DFID,DFID,03/09/2010,Technical & Advisory services,West and Southern Africa,GRM INTERNATIONAL LTD,400116873,527745.3
DFID,DFID,03/09/2010,Technical & Advisory services,West and Southern Africa,GRM INTERNATIONAL LTD,400116888,161370.13
DFID,DFID,03/09/2010,Technical & Advisory services,West and Southern Africa,GRM INTERNATIONAL LTD,400116889,65022.82
DFID,DFID,03/09/2010,Technical & Advisory services,West and Southern Africa,GRM INTERNATIONAL LTD,400116890,110154.35
DFID,DFID,03/09/2010,Technical & Advisory services,West and Southern Africa,GRM INTERNATIONAL LTD,400116891,52215.7
