Organisation,,Partnerships for Schools,,,,,
Submitted By,,Management Accountant,,,,,
Spend Tolerance,,"£25,000",,,,,
Month,,01.08.2010 to 31.08.2010,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT
DfE,PfS,02/08/2010,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,261658,28695.61
DfE,PfS,02/08/2010,Capital Grant,Schools Capital and Revenue Grants,NORTHAMPTON ROMAN CATHOLIC DIOCESE TRUST,261662,51711.81
DfE,PfS,02/08/2010,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,261664,97656.44
DfE,PfS,02/08/2010,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,261670,95453.35
DfE,PfS,02/08/2010,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,261680,38771.13
DfE,PfS,02/08/2010,Capital Grant,Schools Capital and Revenue Grants,AKIVA SCHOOL GOVENORS ACCOUNT,261684,76142.66
DfE,PfS,02/08/2010,Capital Grant,Schools Capital and Revenue Grants,ST CECILIA'S WANDSWORTH CHURCH OF ENGLAND SCHOOL,261688,47004.27
DfE,PfS,02/08/2010,Capital Grant,Schools Capital and Revenue Grants,CHELMSFORD DIOCESAN BOARD OF FINANCE,261690,173353.18
DfE,PfS,02/08/2010,Capital Grant,Schools Capital and Revenue Grants,ST PHILIP HOWARD ROMAN CATHOLIC HIGH SCHOOL FUND ACCOUNT,261692,56633.89
DfE,PfS,02/08/2010,Capital Grant,Schools Capital and Revenue Grants,THE MCAULEY CHURCH HIGH SCHOOL ACCOUNT,261696,58654.36
DfE,PfS,02/08/2010,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,261700,108955.19
DfE,PfS,02/08/2010,VA Schools PFI Payments,Schools Capital and Revenue Grants,JEWISH FREE SCHOOL - UNITARY CHARGE ACCOUNT,261702,220917.08
DfE,PfS,09/08/2010,Capital Grant,Schools Capital and Revenue Grants,ROCHDALE METROPOLITAN BOROUGH COUNCIL,261844,2929978
DfE,PfS,05/08/2010,Capital Grant,Schools Capital and Revenue Grants,SALFORD CITY COUNCIL (BARTON MOSS SECURE),261848,210288.41
DfE,PfS,09/08/2010,Capital Grant,Schools Capital and Revenue Grants,ST HELENS METROPOLITAN BOROUGH COUNCIL,261933,86902.07
DfE,PfS,09/08/2010,Capital Grant,Schools Capital and Revenue Grants,PETERBOROUGH CITY COUNCIL,261935,135219
DfE,PfS,09/08/2010,Capital Grant,Director Education & Planning,BRITISH GAS TRADING LTD,261955,26982.71
DfE,PfS,09/08/2010,Sorrell Foundation,Design Management,SORRELL FOUNDATION,261973,83200
DfE,PfS,09/08/2010,Capital Grant,Schools Capital and Revenue Grants,CHESTER DIOCESAN BOARD OF EDUCATION,261975,43810.45
DfE,PfS,09/08/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,261979,62686
DfE,PfS,09/08/2010,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,261983,181101.11
DfE,PfS,09/08/2010,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO2,261985,94960.71
DfE,PfS,09/08/2010,Capital Grant,Schools Capital and Revenue Grants,SCHOOL PROJECT ACCOUNT (APS) 7,261989,107316.1
DfE,PfS,09/08/2010,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,261991,71152.08
DfE,PfS,09/08/2010,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION NO.4 ACCOUNT,261993,90523.06
DfE,PfS,09/08/2010,Capital Grant,Schools Capital and Revenue Grants,NEWCASTLE DIOCESAN EDUCATION BOARD,261995,106994.4
