Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend,
Home Office ,IPCC - Independent Police Complaints Commision,06/08/2012,IT Charges,IPCC - Independent Police Complaints Commision,STERIA UK,RCT0040747,"£82,817.70",
Home Office ,IPCC - Independent Police Complaints Commision,13/08/2012,IT Charges,IPCC - Independent Police Complaints Commision,STERIA UK,RCT0040800,"£330,592.00",
Home Office ,IPCC - Independent Police Complaints Commision,13/08/2012,IT Charges,IPCC - Independent Police Complaints Commision,STERIA UK,RCT0040800,"£33,385.75",
Home Office ,IPCC - Independent Police Complaints Commision,21/08/2012,IT,IPCC - Independent Police Complaints Commision,MICROSOFT IRELAND OPERATIONS LTD,RCT0040892,"£46,210.05",
Home Office ,IPCC - Independent Police Complaints Commision,21/08/2012,Rent,IPCC - Independent Police Complaints Commision,HARTNELL TAYLOR COOK LLP,RCT0040883,"£39,573.30",
Home Office ,SIA - Security Industry Authority,08/08/2012,Licensing costs,Licensing ,BT Syntegra ,CSYN01,"£1,036,652.94",
Home Office ,SIA - Security Industry Authority,08/08/2012,Audit Costs,Finance,NAO - National Audit Office,CNAO01,"£31,000.00",
Home Office ,SIA - Security Industry Authority,15/08/2012,Licensing costs,Licensing ,CRB - Criminal Records Bureau,CCRB01,"£420,113.00",
Home Office ,SIA - Security Industry Authority,15/08/2012,Legal Costs,Licensing ,Kingsley Napley,CKIN02,"£48,954.00",
Home Office ,SIA - Security Industry Authority,22/08/2012,Legal Services.Legal Fees,Policy & Legal,TREASURY SOLICITORS OFFICE,CTRE01,"£30,162.00",
Home Office ,Home Office ,30/08/2012,"Editorial, Design & Graphics.",Communications,DEFINE RESEARCH & INSIGHT LTD,1001301995,"£28,758.00",
Home Office ,Home Office ,28/08/2012,"IT, TelecommsManaged Service",Communications,OPEN TEXT UK LTD,1001301167,"£36,720.00",
Home Office ,Home Office ,09/08/2012,"IT, TelecommsManaged Service",Communications,SAVVIS UK LTD,1001293975,"£31,144.66",
Home Office ,Home Office ,03/08/2012,"IT, TelecommsManaged Service",Communications,SPECIALIST COMPUTER CENTRES PLC,1001291742,"£62,577.60",
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100063704,£0.10,
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100063704,"£8,498.90",
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100063704,"£27,205.00",
Home Office,NPIA - National Policing Improvement Agency,03/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Cogent Inc,5100066093,"£367,630.00",
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,Telephone charges,Information & Communications Technology & Science Directorate,Cable & Wireless Communications,5100067078,"£52,725.00",
Home Office,NPIA - National Policing Improvement Agency,17/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Logica CMG UK Ltd,5100067081,£0.25,
Home Office,NPIA - National Policing Improvement Agency,17/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Logica CMG UK Ltd,5100067081,"£183,751.00",
Home Office,NPIA - National Policing Improvement Agency,03/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Cogent Inc,5100067142,"£325,264.00",
Home Office,NPIA - National Policing Improvement Agency,03/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Cogent Inc,5100067144,"£427,155.00",
Home Office,NPIA - National Policing Improvement Agency,21/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100067242,-£0.50,
Home Office,NPIA - National Policing Improvement Agency,21/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100067242,"£1,860.00",
Home Office,NPIA - National Policing Improvement Agency,21/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100067242,"£5,687.50",
Home Office,NPIA - National Policing Improvement Agency,21/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100067242,"£20,280.00",
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100067260,£65.56,
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100067260,£110.89,
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100067260,£309.86,
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100067260,"£1,018.05",
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100067260,"£3,278.98",
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100067260,"£5,546.57",
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100067260,"£15,498.60",
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,Telephone charges,Information & Communications Technology & Science Directorate,BT Billing Enquiries,5100067260,"£50,920.10",
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,IT Information Support,Information & Communications Technology & Science Directorate,Siemens Enterprise Comm Ltd,5100067277,"£30,940.00",
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,IT Information Support,Information & Communications Technology & Science Directorate,Siemens Enterprise Comm Ltd,5100067278,"£35,700.00",
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,IT Information Support,Information & Communications Technology & Science Directorate,Siemens Enterprise Comm Ltd,5100067279,"£39,270.00",
Home Office,NPIA - National Policing Improvement Agency,07/08/2012,IT Information Support,Information & Communications Technology & Science Directorate,Siemens Enterprise Comm Ltd,5100067280,"£171,042.57",
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Northgate Information Solutions UK,5100067289,"£11,000.00",
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Northgate Information Solutions UK,5100067289,"£25,000.00",
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Northgate Information Solutions UK,5100067289,"£26,000.00",
Home Office,NPIA - National Policing Improvement Agency,28/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Logica CMG UK Ltd,5100067523,"£293,563.00",
Home Office,NPIA - National Policing Improvement Agency,28/08/2012,IT Hardware,Information & Communications Technology & Science Directorate,Logica CMG UK Ltd,5100067523,"£1,249,330.00",
Home Office,NPIA - National Policing Improvement Agency,30/08/2012,IT maintenance,Information & Communications Technology & Science Directorate,Specialist Computer Centres PLC,5100067755,"£23,929.20",
Home Office,NPIA - National Policing Improvement Agency,23/08/2012,Telephone charges,Information & Communications Technology & Science Directorate,Cable & Wireless Communications,5100067829,"£52,725.00",
Home Office,NPIA - National Policing Improvement Agency,28/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100067964,"£3,780.00",
Home Office,NPIA - National Policing Improvement Agency,28/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100067964,"£26,250.00",
Home Office,NPIA - National Policing Improvement Agency,28/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100067965,"-£26,250.00",
Home Office,NPIA - National Policing Improvement Agency,28/08/2012,IT Managed Services,Information & Communications Technology & Science Directorate,Home Office,5100067965,"-£3,780.00",
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100067027,"-£33,743.62",
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100067027,"£15,525,113.89",
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100067028,-£211.22,
Home Office,NPIA - National Policing Improvement Agency,02/08/2012,Airwave Core Service Charge,Operations Directorate,Airwave Solutions Ltd,5100067028,"£237,146.09",
Home Office,NPIA - National Policing Improvement Agency,16/08/2012,IT Information Support,Operations Directorate,Cable & Wireless Communications,5100067109,-£0.19,
Home Office,NPIA - National Policing Improvement Agency,16/08/2012,IT Information Support,Operations Directorate,Cable & Wireless Communications,5100067109,£187.50,
Home Office,NPIA - National Policing Improvement Agency,16/08/2012,IT Information Support,Operations Directorate,Cable & Wireless Communications,5100067109,"£1,471.31",
Home Office,NPIA - National Policing Improvement Agency,16/08/2012,IT Information Support,Operations Directorate,Cable & Wireless Communications,5100067109,"£1,900.00",
Home Office,NPIA - National Policing Improvement Agency,16/08/2012,IT Information Support,Operations Directorate,Cable & Wireless Communications,5100067109,"£2,000.00",
Home Office,NPIA - National Policing Improvement Agency,16/08/2012,IT Information Support,Operations Directorate,Cable & Wireless Communications,5100067109,"£2,250.00",
Home Office,NPIA - National Policing Improvement Agency,16/08/2012,IT Information Support,Operations Directorate,Cable & Wireless Communications,5100067109,"£3,515.00",
Home Office,NPIA - National Policing Improvement Agency,16/08/2012,IT Information Support,Operations Directorate,Cable & Wireless Communications,5100067109,"£3,600.00",
Home Office,NPIA - National Policing Improvement Agency,16/08/2012,IT Information Support,Operations Directorate,Cable & Wireless Communications,5100067109,"£3,840.00",
Home Office,NPIA - National Policing Improvement Agency,16/08/2012,IT Information Support,Operations Directorate,Cable & Wireless Communications,5100067109,"£4,000.00",
Home Office,NPIA - National Policing Improvement Agency,16/08/2012,IT Information Support,Operations Directorate,Cable & Wireless Communications,5100067109,"£6,989.00",
Home Office,NPIA - National Policing Improvement Agency,28/08/2012,IT Hardware,Operations Directorate,Home Office,5100067241,£206.60,
Home Office,NPIA - National Policing Improvement Agency,28/08/2012,IT Hardware,Operations Directorate,Home Office,5100067241,"£1,007.80",
Home Office,NPIA - National Policing Improvement Agency,28/08/2012,IT Hardware,Operations Directorate,Home Office,5100067241,"£1,033.00",
Home Office,NPIA - National Policing Improvement Agency,28/08/2012,IT Hardware,Operations Directorate,Home Office,5100067241,"£4,190.00",
Home Office,NPIA - National Policing Improvement Agency,28/08/2012,IT Hardware,Operations Directorate,Home Office,5100067241,"£5,039.00",
Home Office,NPIA - National Policing Improvement Agency,28/08/2012,IT Hardware,Operations Directorate,Home Office,5100067241,"£5,697.89",
