Department,Entity,Posted Date,Internal Voucher Number,Invoice Line Amount Net GBP,Supplier Name,Account Code
FCO,FCO,02/11/2016,8245502,37861.81,FCO SERVICES,IT/IS Consultancy
FCO,FCO,23/11/2016,8477510,37533.27,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
FCO,FCO,21/11/2016,8458495,37504.24,STEWARTS AUTO SALES LIMITED,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,30/11/2016,8552643,37500,CARBON TRUST ADVISORY LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,15/11/2016,8380602,37133.66,NCA NATIONAL CRIME AGENCY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,17/11/2016,8427424,37116.6,ALZAD ALLIBI FOR CATERING SERVICES,Estates Management Services
FCO,FCO,16/11/2016,8402630,36800,COFFEY INTERNATIONAL DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/11/2016,8437551,36770,FCO SERVICES,IT/IS Consultancy
FCO,FCO,17/11/2016,8419424,36610.2,FCO SERVICES,IT/IS Consultancy
FCO,FCO,07/11/2016,8293711,36440.59,OVE ARUP PARTNERS INTERNATIONAL LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,18/11/2016,8437515,36406.8,SECURITAS SAC,Local Guards
FCO,FCO,22/11/2016,8460670,36194.01,CENTRAL PROVIDENT FUND BOARD,Multiple Accounts
FCO,FCO,28/11/2016,8507433,36092.28,DATACOM EMPLOYER SERVICES,Multiple Accounts
FCO,FCO,22/11/2016,8461835,36031,AXIOM INTERNATIONAL LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,29/11/2016,8535739,35988.19,ENI GAS AND POWER NV SA,Multiple Accounts
FCO,FCO,29/11/2016,8533559,35941.98,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,16/11/2016,8399495,35925.57,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
FCO,FCO,02/11/2016,8244636,35537.6,"SUN YAT-SEN (ZHONGSHAN) UNIVERSITY, GUANGZHOU",Programme Spend (Oracle Projects Control Account)
FCO,FCO,23/11/2016,8485535,35450.87,ONE SANSOME PROPERTY LLC,Multiple Accounts
FCO,FCO,09/11/2016,8330583,35429.52,INTERNATIONAL CENTRE FOR MIGRATION POLICY DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,21/11/2016,8443617,35374.93,PRIVATE PROPERTY MANAGEMENT,Multiple Accounts
FCO,FCO,17/11/2016,8406494,35201.62,TEAM 3 LIMITED,Local Guards
FCO,FCO,02/11/2016,8244626,35028.62,"SUN YAT-SEN (ZHONGSHAN) UNIVERSITY, GUANGZHOU",Programme Spend (Oracle Projects Control Account)
FCO,FCO,07/11/2016,8293899,35021,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Information Systems Implementation
FCO,FCO,23/11/2016,8473556,34998.77,ROSE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,22/11/2016,8463474,34990.17,FUNDACAO CARLOS ALBERTO VANZOLINI,Programme Spend (Oracle Projects Control Account)
FCO,FCO,14/11/2016,8361425,34818,CLIMATE PARLIAMENT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08/11/2016,8309506,34782.2,JINNAH INSTITUTE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,17/11/2016,8427640,34775.84,INTERSERVE FM LTD,Multiple Accounts
FCO,FCO,28/11/2016,8506508,34762.43,OMAR,Compensation Payments
FCO,FCO,14/11/2016,8354504,34755.09,SUNIL DOGRA,Multiple Accounts
FCO,FCO,22/11/2016,8462611,34572.69,CEFAS (THE CENTRE FOR ENVIRONMENT FISHERIES + AQUACULTURE SCIENCE),Programme Spend (Oracle Projects Control Account)
FCO,FCO,24/11/2016,8487753,34543.87,UNIVERSITY OF MELBOURNE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,21/11/2016,8443606,34385.08,ZHEJIANG UNIVERSITY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,02/11/2016,8245533,34328,DIPLOMATIC MISSION SUPPLIES LTD,Property Maintenance Overseas Non Residential
FCO,FCO,18/11/2016,8437442,34201.94,COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,16/11/2016,8402594,34128.65,SEBHATU AND SONS PROPERTY ADMINISTRATION AND SECURITY SERVICE PLC,Local Guards
