Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,10/07/2015,Purchase of inventory and services ,HO+CS,XMA LTD,NG11 7EP,33051,Cost of other material consumed,"Ł3,215.57"
Ministry of Defence,Ministry of Defence,22/07/2015,"Purchase of munitions, other inventory or fuel",Defence Equipment + Support,ITURRI SA,OX16 3TA,3200430,Raw materials and consumable clothing and textiles inventory purchased,"Ł3,203.51"
Ministry of Defence,Ministry of Defence,23/07/2015,Purchase of inventory and services ,Navy Command,XMA LTD,NG11 7EP,37229,Cost of other material consumed,"Ł3,202.59"
Ministry of Defence,Ministry of Defence,15/07/2015,Purchase of inventory and services ,DES Bespoke Trading Entity,XMA LTD,NG11 7EP,34053,Cost of other material consumed,"Ł3,189.28"
Ministry of Defence,Ministry of Defence,09/07/2015,Purchase of inventory and services ,Navy Command,XMA LTD,NG11 7EP,32545,Cost of other material consumed,"Ł3,184.95"
Ministry of Defence,Ministry of Defence,17/07/2015,Purchase of inventory and services ,DEFENCE INFRASTRUCTURE ORGANISATION,XMA LTD,NG11 7EP,35054,Cost of other material consumed,"Ł3,183.72"
Ministry of Defence,Ministry of Defence,23/07/2015,Spend on Inventory - General,Land Forces,ARNOLD LAVER & COMPANY LIMITED,S2 4RJ,36764,Spend on Inventory - General,"Ł3,174.79"
Ministry of Defence,Ministry of Defence,13/07/2015,IT and communication services,DES Bespoke Trading Entity,SOFTCAT LIMITED,SL7 1TB,33416,Computer equipment costing below the capitalisation threshold,"Ł3,153.33"
Ministry of Defence,Ministry of Defence,21/07/2015,"Transportation of personnel, freight and travel expenses",JFC,CRONOS CONTAINERS LTD,SL7 1PB,36029,Freight movement costs,"Ł3,151.00"
Ministry of Defence,Ministry of Defence,22/07/2015,International contributions,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000363,Defence military assistance fund international subscriptions and other payments,"Ł3,141.18"
