Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Narrative
HM Treasury,HM Treasury,23/06/2010,Office Machinery Repairs,Corporate Services,EXCHEQUER PARTNERSHIP PLC,85263,33939.70,IT modernisation programme
HM Treasury,HM Treasury,23/06/2010,Procurement Card,Corporate Services,NATWEST BANK PLC,85318,141705.78,various purchases on Government Procurement Card
HM Treasury,HM Treasury,25/06/2010,It Equipment  - Current,Corporate Services,BUYING SOLUTIONS,83820,60742.82,IT services
HM Treasury,HM Treasury,25/06/2010,It Equipment  - Current,Corporate Services,BUYING SOLUTIONS,83866,141230.30,IT services
HM Treasury,HM Treasury,25/06/2010,Call Charges,Corporate Services,VODAFONE CORPORATE LTD,84526,39401.29,IT/ telephony services
HM Treasury,HM Treasury,25/06/2010,Budget Documentation,"Budget, Tax & Welfare",SECURITY & LOGISTICAL SOLUTIONS LTD,85471,30949.50,
HM Treasury,HM Treasury,25/06/2010,Travel,Corporate Services,RBS LODGE,85475,101422.70,various travel costs 
HM Treasury,HM Treasury,30/06/2010,Consultants - Mgt - Non Advisory,Public Services & Growth,CAPGEMINI UK PLC,84247,32054.00,Development of COINS replacement
HM Treasury,HM Treasury,30/06/2010,Hire Of It Equipment,Corporate Services,EXCHEQUER PARTNERSHIP PLC,85260,43323.74,IT modernisation programme
HM Treasury,HM Treasury,30/06/2010,Cost Additions - IT Hardware,Corporate Services,EXCHEQUER PARTNERSHIP PLC,85262,113453.89,IT modernisation programme
HM Treasury,HM Treasury,30/06/2010,Govt. Car Service,Permanent Secretary & Ministersanent Secretary & Ministers,GCDA (GOVERNMENT CAR SERVICE),85296,30260.33,
HM Treasury,APA,30/06/2010,Recruitment Expenses,Finance,CIRCLE PEOPLE LTD,85407,24000.00,external recruitment costs Asset Protection Agency 
HM Treasury,UKFI,30/06/2010,Rent,UKFI,"DEPARTMENT FOR CULTURE, MEDIA AND SPORT",85494,54596.45,"Estates, rental payment - UKFI "
HM Treasury,HM Treasury,30/06/2010,Consultancy - Legal -  Contracted out services,Corporate Services,THE TREASURY SOLICITOR,85525,273233.26,Treasury Legal Advisors - salary costs recharged from TSOL 
HM Treasury,HM Treasury,30/06/2010,Maintenance,Corporate Services,MITIE MANAGED SERVICES LTD,85528,32442.55,Estates Norwich Office
HM Treasury,HM Treasury,30/06/2010,Procurement Card,Corporate Services,BT PLC,85534,38613.97,telephony services
HM Treasury,DMO,30/06/2010,Rent (to managing agent),Facilities,JONES LANG LASALLE,85559,282385.40,Estates - DMO 11 Philpot Lane
,,,,,,,,
