2011 CMIR 7 - TRANSPARENCY REPORT,,,,,,,
Month: October 2011,,,,,,,
,,,,,,,
Dept.,Entity,Date,OGC Master Category,Project code,Supplier,Transaction Number, Payment Value 
Dept. for Education,QCDA,20/10/2011,Professional Services Temporary Staff,Corporate Services,Badenoch and Clark,PBAC/00135388,"45,766.44"
Dept. for Education,QCDA,27/10/2011,Professional Services Other,Corporate Services,Beachcroft LLP,PBAC/00135494,"34,222.44"
Dept. for Education,QCDA,20/10/2011,Professional Services Temporary Staff,Test Delivery Operations Programme,BSS,PBAC/00135416,"37,218.10"
Dept. for Education,QCDA,10/10/2011,N/A,Corporate Services,Civil Superannuation Vote,PRFT/00001560,"226,002.41"
Dept. for Education,QCDA,10/10/2011,N/A,Corporate Services,Contributions Agency,PRFT/00001559,"162,747.80"
Dept. for Education,QCDA,19/10/2011,N/A,Corporate Services,HMRC Cumbernauld,PRFT/00001563,"62,126.83"
Dept. for Education,QCDA,10/10/2011,N/A,Corporate Services,Inland Revenue Only,PRFT/00001558,"201,231.53"
Dept. for Education,QCDA,12/10/2011,Professional Services Temporary Staff,Corporate Services,Magnetic IT,PBAC/00135381,"35,437.25"
Dept. for Education,QCDA,07/10/2011,ICT,Test Delivery Operations Programme,Mouchel Management Ltd,PBAC/00135292,"51,782.60"
Dept. for Education,QCDA,27/10/2011,ICT,Test Delivery Operations Programme,Mouchel Management Ltd,PBAC/00135517,"26,459.36"
Dept. for Education,QCDA,27/10/2011,Professional Services Learning & Development,Test Delivery Operations Programme,NFER,PBAC/00135509,"290,756.21"
Dept. for Education,QCDA,27/10/2011,Professional Services Learning & Development,Test Delivery Operations Programme,NFER,POCRDT/00000638,"57,900.00"
Dept. for Education,QCDA,12/10/2011,ICT,Corporate Services,Open Text UK Ltd,PBAC/00135351,"33,748.47"
Dept. for Education,QCDA,12/10/2011,Professional Services Temporary Staff,Corporate Services,PENNA PLC,PBAC/00135349,"62,620.80"
Dept. for Education,QCDA,07/10/2011,Professional Services Learning & Development,Test Delivery Operations Programme,Prolog ,PBAC/00135324,"42,223.99"
Dept. for Education,QCDA,27/10/2011,Professional Services Learning & Development,Test Delivery Operations Programme,RM Education Plc,PBAC/00135495,"42,941.62"
Dept. for Education,QCDA,27/10/2011,Facilities,Corporate Services,SGP Property & Facilities Management Ltd,PBAC/00135514,"82,853.36"
Dept. for Education,QCDA,20/10/2011,ICT,Diploma Programme,Steria Ltd,PBAC/00135401,"200,808.29"
Dept. for Education,QCDA,27/10/2011,ICT,Corporate Services,Steria Services Ltd,PBAC/00135499,"177,304.93"
Dept. for Education,QCDA,20/10/2011,ICT,Corporate Services,Steria Services Ltd,PBAC/00135391,"133,688.64"
Dept. for Education,QCDA,07/10/2011,Professional Services Learning & Development,General Qualifications Programme,Warwickshire County Council,PBAC/00135255,"39,687.50"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Dept.,Entity,Date,OGC Master Category,Project code,Supplier,Transaction Number, Payment Value 
Dept. for Education,QCDA(E),04/10/2011,Logistics,Corporate Services,The Stationery Office,QBACS/00000568,66681.19
