2011 CMIR 7e - TRANSPARENCY REPORT,,,,,,,,,,,
Month: September 2010,,,,,,,,,,,

Department Family,Entity,Date,Expense Type (Activity Code),OGC Master Category,Expense Area (Project Code),Project Code,Supplier,Transaction Number (Invoice Ref), Amount , VAT Registration Number , Payment Value 
Dept. for Education,QCDAe,09-Sep-10,,Logistics,,Corporate Support,The Stationery Office,QBACS/00000482,,,"35,028.63"
