Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,  Spend  ,
Home Office,Home Office,11/11/2015,Uniforms & PPE.Uniforms & Protective Clothes,UKBF - UK Border ForceStrategic Director Border,HUNTER APPAREL SOLUTIONS LTD,1001796188," 47,817.00 ",
Home Office,Home Office,11/11/2015,Uniforms & PPE.Uniforms & Protective Clothes,UKBF - UK Border ForceStrategic Director Border,HUNTER APPAREL SOLUTIONS LTD,1001796188," 3,564.00 ",
Home Office,Home Office,11/11/2015,Uniforms & PPE.Uniforms & Protective Clothes,UKBF - UK Border ForceStrategic Director Border,HUNTER APPAREL SOLUTIONS LTD,1001796188," 4,870.80 ",
Home Office,Home Office,11/11/2015,Uniforms & PPE.Uniforms & Protective Clothes,UKBF - UK Border ForceStrategic Director Border,HUNTER APPAREL SOLUTIONS LTD,1001796188," 290,639.66 ",
Home Office,Home Office,11/11/2015,Laboratory & Scientific Equipment,UKBF - UK Border ForceStrategic Director Border,L3 COMMUNICATIONS LTD,1001796195," 38,085.40 ",
Home Office,Home Office,11/11/2015,Consultancy & Contingent Labour,UKBF - UK Border ForceStrategic Director Border,SOPRA STERIA LTD,1001796233," 77,101.22 ",
Home Office,Home Office,11/11/2015,"IT, Broadcasting & Telecomms",UKBF - UK Border ForceStrategic Director Border,SUNGARD AVAILABILITY SERVICES UK LTD,1001796235," 88,998.00 ",
Home Office,Home Office,11/11/2015,"IT, Broadcasting & Telecomms",UKBF - UK Border ForceStrategic Director Border,SUNGARD AVAILABILITY SERVICES UK LTD,1001796235, 900.00 ,
Home Office,Home Office,11/11/2015,"IT, Broadcasting & Telecomms",UKBF - UK Border ForceStrategic Director Border,SUNGARD AVAILABILITY SERVICES UK LTD,1001796235," 88,998.00 ",
Home Office,Home Office,12/11/2015,"IT, Broadcasting & Telecomms",UKBF - UK Border ForceStrategic Director Border,6POINT6 LTD,1001796572," 152,880.00 ",
Home Office,Home Office,12/11/2015,"IT, Broadcasting & Telecomms",UKBF - UK Border ForceStrategic Director Border,FUJITSU SERVICES LTD,1001796625," 55,722.28 ",
Home Office,Home Office,12/11/2015,"IT, Tele ApplicConsult&Development",UKBF - UK Border ForceStrategic Director Border,KAINOS,1001796636," 68,976.00 ",
Home Office,Home Office,12/11/2015,Consultancy & Contingent Labour,UKBF - UK Border ForceStrategic Director Border,SOPRA STERIA LTD,1001796671," 120,036.00 ",
Home Office,Home Office,12/11/2015,Consultancy & Contingent Labour,UKBF - UK Border ForceStrategic Director Border,SOPRA STERIA LTD,1001796671," 4,323.64 ",
Home Office,Home Office,13/11/2015,Uniforms & PPE.Uniforms & Protective Clothes,UKBF - UK Border ForceStrategic Director Border,HUNTER APPAREL SOLUTIONS LTD,1001797231," 29,881.20 ",
Home Office,Home Office,13/11/2015,"IT, Broadcasting & Telecomms",UKBF - UK Border ForceStrategic Director Border,IBM DIRECT UNITED KINGDOM LTD,1001797232," 80,884.87 ",
Home Office,Home Office,13/11/2015,"IT, TelecommsManaged Service",UKBF - UK Border ForceStrategic Director Border,IBM DIRECT UNITED KINGDOM LTD,1001797232," 23,796.02 ",
Home Office,Home Office,13/11/2015,Grant,UKBF - UK Border ForceStrategic Director Border,NATIONAL MUSEUMS LIVERPOOL (G),1001796989," 61,750.00 ",
Home Office,Home Office,13/11/2015,Consultancy & Contingent Labour,UKBF - UK Border ForceStrategic Director Border,SERCO LTD,1001797344," 66,656.88 ",
Home Office,Home Office,13/11/2015,Consultancy & Contingent Labour,UKBF - UK Border ForceStrategic Director Border,SERCO LTD,1001797344," 29,671.28 ",
Home Office,Home Office,13/11/2015,"IT, Broadcasting & Telecomms",UKBF - UK Border ForceStrategic Director Border,SOPRA STERIA LTD,1001797351," 37,680.25 ",
Home Office,Home Office,13/11/2015,"IT, Broadcasting & Telecomms",UKBF - UK Border ForceStrategic Director Border,SOPRA STERIA LTD,1001797351," 37,680.25 ",
Home Office,Home Office,16/11/2015,Grant,UKBF - UK Border ForceStrategic Director Border,NATIONAL MUSEUMS LIVERPOOL (G),1001797754," 61,750.00 ",
Home Office,Home Office,16/11/2015,Law Enforcement & safety Equipment,UKBF - UK Border ForceStrategic Director Border,TNT UK LTD,1001797952," 233,390.03 ",
Home Office,Home Office,17/11/2015,"IT, Broadcasting & Telecomms",UKBF - UK Border ForceStrategic Director Border,FINCORE LTD,1001798382," 25,585.20 ",
Home Office,Home Office,17/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050822," 16,480.91 ",
Home Office,Home Office,17/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050822," 24,931.62 ",
Home Office,Home Office,17/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050822," 7,954.95 ",
Home Office,Home Office,17/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050822," 2,350.34 ",
Home Office,Home Office,17/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050822," 7,774.16 ",
Home Office,Home Office,17/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050822," 73,741.90 ",
Home Office,Home Office,17/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050822," 23,629.56 ",
Home Office,Home Office,17/11/2015,Laboratory & Scientific Equipment,UKBF - UK Border ForceStrategic Director Border,LEIDOS LTD,1001798398," 38,187.60 ",
Home Office,Home Office,17/11/2015,Laboratory & Scientific Equipment,UKBF - UK Border ForceStrategic Director Border,LEIDOS LTD,1001798398," 38,187.60 ",
Home Office,Home Office,17/11/2015,"IT, Broadcasting & Telecomms",UKBF - UK Border ForceStrategic Director Border,WTG TECHNOLOGIES LTD,1001798437," 36,900.00 ",
Home Office,Home Office,18/11/2015,Professional & Admin Services,UKBF - UK Border ForceStrategic Director Border,BIRMINGHAM INT AIRPORT A/PT,6200057554,-834.12 ,
Home Office,Home Office,18/11/2015,Professional & Admin Services,UKBF - UK Border ForceStrategic Director Border,BIRMINGHAM INT AIRPORT A/PT,6200057554,-481.85 ,
Home Office,Home Office,19/11/2015,"IT, Broadcasting & Telecomms",UKBF - UK Border ForceStrategic Director Border,FUJITSU SERVICES LTD,1001799379," 57,331.56 ",
Home Office,Home Office,19/11/2015,"IT, Broadcasting & Telecomms",UKBF - UK Border ForceStrategic Director Border,FUJITSU SERVICES LTD,1001799379," 165,605.96 ",
Home Office,Home Office,19/11/2015,Law Enforcement & safety Equipment,UKBF - UK Border ForceStrategic Director Border,QINETIQ LTD,1001799423," 21,021.90 ",
Home Office,Home Office,19/11/2015,Law Enforcement & safety Equipment,UKBF - UK Border ForceStrategic Director Border,QINETIQ LTD,1001799423," 44,231.42 ",
Home Office,Home Office,20/11/2015,Grant,UKBF - UK Border ForceStrategic Director Border,FRANCE TERRE D'ASILE,7000010035," 527,175.00 ",
Home Office,Home Office,20/11/2015,Uniforms & PPE.Uniforms & Protective Clothes,UKBF - UK Border ForceStrategic Director Border,HUNTER APPAREL SOLUTIONS LTD,1001799882," 78,214.22 ",
Home Office,Home Office,20/11/2015,Uniforms & PPE.Uniforms & Protective Clothes,UKBF - UK Border ForceStrategic Director Border,HUNTER APPAREL SOLUTIONS LTD,1001799882," 119,044.32 ",
Home Office,Home Office,20/11/2015,Uniforms & PPE.Uniforms & Protective Clothes,UKBF - UK Border ForceStrategic Director Border,HUNTER APPAREL SOLUTIONS LTD,1001799882," 14,076.00 ",
Home Office,Home Office,20/11/2015,Uniforms & PPE.Uniforms & Protective Clothes,UKBF - UK Border ForceStrategic Director Border,HUNTER APPAREL SOLUTIONS LTD,1001799882," 17,809.20 ",
Home Office,Home Office,20/11/2015,Ex-gratia Payments,UKBF - UK Border ForceStrategic Director Border,SHERTON INTERNATIONAL SHIPPING LTD,1001799722," 25,116.00 ",
Home Office,Home Office,20/11/2015,"IT, Broadcasting & Telecomms",UKBF - UK Border ForceStrategic Director Border,SUNGARD AVAILABILITY SERVICES UK LTD,1001799939," 88,998.00 ",
Home Office,Home Office,25/11/2015,Consultancy & Contingent Labour,UKBF - UK Border ForceStrategic Director Border,FLIGHT REGISTER LTD,1001801324," 25,920.00 ",
Home Office,Home Office,25/11/2015,"IT, Broadcasting & Telecomms",UKBF - UK Border ForceStrategic Director Border,FUJITSU SERVICES LTD,1001801327," 32,283.24 ",
Home Office,Home Office,25/11/2015,"IT, Broadcasting & Telecomms",UKBF - UK Border ForceStrategic Director Border,FUJITSU SERVICES LTD,1001801327," 31,195.16 ",
Home Office,Home Office,25/11/2015,"Vehicles, Ships, Airplanes",UKBF - UK Border ForceStrategic Director Border,MINISTRY OF DEFENCE,7000010048," 29,049.70 ",
Home Office,Home Office,25/11/2015,Laboratory & Scientific Equipment,UKBF - UK Border ForceStrategic Director Border,NUCTECH COMPANY LTD,7000010046," 106,800.00 ",
Home Office,Home Office,26/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050861," 8,659.97 ",
Home Office,Home Office,26/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050861," 2,558.63 ",
Home Office,Home Office,26/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050861," 8,463.15 ",
Home Office,Home Office,26/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050861," 62,187.07 ",
Home Office,Home Office,26/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050861," 1,107.81 ",
Home Office,Home Office,26/11/2015,"IT, Broadcasting & Telecomms",UKBF - UK Border ForceStrategic Director Border,SKYSCAPE CLOUD SERVICES,1001801857," 39,005.32 ",
Home Office,Home Office,26/11/2015,"IT, Broadcasting & Telecomms",UKBF - UK Border ForceStrategic Director Border,SPECIALIST COMPUTER CENTRES PLC,1001801862," 281,447.41 ",
Home Office,Home Office,27/11/2015,Professional & Admin Services,UKBF - UK Border ForceStrategic Director Border,EAMUS CORK SOLUTIONS (ECS),7000010052," 300,562.97 ",
Home Office,Home Office,27/11/2015,Professional & Admin Services,UKBF - UK Border ForceStrategic Director Border,EAMUS CORK SOLUTIONS (ECS),7000010052," 94,348.13 ",
Home Office,Home Office,27/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050867," 54,752.06 ",
Home Office,Home Office,27/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050867," 7,932.04 ",
Home Office,Home Office,27/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050867," 1,244.12 ",
Home Office,Home Office,27/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050867," 7,455.29 ",
Home Office,Home Office,27/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050867," 2,165.12 ",
Home Office,Home Office,27/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050867," 32,226.45 ",
Home Office,Home Office,27/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050867," 7,260.78 ",
Home Office,Home Office,27/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050867," 32,769.86 ",
Home Office,Home Office,27/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050867, 625.02 ,
Home Office,Home Office,27/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050867," 65,397.00 ",
Home Office,Home Office,27/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050867," 1,451.89 ",
Home Office,Home Office,27/11/2015,Other Government Department,UKBF - UK Border ForceStrategic Director Border,FOREIGN AND COMMONWEALTH OFFICE,3000050867," 29,271.60 ",
Home Office,Home Office,27/11/2015,"IT, Broadcasting & Telecomms",UKBF - UK Border ForceStrategic Director Border,IBM DIRECT UNITED KINGDOM LTD,1001802490," 705,250.74 ",
Home Office,Home Office,27/11/2015,"IT, Broadcasting & Telecomms",UKBF - UK Border ForceStrategic Director Border,SUNGARD AVAILABILITY SERVICES UK LTD,1001802559," 88,998.00 ",
Home Office,Home Office,02/11/2015,Asylum Provision & Services,UKV&I - Visas & Immigration,CARLSON WAGONLIT TRAVEL,1001792855," 177,791.92 ",
Home Office,Home Office,02/11/2015,Asylum Provision & Services,UKV&I - Visas & Immigration,CARLSON WAGONLIT TRAVEL,1001792855,"-36,375.46 ",
Home Office,Home Office,02/11/2015,Asylum Provision & Services,UKV&I - Visas & Immigration,CARLSON WAGONLIT TRAVEL,1001792855," 27,028.28 ",
Home Office,Home Office,02/11/2015,Grant,UKV&I - Visas & Immigration,DEPARTMENT FOR WORK & PENSIONS (DWP),3000050745," 66,420.00 ",
Home Office,Home Office,02/11/2015,Asylum Provision & Services,UKV&I - Visas & Immigration,MIGRANT HELPLINE LTD T/A MIGRANT HELPLINE,1001792917," 207,245.66 ",
Home Office,Home Office,02/11/2015,Asylum Provision & Services,UKV&I - Visas & Immigration,MIGRANT HELPLINE LTD T/A MIGRANT HELPLINE,1001792917," 164,202.00 ",
Home Office,Home Office,02/11/2015,Asylum Provision & Services,UKV&I - Visas & Immigration,POST OFFICE LTD,1001792930," 120,921.60 ",
Home Office,Home Office,02/11/2015,Asylum Provision & Services,UKV&I - Visas & Immigration,SODEXO MOTIVATION SOLUTIONS UK LTD,1001792944," 122,919.82 ",
Home Office,Home Office,02/11/2015,Asylum Provision & Services,UKV&I - Visas & Immigration,SODEXO MOTIVATION SOLUTIONS UK LTD,1001792944," 1,171,814.10 ",
Home Office,Home Office,02/11/2015,Professional & Admin Services,UKV&I - Visas & Immigration,TELEPERFORMANCE LTD,1001792952,"-2,364,870.76 ",
Home Office,Home Office,02/11/2015,Professional & Admin Services,UKV&I - Visas & Immigration,TELEPERFORMANCE LTD,1001792952," 3,525,278.60 ",
Home Office,Home Office,02/11/2015,Professional & Admin Services,UKV&I - Visas & Immigration,TELEPERFORMANCE LTD,1001792952," 622,113.71 ",
Home Office,Home Office,03/11/2015,Professional & Admin Services,UKV&I - Visas & Immigration,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001793351," 25,959.95 ",
Home Office,Home Office,03/11/2015,Professional & Admin Services,UKV&I - Visas & Immigration,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001793351," 5,522.79 ",
Home Office,Home Office,03/11/2015,Professional & Admin Services,UKV&I - Visas & Immigration,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001793351," 16,335.70 ",
Home Office,Home Office,03/11/2015,Professional & Admin Services,UKV&I - Visas & Immigration,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001793351," 92,529.40 ",
Home Office,Home Office,03/11/2015,"IT, Broadcasting & Telecomms",UKV&I - Visas & Immigration,ATOS IT SERVICES UK LTD,1001793294," 42,109.82 ",
Home Office,Home Office,03/11/2015,"IT, Broadcasting & Telecomms",UKV&I - Visas & Immigration,ATOS IT SERVICES UK LTD,1001793294," 30,903.41 ",
