Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Transaction Description,Amount
HM Treasury,HM Treasury,02-Apr-2013,UKFI Management Fee,UKFI MANAGEMENT FEE,UK FINANCIAL INVESTMENTS LTD,104485,UKFI MANAGEMENT FEE - APRIL 2013,150000
HM Treasury,HM Treasury,03-Apr-2013,Training Course Fees,EMB,THE MENTORING FOUNDATION,104307,TRAINING COSTS,10000
HM Treasury,HM Treasury,03-Apr-2013,Telephone Rental - UK,IS Retained Services,BT PLC,104293,BT MONTHLY LINE RENTAL & CALL CHARGES,17832.43
HM Treasury,HM Treasury,03-Apr-2013,IT Hardware Services & Maintenance Non VAT Recoverable,Project OSCAR (inc DPI),IBM UK,104185,PROJECT OSCAR - HOSTING - MONTHLY CHARGES,37149.6
HM Treasury,HM Treasury,03-Apr-2013,IT Hardware Services & Maintenance VAT Recoverable,FLEX Services,FUJITSU SERVICES LIMITED,104342,HMT CONFIDENTIAL FLEX SERVICE CHARGES ,711148.24
HM Treasury,HM Treasury,03-Apr-2013,IT Hardware Services & Maintenance VAT Recoverable,FLEX Services,FUJITSU SERVICES LIMITED,104340,HMT CONFIDENTIAL FLEX SERVICE CHARGES ,755667.66
HM Treasury,HM Treasury,05-Apr-2013,Consultancy - Management Consultancy,JWS PROJECTS – OGDs Only,FUJITSU SERVICES LIMITED,104389,SPECIALIST IT ADVICE FOR NEW TELPHONE SYSTEM - RECHARGABLE TO CABINET OFFICE,8483
HM Treasury,HM Treasury,05-Apr-2013,Consultancy - Financial,Financial Stability Consultancy,BDO STOY HAYWARD LLP,104163,INDEPENDENT VALUER NORTHERN ROCK - FEBRUARY 2013 - RECHARGEABLE TO NORTHERN ROCK ,8668.72
HM Treasury,HM Treasury,05-Apr-2013,Consultancy - Management Consultancy,JWS PROJECTS – OGDs Only,FUJITSU SERVICES LIMITED,104388,SPECIALIST IT ADVICE FOR NEW TELPHONE SYSTEM - RECHARGABLE TO CABINET OFFICE,10152.2
HM Treasury,HM Treasury,05-Apr-2013,Professional Services - IT,EDRMS Upgrade Project,FUJITSU SERVICES LIMITED,104371,IT CONTRACTOR SERVICES,10386.24
HM Treasury,HM Treasury,05-Apr-2013,Interim Contractor / Staff substitution,IWS Team,FUJITSU SERVICES LIMITED,104368,IT CONTRACTOR SERVICES,10685.64
HM Treasury,HM Treasury,05-Apr-2013,Professional Services - IT,IWS Team,FUJITSU SERVICES LIMITED,104370,IT CONTRACTOR SERVICES,11284.44
HM Treasury,HM Treasury,05-Apr-2013,Archives & Storage,Knowledge & Information Management,IRON MOUNTAIN,104314,CHARGES FOR RECORDS MANAGEMENT REVIEW & CLEANSE,11661.87
HM Treasury,HM Treasury,05-Apr-2013,Professional Services - Management Consultancy,IWS Team,FUJITSU SERVICES LIMITED,104390,IT CONTRACTOR SERVICES,11883.24
HM Treasury,HM Treasury,05-Apr-2013,Professional Services - IT,EDRMS Upgrade Project,FUJITSU SERVICES LIMITED,104375,IT CONTRACTOR SERVICES,11976
HM Treasury,HM Treasury,05-Apr-2013,Interim Contractor / Staff substitution,IWS Team,FUJITSU SERVICES LIMITED,104392,IT CONTRACTOR SERVICES,13173.6
HM Treasury,HM Treasury,05-Apr-2013,Consultancy - Financial,Financial Stability Consultancy,BDO STOY HAYWARD LLP,104022,INDEPENDENT VALUER NORTHERN ROCK - FEBRUARY 2013 - RECHARGEABLE TO NORTHERN ROCK ,13612.86
HM Treasury,HM Treasury,05-Apr-2013,Professional Services - Property,Estates,CRONIN MANAGEMENT CONSULTANCY,104385,PFI SPECIALIST CONTRACTOR SERVICES,18057.6
HM Treasury,DMO,05-Apr-2013,Interim Contractor / Staff substitution,Consolidated Projects,EXPERIS LIMITED,104423,SPECIALIST CONTRACT STAFF,18587.23
HM Treasury,DMO,05-Apr-2013,Interim Contractor / Staff substitution,Consolidated Projects,EXPERIS LIMITED,104422,SPECIALIST CONTRACT STAFF,18642.24
HM Treasury,HM Treasury,05-Apr-2013,Archives & Storage,Knowledge & Information Management,IRON MOUNTAIN,104313,CHARGES FOR RECORDS MANAGEMENT REVIEW & CLEANSE,31549.97
HM Treasury,HM Treasury,05-Apr-2013,Electricity,Estates,EDF ENERGY,104396,ELECTRICITY CHARGES 1HGR,47382.05
HM Treasury,HM Treasury,05-Apr-2013,Professional Services - Management Consultancy,Financial Services,KPMG ,104401,FINANCIAL SERVICES,78000
HM Treasury,HM Treasury,05-Apr-2013,Consultancy - Financial,Financial Stability Consultancy,BDO STOY HAYWARD LLP,103473,INDEPENDENT VALUER NORTHERN ROCK - JANUARY 2013 - RECHARGEABLE TO NORTHERN ROCK ,268935.09
HM Treasury,HM Treasury,08-Apr-2013,Childcare Vouchers,HR Central Services,FIDELITI LIMITED,104415,CHILDCARE VOUCHERS COSTS  - RECHARGABLE TO CO,10230.76
HM Treasury,HM Treasury,08-Apr-2013,Professional Services - IT,IWS Team,FUJITSU SERVICES LIMITED,104436,IT CONTRACTOR SERVICES,11676.6
HM Treasury,HM Treasury,08-Apr-2013,Professional Services - IT,JWS PROJECTS – OGDs Only,FUJITSU SERVICES LIMITED,104395,PROJECT MANAGEMENT FOR NEW TELEPHONE SYSTEM  - RECHARGABLE TO CABINET OFFICE,11884.32
HM Treasury,HM Treasury,08-Apr-2013,Professional Services - IT,EDRMS Upgrade Project,FUJITSU SERVICES LIMITED,104407,IT CONTRACTOR SERVICES,12084
HM Treasury,HM Treasury,08-Apr-2013,Internal removal costs,JWS PROJECTS - HMT ONLY,FUJITSU SERVICES LIMITED,104440,COSTS IN RELATION TO HMT DESK SHARING PROJECT,12540.64
HM Treasury,DMO,08-Apr-2013,Gilt Purchase & Sale Service,Dealers,COMPUTERSHARE SERVICES PLC,104429,TRANSACTION CHARGES - MARCH 2013,14673.74
HM Treasury,HM Treasury,08-Apr-2013,IT Software services and maintenance  Rec,Solutions Delivery,FUJITSU SERVICES LIMITED,104439,SOFTWARE UPGRADE FOR HMT ASSET MANAGEMENT,18870.66
HM Treasury,HM Treasury,08-Apr-2013,Equitable Life Enquiry VAT non - recoverable,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,104456,OPERATIONAL COSTS FOR THE EQUITABLE LIFE PAYMENT SCHEME JAN-FEB 2013,46461.15
HM Treasury,HM Treasury,08-Apr-2013,Childcare Vouchers,HR Central Services,FIDELITI LIMITED,104414,CHILDCARE VOUCHERS COSTS              ,47648.62
HM Treasury,HM Treasury,08-Apr-2013,Equitable Life Enquiry VAT non - recoverable,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,104455,OPERATIONAL COSTS FOR THE EQUITABLE LIFE PAYMENT SCHEME AUG-DEC 2012,81890
HM Treasury,HM Treasury,08-Apr-2013,Equitable Life Enquiry VAT non - recoverable,Equitable Life,NATIONAL SAVINGS AND INVESTMENTS,104454,OPERATIONAL COSTS FOR THE EQUITABLE LIFE PAYMENT SCHEME,94785.82
HM Treasury,HM Treasury,10-Apr-2013,IT Hardware Services & Maintenance VAT Recoverable,Solutions Delivery,FUJITSU SERVICES LIMITED,104516,FLEX SYSTEM EXTENTION,8856
HM Treasury,DMO,10-Apr-2013,Interim Contractor / Staff substitution,Consolidated Projects,NETWORKERS INTERNATIONAL (UK) PLC,104531,SPECIALIST CONTRACT STAFF,10080
HM Treasury,DMO,10-Apr-2013,Interim Contractor / Staff substitution,Consolidated Projects,SANDERSON RECRUITMENT PLC,104541,SPECIALIST CONTRACT STAFF,10800
HM Treasury,DMO,10-Apr-2013,Interim Contractor / Staff substitution,Business Delivery,NETWORKERS INTERNATIONAL (UK) PLC,104539,SPECIALIST CONTRACT STAFF,11402.5
HM Treasury,HM Treasury,10-Apr-2013,Professional Services - IT,EDRMS Upgrade Project,FUJITSU SERVICES LIMITED,104394,IT CONTRACTOR SERVICES,12720
HM Treasury,HM Treasury,10-Apr-2013,Security,"Strategy, Planning & Budget",SECURITY & LOGISTICAL SOLUTIONS LTD,104309,COSTS RELATING TO THE SECURE DELIVERY OF BUDGET DOCUMENTATION,12750
HM Treasury,DMO,10-Apr-2013,Interim Contractor / Staff substitution,Consolidated Projects,NETWORKERS INTERNATIONAL (UK) PLC,104529,SPECIALIST CONTRACT STAFF,14253.12
HM Treasury,HM Treasury,10-Apr-2013,Bank Of England,Fiscal,BANK OF ENGLAND ,104480,BANKING CHARGES ,15381.75
HM Treasury,HM Treasury,10-Apr-2013,IT Hardware Services & Maintenance VAT Recoverable,IS Retained Services,TRUSTMARQUE SOLUTIONS,104517,ANNUAL SOFTWARE LICENECE FEES,17871.78
HM Treasury,HM Treasury,10-Apr-2013,Disposal of IT Equipment,JWS PROJECTS – OGDs Only,REMPLOY E-CYCLE LTD,104397,DISPOSAL OF IT EQUIPTMENT - RECHAREGABLE TO CABINET OFFICE,39495.8
HM Treasury,DMO,10-Apr-2013,IT Hardware Services & Maintenance Non VAT Recoverable,Business Delivery,ICM,104536,WEBHOSTING MAINTENANCE AND SUPPORT - 2 YEARS,49565.33
HM Treasury,DMO,10-Apr-2013,Interim Contractor / Staff substitution,Senior Management 1,GRANT THORNTON UK LLP,104378,SPECIALIST AUDIT SERVICES,59208
HM Treasury,DMO,10-Apr-2013,Stock Exchange Listing,Rmu,LONDON STOCK EXCHANGE,104512,QUARTERLY LISTING FEES FOR UK GOVT BONDS,150000
HM Treasury,HM Treasury,10-Apr-2013,Losses and Special Payments,Finance Central,HM REVENUE AND CUSTOMS,104551,VAT ASSESMENT,2568801
HM Treasury,HM Treasury,11-Apr-2013,AME - Professional Services - Legal representation Services,Financial Stability ,CHRYSSES DEMETRIADES & CO. LLC,104715,LEGAL ADVICE,24058.54
HM Treasury,HM Treasury,12-Apr-2013,Consultancy - Management Consultancy,IWS Team,FUJITSU SERVICES LIMITED,104410,IT CONTRACTOR SERVICES,9980
HM Treasury,HM Treasury,12-Apr-2013,Consultancy - Management Consultancy,IWS Team,FUJITSU SERVICES LIMITED,104626,IT CONTRACTOR SERVICES,10401.7
HM Treasury,DMO,12-Apr-2013,Interim Contractor / Staff substitution,Consolidated Projects,SANDERSON RECRUITMENT PLC,104602,SPECIALIST CONTRACT STAFF,10800
HM Treasury,HM Treasury,12-Apr-2013,Interim Contractor / Staff substitution,IWS Team,FUJITSU SERVICES LIMITED,104367,IT CONTRACTOR SERVICES,11377.2
HM Treasury,UKFI,12-Apr-2013,Corp. Subscriptions  and Other Information Services,UKFI,BLOOMBERG FINANCE L.P.,104583,BLOOMBERG TERMINAL,12309.57
HM Treasury,HM Treasury,12-Apr-2013,IT Software Services & Maintenance Non VAT Recoverable,Economics,REUTERS LIMITED,104443,THOMPSON REUTERS DATASTREAM LICENCE SUBSCRIPTION - QUARTERLY CHARGES,14540.4
HM Treasury,HM Treasury,12-Apr-2013,IT Software Services & Maintenance Non VAT Recoverable,International & EU,REUTERS LIMITED,104443,THOMPSON REUTERS DATASTREAM LICENCE SUBSCRIPTION - QUARTERLY CHARGES,14540.4
HM Treasury,DMO,12-Apr-2013,IT Software Services & Maintenance Non VAT Recoverable,Business Delivery,SOFTCAT LTD,104588,ANNUAL SOFTWARE LICENCE AND SUPPORT COSTS,31809.85
HM Treasury,DMO,12-Apr-2013,IT Software Services & Maintenance Non VAT Recoverable,Business Delivery,SOFTCAT LTD,104591,ANNUAL SOFTWARE LICENCE AND SUPPORT COSTS,39602.69
HM Treasury,HM Treasury,12-Apr-2013,AME Mint Stock Metal Costs,Hmt Suspense,ROYAL MINT,104386,CIRCULATING COIN MANUFACTURE COSTS - MARCH 2013,1068806.76
HM Treasury,HM Treasury,12-Apr-2013,DEL Mint Stock Manufacturing Costs,Hmt Suspense,ROYAL MINT,104386,CIRCULATING COIN METAL COSTS - MARCH 2013,1288330.03
HM Treasury,UKFI,15-Apr-2013,CUSTODIAN CHARGES – GOVERNMENT SHAREHOLDINGS,UKFI,CITIGROUP,104637,CUSTODIAN CHARGES,32313.55
HM Treasury,HM Treasury,17-Apr-2013,Professional Services - IT,JWS PROJECTS – OGDs Only,FUJITSU SERVICES LIMITED,104621,PROJECT MANAGEMENT FOR NEW TELEPHONE SYSTEM  - RECHARGABLE TO CABINET OFFICE,12797.58
HM Treasury,HM Treasury,17-Apr-2013,Equitable Life Enquiry VAT non - recoverable,Equitable Life,METHODS CONSULTING LTD,104655,SPECIALIST CONTRACTOR SERVICES,17589.55
HM Treasury,HM Treasury,19-Apr-2013,Archives & Storage,Knowledge & Information Management,IRON MOUNTAIN,104312,CHARGES FOR RECORDS MANAGEMENT REVIEW & CLEANSE,9386.07
HM Treasury,HM Treasury,19-Apr-2013,Archives & Storage,Knowledge & Information Management,IRON MOUNTAIN,104315,CHARGES FOR RECORDS MANAGEMENT REVIEW & CLEANSE,19202.81
HM Treasury,HM Treasury,19-Apr-2013,Archives & Storage,Knowledge & Information Management,IRON MOUNTAIN,104409,CHARGES FOR RECORDS MANAGEMENT REVIEW & CLEANSE,45382.81
HM Treasury,HM Treasury,19-Apr-2013,Programme - Consultancy - Legal,IUK,ALLEN & OVERY,104714,LEGAL SERVICES,45720.91
HM Treasury,HM Treasury,19-Apr-2013,Professional Services - IT,JWS Correspondence Project,FUJITSU SERVICES LIMITED,104694,CONTRACTOR SERVICES - CORRESPONDANCE PROJECT,54381.6
HM Treasury,HM Treasury,19-Apr-2013,Programme - Professional Services - Legal representation Services,IUK,ALLEN & OVERY,104714,LEGAL SERVICES,54865.06
HM Treasury,DMO,19-Apr-2013,DMO Market Data Services - 587067,Business Delivery,REUTERS LIMITED,104718,THOMPSON REUTERS DATASTREAM LICENCE SUBSCRIPTION - QUARTERLY CHARGES,92363.72
HM Treasury,HM Treasury,19-Apr-2013,IT Software Services & Maintenance Non VAT Recoverable,IS Retained Services,TRUSTMARQUE SOLUTIONS,104543,ANNUAL SOFTWARE LICENECE FEES,418008.36
HM Treasury,HM Treasury,22-Apr-2013,Assets Under Construction Software Licences - over £5k,JWS Sharepoint Infrastructure,FUJITSU SERVICES LIMITED,104726,IT SERVICES - RECHARGABLE TO CABINET OFFICE,35617.08
HM Treasury,HM Treasury,24-Apr-2013,Corp. Subscriptions  and Other Information Services,IS Retained Services,REUTERS LIMITED,104442,THOMPSON REUTERS DATASTREAM LICENCE SUBSCRIPTION - QUARTERLY CHARGES,12973.17
