Department Family,Entity,Date,Account code description,Expense area,Supplier,Transaction number,Amount,VAT registration number
Defra,Royal Botanic Gardens Kew,09-Jul-10,Electricity                   ,Estates Kew Section Core -----,EDF Energy Customers plc,MS0184207      ,49070.9,Not known
Defra,Royal Botanic Gardens Kew,15-Jul-10,Photo/repro/printing          ,Content & Learning Publishing Tradebooks Core -----,Beacon Press,MS0184153      ,25866,Not known
Defra,Royal Botanic Gardens Kew,20-Jul-10,Consultancy fees              ,IT Computing IT Corporate Core Back Office Systems,COMPUTACENTER (UK) LIMITED,MS0184493      ,52253.4,Not known
Defra,Royal Botanic Gardens Kew,20-Jul-10,External audit fees                    ,Finance Finance Section Core -----,GBS Re National Audit Office,MS0184508      ,26000,Not known
Defra,Royal Botanic Gardens Kew,26-Jul-10,Non-Kew Project Costs         ,Seed Conservation Collecting and Network Support Mexico Non-core Useful Plants,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,MS0185006      ,29313.5,Not known
Defra,Royal Botanic Gardens Kew,26-Jul-10,Non-Kew Project Costs         ,Seed Conservation Collecting and Network Support Mexico Core -----,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,MS0185006      ,2686.5,Not known
Defra,Royal Botanic Gardens Kew,27-Jul-10,Agency Fees – Interim Senior Managers ,Finance General Support Services Core IMPERIAL ACADEMICS,IMPERIAL COLLEGE,MS0184865      ,36416,Not known
Defra,Royal Botanic Gardens Kew,27-Jul-10,Agency Fees – Interim Senior Managers ,Finance General Support Services Core IMPERIAL ACADEMICS,IMPERIAL COLLEGE,MS0184865      ,16000,Not known
Defra,Royal Botanic Gardens Kew,27-Jul-10,Office and window cleaning,Estates Kew Section Core -----,Design Clean Limited,MS0184660      ,34427.26,Not known
,,,,,,,272033.56,
