Department,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,  Spend  
Home Office,DBS - Disclosure & Barring Service,03/08/2015,Professional & Admin Services,DBS - Disclosure & Barring Service,HOME OFFICE,9000186," 84,092.00 "
Home Office,DBS - Disclosure & Barring Service,05/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001761607," 80,194.80 "
Home Office,DBS - Disclosure & Barring Service,05/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001761607," 40,638.00 "
Home Office,DBS - Disclosure & Barring Service,05/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001761607," 293,664.00 "
Home Office,DBS - Disclosure & Barring Service,05/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001761607," 24,003.60 "
Home Office,DBS - Disclosure & Barring Service,05/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001761607," 65,960.40 "
Home Office,DBS - Disclosure & Barring Service,05/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001761607," 86,530.80 "
Home Office,DBS - Disclosure & Barring Service,05/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001761607," 35,998.80 "
Home Office,DBS - Disclosure & Barring Service,05/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001761607," 36,504.00 "
Home Office,DBS - Disclosure & Barring Service,07/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001762457," 26,893.20 "
Home Office,DBS - Disclosure & Barring Service,10/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001762848," 120,000.00 "
Home Office,DBS - Disclosure & Barring Service,10/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001762848," 173,253.60 "
Home Office,DBS - Disclosure & Barring Service,14/08/2015,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001764803," 4,776,611.70 "
Home Office,DBS - Disclosure & Barring Service,14/08/2015,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001764803," 222,296.50 "
Home Office,DBS - Disclosure & Barring Service,14/08/2015,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001764803," 353,663.93 "
Home Office,DBS - Disclosure & Barring Service,14/08/2015,Business Process Outsourcing,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001764803," 37,504.80 "
Home Office,DBS - Disclosure & Barring Service,20/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,MINISTRY OF JUSTICE,3000050445," 26,094.94 "
Home Office,DBS - Disclosure & Barring Service,24/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER,1001767570," 119,035.07 "
Home Office,DBS - Disclosure & Barring Service,24/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR CHESHIRE,1001767578," 40,795.49 "
Home Office,DBS - Disclosure & Barring Service,24/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR GWENT,1001767582," 25,639.32 "
Home Office,DBS - Disclosure & Barring Service,24/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR LANCASHIRE (THE),1001767584," 54,538.74 "
Home Office,DBS - Disclosure & Barring Service,25/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,AVON & SOMERSET POLICE & CRIME COMMISSIONER,1001767954," 44,995.12 "
Home Office,DBS - Disclosure & Barring Service,25/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,AVON & SOMERSET POLICE & CRIME COMMISSIONER,1001767954," 46,437.69 "
Home Office,DBS - Disclosure & Barring Service,25/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,CITY OF LONDON,1001767971," 28,798.97 "
Home Office,DBS - Disclosure & Barring Service,25/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,DORSET POLICE & CRIME COMMISSIONERS,1001767978," 42,900.93 "
Home Office,DBS - Disclosure & Barring Service,25/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,MAYORS OFFICE FOR POLICING AND CRIME (MOPC),1001768013," 496,956.73 "
Home Office,DBS - Disclosure & Barring Service,25/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER,1001768016," 58,704.79 "
Home Office,DBS - Disclosure & Barring Service,25/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER,1001768019," 100,081.88 "
Home Office,DBS - Disclosure & Barring Service,25/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE),1001768020," 48,295.33 "
Home Office,DBS - Disclosure & Barring Service,25/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE,1001768021," 100,204.13 "
Home Office,DBS - Disclosure & Barring Service,25/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE,1001768024," 63,359.73 "
Home Office,DBS - Disclosure & Barring Service,25/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISIONER FOR THAMES VALLEY,1001768031," 177,557.34 "
Home Office,DBS - Disclosure & Barring Service,25/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR HAMPSHIRE,1001768038," 140,417.58 "
Home Office,DBS - Disclosure & Barring Service,25/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH WALES POLICE,1001768041," 36,429.96 "
Home Office,DBS - Disclosure & Barring Service,25/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH WALES POLICE,1001768041," 37,156.20 "
Home Office,DBS - Disclosure & Barring Service,25/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SOUTH YORKSHIRE,1001768042," 72,265.70 "
Home Office,DBS - Disclosure & Barring Service,25/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,POLICE & CRIME COMMISSIONER FOR SURREY,1001768043," 42,268.52 "
Home Office,DBS - Disclosure & Barring Service,25/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,THE OFFICE OF THE POLICE & CRIME COMMISSIONER FOR NORTHUMBRIA,1001768068," 107,431.69 "
Home Office,DBS - Disclosure & Barring Service,25/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,THE POLICE & CRIME COMMISSIONER FOR NORTH YORKSHIRE,1001768069," 35,707.86 "
Home Office,DBS - Disclosure & Barring Service,25/08/2015,Criminal Record Checks,DBS - Disclosure & Barring Service,WEST MIDLANDS OFFICE FOR POLICING & CRIME,1001768080," 149,147.30 "
Home Office,DBS - Disclosure & Barring Service,27/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001769010," 57,411.60 "
Home Office,DBS - Disclosure & Barring Service,27/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001769010," 28,492.80 "
Home Office,DBS - Disclosure & Barring Service,27/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001769010," 239,644.80 "
Home Office,DBS - Disclosure & Barring Service,27/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001769010," 87,314.40 "
Home Office,DBS - Disclosure & Barring Service,27/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001769010," 87,013.20 "
Home Office,DBS - Disclosure & Barring Service,27/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001769010," 77,451.60 "
Home Office,DBS - Disclosure & Barring Service,27/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001769010," 24,932.40 "
Home Office,DBS - Disclosure & Barring Service,27/08/2015,IT & Telecoms Components,DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001769010," 25,626.00 "
Home Office,Home Office,03/08/2015,IT Application Consultancy & Development,Corporate Services Group,ROCK KITCHEN HARRIS LTD,1001760591," 34,104.00 "
Home Office,Home Office,03/08/2015,"IT, TelecommsSoftware (COTS)",Corporate Services Group,SCISYS UK LTD,1001760597," 35,704.65 "
Home Office,Home Office,03/08/2015,"IT, TelecommsHardware",Corporate Services Group,UNIFY ENTERPRISE COMMUNICATIONS LTD,1001760609," 129,600.00 "
Home Office,Home Office,03/08/2015,FM Contract Services,Corporate Services Group,VODAFONE LTD,1001760611," 188,550.00 "
Home Office,Home Office,03/08/2015,"IT, TelecommsSoftware (COTS)",Corporate Services Group,iO1 LTD,1001760565," 130,112.72 "
Home Office,Home Office,03/08/2015,Legal Services,CPG - Crime & Policing Group,ADVALUS LTD,1001760524," 34,380.00 "
Home Office,Home Office,03/08/2015,Grant,CPG - Crime & Policing Group,NEIGHBOURHOOD AND HOMEWATCH NETWORK (ENGLAND AND WALES) NETWORK (G),1001760293," 62,500.00 "
Home Office,Home Office,03/08/2015,IT & Telecoms Components,HMPO - HM Passport Office,STATIONERY OFFICE LTD (THE),1001760603," 81,045.60 "
