Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,  Amount �s ,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HEALTH RESEARCH AUTHORITY,PUBLIC,SE1 6LH,HAFS-14147,800000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NATIONAL TREATMENT AGENCY FOR SUBSTANCE MISUSE (NTA),PUBLIC,WF3 1WE,HAFS-14176,875000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NHS INSTITUTE FOR INNOVATION AND IMPROVEMENT,PUBLIC,CV4 7AL,HAFS-14181,2500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HEALTH AND SOCIAL CARE INFORMATION CENTRE,PUBLIC,WF3 1WE,HAFS-14146,4000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),PUBLIC,SE1 7NT,HAFS-14175,5000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HARTLEPOOL PCT,PUBLIC,TS7 0NJ,HAFS-14143,11420000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BASSETLAW PCT,PUBLIC,NG21 0ER,HAFS-14090,14000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH EAST COAST SHA,PUBLIC,RH6 7DE,HAFS-14215,14000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,DARLINGTON PCT,PUBLIC,DL14 6WA,HAFS-14119,14658000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BLACKPOOL PCT,PUBLIC,PR4 3AL,HAFS-14098,17141000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,REDCAR AND CLEVELAND PCT,PUBLIC,TS14 7AA,HAFS-14203,17800000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,ISLE OF WIGHT NHS PCT,PUBLIC,PO30 5TG,HAFS-14155,18500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,KINGSTON PCT,PUBLIC,KT5 9AL,HAFS-14158,18500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH LINCOLNSHIRE PCT,PUBLIC,DN20 8GS,HAFS-14187,18500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,PETERBOROUGH PCT,PUBLIC,PE1 1FA,HAFS-14199,18500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TELFORD & WREKIN PCT,PUBLIC,SY3 8XL,HAFS-14233,19028000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BATH & NORTH EAST SOMERSET PCT,PUBLIC,BA2 5RP,HAFS-14091,20000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SWINDON PCT,PUBLIC,SN10 5EQ,HAFS-14231,20000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TORBAY PCT,PUBLIC,TQ9 6JE,HAFS-14234,20000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BLACKBURN AND DARWEN TEACHING CARE TRUST PLUS,PUBLIC,BB1 2EE,HAFS-14097,20510000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,MIDDLESBOROUGH PCT,PUBLIC,TS2 1RH,HAFS-14173,20550000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,STOCKTON-ON-TEES TEACHING PCT,PUBLIC,TS17 6SF,HAFS-14225,20730000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,RICHMOND AND TWICKENHAM PCT,PUBLIC,KT5 9AL,HAFS-14204,22000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH SOMERSET PCT,PUBLIC,BS2 8EE,HAFS-14188,22500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HASTINGS & ROTHER PCT,PUBLIC,TN40 2DZ,HAFS-14144,23000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WARRINGTON PCT,PUBLIC,WF3 1WE,HAFS-14241,23700000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BURY PCT,PUBLIC,BL9 0EN,HAFS-14107,24000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LUTON TEACHING PCT,PUBLIC,LU1 2PJ,HAFS-14169,24000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CALDERDALE PCT,PUBLIC,WF3 1WE,HAFS-14108,24500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH TYNESIDE PCT,PUBLIC,NE33 3DP,HAFS-14219,24500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BARKING AND DAGENHAM PCT,PUBLIC,IG11 8EY,HAFS-14087,25000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HARROW PCT,PUBLIC,HA1 3EX,HAFS-14142,25000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),PUBLIC,NE1 6SN,HAFS-14179,25000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HEREFORDSHIRE PCT,PUBLIC,HR2 9RP,HAFS-14149,25500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HAMMERSMITH AND FULHAM PCT,PUBLIC,WF3 1WE,HAFS-14139,26000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH CENTRAL SHA,PUBLIC,WF3 1WE,HAFS-14214,26000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH STAFFORDSHIRE PCT,PUBLIC,ST4 4LX,HAFS-14189,26350000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOLIHULL PCT,PUBLIC,B91 3EF,HAFS-14211,26500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH TYNESIDE PCT,PUBLIC,NE27 0QJ,HAFS-14190,26600000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,KNOWSLEY PCT,PUBLIC,L33 7XW,HAFS-14160,26826000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,MEDWAY TEACHING PCT,PUBLIC,ME19 4AX,HAFS-14171,27000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH EAST LINCOLNSHIRE CARE TRUST PLUS,PUBLIC,DN33 2BA,HAFS-14184,27200000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH GLOUCESTERSHIRE PCT,PUBLIC,BS1 2NP,HAFS-14217,27500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,KENSINGTON AND CHELSEA PCT,PUBLIC,W10 6DZ,HAFS-14157,28000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTHAMPTON CITY PCT,PUBLIC,SO30 3JB,HAFS-14222,28000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TRAFFORD PCT,PUBLIC,M16 0PQ,HAFS-14236,28000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH EAST SHA,PUBLIC,NE15 8NY,HAFS-14185,28200000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HEYWOOD MIDDLETON & ROCHDALE PCT,PUBLIC,M24 1AY,HAFS-14151,28500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,OLDHAM PCT,PUBLIC,OL9 6EE,HAFS-14197,29000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,GATESHEAD PCT,PUBLIC,NE11 0NB,HAFS-14134,29800000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH EAST ESSEX PCT,PUBLIC,SS2 6HE,HAFS-14216,30000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,GREAT YARMOUTH AND WAVENY PCT,PUBLIC,NR31 0LT,HAFS-14136,30500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HOUNSLOW PCT,PUBLIC,UB2 4SA,HAFS-14153,30500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WALSALL TEACHING PCT,PUBLIC,WS4 2BX,HAFS-14238,30700000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,REDBRIDGE PCT,PUBLIC,WF3 1WE,HAFS-14202,30750000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,PORTSMOUTH CITY TEACHING PCT,PUBLIC,PO4 8LD,HAFS-14201,31000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,STOCKPORT PCT,PUBLIC,SK7 5BY,HAFS-14224,31000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BEXLEY CARE TRUST,PUBLIC,DA5 2BW,HAFS-14095,32000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,DUDLEY PCT,PUBLIC,DY2 8PP,HAFS-14125,32000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,PLYMOUTH TEACHING PCT,PUBLIC,PL6 5XZ,HAFS-14200,32000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TAMESIDE AND GLOSSOP PCT,PUBLIC,M34 2GP,HAFS-14232,32000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WESTERN CHESHIRE PCT,PUBLIC,CH2 1HU,HAFS-14247,32600000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,EAST MIDLANDS SHA,PUBLIC,WF3 1WE,HAFS-14128,33000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WALTHAM FOREST PCT,PUBLIC,WF3 1WE,HAFS-14239,33000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WOLVERHAMPTON CITY PCT,PUBLIC,WV3 0UD,HAFS-14251,33000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HARINGEY TEACHING PCT,PUBLIC,N15 3TH,HAFS-14141,34000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,MID ESSEX PCT,PUBLIC,CM8 2TL,HAFS-14172,34000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,MILTON KEYNES PCT,PUBLIC,MK6 5NG,HAFS-14174,34000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NEWHAM PCT,PUBLIC,E1 1RD,HAFS-14178,34000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH WEST SHA,PUBLIC,WF3 1WE,HAFS-14221,34000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BOLTON PCT,PUBLIC,B11 1PP,HAFS-14099,34500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SHROPSHIRE COUNTY PCT,PUBLIC,SY3 8XL,HAFS-14210,34959000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BRENT TEACHING PCT,PUBLIC,HA0 4UZ,HAFS-14102,35000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HILLINGDON PCT,PUBLIC,TW3 3HR,HAFS-14152,35000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,ROTHERHAM PCT,PUBLIC,S66 1YY,HAFS-14205,35000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CAMDEN PCT,PUBLIC,NW1 0PE,HAFS-14110,36000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,EAST SUSSEX DOWNS & WEALD PCT,PUBLIC,BN21 3UN,HAFS-14131,36000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH EAST ESSEX PCT,PUBLIC,CO15 4AB,HAFS-14183,36000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SALFORD PCT,PUBLIC,M6 5FW,HAFS-14206,36000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,EAST RIDING OF YORKSHIRE PCT,PUBLIC,HU10 6DT,HAFS-14130,36400000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NEWCASTLE PCT,PUBLIC,NE27 0QJ,HAFS-14177,36400000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BROMLEY PCT,PUBLIC,WF3 1WE,HAFS-14105,36500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,DERBY CITY PCT,PUBLIC,WF3 1WE,HAFS-14120,36500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,ENFIELD PCT,PUBLIC,EN1 1NJ,HAFS-14133,37000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SEFTON PCT,PUBLIC,L13 1HN,HAFS-14208,37000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BRIGHTON & HOVE CITY TEACHING PCT,PUBLIC,WF3 1WE,HAFS-14103,38000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,DONCASTER PCT,PUBLIC,DN4 5DJ,HAFS-14123,39000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LEWISHAM PCT,PUBLIC,SE12 8RN,HAFS-14165,39000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,"ASHTON, LEIGH & WIGAN PCT",PUBLIC,WN1 1AH,HAFS-14086,40000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BARNSLEY PCT,PUBLIC,S70 3RD,HAFS-14089,40000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LEICESTER CITY PCT,PUBLIC,LE1 6NB,HAFS-14163,40000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH LANCASHIRE PCT,PUBLIC,PR4 3AL,HAFS-14186,40453000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BOURNEMOUTH & POOLE PCT,PUBLIC,BH12 5AG,HAFS-14100,41000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HAVERING PCT COMMISSIONING,PUBLIC,RM12 6RS,HAFS-14145,41000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,GREENWICH TEACHING PCT,PUBLIC,SE10 8EX,HAFS-14137,42000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,ISLINGTON PCT,PUBLIC,NW1 2LT,HAFS-14156,42000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WESTMINSTER PCT,PUBLIC,BS1 2NP,HAFS-14248,42000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WEST ESSEX PCT,PUBLIC,CM16 6TN,HAFS-14243,42500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BERKSHIRE EAST PCT,PUBLIC,RG30 2BA,HAFS-14093,42601000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HULL PCT,PUBLIC,HU1 3HA,HAFS-14154,42700000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BARNET PCT,PUBLIC,NW9 6QQ,HAFS-14088,43000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CITY AND HACKNEY TEACHING PCT,PUBLIC,E1 1RD,HAFS-14113,43000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTHUMBERLAND CARE TRUST,PUBLIC,NE27 0QJ,HAFS-14194,43400000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SUNDERLAND TEACHING PCT,PUBLIC,NE37 1PR,HAFS-14228,43700000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,STOKE ON TRENT PCT,PUBLIC,ST4 4LX,HAFS-14226,43803000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,EALING PCT,PUBLIC,UB2 4SA,HAFS-14126,44000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH WEST ESSEX PCT,PUBLIC,SS14 3HG,HAFS-14220,44000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HEART OF BIRMINGHAM TEACHING PCT,PUBLIC,B7 4WH,HAFS-14148,45000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NOTTINGHAM CITY PCT,PUBLIC,WF3 1WE,HAFS-14195,45000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTHWARK PCT,PUBLIC,SE1 7NT,HAFS-14223,45000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SUTTON AND MERTON PCT,PUBLIC,WF3 1WE,HAFS-14230,45000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WANDSWORTH TEACHING PCT,PUBLIC,WF3 1WE,HAFS-14240,45000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WIRRAL PCT,PUBLIC,CH42 0LQ,HAFS-14250,45000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,EAST LANCASHIRE PCT,PUBLIC,BB9 5SZ,HAFS-14127,45250000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SANDWELL PCT,PUBLIC,B70 9LD,HAFS-14207,45600000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BEDFORDSHIRE PCT,PUBLIC,MK40 2AW,HAFS-14092,46000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,NORTH WEST SHA,PUBLIC,M1 3BN,HAFS-14191,46000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BERKSHIRE WEST PCT,PUBLIC,RG30 2BA,HAFS-14094,47400000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,YORKSHIRE & THE HUMBER SHA,PUBLIC,LS1 4PL,HAFS-14253,47500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,DORSET PCT,PUBLIC,DT2 9TB,HAFS-14124,48000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WAKEFIELD DISTRICT PCT,PUBLIC,WF3 1WE,HAFS-14237,48000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CROYDON PCT,PUBLIC,CR0 6SR,HAFS-14117,48500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,SOUTH BIRMINGHAM PCT,PUBLIC,B7 4WS,HAFS-14213,49000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,TOWER HAMLETS PCT,PUBLIC,E1 1RD,HAFS-14235,49000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,WILTSHIRE PCT,PUBLIC,SN10 5EQ,HAFS-14249,49000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BUCKINGHAMSHIRE PCT,PUBLIC,HP19 8ET,HAFS-14106,50000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,EAST OF ENGLAND SHA,PUBLIC,CB1 5XB,HAFS-14129,50000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,KIRKLEES PCT,PUBLIC,WF3 1WE,HAFS-14159,50000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LAMBETH PCT,PUBLIC,WF3 1WE,HAFS-14161,51000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CENTRAL LANCASHIRE PCT,PUBLIC,PR26 6TR,HAFS-14112,53000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,CENTRAL & EASTERN CHESHIRE PCT,PUBLIC,CW5 5QU,HAFS-14111,55500000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BIRMINGHAM EAST AND NORTH PCT,PUBLIC,B7 4WE,HAFS-14096,56000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,HALTON & ST HELENS PCT,PUBLIC,WA10 2AP,HAFS-14138,56000000.00 ,,,Other,
Department of Health,Department of Health,01/10/2012,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,BRISTOL PCT,PUBLIC,BS2 8EE,HAFS-14104,60000000.00 ,,,Other,
