Organisation,,Partnerships for Schools,,,,,
Submitted By,,Management Accountant,,,,,
Spend Tolerance,,"£25,000",,,,,
Month,,01.05.2011 to 31.05.2011,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT
DfE,PfS,10/05/2011,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN EDUCATION NO 2 ACCOUNT,334088,215517.77
DfE,PfS,10/05/2011,Capital Grant,Schools Capital and Revenue Grants,LDBS - SCHOOLS MAINTENANCE FUND,335302,198667.51
DfE,PfS,10/05/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE DIOCESAN SCHOOLS GRANT,335314,586253.53
DfE,PfS,10/05/2011,Capital Grant,Schools Capital and Revenue Grants,NOTTINGHAM EDUCATION SERVICE SCHOOL CAPITAL ACCOUNT,335316,198148.72
DfE,PfS,10/05/2011,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,335320,244851.56
DfE,PfS,10/05/2011,Capital Grant,Schools Capital and Revenue Grants,ELY DIOCESAN SCHOOL SERVICES LTD DEVOLVED FORMULA CAPITAL ACCOUNT,335340,30181.38
DfE,PfS,10/05/2011,Capital Grant,Schools Capital and Revenue Grants,ELY DIOCESAN SCHOOL SERVICES LTD DEVOLVED FORMULA CAPITAL ACCOUNT,336552,33510.73
DfE,PfS,10/05/2011,Capital Grant,Schools Capital and Revenue Grants,CHELMSFORD DIOCESAN BOARD OF FINANCE,336554,94186.67
DfE,PfS,10/05/2011,Capital Grant,Schools Capital and Revenue Grants,TRURO DIOCESAN BOARD OF FINANCE - DEVOLVED FORMULA CAPITAL CAPITAL ACCOUNT,336590,80259.77
DfE,PfS,10/05/2011,Capital Grant,Schools Capital and Revenue Grants,DURHAM DIOCESAN DEVOLVED FORMULA CAPITAL ACCOUNT,337160,86667.76
DfE,PfS,10/05/2011,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,338382,503472.68
DfE,PfS,10/05/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH ROMAN CATHOLIC DIOCESE TRUSTEES REGISTERED SCHOOLS CONDITION SCHEME NO 2 ACCOUNT,338392,86996.81
DfE,PfS,10/05/2011,Capital Grant,Schools Capital and Revenue Grants,COVENTRY DIOCESAN BOARD OF EDUCATION,338394,58017.01
DfE,PfS,10/05/2011,Capital Grant,Schools Capital and Revenue Grants,LANCASTER ROMAN CATHOLIC DIOCESE TRUSTEES REGISTERED FURNESS CONSORTIUM SBC,338896,26270.42
DfE,PfS,10/05/2011,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH DIOCESAN CHURCH SCHOOL GOVERNORS FUND,338908,54415.43
DfE,PfS,10/05/2011,Capital Grant,Schools Capital and Revenue Grants,EDUCATIONAL DEVELOPMENT LTD - SCHOOLS ACCOUNT,339264,132377.29
DfE,PfS,10/05/2011,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY COMBINED SCHOOLS DEVOLVED FORMULA CAPITAL ACCOUNT,339290,137864
DfE,PfS,10/05/2011,Capital Grant,Schools Capital and Revenue Grants,BATH AND WELLS DIOCESAN BOARD OF FINANCE VA SCHOOLS,339326,120673.62
DfE,PfS,11/05/2011,Office Lease Costs,Corporate Overheads,DEPARTMENT OF HEALTH,339499,160093.75
DfE,PfS,11/05/2011,Acquisition of Property (Free/leasehold),Free School Property Advice,DTZ,339505,1485
DfE,PfS,11/05/2011,"Agency fees(Site Search,Planning advice Acq Costs)",Free School Property Advice,DTZ,339505,7977
DfE,PfS,11/05/2011,Building_Condition Surveys,Free School Property Advice,DTZ,339505,5198.4
DfE,PfS,11/05/2011,Planning Advice,Free School Property Advice,DTZ,339505,3158.7
DfE,PfS,11/05/2011,Property Advice - Capital,Free School Property Advice,DTZ,339505,1485
DfE,PfS,11/05/2011,Red Book Valuations,Free School Property Advice,DTZ,339505,5400
DfE,PfS,11/05/2011,Site Search,Free School Property Advice,DTZ,339505,3960
DfE,PfS,11/05/2011,Technical Costs - Capital,Free School Technical Advice,TURNER & TOWNSEND,339517,51345.23
DfE,PfS,11/05/2011,Technical Services,Free School Technical Advice,TURNER & TOWNSEND,339517,23794.04
DfE,PfS,13/05/2011,Benchmarking System Maint,Information Systems,PA CONSULTING GROUP,352944,28410
DfE,PfS,13/05/2011,Cost Consultancy,Free School Technical Advice,TURNER & TOWNSEND,352954,2184
DfE,PfS,13/05/2011,Technical Costs - Capital,Free School Technical Advice,TURNER & TOWNSEND,352954,69688.13
DfE,PfS,17/05/2011,Capital Grant,Schools Capital and Revenue Grants,SHEFFIELD DIOCESAN BOARD OF FINANCE SCHOOLS FUND ACCOUNT,353324,26059.5
DfE,PfS,17/05/2011,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,353328,202445.03
DfE,PfS,17/05/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE OF ARUNDEL AND BRIGHTON DIOCESAN SCHOOLS,353330,97106.16
DfE,PfS,17/05/2011,Capital Grant,Schools Capital and Revenue Grants,ROCHESTER DIOCESAN BOARD OF EDUCATION,353332,29647.57
DfE,PfS,17/05/2011,Capital Grant,Schools Capital and Revenue Grants,LICHFIELD DIOCESAN EDUCATION COUNCIL BARCHESTER,353336,43335
DfE,PfS,17/05/2011,Capital Grant,Schools Capital and Revenue Grants,YORK DIOCESAN BOARD OF FINANCE,353338,133246.8
DfE,PfS,17/05/2011,Capital Grant,Schools Capital and Revenue Grants,ST ALBANS ROMAN CATHOLIC PRIMARY SCHOOL GOVERNORS ACCOUNT,353346,34019.52
DfE,PfS,17/05/2011,Capital Grant,Schools Capital and Revenue Grants,ST PATRICKS ROMAN CATHOLIC PRIMARY SCHOOL,353348,28958.35
DfE,PfS,17/05/2011,Capital Grant,Schools Capital and Revenue Grants,SLEAFORD ROMAN CATHOLIC SCHOOL VOLUNTARY FUND,353352,27000
DfE,PfS,17/05/2011,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 7.,353356,41345.96
DfE,PfS,17/05/2011,Capital Grant,Schools Capital and Revenue Grants,CHELMSFORD DIOCESAN BOARD OF FINANCE,353360,103366.92
DfE,PfS,17/05/2011,Capital Grant,Schools Capital and Revenue Grants,LYNN GROVE CAPITAL ACCOUNT,353364,44255.27
DfE,PfS,17/05/2011,Capital Grant,Schools Capital and Revenue Grants,ST MARYS SCHOOL BUILDING FUND,353368,40500
DfE,PfS,17/05/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,353370,170811.63
DfE,PfS,17/05/2011,Capital Grant,Schools Capital and Revenue Grants,MEXBOROUGH ST JOHN THE BAPTIST SD,353374,81827.89
DfE,PfS,17/05/2011,Capital Grant,Schools Capital and Revenue Grants,PARSON CROSS CHURCH OF ENGLAND PRIMARY SCHOOL SD,353376,43047.58
DfE,PfS,18/05/2011,Cost Consultancy,Director Academies,TURNER & TOWNSEND,353530,30764.58
DfE,PfS,18/05/2011,Technical Costs - Capital,Free School Technical Advice,TURNER & TOWNSEND,353530,80957.34
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,BARKING AND DAGENHAM LONDON BOROUGH COUNCIL,354886,4147632.02
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,BARKING AND DAGENHAM LONDON BOROUGH COUNCIL,354886,826015
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,BARNET,354888,1763651
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,BEXLEY LONDON BOROUGH COUNCIL,354890,9640449.4
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,BEXLEY LONDON BOROUGH COUNCIL,354890,763947
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,BRENT LONDON BOROUGH COUNCIL,354892,1532955
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,BRENT LONDON BOROUGH COUNCIL,354892,220958
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,BROMLEY LONDON BOROUGH COUNCIL,354894,1391730
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,CROYDON LONDON BOROUGH COUNCIL,354896,7274721.29
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,CROYDON LONDON BOROUGH COUNCIL,354896,449642
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,EALING LONDON BOROUGH COUNCIL,354898,8468889.35
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,EALING LONDON BOROUGH COUNCIL,354898,2007041
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,ENFIELD LONDON BOROUGH COUNCIL,354900,1422188
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,ENFIELD LONDON BOROUGH COUNCIL,354900,1222466
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,HARINGEY,354902,1475829
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,HARINGEY,354902,1417224
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,HARROW LONDON BOROUGH COUNCIL,354904,973858
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,HARROW LONDON BOROUGH COUNCIL,354904,385829
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,HAVERING LONDON BOROUGH COUNCIL,354906,4860261.68
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,HILLINGDON LONDON BOROUGH COUNCIL,354908,2009889
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,HILLINGDON LONDON BOROUGH COUNCIL,354908,444603
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,HOUNSLOW LONDON BOROUGH COUNCIL,354910,1597164
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,KINGSTON UPON THAMES ROYAL BOROUGH,354912,676352
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,MERTON LONDON BOROUGH COUNCIL,354914,1101023
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,MERTON LONDON BOROUGH COUNCIL,354914,1199234
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,NEWHAM LONDON BOROUGH COUNCIL,354916,4105947.1
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,NEWHAM LONDON BOROUGH COUNCIL,354916,3359809
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,REDBRIDGE LONDON BOROUGH COUNCIL,354918,5991090.1
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,REDBRIDGE LONDON BOROUGH COUNCIL,354918,419688
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,RICHMOND UPON THAMES LONDON BOROUGH COUNCIL,354920,3543004.49
DfE,PfS,20/05/2011,Revenue Grant,Schools Capital and Revenue Grants,RICHMOND UPON THAMES LONDON BOROUGH COUNCIL,354920,335416
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,SUTTON LONDON BOROUGH COUNCIL,354922,1035075
DfE,PfS,20/05/2011,Capital Grant,Schools Capital and Revenue Grants,WALTHAM FOREST LONDON BOROUGH COUNCIL,354924,1474185
