Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount £,Description,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,07/12/2010,Grant Fund Managment,ERG - OFFICE FOR CIVIL SOCIETY,BIG LOTTERY FUND,3000013531,"107,644.00",Management fee for the delivery of the Community Assets Fund,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,07/12/2010,GSI COS,Network Services,CESG,PINDOH 31518,"37,959.00",Security costs for government secure intranet,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,07/12/2010,Payroll Solutions CO,Payroll Solutions,HM TREASURY,PINVP2P 31,"57,000.00",Re-charge of Logica Government payroll service audit costs,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/12/2010,Accommodation and Utilities,ESTATE MANAGEMENT,LOGICA UK LTD,3000013559,"71,089.34",Facilities Management services,,,,,,,,,,,,,,,,,
Cabinet Office,Commission for the Compact,08/12/2010,Rent,Support,Department for Communities and Local Government,002-02-0007051,"57,192.00",Rent for office space - July 2010 - March 2011,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/12/2010,Accommodation and Utilities,EMERGENCY PLANNING COLLEGE,SERCO LTD,3000013593,"33,482.25",Transfer of course fees paid by client organisations to the Cabinet Office after Serco took over responsibility for delivery of courses in April 2010,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/12/2010,"Travel, Subsistence and Hospitality",ESTATE MANAGEMENT,ECOVERT FM LTD,3000013581,"29,375.00",Facilities Management services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/12/2010,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000013581,"57,548.61",Facilities Management services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/12/2010,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000013581,"80,935.45",Facilities Management services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/12/2010,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000013581,"220,394.37",70 Whitehall refurbishment project Phase 3,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/12/2010,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000013581,"920,041.64",Facilities Management services,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/12/2010,Consultancy,ERG - GOVERNMENT CIO,CESG,3000013578,"27,878.98",Monthly charges for specialist advice on information assurance aspects of the Public Sector Network programme to improve the efficiency of voice and data networks for the public sector,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,09/12/2010,Legal Fees,PSN Services,FIELD FISHER WATERHOUSE,PINDOH 31700,"53,402.18",Legal negotiations for public sector network procurement,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/12/2010,Land and Buildings,ESTATE MANAGEMENT,AIRSCAPE LTD,2000188,"284,786.22",Quarterly rent charges for 67 Tufton Street,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/12/2010,Resource Grants to NDPB's,HONOURS AND APPOINTMENTS,TREASURER TO THE QUEEN,1000326,"53,748.00",Central Chancery charges for administration of Honours,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/12/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,COMMUNITY MATTERS,3000013609,"87,201.00",Final instalment 2010-11 Strategic grant,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/12/2010,Resource Grants to Central Government Bodies,ERG - OFFICE FOR CIVIL SOCIETY,ECONOMIC & SOCIAL RESEARCH COUNCIL,3000013610,"587,500.00",Grants for the Third Sector Research Centre and the Centre for Charitable Giving and Philanthropy,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/12/2010,IT Costs,ERG - DIRECTGOV ,STERIA LTD,2018509177,"134,400.00",Management of Directgov website providing on-line services to the public,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/12/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,THIRD SECTOR EUROPEAN NETWORK,3000013633,"28,105.00",Final instalment 2010-11 Strategic grant,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/12/2010,Capital grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,BIG LOTTERY FUND,3000013625,"2,070,289.00",Capital grants for the Community Assets Fund - providing investment to refurbish Local Authority assets before transfer into the community,,,,,,,,,,,,,,,,,
Cabinet Office,Buying Solutions,13/12/2010,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 18918,"67,014.55",Government Managed Telecoms Contract,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2010,Land and Buildings,ESTATE MANAGEMENT,KING STURGE LLP ,3000013652,"297,275.00",Quarterly rent charges for 35 Great Smith Street,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2010,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000013653,"55,343.35",High Integrity Telecomms System project costs,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2010,Accommodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000013653,"162,347.82",High Integrity Telecomms System project costs,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,URBAN FORUM,3000013659,"32,044.00",Final instalment 2010-11 Strategic grant,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2010,Capital grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,BRIDGES VENTURES LTD,3000013646,"48,202.37",Investment in the risk capital fund for social enterprise,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/12/2010,Accommodation and Utilities,PRIME MINISTER'S OFFICE,ECOVERT FM LTD,3000013649,"37,808.14",Facilities Management services,,,,,,,,,,,,,,,,,
