Posted Date,Internal Voucher Number,Invoice Line Amount Net GBP,Supplier Name,Account Code
19/05/2016,6684509,13150000,BRITISH COUNCIL,Programme Spend (Oracle Projects Control Account)
10/05/2016,6587456,6050085.16,HMRC HM REVENUE AND CUSTOMS,Multiple Accounts
23/05/2016,6717450,4859397.11,MAYDAY RESCUE,Programme Spend (Oracle Projects Control Account)
09/05/2016,6570470,4692355.98,GOVERNMENT OF TANZANIA,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
27/05/2016,6760443,4590097.02,THE SECRETARY GENERAL OF THE OSCE,Programme Spend (Oracle Projects Control Account)
10/05/2016,6588426,4587657.11,CABINET OFFICE,Multiple Accounts
27/05/2016,6760459,3208179.76,UNOPS,Programme Spend (Oracle Projects Control Account)
04/05/2016,6534441,2400000,THE ASSOCIATION OF COMMONWEALTH UNIVERSITIES,Programme Spend (Oracle Projects Control Account)
09/05/2016,6572443,2350000,ISS FACILITY SERVICES LTD FCO OP - POE,FMCU POE Trust Account Debtor
13/05/2016,6630427,1893630,RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account)
01/05/2016,6543911,1698200.47,THE ROYAL BANK OF SCOTLAND,Corporate Credit Card Clearing Account
18/05/2016,6675628,1692881.69,G4S RISK MANAGEMENT LTD,UK Guarding Contracts Overseas
25/05/2016,6737492,1618420.6,THE ROYAL BANK OF SCOTLAND,Multiple Accounts
10/05/2016,6583636,1430533.3,EUROPEAN BANK FOR CONSTRUCTION + DEVELOPMENT,Protocol - General VAT Refunds to Other Organisations
13/05/2016,6635453,1416327,EUROPEAN BANK FOR CONSTRUCTION + DEVELOPMENT,Protocol - General VAT Refunds to Other Organisations
05/05/2016,6545544,1373449.86,RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account)
01/05/2016,6615535,1291099.94,THE ROYAL BANK OF SCOTLAND,Travel Package Advance Overseas Posting (Credit Card Payments Only)
13/05/2016,6635450,1076370.97,EUROPEAN MEDICINES AGENCY,Protocol - General VAT Refunds to Other Organisations
19/05/2016,6688433,975734.48,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
04/05/2016,6533516,962627.37,GARDA WORLD LTD,UK Mobile Guarding Contract overseas
16/05/2016,6646483,809663.93,INCOSTRAT,Programme Spend (Oracle Projects Control Account)
26/05/2016,6748602,721416.99,COMPUTACENTER UK LTD,IT/IS Consultancy
05/05/2016,6546594,675327,DANISH DEMINING GROUP,Programme Spend (Oracle Projects Control Account)
19/05/2016,6682432,596199.17,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
09/05/2016,6570437,590000,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
10/05/2016,6583546,569106.39,EUROPEAN CENTRE FOR MEDIUM,Protocol - General VAT Refunds to Other Organisations
17/05/2016,6661439,564919.38,SOLIDERE,Multiple Accounts
11/05/2016,6610444,542102.99,THALES UK LIMITED,IT/IS Consultancy
06/05/2016,6554910,501117.13,DEPARTMENT FOR TRANSPORT,Programme Spend (Oracle Projects Control Account)
19/05/2016,6685497,500000,NERC NATURAL ENVIRONMENT RESEARCH COUNCIL,Programme Spend (Oracle Projects Control Account)
25/05/2016,6731470,484656.12,INTERSERVE FM LTD,Multiple Accounts
04/05/2016,6533535,482319.2,INTERSERVE FM LTD,Multiple Accounts
20/05/2016,6697456,452032,BOUYGUES CONSTRUCTION NIGERIA LIMITED,Assets Under Construction (Oracle PA Control Account)
10/05/2016,6582796,450973.49,EUROPEAN MEDICINES AGENCY,Protocol - General VAT Refunds to Other Organisations
23/05/2016,6711425,450277.5,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Multiple Accounts
03/05/2016,6526455,422368.07,BBC MEDIA ACTION,Programme Spend (Oracle Projects Control Account)
26/05/2016,6748577,408235.02,THE ROYAL BANK OF SCOTLAND,UK - Air Travel
12/05/2016,6618437,394000,MACE LIMITED,Assets Under Construction (Oracle PA Control Account)
09/05/2016,6565627,382893,M INTEGRATED SOLUTIONS,Inward visits to the UK and UK Conferences
09/05/2016,6574786,377160,DEENSIDE LTD,Programme Spend (Oracle Projects Control Account)
05/05/2016,6545541,367866,RISK ADVISORY GROUP PLC,Programme Spend (Oracle Projects Control Account)
20/05/2016,6696812,351700,FCO SERVICES,Security: Works Non-Residential
26/05/2016,6748474,330875,BREAKTHROUGH MEDIA NETWORK LTD,Programme Spend (Oracle Projects Control Account)
18/05/2016,6675588,318734,NI CO OPERATION OVERSEAS NI CO LTD,Programme Spend (Oracle Projects Control Account)
20/05/2016,6696623,315000,UNDP CONTRIBUTIONS,Programme Spend (Oracle Projects Control Account)
10/05/2016,6585642,312056.74,DEFENCE BUSINESS SERVICES FINANCE,Receipts On Behalf Of Other Organisations
09/05/2016,6568430,304120.75,COMMISSION FOR JUSTICE AND ACCOUNTABILITY,Programme Spend (Oracle Projects Control Account)
26/05/2016,6749425,300903,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
09/05/2016,6570434,296000,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
23/05/2016,6709426,293070.15,GOVERNMENT LEGAL DEPARTMENT,Legal Consultancy
16/05/2016,6647452,289862.09,UNOPS,Programme Spend (Oracle Projects Control Account)
20/05/2016,6696810,279720,FCO SERVICES,Security: Works Non-Residential
11/05/2016,6608691,275438,BREAKTHROUGH MEDIA NETWORK LTD,Programme Spend (Oracle Projects Control Account)
19/05/2016,6685445,271641.46,VODAFONE LTD,Multiple Accounts
04/05/2016,6533461,265750,THE ASSOCIATION OF COMMONWEALTH UNIVERSITIES,Programme Spend (Oracle Projects Control Account)
18/05/2016,6678480,264356.42,GOVERNMENT LEGAL DEPARTMENT,Legal Consultancy
09/05/2016,6576427,263485,DAI EUROPE LIMITED,Programme Spend (Oracle Projects Control Account)
25/05/2016,6733440,262077.06,DEFENCE BUSINESS SERVICES FINANCE,Mod Guarding Services Residential
04/05/2016,6532431,250000,UNICEF,Programme Spend (Oracle Projects Control Account)
03/05/2016,6520440,249077.12,MORSON HUMAN RESOURCES LTD,Residential Property Services
19/05/2016,6693431,245976.64,INTERNATIONAL ALERT,Programme Spend (Oracle Projects Control Account)
18/05/2016,6678579,244778,MICROSOFT LIMITED,IT/IS Consultancy
18/05/2016,6675555,232977.26,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
19/05/2016,6684500,232888.69,CPS CROWN PROSECUTION SERVICE HQ,Receipts On Behalf Of Other Organisations
25/05/2016,6740426,232441.51,PLAZA TOWER LLC,Multiple Accounts
03/05/2016,6527576,232330.34,DEMOCRACY REPORTING INTERNATIONAL GMBH,Programme Spend (Oracle Projects Control Account)
04/05/2016,6530513,229590,DANCHURCHAID,Programme Spend (Oracle Projects Control Account)
18/05/2016,6675518,227757,GLOBAL RADIODATA COMMUNICATIONS LTD,Programme Spend (Oracle Projects Control Account)
27/05/2016,6757733,219367.91,STABILISATION NETWORK,Programme Spend (Oracle Projects Control Account)
26/05/2016,6751467,218513.41,845 THIRD LP,Multiple Accounts
13/05/2016,6627044,218349.06,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
25/05/2016,6733512,218000.62,SECURITY SERVICES GROUP,Site Maintenance
03/05/2016,6518427,217628.27,CATHOLIC RELIEF SERVICES,Programme Spend (Oracle Projects Control Account)
18/05/2016,6675500,216441.25,EUROPEAN MOLECULAR BIOLOGY LABORATORY,Protocol - General VAT Refunds to Other Organisations
10/05/2016,6584428,215957,AEGIS DEFENCE SERVICES LTD,Multiple Accounts
06/05/2016,6554456,211992.1,AON KENYA INSU BROKE LTD HEALTH DIV,Multiple Accounts
23/05/2016,6705529,210641.52,INTER MEDIATE,Programme Spend (Oracle Projects Control Account)
18/05/2016,6675514,206423.41,EUROPEAN CENTRE FOR MEDIUM,Protocol - General VAT Refunds to Other Organisations
01/05/2016,6454439,200000,UNITED NATIONS,Programme Spend (Oracle Projects Control Account)
27/05/2016,6757662,192569.83,SERVEST MULTI SERVICE GROUP,Manned Guarding Services
27/05/2016,6757665,192569.83,SERVEST MULTI SERVICE GROUP,Manned Guarding Services
27/05/2016,6757692,192569.83,SERVEST MULTI SERVICE GROUP,Manned Guarding Services
20/05/2016,6696813,191700,FCO SERVICES,Security: Works Non-Residential
12/05/2016,6619662,190759.26,URSSAF,Multiple Accounts
09/05/2016,6570491,187180.95,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
19/05/2016,6688437,187095.92,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
10/05/2016,6582857,186972.01,EUROPEAN MEDICINES AGENCY,Protocol - General VAT Refunds to Other Organisations
24/05/2016,6721804,186839.56,COMPUTACENTER UK LTD,IT/IS Consultancy
03/05/2016,6519434,184890,CONTROL RISKS GROUP,UK Mobile Guarding Contract overseas
24/05/2016,6728431,184295,OECD,Programme Spend (Oracle Projects Control Account)
03/05/2016,6527613,183160.24,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
04/05/2016,6537443,181227.91,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
10/05/2016,6583578,180669.15,EUROPEAN CENTRE FOR MEDIUM,Protocol - General VAT Refunds to Other Organisations
11/05/2016,6608633,180387.99,CAPGEMINI UK PLC,IT/IS Consultancy
16/05/2016,6644531,170065.6,SECUREX AGENCIES LTD,Staff and Other Advances AP Control (Oracle Ap Control Account)
23/05/2016,6716433,167921.15,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
03/05/2016,6527605,167875.13,WILLIS OF MARYLAND INC,Multiple Accounts
25/05/2016,6738431,166095.04,NI CO OPERATION OVERSEAS NI CO LTD,Programme Spend (Oracle Projects Control Account)
27/05/2016,6760467,165255.93,ARK GROUP DMCC,Programme Spend (Oracle Projects Control Account)
25/05/2016,6737447,162939.5,DTZ CONSULTING AND RESEARCH,Proceeds from Assets held for sale
