Posted date,Internal voucher No., Invoice Line amount Net GBP ,Supplier Name,Account Code Description
01/08/2016,4545630,-35579.17,TRANSFORM ENGINE PARTNER UK LLP,Assets Under Construction (Oracle PA Control Account)
01/08/2016,7056606,505799.92,EUROPEAN UNION SATELLITE CENTRE,Programme Spend (Oracle Projects Control Account)
01/08/2016,7171434,-32602.48,CAISSE NATIONALE DE SECU SOCIA,Multiple Accounts
01/08/2016,7171481,88125.34,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
01/08/2016,7241427,25385.72,AWE PLC,Programme Spend (Oracle Projects Control Account)
01/08/2016,7255430,-33911.27,ONE SANSOME PROPERTY LLC,Multiple Accounts
01/08/2016,7262435,237312.54,MINISTRY OF FINANCE,Multiple Accounts
01/08/2016,7265571,-207462.31,KJAER AND KJAER AS,Assets Under Construction (Oracle PA Control Account)
01/08/2016,7265577,-25672.31,KJAER AND KJAER AS,Assets Under Construction (Oracle PA Control Account)
01/08/2016,7273488,43528.95,NAJMI SONS AND BROTHERS LTD,Fuel Oil Residential
01/08/2016,7273516,39177.84,NEW ERA OIL AND GAS,Fuel Oil Residential
01/08/2016,7273607,209701.4,THE ROYAL BANK OF SCOTLAND,Multiple Accounts
01/08/2016,7273612,28741.08,AETNA,Multiple Accounts
01/08/2016,7273628,90970.2,VOYA FINANCIAL,Multiple Accounts
01/08/2016,7273643,163225,JAGUAR LAND ROVER LIMITED,Assets Under Construction (Oracle PA Control Account)
01/08/2016,7273647,54800,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,Programme Spend (Oracle Projects Control Account)
01/08/2016,7273687,91541.18,THE SHAIKH GROUP,Programme Spend (Oracle Projects Control Account)
01/08/2016,7273724,31140.43,MARSH UK LTD,Programme Spend (Oracle Projects Control Account)
01/08/2016,7273734,101890.76,TURNER AND TOWNSEND PROPERTY SERVICES,Assets Under Construction (Oracle PA Control Account)
01/08/2016,7273797,237000,STOOF INTERNATIONAL VERTRIEBSGESELLSCHAFT MBH,Assets Under Construction (Oracle PA Control Account)
01/08/2016,7273819,259470,STOOF INTERNATIONAL VERTRIEBSGESELLSCHAFT MBH,Assets Under Construction (Oracle PA Control Account)
01/08/2016,7273872,167247.43,COMPUTACENTER UK LTD,IT/IS Consultancy
01/08/2016,7273889,27528,IOM INTERNATIONAL ORG FOR MIGRATION,Programme Spend (Oracle Projects Control Account)
01/08/2016,7275425,27270.12,THE ROYAL BANK OF SCOTLAND,Recharge Suspense Account (Oracle PA Control Account)
02/08/2016,7286426,41068.21,NNLE THE CENTRE FOR CULTURAL RELATIONS CAUCASIAN HOUSE,Programme Spend (Oracle Projects Control Account)
02/08/2016,7286427,35125.05,NNLE THE CENTRE FOR CULTURAL RELATIONS CAUCASIAN HOUSE,Programme Spend (Oracle Projects Control Account)
02/08/2016,7287455,30703.29,KS TRAVEL,Recharge Suspense Account (Oracle PA Control Account)
02/08/2016,7288428,44345.09,IDEV INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
02/08/2016,7288463,-44529.32,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
02/08/2016,7288615,49443.86,CROWN AGENTS NIGERIA LTD,Programme Spend (Oracle Projects Control Account)
02/08/2016,7288651,83140,MINIMAL RISK CONSULTANCY LTD,UK Guarding Contracts Overseas
02/08/2016,7288654,46305,G4S SECURITY SERVICES KENYA LTD,UK Guarding Contracts Overseas
02/08/2016,7288660,46305,G4S SECURITY SERVICES KENYA LTD,UK Guarding Contracts Overseas
02/08/2016,7288696,294083.33,THE ASSOCIATION OF COMMONWEALTH UNIVERSITIES,Programme Spend (Oracle Projects Control Account)
02/08/2016,7288705,44814,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Information Systems Maintenance
02/08/2016,7288718,32916.79,Q PARK LIMITED,Multiple Accounts
02/08/2016,7288722,2200000,THE ASSOCIATION OF COMMONWEALTH UNIVERSITIES,Programme Spend (Oracle Projects Control Account)
02/08/2016,7288727,37232.55,TT INVESTMENT LTD,Rental Payments - residential
02/08/2016,7288731,26302.5,MAZEPOINT LTD,Information Systems Maintenance
02/08/2016,7288824,33417.74,ONE SANSOME PROPERTY LLC,Multiple Accounts
02/08/2016,7289467,532755.18,ARTEOS GMBH,Multiple Accounts
03/08/2016,7290428,93528,THE HALO TRUST,Programme Spend (Oracle Projects Control Account)
03/08/2016,7290434,33608.97,SISTERS FOR CHANGE,Programme Spend (Oracle Projects Control Account)
03/08/2016,7294425,50794.42,KINGDOM CITY,Multiple Accounts
03/08/2016,7294451,27785.73,MSECURE LIMITED,Assets Under Construction (Oracle PA Control Account)
03/08/2016,7294455,160997.72,UNIVERSITY OF OXFORD,Programme Spend (Oracle Projects Control Account)
03/08/2016,7295425,29801.5,INFORMED SOLUTIONS LIMITED,Assets Under Construction (Oracle PA Control Account)
03/08/2016,7295455,99995,BBC MEDIA ACTION,Programme Spend (Oracle Projects Control Account)
03/08/2016,7295465,992558.52,GARDA WORLD LTD,UK Mobile Guarding Contract overseas
03/08/2016,7295472,41757.53,BRITCHAM BUSINESS SERVICES,UKTI HQ Allocation- DSO
03/08/2016,7295502,100726.08,DANISH DEMINING GROUP,Programme Spend (Oracle Projects Control Account)
03/08/2016,7295522,84517.18,ATKINS LTD,Residential Property Services
03/08/2016,7295532,34494,MOTT MACDONALD LTD,Programme Spend (Oracle Projects Control Account)
03/08/2016,7296553,149361.58,THE ROYAL BANK OF SCOTLAND,Multiple Accounts
04/08/2016,7310936,25652.2,DATACOM EMPLOYER SERVICES,Multiple Accounts
04/08/2016,7311129,1505004,FCO SERVICES,Specialist Contractors
04/08/2016,7311130,57374.83,FCO SERVICES,IT/IS Consultancy
04/08/2016,7311133,191053,CONTROL RISKS GROUP,UK Mobile Guarding Contract overseas
04/08/2016,7311143,57904.89,FCO SERVICES,Construction Project more than £10k
04/08/2016,7311145,149049.89,FCO SERVICES,Construction Project more than £10k
04/08/2016,7311186,178248.61,BBC MEDIA ACTION,Programme Spend (Oracle Projects Control Account)
04/08/2016,7311201,140852,DANISH DEMINING GROUP,Programme Spend (Oracle Projects Control Account)
04/08/2016,7311234,914355.38,GOVERNMENT OF RIVERS STATE NIGERIA,Recharge Suspense Account (Oracle PA Control Account)
04/08/2016,7311266,35021,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Information Systems Implementation
04/08/2016,7311333,401333.71,WESTMINSTER FOUNDATION FOR DEMOCRACY,Programme Spend (Oracle Projects Control Account)
04/08/2016,7311403,33779.45,ABROTEA BULGARIA AD,Multiple Accounts
04/08/2016,7311462,25740,AGILE BYTE LIMITED,IT/IS Consultancy
04/08/2016,7311484,106539.1,LANGUAGE SERVICES DIRECT,Language Tuition: Essential
04/08/2016,7316458,69010.49,LANGUAGE SERVICES DIRECT,Language Tuition: Essential
04/08/2016,7317442,30000,FUJITSU SERVICES LIMITED,IT/IS Consultancy
04/08/2016,7317489,55209.05,COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
04/08/2016,7318442,82525.66,CORDERMAN AND COMPANY,Construction Project more than £10k
05/08/2016,7320760,25345.17,FCO SERVICES,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
