Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,18/02/2013,Research and development,Head Office & Corporate Services,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,168526,Research and development excluding defence science and technology laboratory,"26,286.54"
Ministry of Defence,Ministry of Defence,14/02/2013,Purchase of inventory and services ,Land Forces,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,167153,Cost of other material consumed,"26,269.80"
Ministry of Defence,Ministry of Defence,14/02/2013,Estate management,Air Command,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,167648,Works - estate management,"26,263.36"
Ministry of Defence,Defence Science and Technology Laboratory,01/02/2013,Professional Services,Operations,QINETIQ LIMITED,,V - 9000149067 - 00153215,,"26,215.62"
Ministry of Defence,Defence Science and Technology Laboratory,19/02/2013,Sub Contracted Work,Operations,BAE SYSTEMS (OPERATIONS) LIMITED,,V - 9000149535 - 00150880,,"26,211.86"
Ministry of Defence,Defence Science and Technology Laboratory,19/02/2013,Sub Contracted Work,Operations,BAE SYSTEMS (OPERATIONS) LIMITED,,V - 9000149535 - 00153276,,"26,211.86"
Ministry of Defence,Defence Science and Technology Laboratory,19/02/2013,Sub Contracted Work,Operations,BAE SYSTEMS (OPERATIONS) LIMITED,,V - 9000149535 - 00154089,,"26,211.85"
Ministry of Defence,Ministry of Defence,21/02/2013,Fuel for military use,Navy Command,HENTY OIL LTD,SW1E 5BH,170327,Cost of ground diesel fuel consumed,"26,177.22"
Ministry of Defence,Ministry of Defence,12/02/2013,Estate management,Air Command,SAFESKYS LTD,HP11 1LT,166202,Estate + facilities management services - accommodation inventory + service,"26,168.83"
Ministry of Defence,Ministry of Defence,06/02/2013,Medical treatment & stores and welfare services,Joint Forces Command,QUEEN ELIZABETHS FOUNDATION FOR DISABLED PEOPLE,KT22 0BN,163568,Medical health services,"26,167.00"
Ministry of Defence,Ministry of Defence,14/02/2013,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,FOREIGN & COMMONWEALTH OFFICE,MK19 7BH,2.00E+11,Freight movement costs,"26,147.79"
Ministry of Defence,Ministry of Defence,20/02/2013,Spend on Inventory - General,Defence Equipment & Support,KASHKET & PARTNERS LIMITED,N15 4QA,169773,Spend on Inventory - General,"26,142.91"
Ministry of Defence,Ministry of Defence,13/02/2013,Design services and minor equipment purchases,Defence Equipment & Support,GEMCO EQUIPMENT LTD,NN1 1QG,166713,Equipment support non-project costs,"26,140.38"
Ministry of Defence,Ministry of Defence,07/02/2013,Rent and rates,Defence Infrastructure Organisation ,PROFESSOR F D R HOBBS & PARTNERS T/A BELLEVUE MEDICAL CENTRE,B5 7LX,164334,Rent land - non civil estate property + married quarter property,"26,122.80"
Ministry of Defence,Ministry of Defence,01/02/2013,Design services and minor equipment purchases,Defence Equipment & Support,PARKER HANNIFIN LIMITED.,CV34 6TU,161979,Equipment support project costs,"26,066.25"
Ministry of Defence,Ministry of Defence,15/02/2013,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,168044,Works - estate management,"26,023.00"
Ministry of Defence,Ministry of Defence,06/02/2013,Design services and minor equipment purchases,Defence Equipment & Support,ACCLIMATISE LIMITED,ST4 4TN,163079,Equipment support non-project costs,"26,018.76"
Ministry of Defence,Ministry of Defence,07/02/2013,Externally delivered education and training,Navy Command,UNIVERSITY OF MANCHESTER,M13 9PL,164469,External military training ,"26,000.00"
Ministry of Defence,Ministry of Defence,19/02/2013,Medical treatment & stores and welfare services,Land Forces,NORTH EASTERN EDUCATION & LIBRARY BOARD,BT42 1HN,38135,Schools + community relations initiatives,"26,000.00"
Ministry of Defence,Ministry of Defence,13/02/2013,Design services and minor equipment purchases,Defence Equipment & Support,AEM LTD,CM24 1RB,166351,Equipment support non-project costs,"25,945.95"
Ministry of Defence,Ministry of Defence,07/02/2013,Design services and minor equipment purchases,Defence Equipment & Support,PANDECT INSTRUMENT LABORATORIES LIMITED,HP12 3PX,164309,Equipment support non-project costs,"25,920.00"
Ministry of Defence,Ministry of Defence,18/02/2013,Design services and minor equipment purchases,Land Forces,P J ANDREWS T/A ANDREWS,BH20 7PJ,168803,Equipment support non-project costs,"25,920.00"
Ministry of Defence,Defence Science and Technology Laboratory,15/02/2013,Energy & Utility,Infrastructure,THAMES WATER UTILITIES LIMITED,,V - 9000149467 - 00155133,,"25,911.78"
Ministry of Defence,Ministry of Defence,11/02/2013,Administration,Head Office & Corporate Services,G4S ASSESSMENT SERVICES (UK) LIMITED,GL20 8NB,174384,General administration,"25,886.00"
Ministry of Defence,Ministry of Defence,27/02/2013,Administration,Head Office & Corporate Services,G4S ASSESSMENT SERVICES (UK) LIMITED,GL20 8NB,174663,General administration,"25,886.00"
Ministry of Defence,Ministry of Defence,12/02/2013,Externally delivered education and training,Land Forces,ACCIDON'T LIMITED,G84 7RR,165575,External military training ,"25,834.85"
Ministry of Defence,Defence Science and Technology Laboratory,01/02/2013,Sub Contracted Work,Operations,XPI SIMULATION LIMITED,,V - 9000149083 - 00153726,,"25,811.00"
Ministry of Defence,Ministry of Defence,14/02/2013,Estate management,Defence Infrastructure Organisation ,INTERSERVE (DEFENCE) LTD,BS32 4NH,167359,Works services - excluding United States forces/NATO + married quarters,"25,779.52"
Ministry of Defence,Defence Science and Technology Laboratory,12/02/2013,Agency Staff,Operations,RED SCIENTIFIC LIMITED,,V - 9000149371 - 00154732,,"25,764.72"
Ministry of Defence,Ministry of Defence,21/02/2013,"Transportation of personnel, freight and travel expenses",Land Forces,MARK A HARROW T/A TRUCK RENTAL CORP.,,5000092291,Movement of service personnel,"25,762.68"
Ministry of Defence,Ministry of Defence,18/02/2013,Payment of utilities,Defence Infrastructure Organisation ,E.ON UK PLC,NG1 9AH,168627,Utilities consumed - electricity,"25,751.61"
Ministry of Defence,Defence Science and Technology Laboratory,01/02/2013,Sub Contracted Work,Operations,UNIVERSITY OF EXETER,,V - 9000149016 - 00151432,,"25,707.35"
Ministry of Defence,Ministry of Defence,15/02/2013,Fees for professional services,Head Office & Corporate Services,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,167854,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"25,696.14"
Ministry of Defence,Ministry of Defence,11/02/2013,Design services and minor equipment purchases,Defence Equipment & Support,ALLIED AEROSYSTEMS LTD,CF37 5YL,165296,Equipment support non-project costs,"25,685.84"
Ministry of Defence,Council of Reserve Forces and Cadets Associations,27/02/2013,Reactive Maintenance – Emergencies,Estates Management,COWLARD CONSTRUCTION LTD,,13399,Works - civil estate,"25,662.00"
Ministry of Defence,Ministry of Defence,13/02/2013,Fees for professional services,Head Office & Corporate Services,GIFFORD OWEN LTD,BA13 2GG,166715,Fees for professional services excluding legal fees,"25,560.00"
Ministry of Defence,Defence Science and Technology Laboratory,05/02/2013,Sub Contracted Work,Operations,UNIVERSITY OF READING,,V - 9000149142 - 00154154,,"25,531.68"
Ministry of Defence,Ministry of Defence,13/02/2013,Externally delivered education and training,Land Forces,UNIVERSITY OF WOLVERHAMPTON,WV1 1LY,167052,External military training ,"25,500.00"
Ministry of Defence,Defence Science and Technology Laboratory,15/02/2013,Staff Training,Corporate,BARCLAYCARD,,G - 9000149501 - 00155954,,"25,488.47"
