Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,,
Defra,Royal Botanic Gardens Kew,30/06/12,IT services,Defra Royal Botanic Gardens Kew 41*** IT services                   ,Mouchel Man't Consulting,MS0206930," £84,855.60 ",Website development and maintenance services annual charge for 2012-2013 ,,,,,,,,
Defra,Royal Botanic Gardens Kew,30/06/12,Agency staff,Defra Royal Botanic Gardens Kew 41*** Agency staff,Imperial College,MS0207421," £73,290.00 ",50% costs of two Imperial College staff members for part 10/11,,,,,,,,
Defra,Royal Botanic Gardens Kew,30/06/12,Exhibitions,Defra Royal Botanic Gardens Kew 41*** Exhibitions,MTEC Warehousing,MS0207284," £73,040.40 ",David Nash  Exhibition: Install of outdoor sculptures and transportation,,,,,,,,
Defra,Royal Botanic Gardens Kew,30/06/12,Exhibitions,Defra Royal Botanic Gardens Kew 41*** Exhibitions,MTEC Warehousing,MS0207283," £58,060.80 ",Groundwork and installation labour David Nash exhibition,,,,,,,,
Defra,Royal Botanic Gardens Kew,30/06/12,Project management services,Defra Royal Botanic Gardens Kew 41***Professional services,Turner and Townsend,MS0207139," £46,716.00 ",Turner and Townsend extension of services for project management support,,,,,,,,
Defra,Royal Botanic Gardens Kew,30/06/12,Electricity                   ,Defra Royal Botanic Gardens Kew 41009 Electricity                   ,EDF Energy,MS0207402," £43,021.75 ",Supply of electricity to Kew Gardens for one month,,,,,,,,
Defra,Royal Botanic Gardens Kew,30/06/12,Cleaning,Defra Royal Botanic Gardens Kew 41*** Cleaning services                   ,Design Clean Limited,MS0207490," £42,310.64 ","Provide cleaning for RBGKew, including window cleans,",,,,,,,,
Defra,Royal Botanic Gardens Kew,30/06/12,Cleaning,Defra Royal Botanic Gardens Kew 41*** Cleaning services                   ,Design Clean Limited,MS0207487," £42,262.03 ","Provide cleaning for RBGKew, including window cleans,",,,,,,,,
Defra,Royal Botanic Gardens Kew,30/06/12,Exhibitions,Defra Royal Botanic Gardens Kew 41*** Exhibitions,Hughes Specialist Transport Limited,MS0207282," £38,880.00 ",Sculpture tranport and delivery: David Nash exhibition,,,,,,,,
