2011 CMIR 7e - TRANSPARENCY REPORT,,,,,,,,,,,
Month: April 2010,,,,,,,,,,,

Department Family,Entity,Date,Expense Type (Activity Code),OGC Master Category,Expense Area (Project Code),Project Code,Supplier,Transaction Number (Invoice Ref), Amount , VAT Registration Number , Payment Value 
Dept. for Education,QCDAe,08-Apr-10,,Logistics,,Corporate Support,The Stationery Office,8788464,,,"50,557.77"
Dept. for Education,QCDAe,21-Apr-10,,Office Solutions,,Corporate Support,The Stationery Office,9054332,,,"440,559.58"
