Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,,,
DEFRA,DEFRA,13/07/2015,Grant-in Aid Payments,Policy Delivery DG,Consumer Council for Water (CCW),100715,1282500.00,PO 376671 DEFRA CCWATERS GRANT IN AID CLAIM JULY TO SEPT 2015,B2 4AJ,,,00000000,Expense,,,,
DEFRA,DEFRA,27/07/2015,Gas,Chief Operating Officer DG,Corona Energy,10311009,54390.10,SITE 281 GAS 01/06/2015 to 01/07/2015  ,WD17 1JW,,,B2810000,Expense,,,,
DEFRA,DEFRA,27/07/2015,Gas,Chief Operating Officer DG,Corona Energy,10311031,40874.38,SITE 087 GAS 01/06/2015 to 01/07/2015  ,WD17 1JW,,,B0870000,Expense,,,,
DEFRA,DEFRA,07/07/2015,Gas,Chief Operating Officer DG,Corona Energy,10203716,54476.16,SITE 281 GAS 01/05/2015 to 01/06/2015 ,WD17 1JW,,,B2810000,Expense,,,,
DEFRA,DEFRA,31/07/2015,Gas,Chief Operating Officer DG,Corona Energy,10311014,33526.52,SITE 087 GAS 01/06/2015 to 01/07/2015  ,WD17 1JW,,,B0870000,Expense,,,,
DEFRA,DEFRA,31/07/2015,Gas,Chief Operating Officer DG,Corona Energy,10311027,26510.84,SITE 087 GAS 01/06/2015 to 01/07/2015  ,WD17 1JW,,,B0870000,Expense,,,,
DEFRA,DEFRA,16/07/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",D L O Holding/Prionics AG,40200,188743.70,FOREIGN PAYMENT CONTRACT 20298 TUBERCULIN  ORDER 49896,8952,,,TUBP0468,Expense,,,,
DEFRA,DEFRA,06/07/2015,Payments to Agencies GB,"Strategy, International and Biosecurity DG",D L O Holding/Prionics AG,40078,188743.70,"FOREIGN PAYMENT CONTRACT NO 20298,TUBERCULIN 49895",8952,,,TUBP0468,Expense,,,,
DEFRA,DEFRA,31/07/2015,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",D S T L,MST008864,28708.00,PO 369273 SE3134 SOFT SYSTEM MODELLING,PO6 3SX,,,00000000,Expense,,,,
DEFRA,DEFRA,01/07/2015,Current Grants E,Policy Delivery DG,Dartmoor National Park Authority,090615,996868.00,PO 377272 NATIONAL PARK GRANT 2015/2016 QTR 2 GRANT CLAIM,TQ13 9JQ,SME,,DARTMOOR,Expense,,,,
