Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,,,,,,,,
Home Office,DBS - Disclosure & Barring Service,01/03/2016,Professional & Admin Services,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001837406,"252,527.29",,,,,,,,
Home Office,DBS - Disclosure & Barring Service,01/03/2016,Professional & Admin Services,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001837406,"183,356.59",,,,,,,,
Home Office,DBS - Disclosure & Barring Service,02/03/2016,"IT, Broadcasting & Telecomms.IT Run Costs",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001837873,"35,738.40",,,,,,,,
Home Office,DBS - Disclosure & Barring Service,02/03/2016,"IT, Broadcasting & Telecomms.IT Run Costs",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001837873,"4,483.88",,,,,,,,
Home Office,DBS - Disclosure & Barring Service,02/03/2016,"IT, Broadcasting & Telecomms.IT Run Costs",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001837873,"41,724.91",,,,,,,,
Home Office,DBS - Disclosure & Barring Service,02/03/2016,"IT, Broadcasting & Telecomms.IT Run Costs",DBS - Disclosure & Barring Service,IBM DIRECT UNITED KINGDOM LTD,1001837873,"14,327.40",,,,,,,,
Home Office,DBS - Disclosure & Barring Service,02/03/2016,Professional & Admin Services,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001837919,"670,460.40",,,,,,,,
Home Office,DBS - Disclosure & Barring Service,03/03/2016,Professional & Admin Services,DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001838498,"3,022,589.95",,,,,,,,
Home Office,DBS - Disclosure & Barring Service,09/03/2016,"IT, Broadcasting & Telecomms.IT Run Costs",DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,6200058909,"-14,987.18",,,,,,,,
Home Office,DBS - Disclosure & Barring Service,10/03/2016,"IT, Broadcasting & Telecomms.IT Run Costs",DBS - Disclosure & Barring Service,HP ENTERPRISE SERVICES UK LTD,1001841359,"-27,172.42",,,,,,,,
Home Office,DBS - Disclosure & Barring Service,11/03/2016,Facilities,DBS - Disclosure & Barring Service,HOME OFFICE,9000233,"1,504,127.13",,,,,,,,
Home Office,DBS - Disclosure & Barring Service,14/03/2016,"IT, Broadcasting & Telecomms.IT Run Costs",DBS - Disclosure & Barring Service,TATA CONSULTANCY SERVICES LTD,1001842743,"46,744.58",,,,,,,,
Home Office,DBS - Disclosure & Barring Service,18/03/2016,"IT, Broadcasting & Telecomms.IT Run Costs",DBS - Disclosure & Barring Service,HOME OFFICE,9000237,"20,922.01",,,,,,,,
Home Office,DBS - Disclosure & Barring Service,18/03/2016,"IT, Broadcasting & Telecomms.IT Run Costs",DBS - Disclosure & Barring Service,HOME OFFICE,9000237,"30,444.10",,,,,,,,
Home Office,DBS - Disclosure & Barring Service,18/03/2016,"IT, Broadcasting & Telecomms.IT Run Costs",DBS - Disclosure & Barring Service,HOME OFFICE,9000237,"4,886.77",,,,,,,,
Home Office,DBS - Disclosure & Barring Service,18/03/2016,"IT, Broadcasting & Telecomms.IT Run Costs",DBS - Disclosure & Barring Service,HOME OFFICE,9000236,"125,131.14",,,,,,,,
