UniqueRef,DATE OF TRANSACTION,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC1,01-Apr-11,Auto Rental                        ,Auto Rental                        ,Ł757.68,1
MODGPC2,01-Apr-11,Auto Rental                        ,Auto Rental                        ,"Ł1,097.50",2
MODGPC3,01-Apr-11,Auto Rental                        ,Auto Rental                        ,Ł581.81,3
MODGPC4,01-Apr-11,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,"Ł1,706.40",4
MODGPC5,01-Apr-11,Books and Periodicals              , BOOK STORES,Ł987.94,5
MODGPC6,01-Apr-11,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,Ł806.70,6
MODGPC7,01-Apr-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł1,289.80",7
MODGPC8,01-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł4,320.00",8
MODGPC9,01-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł3,362.88",9
MODGPC10,01-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł696.00,10
MODGPC11,01-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,269.36",11
MODGPC12,01-Apr-11,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,"Ł9,190.66",12
MODGPC13,01-Apr-11,Catering and Catering Supplies     , CATERERS,"Ł3,823.49",13
MODGPC14,01-Apr-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,Ł737.50,14
MODGPC15,01-Apr-11,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"Ł1,708.00",15
MODGPC16,01-Apr-11,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł554.00,16
MODGPC17,01-Apr-11,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,Ł638.00,17
MODGPC18,01-Apr-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"Ł1,729.09",18
MODGPC19,01-Apr-11,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"Ł1,788.00",19
MODGPC20,01-Apr-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"Ł1,169.86",20
MODGPC21,01-Apr-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł1,179.40",21
MODGPC22,01-Apr-11,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"Ł8,179.10",22
MODGPC23,01-Apr-11,Estate and Garden Services         ," NURSERIES, LAWN/GARDEN SUPPLY",Ł600.00,23
MODGPC24,01-Apr-11,Financial Services                 , INSURANCE SALES/UNDERWRITE,Ł922.50,24
MODGPC25,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł1,779.84",25
MODGPC26,01-Apr-11,General Retail and Wholesale       , PET STORES/FOOD & SUPPLY,"Ł1,707.66",26
MODGPC27,01-Apr-11,General Retail and Wholesale       ," GIFT, CARD, NOVELTY STORES",Ł500.00,27
MODGPC28,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł1,068.78",28
MODGPC29,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł940.84,29
MODGPC30,01-Apr-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł1,404.00",30
MODGPC31,01-Apr-11,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,Ł715.54,31
MODGPC32,01-Apr-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,Ł799.20,32
MODGPC33,01-Apr-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł6,871.25",33
MODGPC34,01-Apr-11,General Retail and Wholesale       , SPORTING GOODS STORES,Ł676.50,34
MODGPC35,01-Apr-11,General Retail and Wholesale       , SPORTS/RIDING APPAREL STORES,Ł540.00,35
MODGPC36,01-Apr-11,General Retail and Wholesale       , SPORTS/RIDING APPAREL STORES,Ł571.14,36
MODGPC37,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł1,275.76",37
MODGPC38,01-Apr-11,General Retail and Wholesale       , SPORTING GOODS STORES,"Ł3,196.80",38
MODGPC39,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł3,945.31",39
MODGPC40,01-Apr-11,General Retail and Wholesale       , ELECTRONICS STORES,"Ł1,645.43",40
MODGPC41,01-Apr-11,General Retail and Wholesale       , SPORTING GOODS STORES,Ł687.06,41
MODGPC42,01-Apr-11,General Retail and Wholesale       , COMBINATION CATALOG & RETAIL,"Ł1,771.89",42
MODGPC43,01-Apr-11,General Retail and Wholesale       , MUSIC STORES/PIANOS,"Ł7,194.00",43
MODGPC44,01-Apr-11,General Retail and Wholesale       , MUSIC STORES/PIANOS,"Ł8,971.20",44
MODGPC45,01-Apr-11,General Retail and Wholesale       , SPORTS/RIDING APPAREL STORES,"Ł1,469.01",45
MODGPC46,01-Apr-11,General Retail and Wholesale       , DISCOUNT STORES,Ł767.45,46
MODGPC47,01-Apr-11,General Retail and Wholesale       , DISCOUNT STORES,Ł978.72,47
MODGPC48,01-Apr-11,General Retail and Wholesale       , DISCOUNT STORES,Ł651.64,48
MODGPC49,01-Apr-11,General Retail and Wholesale       , COMBINATION CATALOG & RETAIL,"Ł1,800.00",49
MODGPC50,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł830.59,50
MODGPC51,01-Apr-11,General Retail and Wholesale       , MUSIC STORES/PIANOS,"Ł1,000.00",51
MODGPC52,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł7,236.79",52
MODGPC53,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł3,185.16",53
MODGPC54,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł4,607.16",54
MODGPC55,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł1,742.69",55
MODGPC56,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł716.52,56
MODGPC57,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł631.86,57
MODGPC58,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł1,580.76",58
MODGPC59,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł5,042.64",59
MODGPC60,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł2,056.74",60
MODGPC61,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł6,074.72",61
MODGPC62,01-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł5,211.00",62
MODGPC63,01-Apr-11,Leisure Activities                 , RECREATION SERVICES,"Ł1,045.32",63
MODGPC64,01-Apr-11,Mail and Courier Services          , POSTAGE STAMPS,Ł950.00,64
MODGPC65,01-Apr-11,Mail and Courier Services          , POSTAGE STAMPS,"Ł1,964.78",65
MODGPC66,01-Apr-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,Ł550.80,66
MODGPC67,01-Apr-11,Mail Order / Direct Selling        , CATALOG MERCHANT,"Ł1,164.19",67
MODGPC68,01-Apr-11,Mail Order / Direct Selling        , CONTINUITY/SUBSCRIPTION MERCHT,"Ł4,527.50",68
MODGPC69,01-Apr-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,"Ł1,018.61",69
MODGPC70,01-Apr-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,"Ł1,332.00",70
MODGPC71,01-Apr-11,Medical Supplies and Services      , DENTAL/LAB/MED EQUIPMENT,Ł648.00,71
MODGPC72,01-Apr-11,Miscellaneous Industrial/Commercial, TOOL HIRE,"Ł1,260.07",72
MODGPC73,01-Apr-11,Miscellaneous Industrial/Commercial, HARDWARE EQUIPMENT/SUPPLIES,Ł725.63,73
MODGPC74,01-Apr-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,Ł577.90,74
MODGPC75,01-Apr-11,Miscellaneous Industrial/Commercial, NON-DURABLE GOODS - DEFAULT,Ł519.89,75
MODGPC76,01-Apr-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"Ł10,480.00",76
MODGPC77,01-Apr-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,"Ł3,660.00",77
MODGPC78,01-Apr-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,Ł513.58,78
MODGPC79,01-Apr-11,Miscellaneous Industrial/Commercial, CHEMICALS/ALLIED PRODS - DEF,"Ł6,223.97",79
MODGPC80,01-Apr-11,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,"Ł1,975.44",80
MODGPC81,01-Apr-11,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,Ł967.44,81
MODGPC82,01-Apr-11,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,Ł600.21,82
MODGPC83,01-Apr-11,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,"Ł1,332.48",83
MODGPC84,01-Apr-11,"Office Stationery, Equipment and Su", STATIONERY STORES,Ł552.00,84
MODGPC85,01-Apr-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,"Ł1,299.60",85
MODGPC86,01-Apr-11,"Office Stationery, Equipment and Su", STATIONERY STORES,"Ł2,268.00",86
MODGPC87,01-Apr-11,"Office Stationery, Equipment and Su", STATIONERY STORES,"Ł4,345.12",87
MODGPC88,01-Apr-11,Print and Advertising              , MISC PUBLISHING & PRINTING,"Ł2,036.85",88
MODGPC89,01-Apr-11,Print and Advertising              , MISC PUBLISHING & PRINTING,"Ł1,442.50",89
MODGPC90,01-Apr-11,Professional Services              , VETERINARY SERVICES,Ł736.45,90
MODGPC91,01-Apr-11,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,"Ł1,380.00",91
MODGPC92,01-Apr-11,"Hotels, Restaurants and Bars               ", BARS/TAVERNS/LOUNGES/DISCOS,Ł712.50,92
MODGPC93,01-Apr-11,"Hotels, Restaurants and Bars               ", RESTAURANTS,Ł525.00,93
MODGPC94,01-Apr-11,"Hotels, Restaurants and Bars               ", RESTAURANTS,Ł732.00,94
MODGPC95,01-Apr-11,"Hotels, Restaurants and Bars               ", RESTAURANTS,Ł697.00,95
MODGPC96,01-Apr-11,"Hotels, Restaurants and Bars               ", RESTAURANTS,"Ł2,953.17",96
MODGPC97,01-Apr-11,Telecommunication Services         , TELECOMMUNICATION SERVICES,Ł586.71,97
MODGPC98,01-Apr-11,Telecommunication Services         , TELECOMMUNICATION SERVICES,"Ł4,340.79",98
MODGPC99,01-Apr-11,Telecommunication Services         , TELECOMMUNICATION EQUIPMENT,Ł811.80,99
MODGPC100,01-Apr-11,Telecommunication Services         , TELECOMMUNICATION SERVICES,"Ł3,000.00",100
MODGPC101,01-Apr-11,Telecommunication Services         , TELECOMMUNICATION SERVICES,Ł550.87,101
MODGPC102,01-Apr-11,Telecommunication Services         , TELECOMMUNICATION SERVICES,"Ł3,000.00",102
MODGPC103,01-Apr-11,Training and Educational           , TRADE/VOCATIONAL SCHOOLS,"Ł1,242.00",103
MODGPC104,01-Apr-11,Training and Educational           , TRADE/VOCATIONAL SCHOOLS,Ł690.00,104
MODGPC105,01-Apr-11,Training and Educational           , TRADE/VOCATIONAL SCHOOLS,"Ł1,353.60",105
MODGPC106,01-Apr-11,Training and Educational           , CORRESPONDENCE SCHOOLS,"Ł1,007.67",106
MODGPC107,01-Apr-11,Training and Educational           , SCHOOLS - DEFAULT,Ł522.00,107
MODGPC108,01-Apr-11,Training and Educational           , SCHOOLS - DEFAULT,Ł862.68,108
MODGPC109,01-Apr-11,Training and Educational           , SCHOOLS - DEFAULT,"Ł2,758.80",109
MODGPC110,01-Apr-11,Training and Educational           , SCHOOLS - DEFAULT,Ł874.66,110
MODGPC111,01-Apr-11,"Vehicles, Servicing and Spares     ", AUTOMOTIVE PARTS STORES,Ł618.00,111
MODGPC112,01-Apr-11,"Vehicles, Servicing and Spares     ", AUTOMOTIVE PARTS STORES,Ł651.60,112
MODGPC113,01-Apr-11,"Vehicles, Servicing and Spares     ", AUTOMOTIVE PARTS STORES,Ł840.00,113
MODGPC114,01-Apr-11,"Vehicles, Servicing and Spares     ", MISC AUTO DEALERS - DEFAULT,Ł951.66,114
MODGPC115,01-Apr-11,"Vehicles, Servicing and Spares     ", MISC AUTO DEALERS - DEFAULT,Ł949.44,115
MODGPC116,01-Apr-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,"Ł1,319.32",116
MODGPC117,01-Apr-11,"Vehicles, Servicing and Spares     ", CAR & TRUCK DEALERS/USED ONLY,"Ł1,052.40",117
MODGPC118,01-Apr-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,"Ł2,280.00",118
MODGPC119,01-Apr-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,"Ł5,529.54",119
MODGPC120,02-Apr-11,Books and Periodicals              , BOOK STORES,"Ł1,840.00",120
MODGPC121,02-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł502.10,121
MODGPC122,03-Apr-11,"Hotels, Restaurants and Bars               ", BARS/TAVERNS/LOUNGES/DISCOS,Ł573.70,122
MODGPC123,04-Apr-11,Auto Rental                        ,Auto Rental                        ,Ł638.40,123
MODGPC124,04-Apr-11,Auto Rental                        ,Auto Rental                        ,"Ł1,205.57",124
MODGPC125,04-Apr-11,Auto Rental                        ,Auto Rental                        ,"Ł3,574.37",125
MODGPC126,04-Apr-11,Auto Rental                        ,Auto Rental                        ,"Ł1,619.78",126
MODGPC127,04-Apr-11,Auto Rental                        ,Auto Rental                        ,Ł550.92,127
MODGPC128,04-Apr-11,Books and Periodicals              , BOOK STORES,Ł894.00,128
MODGPC129,04-Apr-11,Building Materials                 , CONSTRUCTION MATERIALS - DEF,"Ł2,948.66",129
MODGPC130,04-Apr-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł4,454.21",130
MODGPC131,04-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,303.16",131
MODGPC132,04-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł680.40,132
MODGPC133,04-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,826.88",133
MODGPC134,04-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł766.92,134
MODGPC135,04-Apr-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł519.90,135
MODGPC136,04-Apr-11,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł514.98,136
MODGPC137,04-Apr-11,Building Services                  , SPEC CONTRACTORS - DEFAULT,Ł666.46,137
MODGPC138,04-Apr-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł1,807.75",138
MODGPC139,04-Apr-11,Computer Equipment & Services      , COMPUTER SOFTWARE STORES,"Ł1,714.80",139
MODGPC140,04-Apr-11,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,Ł859.90,140
MODGPC141,04-Apr-11,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"Ł1,197.00",141
MODGPC142,04-Apr-11,General Retail and Wholesale       , MUSIC STORES/PIANOS,"Ł4,486.80",142
MODGPC143,04-Apr-11,General Retail and Wholesale       , MUSIC STORES/PIANOS,"Ł4,393.33",143
MODGPC144,04-Apr-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,Ł722.02,144
MODGPC145,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł921.89,145
MODGPC146,04-Apr-11,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,Ł717.44,146
MODGPC147,04-Apr-11,General Retail and Wholesale       , MEN/BOYS CLOTHING/ACC STORES,"Ł1,910.64",147
MODGPC148,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł1,617.00",148
MODGPC149,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł616.16,149
MODGPC150,04-Apr-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł1,195.74",150
MODGPC151,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł655.20,151
MODGPC152,04-Apr-11,General Retail and Wholesale       , SPORTING GOODS STORES,"Ł9,751.80",152
MODGPC153,04-Apr-11,General Retail and Wholesale       , SHOE STORES,"Ł1,215.48",153
MODGPC154,04-Apr-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł3,513.00",154
MODGPC155,04-Apr-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,Ł522.34,155
MODGPC156,04-Apr-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł1,395.60",156
MODGPC157,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł10,071.60",157
MODGPC158,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł600.00,158
MODGPC159,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł2,885.22",159
MODGPC160,04-Apr-11,General Retail and Wholesale       , MUSIC STORES/PIANOS,"Ł5,545.20",160
MODGPC161,04-Apr-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł1,457.45",161
MODGPC162,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł2,659.97",162
MODGPC163,04-Apr-11,General Retail and Wholesale       , SPORTS/RIDING APPAREL STORES,"Ł1,199.40",163
MODGPC164,04-Apr-11,General Retail and Wholesale       , MISC HOME FURNISHING SPECIALTY,"Ł2,134.80",164
MODGPC165,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł1,393.70",165
MODGPC166,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł974.34,166
MODGPC167,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł817.96,167
MODGPC168,04-Apr-11,General Retail and Wholesale       , ARTIST/CRAFT SHOPS,"Ł1,264.03",168
MODGPC169,04-Apr-11,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł1,062.00",169
MODGPC170,04-Apr-11,General Retail and Wholesale       , ELECTRONICS STORES,"Ł5,420.82",170
MODGPC171,04-Apr-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł4,049.06",171
MODGPC172,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł754.49,172
MODGPC173,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł1,192.01",173
MODGPC174,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł4,314.96",174
MODGPC175,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł6,796.20",175
MODGPC176,04-Apr-11,General Retail and Wholesale       , RECORD STORES,Ł877.79,176
MODGPC177,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł8,554.80",177
MODGPC178,04-Apr-11,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł6,764.92",178
MODGPC179,04-Apr-11,General Retail and Wholesale       , SPORTING GOODS STORES,Ł672.75,179
MODGPC180,04-Apr-11,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł3,546.00",180
MODGPC181,04-Apr-11,Leisure Activities                 , THEATRICAL PRODUCERS,Ł674.91,181
MODGPC182,04-Apr-11,Leisure Activities                 , BOAT DEALERS,Ł683.88,182
MODGPC183,04-Apr-11,Leisure Activities                 , BOAT DEALERS,"Ł2,916.00",183
MODGPC184,04-Apr-11,Leisure Activities                 , MEMBER CLUBS/SPORT/REC/GOLF,"Ł1,098.20",184
MODGPC185,04-Apr-11,Leisure Activities                 , BOAT DEALERS,Ł642.40,185
MODGPC186,04-Apr-11,Mail and Courier Services          , POSTAGE STAMPS,Ł780.00,186
MODGPC187,04-Apr-11,Mail and Courier Services          , POSTAGE STAMPS,Ł829.63,187
MODGPC188,04-Apr-11,Mail and Courier Services          , POSTAGE STAMPS,"Ł1,131.04",188
MODGPC189,04-Apr-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,"Ł1,274.88",189
MODGPC190,04-Apr-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,Ł959.33,190
MODGPC191,04-Apr-11,Mail Order / Direct Selling        , OTHER DIRECT MARKETERS,"Ł1,838.12",191
MODGPC192,04-Apr-11,Medical Supplies and Services      , HEARING AID/SALES/SERVICE,Ł588.00,192
MODGPC193,04-Apr-11,Medical Supplies and Services      , HEARING AID/SALES/SERVICE,Ł588.00,193
MODGPC194,04-Apr-11,Medical Supplies and Services      , ORTHOPEDIC GOODS,Ł732.61,194
MODGPC195,04-Apr-11,Medical Supplies and Services      , MED/HEALTH SERVICES - DEF,"Ł4,980.00",195
MODGPC196,04-Apr-11,Medical Supplies and Services      , MED/HEALTH SERVICES - DEF,"Ł4,265.00",196
MODGPC197,04-Apr-11,Miscellaneous Industrial/Commercial, HARDWARE EQUIPMENT/SUPPLIES,"Ł1,616.88",197
MODGPC198,04-Apr-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,Ł715.00,198
MODGPC199,04-Apr-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,"Ł3,105.50",199
MODGPC200,04-Apr-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,Ł556.80,200
MODGPC201,04-Apr-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,"Ł6,201.00",201
MODGPC202,04-Apr-11,Miscellaneous Industrial/Commercial, COMMERCIAL EQUIPMENT - DEFAULT,"Ł1,536.60",202
MODGPC203,04-Apr-11,Miscellaneous Industrial/Commercial, TOOL HIRE,"Ł4,981.20",203
MODGPC204,04-Apr-11,Miscellaneous Industrial/Commercial, NON-DURABLE GOODS - DEFAULT,Ł648.00,204
MODGPC205,04-Apr-11,Miscellaneous Industrial/Commercial, INDUSTRIAL SUPPLIES - DEF,"Ł2,910.42",205
MODGPC206,04-Apr-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,"Ł2,007.36",206
MODGPC207,04-Apr-11,Miscellaneous Industrial/Commercial, TOOL HIRE,Ł715.12,207
MODGPC208,04-Apr-11,Miscellaneous Industrial/Commercial, BUSINESS SERVICES - DEFAULT,Ł680.40,208
MODGPC209,04-Apr-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,Ł685.04,209
MODGPC210,04-Apr-11,"Office Stationery, Equipment and Su", COMMERCIAL FURNITURE,"Ł4,487.40",210
MODGPC211,04-Apr-11,"Office Stationery, Equipment and Su", STATIONERY STORES,Ł921.02,211
MODGPC212,04-Apr-11,"Office Stationery, Equipment and Su", STATIONERY STORES,Ł566.58,212
MODGPC213,04-Apr-11,"Office Stationery, Equipment and Su", STATIONERY STORES,Ł730.94,213
MODGPC214,04-Apr-11,"Office Stationery, Equipment and Su", STATIONERY STORES,Ł899.24,214
MODGPC215,04-Apr-11,"Office Stationery, Equipment and Su", STATIONERY STORES,Ł796.80,215
MODGPC216,04-Apr-11,"Office Stationery, Equipment and Su", STATIONERY STORES,"Ł1,507.56",216
MODGPC217,04-Apr-11,"Office Stationery, Equipment and Su", STATIONERY/OFFICE SUPPLIES,"Ł1,232.19",217
MODGPC218,04-Apr-11,Print and Advertising              , MISC PUBLISHING & PRINTING,"Ł1,035.00",218
MODGPC219,04-Apr-11,Print and Advertising              , MISC PUBLISHING & PRINTING,Ł514.18,219
MODGPC220,04-Apr-11,Print and Advertising              , MISC PUBLISHING & PRINTING,"Ł2,344.61",220
MODGPC221,04-Apr-11,Print and Advertising              , MISC PUBLISHING & PRINTING,Ł725.58,221
MODGPC222,04-Apr-11,Print and Advertising              , MISC PUBLISHING & PRINTING,"Ł4,961.30",222
MODGPC223,04-Apr-11,Professional Services              , PROFESSIONAL SERVICES - DEF,"Ł55,000.00",223
MODGPC224,04-Apr-11,Professional Services              , MGMT/CONSULT/PUBLIC REL SER,Ł597.07,224
MODGPC225,04-Apr-11,Professional Services              , ARCHITECTURAL/ENG/SURVEY,Ł578.52,225
MODGPC226,04-Apr-11,Professional Services              , ARCHITECTURAL/ENG/SURVEY,"Ł4,716.00",226
MODGPC227,04-Apr-11,Professional Services              , PROFESSIONAL SERVICES - DEF,Ł989.00,227
MODGPC228,04-Apr-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"Ł1,830.70",228
MODGPC229,04-Apr-11,Training and Educational           , COLLEGES/UNIV/JC/PROFESSION,"Ł1,485.00",229
MODGPC230,04-Apr-11,Training and Educational           , BUSINESS/SECRETARIAL SCHOOL,"Ł2,836.80",230
MODGPC231,04-Apr-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,"Ł1,802.64",231
MODGPC232,04-Apr-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,Ł512.46,232
MODGPC233,04-Apr-11,"Vehicles, Servicing and Spares     ", AUTOMOTIVE PARTS STORES,Ł826.72,233
MODGPC234,04-Apr-11,"Vehicles, Servicing and Spares     ", AUTO SERVICE SHOPS/NON DEALER,Ł880.20,234
MODGPC235,04-Apr-11,"Vehicles, Servicing and Spares     ", AUTOMOTIVE TIRE STORES,Ł660.00,235
MODGPC236,04-Apr-11,"Vehicles, Servicing and Spares     ", CAR & TRUCK DEALERS/NEW/USED,Ł633.60,236
MODGPC237,04-Apr-11,"Vehicles, Servicing and Spares     ", CAR & TRUCK DEALERS/NEW/USED,Ł630.00,237
MODGPC238,05-Apr-11,Auto Rental                        ,Auto Rental                        ,Ł765.60,238
MODGPC239,05-Apr-11,Auto Rental                        ,Auto Rental                        ,"Ł3,517.18",239
MODGPC240,05-Apr-11,Auto Rental                        ,Auto Rental                        ,Ł525.00,240
MODGPC241,05-Apr-11,Auto Rental                        ,Auto Rental                        ,Ł792.29,241
MODGPC242,05-Apr-11,Auto Rental                        ,Auto Rental                        ,Ł672.00,242
MODGPC243,05-Apr-11,Auto Rental                        ,Auto Rental                        ,Ł723.55,243
MODGPC244,05-Apr-11,Auto Rental                        ,Auto Rental                        ,Ł566.57,244
MODGPC245,05-Apr-11,Auto Rental                        ,Auto Rental                        ,Ł723.55,245
MODGPC246,05-Apr-11,Auto Rental                        ,Auto Rental                        ,Ł623.64,246
MODGPC247,05-Apr-11,Auto Rental                        ,Auto Rental                        ,Ł723.55,247
MODGPC248,05-Apr-11,Auto Rental                        ,Auto Rental                        ,"Ł2,018.03",248
MODGPC249,05-Apr-11,Auto Rental                        ,Auto Rental                        ,"Ł3,000.00",249
MODGPC250,05-Apr-11,Books and Periodicals              , NEWS DEALERS/NEWSSTANDS,Ł502.80,250
MODGPC251,05-Apr-11,Books and Periodicals              , BOOKS/PERIODICALS/NEWSPAPERS,Ł518.96,251
MODGPC252,05-Apr-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł689.37,252
MODGPC253,05-Apr-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł1,560.54",253
MODGPC254,05-Apr-11,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł2,337.36",254
