Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Defra,JNCC,18-Jun-10,BOOKS                                                       ,Governance & Corporate Services,Barclaycard Business,Barclaycard May 2010,96.38,
Defra,JNCC,18-Jun-10,BOOKS                                                       ,Global Advice,Barclaycard Business,Barclaycard May 2010,69.97,
Defra,JNCC,18-Jun-10,BOOKS                                                       ,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard May 2010,46.13,
Defra,JNCC,18-Jun-10,BOOKS                                                       ,Governance & Corporate Services,Barclaycard Business,Barclaycard May 2010,29.55,
Defra,JNCC,18-Jun-10,BOOKS                                                       ,Governance & Corporate Services,Barclaycard Business,Barclaycard May 2010,14.13,
Defra,JNCC,18-Jun-10,BOOKS                                                       ,Sustainability Advice,Barclaycard Business,Barclaycard May 2010,5.79,
Defra,JNCC,18-Jun-10,JOURNALS                                                    ,Sustainability Advice,Barclaycard Business,Barclaycard May 2010,113,
Defra,JNCC,18-Jun-10,JOURNALS                                                    ,European Intelligence & Advice,Barclaycard Business,Barclaycard May 2010,7.48,
Defra,JNCC,18-Jun-10,JOURNALS                                                    ,Global Advice,Barclaycard Business,Barclaycard May 2010,66.73,
Defra,JNCC,18-Jun-10,JOURNALS                                                    ,Global Advice,Barclaycard Business,Barclaycard May 2010,30,
Defra,JNCC,18-Jun-10,JOURNALS                                                    ,Global Advice,Barclaycard Business,Barclaycard May 2010,60,
Defra,JNCC,18-Jun-10,PROTECTIVE CLOTHING                                         ,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard May 2010,142.17,
Defra,JNCC,18-Jun-10,PROTECTIVE CLOTHING                                         ,Marine Protected Areas,Barclaycard Business,Barclaycard May 2010,469.99,
Defra,JNCC,18-Jun-10,HEALTH & SAFETY                                             ,Governance & Corporate Services,Barclaycard Business,Barclaycard May 2010,41.65,
Defra,JNCC,18-Jun-10,HEALTH & SAFETY                                             ,Governance & Corporate Services,Barclaycard Business,Barclaycard May 2010,37.3,
Defra,JNCC,18-Jun-10,WORKING LUNCHES                                             ,European Intelligence & Advice,Barclaycard Business,Barclaycard May 2010,34.98,
Defra,JNCC,18-Jun-10,SENDING OF POST & PARCELS                                   ,Governance & Corporate Services,Barclaycard Business,Barclaycard May 2010,14.5,
Defra,JNCC,18-Jun-10,SENDING OF POST & PARCELS                                   ,Governance & Corporate Services,Barclaycard Business,Barclaycard May 2010,156.51,
Defra,JNCC,18-Jun-10,SENDING OF POST & PARCELS                                   ,Governance & Corporate Services,Barclaycard Business,Barclaycard May 2010,-98.49,
Defra,JNCC,18-Jun-10,TELEPHONE FIXED                                             ,Marine Protected Areas,Barclaycard Business,Barclaycard May 2010,123.38,
Defra,JNCC,18-Jun-10,TELEPHONE MOBILE                                            ,Marine Management Advice,Barclaycard Business,Barclaycard May 2010,4.47,
Defra,JNCC,18-Jun-10,TELEPHONE MOBILE                                            ,Marine Management Advice,Barclaycard Business,Barclaycard May 2010,2.68,
Defra,JNCC,18-Jun-10,TELEPHONE MOBILE                                            ,Marine Management Advice,Barclaycard Business,Barclaycard May 2010,5,
Defra,JNCC,18-Jun-10,TELEPHONE MOBILE                                            ,Marine Management Advice,Barclaycard Business,Barclaycard May 2010,5,
Defra,JNCC,18-Jun-10,TELEPHONE MOBILE                                            ,Marine Management Advice,Barclaycard Business,Barclaycard May 2010,4.45,
Defra,JNCC,18-Jun-10,TELEPHONE MOBILE                                            ,Governance & Corporate Services,Barclaycard Business,Barclaycard May 2010,100,
Defra,JNCC,18-Jun-10,TELEPHONE MOBILE                                            ,European Intelligence & Advice,Barclaycard Business,Barclaycard May 2010,68.29,
